unit	class	families	line
vayupurana_01_frame-and-cosmogony_iast	other	bhagavatapurana,bhavisyapurana,devibhagavatapurana,garudapurana,harivamsa,kurmapurana,mahabharata,markandeyapurana,matsyapurana,naradapurana,nrsimhapurana,padmapurana,sivapurana,vamanapurana,visnudharma,visnupurana	nārāyaṇaṃ namaskṛtya narañcaiva narottamam
vayupurana_01_frame-and-cosmogony_iast	other	bhavisyapurana	jayati parāśarasūnuḥ satyavatīhṛdayanandano vyāsaḥ
vayupurana_01_frame-and-cosmogony_iast	other	sivapurana,skandapurana,vamanapurana	prapadye devamīśānaṃ śāśvataṃ dhruvamavyayam
vayupurana_01_frame-and-cosmogony_iast	other	harivamsa,saurapurana,sivapurana,skandamahapurana,skandapurana,vamanapurana	mahādevaṃ mahātmānaṃ sarvasya jagataḥ patim
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,kurmapurana,sivapurana,skandamahapurana,vayu	brahmāṇaṃ lokakarttāraṃ sarvajñamaparājitam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	ya imān paśyate bhāvānnityaṃ sadasadātmakān
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	āviśanti punastaṃ vai kriyābhāvārthamīśvaram
vayupurana_01_frame-and-cosmogony_iast	ppl	agnipurana,bhavisyapurana,brahmandapurana,brahmapurana,harivamsa,kirfel,kurmapurana,lingapurana,mahabharata,markandeyapurana,matsyapurana,padmapurana,ramayana,sivadharmasastra,sivapurana,skandamahapurana,skandapurana,vamanapurana,vayu,visnudharma	asṛjat sarvabhūtāni sthāvarāṇi carāṇi ca
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	tamajaṃ viśvakarmāṇaṃ citpatiṃ lokasākṣiṇam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	purāṇākhyānajijñāsurvrajāmi śaraṇaṃ prabhum
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	ṛṣīṇāñca variṣṭāya vasiṣṭāya mahātmane
vayupurana_01_frame-and-cosmogony_iast	other	sivapurana	dharmārthanyāyasaṃyuktairāgamaiḥ suvibhūṣitam
vayupurana_01_frame-and-cosmogony_iast	other	mahabharata,sivapurana	ṛṣayaḥ saṃśitātmānaḥ satyavrataparāyaṇāḥ
vayupurana_01_frame-and-cosmogony_iast	other	mahabharata	ṛjavo naṣṭarajasaḥ śāntā dāntā jitendriyāḥ
vayupurana_01_frame-and-cosmogony_iast	other	sivapurana	śiṣyo babhūva medhāvī triṣu lokeṣu viśrutaḥ
vayupurana_01_frame-and-cosmogony_iast	other	kalikapurana	dharmārthakāmamokṣārthāḥ kathā yasmin pratiṣṭitāḥ
vayupurana_01_frame-and-cosmogony_iast	other	lingapurana,padmapurana	abhigamyopasaṃsṛtya namaskṛtya kṛtāñjaliḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	toṣayāmāsa medhāvī praṇipātena tānṛṣīn
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	te cāpi sartriṇaḥ prītāḥ sasadasyā mahaujasaḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	atha teṣāṃ purāṇasya śuśrūṣā samapadyata
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	dṛṣṭvā tamātiviśvastaṃ vidvāṃsaṃ lomaharṣaṇam
vayupurana_01_frame-and-cosmogony_iast	other	brahmapurana,devipurana,harivamsa,mahabharata,padmapurana,ramayana,sivapurana,vamanapurana,visnudharma	tasmin satre gṛhapatiḥ sarvaśāstraviśāradaḥ
vayupurana_01_frame-and-cosmogony_iast	other	kurmapurana,padmapurana	itihāsapurāṇārthaṃ vyāsaḥ samyagupāsitaḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	dudoha vai matiṃ tasya tvaṃ purāṇāśrayāṃ kathām
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	śuśrūṣāsti mahābuddhe tacchrāvayitumarhasi
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	sarve hīme mahātmāno nānā gotrāḥ samāgatāḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	svān svān vaṃśān purāṇaistu śrṛṇuyurbrahmavādinaḥ
vayupurana_01_frame-and-cosmogony_iast	other	harivamsa,padmapurana	purāṇārthaṃ purāṇajñaiḥ satyavrataparāyaṇaiḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	svadharma eṣa sūtasya sadbhirdṛṣṭaḥ purātanaiḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,mahabharata,padmapurana,vayu	devatānāmṛṣīṇāñca rājñāñcāmitatejasām
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	vaṃśānāṃ dhāraṇaṃ kāryaṃ śrutānāñca mahātmanām
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	itihāsapurāṇeṣu diṣṭā ye brahmavādibhiḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	na hi vedeṣvadhikāraḥ kaśvit sūtasya dṛśyate
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,vayu	aindreṇa haviṣā tatra haviḥ pṛktaṃ bṛhaspateḥ
vayupurana_01_frame-and-cosmogony_iast	ppl	kirfel,vayu	juhāvendrāya devāya tataḥ sūto vyajāyata
vayupurana_01_frame-and-cosmogony_iast	ppl	kirfel,vayu	pramādāttatra sañjajñe prāyaścittañca karmasu
vayupurana_01_frame-and-cosmogony_iast	ppl	kirfel,vayu	adharottaracāreṇa jajñe tadvarṇavaikṛtaḥ
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,padmapurana,vayu	tataḥ pūrveṇa sādharmyāttulyadharmā prakīrttitaḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana,sivapurana	kasmāt samyaṅna vibrūyāṃ purāṇamṛṣipūjitam
