Source,Target,Weight,Type
000_vivarana_unsandhied,Abhinavagupta_Paramarthasara_segmented_complete,1,undirected
000_vivarana_unsandhied,Abhinavagupta_Tantraloka_segmented_complete,2,undirected
000_vivarana_unsandhied,Nagarjuna_YuktSast_segmented_complete,3,undirected
001_LalitaBhasya_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
001_LalitaBhasya_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
001_LalitaBhasya_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
002_Pseudosankara_Sanatsujatiya_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
002_Pseudosankara_Sanatsujatiya_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
002_Pseudosankara_Sanatsujatiya_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
003_Pseudosankara_SvUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
003_Pseudosankara_SvUBh_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
003_Pseudosankara_SvUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Samkhyaparibhasa_segmented_complete,1,undirected
006_Sankara_ AiUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
006_Sankara_ AiUBh_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
006_Sankara_ AiUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
007_Sankara_BhGBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
007_Sankara_BhGBh_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
007_Sankara_BhGBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
008_Sankara_IUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
008_Sankara_IUBh_segmented_complete,Nagarjuna_SuSapt_segmented_complete,1,undirected
008_Sankara_IUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
009_Sankara_KeUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
009_Sankara_KeUBh_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
009_Sankara_KeUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
010_Sankara_KeUBhVakya_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
010_Sankara_KeUBhVakya_segmented_complete,Nagarjuna_SuSapt_segmented_complete,1,undirected
010_Sankara_KeUBhVakya_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
011_Sankara_ChUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
011_Sankara_ChUBh_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
011_Sankara_ChUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
011_Sankara_ChUBh_segmented_complete,Sankara_BAUBh_segmented_complete,1,undirected
012_Sankara_KaUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,1,undirected
012_Sankara_KaUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,2,undirected
012_Sankara_KaUBh_segmented_complete,Sankara_KaUBh_segmented_complete,3,undirected
013_Sankara_ManUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
013_Sankara_ManUBh_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
013_Sankara_ManUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
014_Sankara_MunUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
014_Sankara_MunUBh_segmented_complete,Nagarjuna_SuSapt_segmented_complete,1,undirected
014_Sankara_MunUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
015_Sankara_NrsTBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
015_Sankara_NrsTBh_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,1,undirected
015_Sankara_NrsTBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
016_Sankara_PrasUBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,1,undirected
016_Sankara_PrasUBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,2,undirected
016_Sankara_PrasUBh_segmented_complete,Sankara_PrasUBh_segmented_complete,3,undirected
018_HastaBh_HastaBh_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,2,undirected
018_HastaBh_HastaBh_segmented_complete,Nagarjuna_SuSapt_segmented_complete,1,undirected
018_HastaBh_HastaBh_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
Abhinavagupta_IsvPrV_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,1,undirected
Abhinavagupta_IsvPrV_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,2,undirected
Abhinavagupta_IsvPrV_segmented_complete,Nagarjuna_YuktSast_segmented_complete,3,undirected
Abhinavagupta_IsvPrV_segmented_complete,Udayana_Nyayavarttikatatparyaparisuddhi_segmented_1.1_1.2,1,undirected
Abhinavagupta_IsvPrV_segmented_complete,Vacaspati_Nyayasutravarttikatatparyatika_segmented_complete,1,undirected
Abhinavagupta_Paramarthasara_segmented_complete,000_vivarana_unsandhied,1,undirected
Abhinavagupta_Paramarthasara_segmented_complete,001_LalitaBhasya_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,002_Pseudosankara_Sanatsujatiya_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,003_Pseudosankara_SvUBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,004_Pseudosankara_Visnusahasranama_unsegmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,005_Sankara_Adhyatmapatala_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,006_Sankara_ AiUBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,007_Sankara_BhGBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,008_Sankara_IUBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,009_Sankara_KeUBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,010_Sankara_KeUBhVakya_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,011_Sankara_ChUBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,012_Sankara_KaUBh_segmented_complete,1,undirected
Abhinavagupta_Paramarthasara_segmented_complete,013_Sankara_ManUBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,014_Sankara_MunUBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,015_Sankara_NrsTBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,016_Sankara_PrasUBh_segmented_complete,1,undirected
Abhinavagupta_Paramarthasara_segmented_complete,018_HastaBh_HastaBh_segmented_complete,2,undirected
Abhinavagupta_Paramarthasara_segmented_complete,Abhinavagupta_IsvPrV_segmented_complete,1,undirected
