Source,Target,Weight,Type
000_vivarana_unsandhied,007_Sankara_BhGBh_segmented_complete,9,undirected
000_vivarana_unsandhied,013_Sankara_ManUBh_segmented_complete,2,undirected
000_vivarana_unsandhied,Bhaskara_BhGBh_segmented,10,undirected
000_vivarana_unsandhied,Candrakirti_Bodhisattvayogacaracatuhsatakatika_segmented_complete,1,undirected
000_vivarana_unsandhied,Dharmakirti_Hetubindu_segmented,7,undirected
000_vivarana_unsandhied,Dharmakirti_Vadanyaya_segmented,5,undirected
000_vivarana_unsandhied,Kamalasila_Bhavanakrama_segmented_complete,6,undirected
000_vivarana_unsandhied,Kumarila_Tantravartika2.2.1-4_segmented,2,undirected
000_vivarana_unsandhied,Mathara_Matharavrtti_segmented_complete,3,undirected
000_vivarana_unsandhied,Padmapada_Pancapadika_segmented_complete,30,undirected
000_vivarana_unsandhied,Sankara_bsbh_unsandhied,5,undirected
000_vivarana_unsandhied,Sarvamatasamgraha_segmented_complete,3,undirected
000_vivarana_unsandhied,Vatsyayana_Nyayasutrabhasya_segmented_complete,10,undirected
000_vivarana_unsandhied,Yamuna_ Isvarasiddhi_segmented,3,undirected
000_vivarana_unsandhied,Yamuna_Atmasiddhi_segmented_complete,8,undirected
000_vivarana_unsandhied,Yamuna_Samvitsiddhi_segmented_complete,1,undirected
000_vivarana_unsandhied,Yuktidipika_segmented_complete,11,undirected
001_LalitaBhasya_segmented_complete,Dharmakirti_Nyayabindu_segmented,12,undirected
001_LalitaBhasya_segmented_complete,Kumarila_Tantravartika2.2.1-4_segmented,6,undirected
001_LalitaBhasya_segmented_complete,Padmapada_Pancapadika_segmented_complete,3,undirected
001_LalitaBhasya_segmented_complete,Prasastapada_Padarth_segmented_complete,1,undirected
001_LalitaBhasya_segmented_complete,Sadananda_Vedantasara_segmented_complete,11,undirected
001_LalitaBhasya_segmented_complete,Sarvamatasamgraha_segmented_complete,9,undirected
002_Pseudosankara_Sanatsujatiya_segmented_complete,003_Pseudosankara_SvUBh_segmented_complete,30,undirected
002_Pseudosankara_Sanatsujatiya_segmented_complete,012_Sankara_KaUBh_segmented_complete,5,undirected
002_Pseudosankara_Sanatsujatiya_segmented_complete,Bhaskara_BhGBh_segmented,10,undirected
003_Pseudosankara_SvUBh_segmented_complete,002_Pseudosankara_Sanatsujatiya_segmented_complete,30,undirected
003_Pseudosankara_SvUBh_segmented_complete,012_Sankara_KaUBh_segmented_complete,14,undirected
003_Pseudosankara_SvUBh_segmented_complete,Ramanuja_BhGBh_segmented_complete,4,undirected
003_Pseudosankara_SvUBh_segmented_complete,Ramanuja_Sribhasya_segmented_part,4,undirected
003_Pseudosankara_SvUBh_segmented_complete,Sankara_KaUBh_segmented_complete,9,undirected
003_Pseudosankara_SvUBh_segmented_complete,Vijnanabhiksu_Samkhyasara_segmented_complete,5,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,014_Sankara_MunUBh_segmented_complete,20,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Asanga_Abhidharmasmuccaya_segmented_complete,10,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Mathara_Matharavrtti_segmented_complete,5,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Samkhyaparibhasa_segmented_complete,1,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Suresvara_BAUBhV_segmented_Arthabhaga_Ajatasatru_Maitreyi,1,undirected
004_Pseudosankara_Visnusahasranama_unsegmented_complete,Suresvara_TaittUBhV_segmented_complete,8,undirected
005_Sankara_Adhyatmapatala_segmented_complete,006_Sankara_ AiUBh_segmented_complete,2,undirected
005_Sankara_Adhyatmapatala_segmented_complete,007_Sankara_BhGBh_segmented_complete,1,undirected
005_Sankara_Adhyatmapatala_segmented_complete,008_Sankara_IUBh_segmented_complete,1,undirected
005_Sankara_Adhyatmapatala_segmented_complete,010_Sankara_KeUBhVakya_segmented_complete,2,undirected
005_Sankara_Adhyatmapatala_segmented_complete,016_Sankara_PrasUBh_segmented_complete,9,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Sankara_bsbh_unsandhied,1,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Sankara_PrasUBh_segmented_complete,4,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Sankara_TaittUBh_segmented_complete,15,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Venkathanatha_Nyayaparisuddhi_segmented,6,undirected
005_Sankara_Adhyatmapatala_segmented_complete,Vijnanabhiksu_Samkhyasara_segmented_complete,11,undirected
006_Sankara_ AiUBh_segmented_complete,005_Sankara_Adhyatmapatala_segmented_complete,2,undirected
006_Sankara_ AiUBh_segmented_complete,016_Sankara_PrasUBh_segmented_complete,8,undirected
006_Sankara_ AiUBh_segmented_complete,018_HastaBh_HastaBh_segmented_complete,6,undirected
006_Sankara_ AiUBh_segmented_complete,Madhusudana_Siddhantabindu_segmented_complete,6,undirected
006_Sankara_ AiUBh_segmented_complete,Sankara_BAUBh_segmented_complete,30,undirected
006_Sankara_ AiUBh_segmented_complete,Sankara_PrasUBh_segmented_complete,4,undirected
