,001_LalitaBhasya_segmented_complete,002_Pseudosankara_Sanatsujatiya_segmented_complete,003_Pseudosankara_SvUBh_segmented_complete,004_Pseudosankara_Visnusahasranama_unsegmented_complete,005_Sankara_Adhyatmapatala_segmented_complete,006_Sankara_ AiUBh_segmented_complete,007_Sankara_BhGBh_segmented_complete,008_Sankara_IUBh_segmented_complete,009_Sankara_KeUBh_segmented_complete,010_Sankara_KeUBhVakya_segmented_complete,011_Sankara_ChUBh_segmented_complete,012_Sankara_KaUBh_segmented_complete,013_Sankara_ManUBh_segmented_complete,014_Sankara_MunUBh_segmented_complete,015_Sankara_NrsTBh_segmented_complete,016_Sankara_PrasUBh_segmented_complete,017_YSBhV_unsegmented_excerpt,018_HastaBh_HastaBh_segmented_complete,Abhinavagupta_IsvPrV_segmented_complete,Abhinavagupta_Paramarthasara_segmented_complete,Abhinavagupta_Tantraloka_segmented_complete,Annambhatta_Tarkasamgraha_segmented_complete,Asanga_Abhidharmasmuccaya_segmented_complete,Bhaskara_BhGBh_segmented,Candrakirti_Bodhisattvayogacaracatuhsatakatika_segmented_complete,Candrakirti_Prasannapada_segmented_complete,Dharmakirti_Hetubindu_segmented,Dharmakirti_Nyayabindu_segmented,Dharmakirti_Pramanavartika_segmented_complete,Dharmakirti_Vadanyaya_segmented,Gangesa_Tattvacintamani_segmented,Jayarasi_Tattvopaplavasimha_segmented_complete,Kamalasila_Bhavanakrama_segmented_complete,Kamalasila_Madhyamakaloka_segmented_complete,Kavirajayati_Samkhyatattvapradipa_segmented_complete,Kumarila_MimSV5.4-9_segmented,Kumarila_Tantravartika2.2.1-4_segmented,Madhusudana_Advaitasiddhi_segmented_complete,Madhusudana_Siddhantabindu_segmented_complete,Madhva_Anuvyakhyana_segmented_complete,Mandana_Brahmasiddhi_prose,Mandana_Karikas_complete,Mandana_Vibhramaviveka_segmented_complete,Mathara_Matharavrtti_segmented_complete,Nagarjuna_MMK_segmented_complete,Nagarjuna_SuSapt_segmented_complete,Nagarjuna_VigV_segmented_complete,Nagarjuna_YuktSast_segmented_complete,Padmapada_Pancapadika_segmented_complete,Prasastapada_Padarth_segmented_complete,Ramanuja_BhGBh_segmented_complete,Ramanuja_Sribhasya_segmented_part,Ramanuja_Vedarth_segmented_complete,Sabara_MimSBh_segmented_1_7,Sadananda_Vedantasara_segmented_complete,Samkhyaparibhasa_segmented_complete,Sankara_BAUBh_segmented_complete,Sankara_BSBh_segmented_complete,Sankara_TaittUBh_segmented_complete,Sankara_Upad_Gadya_segmented_complete,Sarvamatasamgraha_segmented_complete,Sthiramati_Tvbh_segmented_complete,Suresvara_BAUBhV_segmented_Arthabhaga_Ajatasatru_Maitreyi,Suresvara_Naiskarmyasiddhi_segmented_complete,Suresvara_TaittUBhV_segmented_complete,Totaka_Sruti_segmented_complete,Udayana_Nyayakusumanjali_segmented_complete,Udayana_Nyayavarttikatatparyaparisuddhi_segmented_1.1_1.2,Vacaspati_Bhamati_segmented_complete,Vacaspati_Nyayasutravarttikatatparyatika_segmented_complete,Vasubandhu_AbhidhKBh_segmented_complete,Vasubandhu_Madhyantavibhagakarikabhasya_segmented_complete,Vasubandhu_MahaySABh_segmented_complete,Vasubandhu_VimsatikaKVr_segmented_complete copy,Vatsyayana_Nyayasutrabhasya_segmented_complete,Vedantaparibhasa_segmented_complete,Venkathanatha_Nyayaparisuddhi_segmented,Vijnanabhiksu_Samkhyasara_segmented_complete,Vimuktatman_Istasiddhi_segmented,vivarana_unsandhied,Yamuna_ Isvarasiddhi_segmented,Yamuna_Atmasiddhi_segmented_complete,Yamuna_Samvitsiddhi_segmented_complete,Yuktidipika_segmented_complete
vivarana_unsandhied,0.722843795036134,0.741369693807197,0.631875781388466,0.627903769041253,0.718508156305215,0.686305265713516,0.561233709709502,0.840308381654644,0.772507994686469,0.964623988619246,0.536651194946433,0.65646514168275,0.682039360199347,0.774521782554214,0.814839888532479,0.786476879137421,0.692585011433512,1.14526008725846,0.621969904807872,0.693076657063808,0.612464466373911,0.934625623035351,0.68616507463971,0.57287084530458,0.746125190013675,0.904531971451698,0.930496326759608,1.11049693069515,0.586391044168327,0.731339738603359,0.862308583659318,0.839302500097741,0.626419782334898,0.80793369366971,0.736748578242117,0.837202901530359,0.710073545106349,0.879481472376905,0.823145827915975,0.68936547896009,0.724103946283428,0.808515716737717,0.779517164695333,0.75324578039906,0.706881128899819,0.762895249475918,0.975568736674783,0.73522138940026,0.499383899893029,0.786521481250406,0.653501745741296,0.651174508239929,0.872788896478462,1.01110283746165,1.14560185626907,0.85339158162482,0.51100946321204,0.479243417257455,0.615844465706299,0.852451559176312,0.771705799752282,0.70899269713559,0.634613625748948,0.709060705662589,0.663002788346973,0.887904765048537,0.896798136911464,1.28752018873462,0.749645055962753,0.872694069787946,0.622850377248917,0.842465409344037,0.730189480399582,0.739322543820026,0.606767433871469,0.913491733604865,0.665549113721951,0.678137469128017,0.870490848388477,0,1.01853086708923,0.835938355181712,0.868787973500517,0.684741855909665
Sankara_BSBh_segmented_complete,0.689186292117441,0.694825971314748,0.562829102336255,0.535777248053468,0.561729382252125,0.571967168090036,0.528872848309809,0.803738450230225,0.722617600053703,0.892206012169296,0.47019210916801,0.630048507565504,0.642173310496973,0.74549250201738,0.671650662020189,0.735079509691907,0.751959903430765,1.01528767257029,0.563749214414693,0.597843805026296,0.528814883089283,0.869344848028049,0.637828996347484,0.494609751419991,0.686885915812894,0.860314066729274,1.07008378728602,1.12155317532906,0.552361143073172,0.71750183064539,0.785247230460051,0.808992403674043,0.557145057490908,0.842013918012141,0.653459463424484,0.677788639311995,0.747304356038683,0.812991257931897,0.799274769105559,0.602369309603123,0.575940971338535,0.660365138346344,0.67802280161243,0.713533653166695,0.646518511664537,0.642376828554997,0.809946542929771,0.61206723246537,0.499596228958484,0.684120451291125,0.528915093699634,0.526728362977715,0.649184356753467,0.897797957992095,1.0663312922409,0.675655593148772,0.461856016111614,0,0.576820435648697,0.757181154181611,0.760665982809699,0.71992731235571,0.523046313516511,0.562723258400367,0.562635274678658,0.708264084625706,0.812562097262503,1.27198200537343,0.629445883347438,0.867038448102934,0.645839937244173,0.755576019758477,0.68074182409076,0.701753933644842,0.590687887891781,0.911120127988213,0.579259872646062,0.62661184171679,0.816765122542569,0.479243417257455,0.930579699461644,0.751002293174287,0.822335995570623,0.692893439288507
Padmapada_Pancapadika_segmented_complete,0.629511428473869,0.718173795504779,0.614969259804122,0.565638320715875,0.653786872793216,0.597953326775067,0.562731852043326,0.827145732971311,0.7460739953884,0.871734171750877,0.573651793882785,0.679945743563117,0.736626076301481,0.691588313267177,0.722832238101194,0.792272034395843,0.758163718891631,1.1220336194168,0.611113023098795,0.635770933361121,0.554162112984554,0.924459398113227,0.604289230931933,0.52696251373897,0.778929423091091,0.870925593199907,0.958686300262886,1.07515238974292,0.4960475250003,0.72100815652128,0.763801718682999,0.672102174809472,0.56212649366061,0.812990819065607,0.674086075893538,0.676244844175406,0.749806123959143,0.778002142437425,0.758478571427603,0.606958878212935,0.533878156832436,0.653716001173351,0.712339638199954,0.709855489872216,0.665928897045787,0.668711109345688,0.898464586681347,0.64184538012443,0,0.745080461087807,0.59257696991758,0.58774726304408,0.830031781186071,0.965305524987246,1.00162620464858,0.746894327087799,0.473134552855527,0.499596228958484,0.604987225297923,0.732706509412716,0.73152741859082,0.697518562431089,0.543973080508743,0.600084246455991,0.569860450303889,0.799993816632745,0.824723602324694,1.15561109254296,0.662439508886393,0.880946617330687,0.545606078520778,0.788242352524434,0.675282065799613,0.706555000627729,0.678998603050693,0.875650789769296,0.497264090343135,0.644310375100548,0.820724141773074,0.499383899893029,0.965967465803379,0.762536597514025,0.82656597880839,0.701117946687762
Sankara_BAUBh_segmented_complete,0.641006448871198,0.62202472225555,0.543648006601459,0.487025725608289,0.58863022352417,0.440352917327908,0.394416306137135,0.680475463280102,0.66736904390263,0.825377212354134,0.352537489584867,0.525325328116523,0.616717466278845,0.5731208773309,0.590918357328064,0.56753513732902,0.761409343298646,0.912016067903214,0.622952046612705,0.542900141693468,0.466974518906726,0.818871552377315,0.590747839609985,0.45396993210543,0.705848508026574,0.880500463443122,0.985645748667775,1.10215987521892,0.499132192999978,0.74217432734321,0.771989222706407,0.76154320475141,0.511376265605981,0.786057193138795,0.677844637247802,0.705042881677967,0.718139759722989,0.850168542450886,0.770903778342466,0.565047716406747,0.608761154226686,0.656792712903513,0.620701359949027,0.715819817289772,0.582858521516397,0.588050058200386,0.87857439504261,0.55568926584922,0.473134552855527,0.688463629597991,0.49095094361306,0.491328763600552,0.721588827478886,0.865969379295675,0.994281953317003,0.689255760494314,0,0.461856016111614,0.44842255755239,0.71905063734303,0.754629550381231,0.629821444924627,0.436204830203333,0.591878351451956,0.507573352276532,0.746305349956787,0.84411561836437,1.32544075459543,0.704084702050201,0.955074038419578,0.58874295451892,0.705588072556628,0.605199893488634,0.671182339264095,0.617124211376291,0.879923002441657,0.572613019678047,0.587805456337854,0.85361476236682,0.51100946321204,0.916884737466408,0.753124460816587,0.731764331814573,0.675258635237646
011_Sankara_ChUBh_segmented_complete,0.632176414686244,0.536893324409019,0.517057184658571,0.438900187555696,0.5417831500684,0.494794063301572,0.383860326770093,0.615586888471442,0.639017402033525,0.839347931404365,0,0.478224966409388,0.499236660889578,0.586338038429904,0.551999746464253,0.622188054999966,0.770779157776321,1.01847990057865,0.653048838263246,0.518542547431415,0.455427043360008,0.805614107963968,0.57696080461327,0.450959676614229,0.765134046971987,0.878596222838997,1.11290661359076,1.07423468454041,0.517604497405018,0.788370486965633,0.89894324085475,0.882584834122529,0.507447445335299,0.810532142871088,0.671393889505863,0.767732901434451,0.684533536657685,0.971265371196066,0.80806283626614,0.563617683919541,0.726502115300784,0.655763869487638,0.617528017911322,0.717478688067969,0.553057961285592,0.559109261049864,0.856199234982461,0.526369813945107,0.573651793882785,0.707565000095826,0.449391091355402,0.453999736932357,0.693564289901507,0.861722910489939,0.968977341702724,0.66025739504231,0.352537489584867,0.47019210916801,0.518972678384996,0.856487907935914,0.800410348661632,0.637167342918462,0.424569606685679,0.615839511045853,0.497571931644071,0.733202865179312,0.931267269346333,1.3710856825713,0.714250955196481,0.979124194928942,0.654410708152737,0.688596279727345,0.619266369323675,0.63587830285887,0.653823658870095,0.944575938488071,0.664747116608958,0.58722774394851,0.902349382271981,0.536651194946433,0.925294715545423,0.8670307702976,0.717135809467182,0.75569889786634
007_Sankara_BhGBh_segmented_complete,0.578472070561885,0.515247466895569,0.514531899808694,0.426823188836378,0.520547112784986,0.529736236367724,0,0.616858914602442,0.692174488728161,0.816632769734504,0.383860326770093,0.454124642709354,0.573656421275386,0.548157366209269,0.574690380137918,0.639302574812087,0.841835251180938,0.944838812248401,0.61018349377342,0.498889910667417,0.45037354822584,0.802268963065269,0.518455797578212,0.392830072694335,0.720484507994515,0.817461454669711,0.999298330785801,1.08500039245356,0.512790796107297,0.702403660122585,0.833193252999331,0.842338355352902,0.487143888119813,0.792598627487657,0.687769815420074,0.737194256063872,0.707298640785797,0.932897430106707,0.722089656170132,0.539442920045075,0.675782809375185,0.658981888688859,0.586464955697019,0.651184864123364,0.512430196328854,0.534013524858636,0.882662812370518,0.508174000006531,0.562731852043326,0.697992347006233,0.437999327023281,0.44259583598744,0.66191981717045,0.926690113750604,0.960545451796355,0.648662439881015,0.394416306137135,0.528872848309809,0.499349708645469,0.769933815198859,0.724734879350864,0.614779105650738,0.487794380258247,0.569694258270253,0.456402230246706,0.707873776892558,0.914453418073733,1.31693515346295,0.684419568721603,0.901743321206013,0.584358109904203,0.612029820150147,0.559941005565537,0.70562974006833,0.547413580420809,0.913646231246783,0.621208681377108,0.552161895307385,0.850720758092779,0.561233709709502,0.880214768902965,0.854822232884068,0.678360776159367,0.672123216553255
Bhaskara_BhGBh_segmented,0.584934135160511,0.482021035396882,0.444248220884852,0.403882695988098,0.564177742281664,0.590131701365635,0.392830072694335,0.667217097156808,0.770903028940084,0.769686355530081,0.450959676614229,0.519548570083287,0.606788455140654,0.651827948639923,0.541937407923778,0.691893877560838,0.820878295859523,0.912037033066785,0.532646267285853,0.42230507740384,0.392355703046729,0.721350002347998,0.460899595640863,0,0.630455494552186,0.727356622092349,0.93377316629712,0.962714589651469,0.462155559590225,0.622439259306221,0.789513979849071,0.721939242746894,0.382693652736306,0.732000256989872,0.58289893980415,0.626483974011864,0.692711808812955,0.857601672005076,0.696433680590488,0.515264586343297,0.576763096662826,0.592698548226767,0.502854928060909,0.573662129619862,0.41437990924435,0.473189266635808,0.791939611392287,0.443429579178146,0.52696251373897,0.59158236488777,0.415373908059874,0.419597344440047,0.688302625648318,0.873965737854843,0.907666744064206,0.582347469301002,0.45396993210543,0.494609751419991,0.427730997093477,0.772439357859872,0.652471467633186,0.5867063005026,0.428315406444641,0.546893004571656,0.40237059211713,0.628640049470423,0.771243664749387,1.18942669581355,0.535796691123571,0.804515951071025,0.527574943728715,0.573460877406315,0.517201940888858,0.594725720224148,0.519438990328855,0.865997067618075,0.547218093173287,0.475196003295431,0.749945109343363,0.57287084530458,0.752074880403893,0.700283866806583,0.569151032338161,0.614479318569896
Dharmakirti_Pramanavartika_segmented_complete,0.487725435494851,0.521548804840064,0.460790798223159,0.355894653180973,0.445792998128117,0.517112089305288,0.512790796107297,0.72748353313299,0.715736850297666,0.740743478710229,0.517604497405018,0.510769255458035,0.651335292923553,0.603256938581347,0.499744714899652,0.63659440065296,0.778734841467382,0.897597722400564,0.489433694960922,0.346754052718728,0.291766443028568,0.636445847056303,0.397048399354329,0.462155559590225,0.666081715286655,0.752024293940963,0.8154711080762,0.889634754247468,0,0.594681900425882,0.727795740633371,0.603846065065831,0.343491021641496,0.629191038341587,0.495286141223813,0.566151744346631,0.690871040636806,0.867008771588957,0.706819001968124,0.392474755443481,0.55823714152065,0.475386818124956,0.422973800242555,0.596348389416623,0.373899831268048,0.383952051116368,0.792332770102568,0.367279528487191,0.4960475250003,0.539524432074858,0.419756801874093,0.420243868122991,0.657124659456028,0.9226067645555,0.814022579746323,0.477270875778776,0.499132192999978,0.552361143073172,0.468601130086013,0.68631386592839,0.593717345442087,0.454009511293501,0.3658189820445,0.519679628605037,0.317341506259975,0.539250024808086,0.762812115603699,1.30073063729176,0.684694132071471,0.905414838856214,0.425882340403112,0.49714751992992,0.468376067903036,0.503594460467234,0.549510104932605,0.759402514550484,0.481305958294624,0.427442574726667,0.705022883380802,0.586391044168327,0.736867051242205,0.653817009687321,0.507979453919126,0.631109406051826
Vatsyayana_Nyayasutrabhasya_segmented_complete,0.641366320079148,0.693377185632052,0.612636072054048,0.507437618103212,0.729605845789857,0.676587049090465,0.547413580420809,0.941646905610378,0.842975985906142,0.892176384990302,0.653823658870095,0.56882795798119,0.815270602804916,0.779743471358086,0.718395239921787,0.724103634189208,0.85957484811204,0.961042585221655,0.551960472087648,0.560182038960541,0.551974264282874,0.716880134680819,0.592677358463305,0.519438990328855,0.651162128158872,0.81726401384277,0.854436645418912,0.966443332398536,0.549510104932605,0.682697794474605,0.859519828545594,0.856201112668558,0.557722648383328,0.74444298044108,0.651569232086881,0.739227235740703,0.758129284831601,0.897576318995271,0.732534847900361,0.6051068654366,0.732652565532743,0.739219946892223,0.593877609246616,0.617454104338864,0.562525606636645,0.614248811267076,0.901890529371005,0.584699070559201,0.678998603050693,0.657429946931727,0.596019283139361,0.594158124477441,0.757144038162013,0.953231092306013,1.00740448326216,0.646005375919716,0.617124211376291,0.590687887891781,0.604280210332848,0.78868600556735,0.749814375703261,0.664370405696398,0.602804168451908,0.656734274525013,0.546672198341069,0.788908844634316,0.849590731303563,1.28041690493338,0.71959489156662,0.817575087652758,0.556327294165691,0.696063783534209,0.594684570952759,0.7382467790912,0,0.912381735412396,0.644554314778804,0.598621726911097,0.893486793242171,0.606767433871469,0.868526450095247,0.811361409513397,0.724542037674547,0.621037873734186
Abhinavagupta_Tantraloka_segmented_complete,0.383044435398965,0.403978945913661,0.365232082327334,0.247460121477753,0.441960224486524,0.46309769299981,0.45037354822584,0.597795997294757,0.676977706581423,0.645198994060868,0.455427043360008,0.453939432182242,0.639206361125133,0.564956930543862,0.369375545619133,0.602861584203658,0.756306186064577,0.779903951430007,0.448100565131673,0.143587234937432,0,0.477361834712871,0.269967290168511,0.392355703046729,0.555887435814925,0.703273051736873,0.858054369798885,0.798617003994383,0.291766443028568,0.56106603970528,0.693066252255613,0.646080181502397,0.208259801503159,0.605134977103166,0.407133107441663,0.539481887311464,0.630864105041219,0.84077772963607,0.565529663142336,0.308833728018725,0.595385373379785,0.368466633123015,0.234420167030791,0.498975557897841,0.242518982360943,0.187997001829638,0.674356845405185,0.153767227427848,0.554162112984554,0.507190267048634,0.301584627920112,0.30188571684094,0.540347738678902,0.815664347063788,0.688427064257982,0.346530515418108,0.466974518906726,0.528814883089283,0.47048650111926,0.619976953065943,0.572386077701717,0.399887484301777,0.285124129270448,0.411661939897005,0.283882187743752,0.414038984695663,0.810636764607643,1.41070784419335,0.685314362070394,1.04719967993798,0.401098158047846,0.428875578209225,0.378773895924844,0.428366427357997,0.551974264282874,0.817000003583379,0.54618024492044,0.308202890916941,0.642782779452858,0.612464466373911,0.64659937513296,0.674977492359908,0.395435332074038,0.599281871296426
