"","000_vivarana_unsandhied","001_LalitaBhasya_segmented_complete","002_Pseudosankara_Sanatsujatiya_segmented_complete","003_Pseudosankara_SvUBh_segmented_complete","004_Pseudosankara_Visnusahasranama_unsegmented_complete","005_Sankara_Adhyatmapatala_segmented_complete","006_Sankara_ AiUBh_segmented_complete","007_Sankara_BhGBh_segmented_complete","008_Sankara_IUBh_segmented_complete","009_Sankara_KeUBh_segmented_complete","010_Sankara_KeUBhVakya_segmented_complete","011_Sankara_ChUBh_segmented_complete","012_Sankara_KaUBh_segmented_complete","013_Sankara_ManUBh_segmented_complete","014_Sankara_MunUBh_segmented_complete","015_Sankara_NrsTBh_segmented_complete","016_Sankara_PrasUBh_segmented_complete","018_HastaBh_HastaBh_segmented_complete","Abhinavagupta_IsvPrV_segmented_complete","Abhinavagupta_Paramarthasara_segmented_complete","Abhinavagupta_Tantraloka_segmented_complete","Annambhatta_Tarkasamgraha_segmented_complete","Asanga_Abhidharmasmuccaya_segmented_complete","Bhaskara_BhGBh_segmented","Candrakirti_Bodhisattvayogacaracatuhsatakatika_segmented_complete","Candrakirti_Prasannapada_segmented_complete","Dharmakirti_Hetubindu_segmented","Dharmakirti_Nyayabindu_segmented","Dharmakirti_Pramanavartika_segmented_complete","Dharmakirti_Vadanyaya_segmented","Gangesa_Tattvacintamani_segmented","Jayarasi_Tattvopaplavasimha_segmented_complete","Kamalasila_Bhavanakrama_segmented_complete","Kamalasila_Madhyamakaloka_segmented_complete","Kavirajayati_Samkhyatattvapradipa_segmented_complete","Kumarila_MimSV5.4-9_segmented","Kumarila_Tantravartika2.2.1-4_segmented","Madhusudana_Advaitasiddhi_segmented_complete","Madhusudana_Siddhantabindu_segmented_complete","Madhva_Anuvyakhyana_segmented_complete","Mandana_Brahmasiddhi_prose","Mandana_Karikas_complete","Mandana_Vibhramaviveka_segmented_complete","Mathara_Matharavrtti_segmented_complete","Nagarjuna_MMK_segmented_complete","Nagarjuna_SuSapt_segmented_complete","Nagarjuna_VigV_segmented_complete","Nagarjuna_YuktSast_segmented_complete","Padmapada_Pancapadika_segmented_complete","Prasastapada_Padarth_segmented_complete","Ramanuja_BhGBh_segmented_complete","Ramanuja_Sribhasya_segmented_part","Ramanuja_Vedarth_segmented_complete","Sabara_MimSBh_segmented_1_7","Sadananda_Vedantasara_segmented_complete","Samkhyaparibhasa_segmented_complete","Sankara_BAUBh_segmented_complete","Sankara_bsbh_unsandhied","Sankara_KaUBh_segmented_complete","Sankara_PrasUBh_segmented_complete","Sankara_TaittUBh_segmented_complete","Sankara_Upad_Gadya_segmented_complete","Sarvamatasamgraha_segmented_complete","Sthiramati_Tvbh_segmented_complete","Suresvara_BAUBhV_segmented_Arthabhaga_Ajatasatru_Maitreyi","Suresvara_Naiskarmyasiddhi_segmented_complete","Suresvara_TaittUBhV_segmented_complete","Totaka_Sruti_segmented_complete","Udayana_Nyayakusumanjali_segmented_complete","Udayana_Nyayavarttikatatparyaparisuddhi_segmented_1.1_1.2","Vacaspati_Bhamati_segmented_complete","Vacaspati_Nyayasutravarttikatatparyatika_segmented_complete","Vasubandhu_AbhidhKBh_segmented_complete","Vasubandhu_Madhyantavibhagakarikabhasya_segmented_complete","Vasubandhu_MahaySABh_segmented_complete","Vasubandhu_VimsatikaKVr_segmented_complete copy","Vatsyayana_Nyayasutrabhasya_segmented_complete","Vedantaparibhasa_segmented_complete","Venkathanatha_Nyayaparisuddhi_segmented","Vijnanabhiksu_Samkhyasara_segmented_complete","Vimuktatman_Istasiddhi_segmented","Yamuna_ Isvarasiddhi_segmented","Yamuna_Atmasiddhi_segmented_complete","Yamuna_Samvitsiddhi_segmented_complete","Yuktidipika_segmented_complete"
"000_vivarana_unsandhied",0,0.569916038531595,0.599226558309396,0.564597102791552,0.555789814279707,0.668192537269073,0.679016962347142,0.576948687183253,0.779857019950583,0.716510339399107,0.721061050889193,0.555604469786543,0.672535674043148,0.623207936695861,0.653285392953112,0.552943779321252,0.686155734654723,0.762054487478867,0.524006825156126,0.525292391251864,0.470648204721767,0.809281382316778,0.519083945665491,0.52980904105818,0.65590109801577,0.671935291567907,0.765085905438613,0.773088064600032,0.522552920043182,0.716288765342474,0.71928059920932,0.621462085419883,0.550131973044535,0.605240165785645,0.716548640942529,0.678038837022049,0.75883423576344,0.733839046493459,0.788867590415299,0.500485493797929,0.667984203531802,0.68207458677556,0.608485959489977,0.621711288915664,0.610458259634476,0.588280812873382,0.707166283923051,0.501992503314913,0.595013939234927,0.650843388293307,0.593145834765503,0.589492833390262,0.715458889149323,0.782016771054727,0.683594850198889,0.603171000909118,0.489241306688764,0.607998427105419,0.672535674043148,0.686155734654723,0.645379030242862,0.756497908906428,0.740679308987972,0.624611778935177,0.525255497574462,0.603072266932914,0.56916612946723,0.616052908259888,0.754984616248965,0.87154897031191,0.67882786902555,0.77356203007581,0.605566042439363,0.627276804154123,0.536438718099144,0.624210744602835,0.651764170945484,0.773915556721115,0.597112729830812,0.610400534789409,0.664955709453246,0.760899166444345,0.723504990430505,0.673355706666323,0.637246741851549
"001_LalitaBhasya_segmented_complete",0.569916038531595,0,0.453918508360814,0.38681283588379,0.339042044717214,0.467863318525618,0.522209964918323,0.49922339707341,0.552229908972018,0.545584075003492,0.518878481767024,0.470613391970826,0.50268005085053,0.570264315834921,0.462954572257281,0.359086331389509,0.552087636828157,0.573766347278572,0.47228924869498,0.283348501709604,0.271571343280059,0.583240091958088,0.355812038363953,0.449273796358555,0.630847592210341,0.69132741604137,0.641102353208917,0.568359545259934,0.412047650638159,0.616191475315208,0.656515658071637,0.519363868582616,0.409085631724709,0.536218610946973,0.582872923106821,0.502600724808122,0.610081779558827,0.714083119588201,0.61604101552488,0.370207837366859,0.695593542360137,0.462912964715749,0.37857872106307,0.501130100146107,0.414487389602462,0.345170467938988,0.532871084821395,0.256208864744916,0.613046758847374,0.509321927206992,0.433488672365303,0.431161508290411,0.595823570295908,0.766168136951792,0.41848197940972,0.379616499625971,0.495609868329827,0.655429542703652,0.50268005085053,0.552087636828157,0.570920230423372,0.581663587690382,0.60480271123399,0.499547931897939,0.381083038455753,0.480535790707772,0.377820718965805,0.391730135518176,0.771552924450495,0.97884162360043,0.716070499113813,0.892943771196021,0.469963110470805,0.415899027519782,0.385934281577219,0.420121755943688,0.66343412724344,0.643425419035235,0.57616970502397,0.424404928183308,0.636597231390846,0.575346117312814,0.626837967850773,0.438592437478228,0.736104482175532
"002_Pseudosankara_Sanatsujatiya_segmented_complete",0.599226558309396,0.453918508360814,0,0.357918412821542,0.440285992285866,0.535515223019012,0.582207007442454,0.512276274920163,0.638044502896625,0.603650073310944,0.61464949056646,0.515813663465689,0.521616136162314,0.591039908627849,0.54454173567748,0.446127961663632,0.583803016700597,0.617422061229632,0.521533327202498,0.370884397673304,0.364222522887868,0.690351803323225,0.432948536087653,0.487174793561835,0.675128958925525,0.71882653778412,0.721347795127011,0.65327178198761,0.480849228332559,0.693279555566403,0.767071804587739,0.617138222590696,0.446253398311213,0.615120979994768,0.669120166994176,0.589021415102925,0.694686492689727,0.812175231965122,0.693013163904021,0.435787201320459,0.761144252437027,0.538762756452373,0.468964215185673,0.570776405583503,0.489802199118144,0.437492080088378,0.615093095149603,0.350184047987578,0.663863068644816,0.597096611645665,0.450581613295632,0.446735342955175,0.608838855233542,0.840284315875467,0.548924426332636,0.439732715756063,0.549508429683204,0.698976092185053,0.521616136162314,0.583803016700597,0.615765639224445,0.641993811794397,0.661030573969688,0.559054062931764,0.434319031374951,0.519999710126545,0.443955210154781,0.482625250226801,0.871041044432968,1.05654735378488,0.794594348603375,0.97220413337151,0.55306650964576,0.515282861970436,0.46813568338708,0.514953591442329,0.756253415721919,0.754813337687594,0.656264864681108,0.483891905716565,0.723505326785483,0.663200960675198,0.713697191124201,0.530699019211059,0.776814899227452
"003_Pseudosankara_SvUBh_segmented_complete",0.564597102791552,0.38681283588379,0.357918412821542,0,0.355796680792733,0.459360310193564,0.497371396265475,0.468619627204892,0.580238421360236,0.55471634982385,0.540030322002339,0.479614576548804,0.467753996212895,0.552952827421346,0.432609510532425,0.377476612409219,0.54022580944332,0.583155777961953,0.476861666947065,0.308827871149427,0.300447367216336,0.618118777500771,0.378219397664643,0.441286054127637,0.627116056710514,0.690517175774089,0.661230563031199,0.589351345444446,0.429705398750433,0.631317566998911,0.708992679248038,0.531285312621727,0.403212696627689,0.563383846014151,0.594715439520649,0.519596780565482,0.623280130284976,0.765526413904306,0.630633316917928,0.387755652545482,0.727895623506877,0.490631696997729,0.405979935639427,0.496066156468957,0.437478145227512,0.370371534857182,0.554725164407516,0.282813132613583,0.61288852806185,0.521382460420022,0.414590808210656,0.412615131222539,0.580671066647251,0.789365365127384,0.478739152171947,0.372370039464038,0.482824439687856,0.649758057545956,0.467753996212895,0.54022580944332,0.54849386525457,0.569663847586483,0.603687498197512,0.502123272955004,0.373135472006494,0.474284465229142,0.382382458604005,0.417207013653299,0.813039796962858,1.01828262911855,0.739782314175453,0.931882862972727,0.495919067712664,0.445341991295309,0.400076686526807,0.456521402010847,0.6914050293535,0.699747042017461,0.603684937087554,0.409513071832496,0.649788849809005,0.599051414543648,0.631316123006596,0.454352323271248,0.729315749748744
"004_Pseudosankara_Visnusahasranama_unsegmented_complete",0.555789814279707,0.339042044717214,0.440285992285866,0.355796680792733,0,0.439095926992097,0.511427863141724,0.472843335272466,0.566931315084307,0.493781517124784,0.509806538689065,0.466691534968646,0.461533960526342,0.533422412352162,0.430142943574221,0.360772464755487,0.495363694529918,0.57253607068218,0.466567718499951,0.277955275940871,0.273717538255477,0.588075820205897,0.335525039221818,0.44126349655817,0.613263388430198,0.672731108691565,0.633253466492596,0.555545667556612,0.388643857623047,0.615273593980252,0.686639664565446,0.508145143266586,0.392407504411375,0.523238528038775,0.570191131140879,0.499638775395477,0.603331499314765,0.771149423210761,0.618264211176727,0.343314054323913,0.703865245839226,0.452770302797888,0.375043338256476,0.476331332505664,0.393841750648713,0.33867678552413,0.526127272886336,0.249399631494681,0.614477663189494,0.489406215467037,0.431402983266996,0.428239138308165,0.57494080707902,0.750211502261313,0.450584782204816,0.343787211717133,0.479085225068474,0.625626957724304,0.461533960526342,0.495363694529918,0.530318741461187,0.545518421326987,0.596526905704817,0.481277651289229,0.357039560784966,0.463578052241889,0.356024385196088,0.390860022738801,0.780650754836276,1.0231248332342,0.744339340201428,0.921221847180289,0.459035895868056,0.404562850493614,0.373311353864978,0.415005754920205,0.647974600750311,0.692645753085871,0.568161192842255,0.406175500947425,0.634979093057812,0.575831510118088,0.63309313161358,0.414601048659745,0.722921567258939
"005_Sankara_Adhyatmapatala_segmented_complete",0.668192537269073,0.467863318525618,0.535515223019012,0.459360310193564,0.439095926992097,0,0.547297814196493,0.519563604140526,0.570502678721915,0.546245257022941,0.562239031859707,0.539193769592461,0.544317691329464,0.630733024496266,0.48666307552989,0.441868873778356,0.568441839242792,0.597290935136832,0.586771711209889,0.32212611352409,0.349609925804315,0.634713821269593,0.394528884807267,0.52956532391479,0.727322775486122,0.778244510110065,0.662553106155378,0.612165506007416,0.460076892030783,0.674672071576331,0.756464558924756,0.569783151975821,0.443422727701092,0.621459428123865,0.618724486821346,0.556958097288365,0.679051524273525,0.865786002786221,0.681193118930197,0.453434358951478,0.807626673598203,0.480944562611206,0.411356957566242,0.596521401530872,0.456987043204528,0.384463786289288,0.57444762552866,0.296316277607563,0.715331434701433,0.570510373916803,0.496982560213894,0.494718233768201,0.679781646293037,0.850139359663797,0.50657413695429,0.392536424271364,0.564618935793869,0.752682713135849,0.544317691329464,0.568441839242792,0.628880088152874,0.569272902387914,0.656791240321962,0.550733376495255,0.460074704711954,0.534676908264173,0.429238071761241,0.424755519294938,0.861274699200757,1.11411591566501,0.862599066978061,1.03170282226129,0.535945794113958,0.448063069507589,0.451947893269513,0.448848240961707,0.754312061105641,0.750917774794315,0.659047871189956,0.46846193246265,0.713825287123953,0.60358618118543,0.685438104376584,0.483370831738284,0.835704767080771
"006_Sankara_ AiUBh_segmented_complete",0.679016962347142,0.522209964918323,0.582207007442454,0.497371396265475,0.511427863141724,0.547297814196493,0,0.614090450650789,0.651776644204007,0.577518363649075,0.597427776344116,0.571510808628149,0.57838276837805,0.635379133806264,0.536869808592778,0.500305165286428,0.587847202533714,0.640621092130166,0.622902575836913,0.417836245902994,0.424306495347558,0.713976427243693,0.482849871924601,0.575232852094639,0.764444924846567,0.814086798473079,0.740563725492917,0.701801382565218,0.523592495142826,0.694114140672841,0.811966045211504,0.630388349127923,0.541468611844303,0.674286770994786,0.693367015861502,0.617768573271714,0.721333533142393,0.863976015433263,0.737051573482965,0.504747491117544,0.811189307830575,0.578290994732562,0.504486280865441,0.62710863000232,0.523310596510545,0.476997246504239,0.613674233410627,0.388380044960305,0.73361798623411,0.635234344276108,0.592057276793311,0.589201822395963,0.722225897875063,0.871708378172405,0.57951280817597,0.482744351230729,0.550824032227428,0.758250323754248,0.57838276837805,0.587847202533714,0.637883598095504,0.599030088155102,0.726402759165078,0.622885177091983,0.493509142943829,0.577804782870493,0.490537327218682,0.506752813239901,0.898234729938525,1.11918782708469,0.870465483158993,1.04321135294911,0.571487065061225,0.529881344961549,0.526934738415471,0.537578385816828,0.753844791133303,0.767965353585405,0.704433453459523,0.553538501879739,0.741190282909066,0.695489314809361,0.725333957395658,0.542674064898209,0.847699006926176
"007_Sankara_BhGBh_segmented_complete",0.576948687183253,0.49922339707341,0.512276274920163,0.468619627204892,0.472843335272466,0.519563604140526,0.614090450650789,0,0.648258680403631,0.605831791398829,0.637138929014822,0.467175409848419,0.527115351835895,0.550030492833657,0.522217551834902,0.483026830885062,0.597477868083786,0.688750387201689,0.537990594240343,0.437394909912257,0.40848553186699,0.752451454860628,0.476835523946607,0.459481317831237,0.717128168932067,0.718311545498814,0.747131328393877,0.729782755384715,0.51562167069222,0.703029233043004,0.771728851729126,0.645128064586492,0.501754700328398,0.630313742947971,0.718960972418331,0.643161697471828,0.723528284479808,0.809266733647446,0.734604269124271,0.468074855393849,0.765138271948569,0.596360605420146,0.531181613572031,0.581249257284189,0.553496829256505,0.499843783303665,0.665986339409471,0.416555773364592,0.645664489441389,0.609361202605583,0.437920894970947,0.437916911215749,0.673486915635345,0.816910745267517,0.617916182633971,0.484784314641867,0.477411243444362,0.663875350493263,0.527115351835895,0.597477868083786,0.606816356254209,0.674432511572325,0.695664078265369,0.590785515776093,0.479335297724779,0.54533999632574,0.490145671881721,0.540347783543399,0.833863275150198,0.979034911723547,0.734758951451199,0.878455421883652,0.589372561058942,0.548891064692104,0.49725443586201,0.566856018182474,0.720436048634085,0.785810545539189,0.629324879633061,0.573032930648556,0.709872141996812,0.717870515477833,0.723781134419738,0.585635335561896,0.746307389332109
"008_Sankara_IUBh_segmented_complete",0.779857019950583,0.552229908972018,0.638044502896625,0.580238421360236,0.566931315084307,0.570502678721915,0.651776644204007,0.648258680403631,0,0.671172593101271,0.665394740986102,0.641336560406988,0.633405476435282,0.725571839329881,0.590388210445113,0.54402883833338,0.673871758870685,0.704883563166891,0.699856101627638,0.44158276190335,0.460654426683965,0.767184793180628,0.504226430231528,0.647961787703002,0.834821228741059,0.890583095483257,0.781743826137835,0.71242831036527,0.59045008761935,0.779951288367211,0.887411412558209,0.682350842780617,0.57406138627654,0.742631130084162,0.750038102925589,0.669012767587132,0.754240491762721,0.988988460852321,0.800460784104608,0.570161516203042,0.910171978617862,0.601550475229639,0.535356556463242,0.659019081033842,0.563011176651023,0.493885060032158,0.680643301863695,0.410406892395896,0.816044320992404,0.696624752295118,0.634309508375633,0.631489516225159,0.78646832780786,0.960044733741285,0.609627247887965,0.537827559500443,0.684733364255747,0.882293337168314,0.633405476435282,0.673871758870685,0.738840641674463,0.707382491245994,0.769745224244423,0.633646511298395,0.578089925585062,0.658674397214516,0.564448848008526,0.541329909573108,0.998015251727572,1.20664861769684,0.968922562365956,1.1180268273565,0.63870552094441,0.573228454843738,0.548890587768388,0.573227418097684,0.875432139337693,0.883684141896717,0.796614350538718,0.6026433606893,0.847561283791976,0.743146785228436,0.842537393405476,0.603281994670858,0.93632676615004
"009_Sankara_KeUBh_segmented_complete",0.716510339399107,0.545584075003492,0.603650073310944,0.55471634982385,0.493781517124784,0.546245257022941,0.577518363649075,0.605831791398829,0.671172593101271,0,0.624254865552582,0.549950380160612,0.566283910908507,0.672444544845752,0.540592862149613,0.503354663090092,0.631204107939472,0.701837882245526,0.664539403396889,0.449307852684059,0.448754322673253,0.734982028583413,0.508652308873002,0.60313859253484,0.808082472998692,0.850130202881052,0.755374562403856,0.712262472739267,0.55318123707504,0.739462542595089,0.822279980325425,0.655358450837318,0.558887391671623,0.714084365478028,0.7148844637027,0.647759259232084,0.72305305560516,0.887426239238363,0.740854754735255,0.548771213150825,0.863452115632757,0.597997135835774,0.516083382777335,0.649273226968281,0.56129649156435,0.501805696781558,0.682579912819121,0.413454221540822,0.7521556365267,0.625002530255723,0.601313289691072,0.598202453587667,0.71749848583488,0.89930922597986,0.614185468580045,0.528212014661512,0.604010161965531,0.78850165661907,0.566283910908507,0.631204107939472,0.661918183411532,0.687648797792927,0.754449657501021,0.639379677851712,0.547863014036052,0.598242484546105,0.522801827437808,0.556666009257465,0.92410500850279,1.1116516842757,0.881834902910038,1.05797878751501,0.617615430228423,0.572121010117969,0.527945099929294,0.555816249216734,0.794019799650194,0.788842952903207,0.729582720758458,0.575081073555853,0.77710296563783,0.717903097045662,0.79066431437255,0.599145563008608,0.864876508437226
