"","000_vivarana_unsandhied","001_LalitaBhasya_segmented_complete","002_Pseudosankara_Sanatsujatiya_segmented_complete","003_Pseudosankara_SvUBh_segmented_complete","004_Pseudosankara_Visnusahasranama_unsegmented_complete","005_Sankara_Adhyatmapatala_segmented_complete","006_Sankara_ AiUBh_segmented_complete","007_Sankara_BhGBh_segmented_complete","008_Sankara_IUBh_segmented_complete","009_Sankara_KeUBh_segmented_complete","010_Sankara_KeUBhVakya_segmented_complete","011_Sankara_ChUBh_segmented_complete","012_Sankara_KaUBh_segmented_complete","013_Sankara_ManUBh_segmented_complete","014_Sankara_MunUBh_segmented_complete","015_Sankara_NrsTBh_segmented_complete","016_Sankara_PrasUBh_segmented_complete","018_HastaBh_HastaBh_segmented_complete","Abhinavagupta_IsvPrV_segmented_complete","Abhinavagupta_Paramarthasara_segmented_complete","Abhinavagupta_Tantraloka_segmented_complete","Annambhatta_Tarkasamgraha_segmented_complete","Asanga_Abhidharmasmuccaya_segmented_complete","Bhaskara_BhGBh_segmented","Candrakirti_Bodhisattvayogacaracatuhsatakatika_segmented_complete","Candrakirti_Prasannapada_segmented_complete","Dharmakirti_Hetubindu_segmented","Dharmakirti_Nyayabindu_segmented","Dharmakirti_Pramanavartika_segmented_complete","Dharmakirti_Vadanyaya_segmented","Gangesa_Tattvacintamani_segmented","Jayarasi_Tattvopaplavasimha_segmented_complete","Kamalasila_Bhavanakrama_segmented_complete","Kamalasila_Madhyamakaloka_segmented_complete","Kavirajayati_Samkhyatattvapradipa_segmented_complete","Kumarila_MimSV5.4-9_segmented","Kumarila_Tantravartika2.2.1-4_segmented","Madhusudana_Advaitasiddhi_segmented_complete","Madhusudana_Siddhantabindu_segmented_complete","Madhva_Anuvyakhyana_segmented_complete","Mandana_Brahmasiddhi_prose","Mandana_Karikas_complete","Mandana_Vibhramaviveka_segmented_complete","Mathara_Matharavrtti_segmented_complete","Nagarjuna_MMK_segmented_complete","Nagarjuna_SuSapt_segmented_complete","Nagarjuna_VigV_segmented_complete","Nagarjuna_YuktSast_segmented_complete","Padmapada_Pancapadika_segmented_complete","Prasastapada_Padarth_segmented_complete","Ramanuja_BhGBh_segmented_complete","Ramanuja_Sribhasya_segmented_part","Ramanuja_Vedarth_segmented_complete","Sabara_MimSBh_segmented_1_7","Sadananda_Vedantasara_segmented_complete","Samkhyaparibhasa_segmented_complete","Sankara_BAUBh_segmented_complete","Sankara_bsbh_unsandhied","Sankara_KaUBh_segmented_complete","Sankara_PrasUBh_segmented_complete","Sankara_TaittUBh_segmented_complete","Sankara_Upad_Gadya_segmented_complete","Sarvamatasamgraha_segmented_complete","Sthiramati_Tvbh_segmented_complete","Suresvara_BAUBhV_segmented_Arthabhaga_Ajatasatru_Maitreyi","Suresvara_Naiskarmyasiddhi_segmented_complete","Suresvara_TaittUBhV_segmented_complete","Totaka_Sruti_segmented_complete","Udayana_Nyayakusumanjali_segmented_complete","Udayana_Nyayavarttikatatparyaparisuddhi_segmented_1.1_1.2","Vacaspati_Bhamati_segmented_complete","Vacaspati_Nyayasutravarttikatatparyatika_segmented_complete","Vasubandhu_AbhidhKBh_segmented_complete","Vasubandhu_Madhyantavibhagakarikabhasya_segmented_complete","Vasubandhu_MahaySABh_segmented_complete","Vasubandhu_VimsatikaKVr_segmented_complete copy","Vatsyayana_Nyayasutrabhasya_segmented_complete","Vedantaparibhasa_segmented_complete","Venkathanatha_Nyayaparisuddhi_segmented","Vijnanabhiksu_Samkhyasara_segmented_complete","Vimuktatman_Istasiddhi_segmented","Yamuna_ Isvarasiddhi_segmented","Yamuna_Atmasiddhi_segmented_complete","Yamuna_Samvitsiddhi_segmented_complete","Yuktidipika_segmented_complete"
"000_vivarana_unsandhied",0,0.604458067101102,0.713540871510386,0.604607978645443,0.566352181069212,0.741176468118678,0.678901931396129,0.545798648070707,0.764530926408705,0.714875688458353,0.760237560083157,0.51402989573143,0.656032936713938,0.665677468838291,0.672563058209403,0.623487859342623,0.710443713630766,1.02289049974402,0.571055383972434,0.600028801761993,0.523446656846194,0.883187321224263,0.585956795531896,0.533005704975882,0.64703740448559,0.806865013353696,0.868161146791186,0.955683970668766,0.539888455868917,0.753520520269783,0.821074645629647,0.720945128983014,0.588779504796373,0.713697603029784,0.693778347448142,0.716889330217625,0.728625038710029,0.79254492804623,0.856497696813724,0.561484206424023,0.664396197053239,0.785965112982913,0.655088415925211,0.736269146468033,0.71270057259708,0.722886633070842,0.879974874115388,0.627863840028688,0.537530840232451,0.666384065482086,0.592867828184328,0.592887581906855,0.757784316777029,1.05285142418877,0.92480818907277,0.698969954041868,0.50169556330327,0.590417469798092,0.656032936713938,0.710443713630766,0.649805900045818,0.798770605483535,0.778104224143538,0.650264429048569,0.581711501246291,0.667946868679503,0.641042146853025,0.749040276941889,0.809579909414056,1.10496774689192,0.674632265474493,0.821797233109255,0.67191529320908,0.758327759123767,0.611144379020048,0.729672595046787,0.588442928748458,0.790233032138479,0.630585195270273,0.699219543520424,0.721955439929689,0.813043932726714,0.764385670216291,0.787307266018286,0.632224170693708
"001_LalitaBhasya_segmented_complete",0.604458067101102,0,0.581271124780189,0.452425937610146,0.335046386113667,0.591016804391204,0.549770375347108,0.554052365620794,0.626024235010235,0.64674393882158,0.573368612396113,0.542766654544626,0.55941746400236,0.689972641597889,0.57117442869455,0.439872527554493,0.662199086570162,0.864241196037589,0.52641022566735,0.335977802088184,0.324356346075685,0.639181157665648,0.414935513938975,0.527241144694954,0.622194667553469,0.842774851625163,0.848311429334197,0.744124801642008,0.413662317119242,0.743271706109643,0.732747276897987,0.633911655409626,0.422958701967948,0.646142957336922,0.565976636591584,0.560904580238848,0.695091430155194,0.773533511724479,0.661405082857591,0.408611535187775,0.652631157562148,0.563510753753837,0.395978364502122,0.629861537743585,0.518015839923189,0.446703556307003,0.794681134856019,0.344833206098265,0.599354317430642,0.523603385211581,0.439627712263597,0.439039511043305,0.617096969083069,1.03310777947444,0.607807986437679,0.44736307007592,0.557984894951303,0.727237999957778,0.55941746400236,0.662199086570162,0.614675666613669,0.692285649922833,0.687922224380462,0.533128241350813,0.466143057664668,0.547326185880773,0.43268678717045,0.539300991807944,0.831794875526483,1.15284066264957,0.69986753061508,0.94704286592937,0.606496531957171,0.565285530654503,0.468921492759295,0.589635880327236,0.603308824445366,0.688994057914188,0.607915981080571,0.510322943712308,0.697033025854485,0.636894997112797,0.748364493967886,0.516628960781503,0.763265140883946
"002_Pseudosankara_Sanatsujatiya_segmented_complete",0.713540871510386,0.581271124780189,0,0.46010400304737,0.551718001746915,0.739308991910178,0.637947226979069,0.603490678079463,0.730686546692961,0.766035365022204,0.789345634584935,0.575427324161376,0.580282665950266,0.700629686125693,0.731652221244024,0.603935276808053,0.732994750147098,0.910128367145659,0.699509519439485,0.485484490411699,0.508640992202757,0.835532678894044,0.568583857454128,0.536687886787955,0.802371769648124,0.963279002372728,1.03098366674716,0.94110461406979,0.585218422071318,0.927755381440143,0.993392678709876,0.818105368043831,0.5230620926819,0.821656050869567,0.721839237956275,0.727156130974494,0.842411772198847,1.02268889808848,0.859228559096583,0.589633629972412,0.825413985912978,0.725230555823582,0.58409747189321,0.753037030838175,0.681490268598564,0.626214775690983,0.963132672960922,0.53218667095075,0.795058308925117,0.700330119464974,0.507678665008766,0.511214109341223,0.708251575943459,1.21489818624201,0.914436244556093,0.593345379328417,0.652266541210556,0.846016141054365,0.580282665950266,0.732994750147098,0.694419693810668,0.812185588959385,0.841999838208333,0.701941944708749,0.580726793121791,0.66589920435788,0.541338130133941,0.68109438461444,1.04852292749267,1.34814443549382,0.852830505233511,1.10800531934956,0.768209461329345,0.738314454539651,0.648237658983815,0.749321133826625,0.759029372193516,0.89811844705445,0.792951418330215,0.676252065949632,0.891921229092427,0.819751353164228,0.936575345613495,0.72814692258852,0.888784870655798
"003_Pseudosankara_SvUBh_segmented_complete",0.604607978645443,0.452425937610146,0.46010400304737,0,0.434665354481749,0.607429828223302,0.541972895797967,0.523632403450255,0.704710237933473,0.690626022096042,0.648826302144347,0.498309852711404,0.513637924283734,0.638640036102955,0.62507949297103,0.468927642849227,0.70250868240437,0.893142014332585,0.583215860385842,0.427151357847003,0.409592546504195,0.726573227259719,0.510249195853713,0.48017574994179,0.668177013226479,0.847006864058885,0.931028117834688,0.836278466324274,0.488850157680954,0.829347901587786,0.842756899589504,0.706434574416172,0.471672600742002,0.734106817388304,0.591074685378973,0.633348445315648,0.740706720219588,0.860160098902011,0.725395914410115,0.525665174839992,0.71054374523715,0.689170847148275,0.503966924682216,0.678517548612359,0.591595828068609,0.542671774280464,0.861379502674003,0.448201647000986,0.663650686367461,0.56537199503139,0.421306737712893,0.423143111994479,0.623109873951819,1.07248088441955,0.805630816022157,0.494333355560536,0.514358960446273,0.696522884694864,0.513637924283734,0.70250868240437,0.598191479054977,0.69222857636128,0.712400345872763,0.603843129396581,0.424026033995825,0.574785820600477,0.440847709804632,0.606494163662008,0.892843131207293,1.2201579672104,0.717490228396045,0.971380854492225,0.686582394370382,0.64786793299778,0.545455065813975,0.688601888537088,0.651114211026345,0.77884625208919,0.687975630467881,0.499874581842179,0.765637542821563,0.720112956397682,0.781870561998858,0.637976736942037,0.759306517698342
"004_Pseudosankara_Visnusahasranama_unsegmented_complete",0.566352181069212,0.335046386113667,0.551718001746915,0.434665354481749,0,0.558881601337455,0.555165586928301,0.513618662497631,0.575956245774669,0.578098599239813,0.559640091477139,0.459344647418073,0.433186881097825,0.6226159438529,0.505593401498495,0.409598219532766,0.539705520374046,0.820783665346329,0.494804827357503,0.277838911209314,0.269183602656356,0.589149376926789,0.32726661690625,0.453898807528106,0.590492244917659,0.745095721622328,0.79658075913698,0.681210213719106,0.372969273245366,0.707933900313664,0.739320628739165,0.579487740843369,0.373341940174745,0.571615667515967,0.484616584936021,0.483887565302736,0.657003020033232,0.813543415843423,0.657252242705627,0.368984357435371,0.641222173810352,0.51007955505702,0.338477469284242,0.595924046324904,0.437664955185759,0.372633359842023,0.74553269983239,0.280179618870871,0.58001828236917,0.457521469607849,0.434190153021595,0.434050771383976,0.609935599903176,0.983196903316863,0.647659594623743,0.347450261642154,0.509036340628595,0.704114576780949,0.433186881097825,0.539705520374046,0.50286315128956,0.640377143303367,0.671527964164778,0.46340065099486,0.394283199750185,0.508759498502206,0.360612560684889,0.481027228196792,0.801174166443475,1.16771948272204,0.699981293054399,0.944678759992396,0.568204892246795,0.465217119620107,0.393604723713907,0.510905141524093,0.552728641939328,0.721840166049649,0.597346135998635,0.445880088215497,0.677978233023555,0.588043128631401,0.717212611910974,0.4593560193215,0.710333517394865
"005_Sankara_Adhyatmapatala_segmented_complete",0.741176468118678,0.591016804391204,0.739308991910178,0.607429828223302,0.558881601337455,0,0.613433456447102,0.642781670943062,0.667747079450005,0.630404349852586,0.654721290595965,0.598753400991073,0.673855735989949,0.756165791406257,0.573871796992317,0.59399095435883,0.690788641732543,0.894593507263713,0.767826782048432,0.468715428308892,0.475770759586911,0.731458232214571,0.557294693162458,0.642117514309334,0.831620450915318,0.981107689653707,0.932422212787712,0.936197251261889,0.500569835321563,0.880066069868073,0.909772094945329,0.712426668894504,0.587448629003045,0.830729812758936,0.583329827551876,0.657295260088928,0.819124081956096,0.953078023724467,0.839253566049692,0.568404520428654,0.82926790998066,0.644910326460885,0.529999683749751,0.761044369651926,0.639952321388302,0.56370195117678,0.868738895013599,0.4538448643627,0.736505973556783,0.684938908146895,0.61988673381584,0.619750650362203,0.756590553951378,1.13790179182493,0.815291758947174,0.556001156459213,0.648820484476547,0.848357703166815,0.673855735989949,0.690788641732543,0.696732569157074,0.722368184206094,0.779392767553375,0.667316736321169,0.599961278074681,0.714895616604423,0.538366307393093,0.570195445802854,0.98718248698184,1.35306087472741,0.907410489194453,1.1152962409428,0.778631474559336,0.569958391724712,0.617948957792046,0.647179511678361,0.787258927145644,0.830989420965007,0.745200447385582,0.601572242532403,0.831939055267221,0.698029062566646,0.867370910797079,0.663658586335354,0.92100863586651
"006_Sankara_ AiUBh_segmented_complete",0.678901931396129,0.549770375347108,0.637947226979069,0.541972895797967,0.555165586928301,0.613433456447102,0,0.606806124389133,0.666086637966175,0.601877770119076,0.686279314182832,0.565005356843833,0.587714548103198,0.677099543378741,0.549831971293047,0.57995459035013,0.630958997698771,0.816160155514143,0.673016600165641,0.461873038285908,0.477583353429792,0.754536797603809,0.523466996115613,0.582786970310355,0.740498588681102,0.943943872230145,0.896576878642776,0.889313977287921,0.532161171057566,0.852397399920993,0.899334111272252,0.691805778488168,0.574155271770992,0.795101104049355,0.641399832036184,0.622794032638665,0.711880264152964,0.877439291545333,0.816858517040902,0.540469818761673,0.770798692986104,0.64222888778169,0.514515934973024,0.804393793095297,0.624442463958535,0.567061832665955,0.863574433017292,0.479020869814192,0.673750044107525,0.698525023313398,0.585444352576377,0.587373668241071,0.72835631238928,1.10640964615163,0.879268750770401,0.562978054813309,0.49054652697065,0.775749956618447,0.587714548103198,0.630958997698771,0.65385726190745,0.663892241943499,0.821082252216594,0.640930056118002,0.491003577151283,0.642881364583693,0.518699868668724,0.652071317097953,0.955914055917268,1.23251657827879,0.833395047099583,1.02094123520083,0.663273283193123,0.667795249319154,0.645327971507609,0.613872093066146,0.665819431850597,0.78831993105682,0.713333123934276,0.595518702771907,0.833827607306254,0.747337734853966,0.858610076754301,0.622536124669472,0.859731606782944
"007_Sankara_BhGBh_segmented_complete",0.545798648070707,0.554052365620794,0.603490678079463,0.523632403450255,0.513618662497631,0.642781670943062,0.606806124389133,0,0.665600112094985,0.620513407214354,0.729465207320325,0.427216811289941,0.512792411461712,0.61148771342032,0.574332932304601,0.517235747557978,0.682780538000867,0.957080086967166,0.627530947624871,0.512686208823718,0.48719333991821,0.854370567104458,0.54163367565843,0.456415976236494,0.725782810093141,0.825355901740407,0.945582374419341,0.985899691551944,0.550146291199445,0.815219364055492,0.896511725340251,0.768074102516486,0.553984315620931,0.762268449761387,0.72382133372818,0.694863027279124,0.727774068044663,0.886107790689754,0.844124139065091,0.534853918166534,0.711306260139954,0.738107369940306,0.58667534498871,0.697727788924858,0.664851170153447,0.629302444154003,0.921823708276339,0.542462892194435,0.587976130473025,0.665634152585466,0.466589534112997,0.470049941295923,0.646088838648995,0.997887377147369,0.91904276505676,0.586002658850405,0.465385160655154,0.677292620685655,0.512792411461712,0.682780538000867,0.590208136957048,0.780765903385978,0.756470389200998,0.626428640625765,0.543813580481677,0.57986363968409,0.58251481009675,0.679505465177828,0.902107538096656,1.15541374288342,0.645512670149193,0.878378288788632,0.705631876597149,0.684993284754241,0.574317506483755,0.743449321702908,0.594431785411538,0.806982322293004,0.64295293626081,0.696322658001114,0.774435522341877,0.799001743260253,0.84613613006746,0.703470952775956,0.736925978095395
"008_Sankara_IUBh_segmented_complete",0.764530926408705,0.626024235010235,0.730686546692961,0.704710237933473,0.575956245774669,0.667747079450005,0.666086637966175,0.665600112094985,0,0.687302169326255,0.729487107959712,0.585179348140554,0.63181371681797,0.756948737036505,0.622436062644488,0.606239850207379,0.724504366937286,0.936608346476242,0.849094308115378,0.504332937182671,0.519029879916452,0.855669913833814,0.587419619553468,0.671221852459247,0.867195574351813,1.05605836334551,1.03336394143072,0.93677291037329,0.651525707778273,0.940867743877615,1.05114583818782,0.820760599292535,0.623164252783097,0.919942973652152,0.764208827755042,0.699663031215143,0.744781758748125,1.12579669886759,0.931203460508473,0.651080919614204,0.906253195521161,0.678904123699381,0.567207939956051,0.760357203108746,0.670921811442202,0.574706675577107,0.905447479375487,0.48615476036843,0.828143817268393,0.743339180067861,0.643695037054822,0.645257844376882,0.80653743194744,1.19175781503126,0.873090861218543,0.628480608547458,0.709662426479838,0.937165951977939,0.63181371681797,0.724504366937286,0.773789946139935,0.840255874281587,0.897632579229934,0.656688092954864,0.670736688757843,0.777936672358586,0.643859199162245,0.691044355391346,1.10684470192819,1.38537606451534,0.950137273696558,1.1528579886319,0.811802694681393,0.710144570212564,0.635947489446338,0.710174603751126,0.883161154574847,0.987629957763132,0.878507845029523,0.749399343149943,0.961289107855082,0.824037640963321,1.02555596984061,0.725373209396,0.982849136992293
"009_Sankara_KeUBh_segmented_complete",0.714875688458353,0.64674393882158,0.766035365022204,0.690626022096042,0.578098599239813,0.630404349852586,0.601877770119076,0.620513407214354,0.687302169326255,0,0.699606085773311,0.580544337487555,0.631638143424478,0.802215802335014,0.563497034435661,0.594625856347697,0.713360983136086,1.01432340474923,0.826624300389734,0.575808502644097,0.539930482242935,0.855343814980197,0.60802695395538,0.680510909813595,0.825510056320983,1.03934289103662,0.933240373198558,1.00235017242701,0.62294796821304,0.936703563462121,0.919940083741195,0.788905996379929,0.661050664813955,0.898630950448885,0.722375349545562,0.687362660724143,0.704636555843956,0.976321169257542,0.87655932715575,0.638220958141518,0.924900043043461,0.757612444404263,0.602676716078152,0.835151943178801,0.727083372788362,0.647681514505416,0.978629389482541,0.560969183169645,0.70767371467306,0.694344798870767,0.684686952675567,0.685134089682385,0.842448907423684,1.17391499765806,0.925037253384628,0.632888402340992,0.616954079300175,0.879381466925548,0.631638143424478,0.713360983136086,0.692520500725336,0.774021800742761,0.922276415526186,0.721503526965551,0.650301373196787,0.720865893046281,0.615586938413996,0.753087102091845,1.00985571459709,1.31730784587278,0.905604980105112,1.09470504942495,0.785762731170618,0.723362676229165,0.62506811111436,0.673879130610048,0.77433483638499,0.823430404002162,0.777401260392683,0.73715239920163,0.920094025721785,0.843195547043964,0.952600284527967,0.763042063007141,0.939850830677434
