"","000_vivarana_unsandhied","001_LalitaBhasya_segmented_complete","002_Pseudosankara_Sanatsujatiya_segmented_complete","003_Pseudosankara_SvUBh_segmented_complete","004_Pseudosankara_Visnusahasranama_unsegmented_complete","005_Sankara_Adhyatmapatala_segmented_complete","006_Sankara_ AiUBh_segmented_complete","007_Sankara_BhGBh_segmented_complete","008_Sankara_IUBh_segmented_complete","009_Sankara_KeUBh_segmented_complete","010_Sankara_KeUBhVakya_segmented_complete","011_Sankara_ChUBh_segmented_complete","012_Sankara_KaUBh_segmented_complete","013_Sankara_ManUBh_segmented_complete","014_Sankara_MunUBh_segmented_complete","015_Sankara_NrsTBh_segmented_complete","016_Sankara_PrasUBh_segmented_complete","017_YSBhV_unsegmented_excerpt","018_HastaBh_HastaBh_segmented_complete","Abhinavagupta_IsvPrV_segmented_complete","Abhinavagupta_Paramarthasara_segmented_complete","Abhinavagupta_Tantraloka_segmented_complete","Annambhatta_Tarkasamgraha_segmented_complete","Asanga_Abhidharmasmuccaya_segmented_complete","Bhaskara_BhGBh_segmented","Candrakirti_Bodhisattvayogacaracatuhsatakatika_segmented_complete","Candrakirti_Prasannapada_segmented_complete","Dharmakirti_Hetubindu_segmented","Dharmakirti_Nyayabindu_segmented","Dharmakirti_Pramanavartika_segmented_complete","Dharmakirti_Vadanyaya_segmented","Gangesa_Tattvacintamani_segmented","Jayarasi_Tattvopaplavasimha_segmented_complete","Kamalasila_Bhavanakrama_segmented_complete","Kamalasila_Madhyamakaloka_segmented_complete","Kavirajayati_Samkhyatattvapradipa_segmented_complete","Kumarila_MimSV5.4-9_segmented","Kumarila_Tantravartika2.2.1-4_segmented","Madhusudana_Advaitasiddhi_segmented_complete","Madhusudana_Siddhantabindu_segmented_complete","Madhva_Anuvyakhyana_segmented_complete","Mandana_Brahmasiddhi_prose","Mandana_Karikas_complete","Mandana_Vibhramaviveka_segmented_complete","Mathara_Matharavrtti_segmented_complete","Nagarjuna_MMK_segmented_complete","Nagarjuna_SuSapt_segmented_complete","Nagarjuna_VigV_segmented_complete","Nagarjuna_YuktSast_segmented_complete","Padmapada_Pancapadika_segmented_complete","Prasastapada_Padarth_segmented_complete","Ramanuja_BhGBh_segmented_complete","Ramanuja_Sribhasya_segmented_part","Ramanuja_Vedarth_segmented_complete","Sabara_MimSBh_segmented_1_7","Sadananda_Vedantasara_segmented_complete","Samkhyaparibhasa_segmented_complete","Sankara_BAUBh_segmented_complete","Sankara_bsbh_unsandhied","Sankara_IUBh_segmented_complete","Sankara_KaUBh_segmented_complete","Sankara_KeUBh_segmented_complete","Sankara_KeUBhVakya_segmented_complete","Sankara_ManUBh_segmented_complete","Sankara_MunUBh_segmented_complete","Sankara_PrasUBh_segmented_complete","Sankara_TaittUBh_segmented_complete","Sankara_Upad_Gadya_segmented_complete","Sarvamatasamgraha_segmented_complete","Sthiramati_Tvbh_segmented_complete","Suresvara_BAUBhV_segmented_Arthabhaga_Ajatasatru_Maitreyi","Suresvara_Naiskarmyasiddhi_segmented_complete","Suresvara_TaittUBhV_segmented_complete","Totaka_Sruti_segmented_complete","Udayana_Nyayakusumanjali_segmented_complete","Udayana_Nyayavarttikatatparyaparisuddhi_segmented_1.1_1.2","Vacaspati_Bhamati_segmented_complete","Vacaspati_Nyayasutravarttikatatparyatika_segmented_complete","Vasubandhu_AbhidhKBh_segmented_complete","Vasubandhu_Madhyantavibhagakarikabhasya_segmented_complete","Vasubandhu_MahaySABh_segmented_complete","Vasubandhu_VimsatikaKVr_segmented_complete copy","Vatsyayana_Nyayasutrabhasya_segmented_complete","Vedantaparibhasa_segmented_complete","Venkathanatha_Nyayaparisuddhi_segmented","Vijnanabhiksu_Samkhyasara_segmented_complete","Vimuktatman_Istasiddhi_segmented","Yamuna_ Isvarasiddhi_segmented","Yamuna_Atmasiddhi_segmented_complete","Yamuna_Samvitsiddhi_segmented_complete","Yuktidipika_segmented_complete"
"000_vivarana_unsandhied",0,0.676229400142872,0.749284713927712,0.677947507396912,0.622254565459855,0.790171000833609,0.749667859857363,0.546300202089947,0.812164091144864,0.732194813955897,0.93822284845401,0.526005761726304,0.646300665830852,0.681424704985673,0.767918265981549,0.68180628608809,0.780865062520499,0.700896067757072,1.08365436617033,0.613476188947942,0.686384154608242,0.600606121666956,0.818952370779405,0.679431036398949,0.575649031057649,0.730153886020712,0.890717494013311,0.920908687148943,1.03589215090204,0.577459740718923,0.717236962348896,0.849481978645706,0.829249760955691,0.61798711502915,0.781950041612323,0.723212778831406,0.810485304234843,0.698348504024032,0.866298417937041,0.838309548609907,0.680982264882846,0.734647193799599,0.806559403540066,0.773903579939302,0.780254543771918,0.702596157112163,0.758342994389103,0.986672691702463,0.729920889015255,0.505100061554118,0.804697237280018,0.672117472691478,0.671551155958817,0.876081798399749,1.15164678002127,1.01309569592916,0.864616954146449,0.549564882821321,0.589389154595298,0.812164091144864,0.646300665830852,0.732194813955897,0.93822284845401,0.681424704985673,0.767918265981549,0.780865062520499,0.613944708347517,0.889105614774028,0.784919691210278,0.699817521771021,0.651442162753718,0.714039464974842,0.699737099231952,0.902079956300429,0.87761075447432,1.18680661241082,0.778388523809043,0.852590578792202,0.626208768944291,0.859362089380036,0.739899248343622,0.736357916366671,0.605775157978509,0.918640080014673,0.65907686569646,0.777100821676271,0.853924774684927,1.0188375090462,0.84102877386856,0.863752747800011,0.678133182452426
"001_LalitaBhasya_segmented_complete",0.676229400142872,0,0.514052607103676,0.476365322303859,0.369650669755106,0.656759581912491,0.641577668065938,0.527086259674469,0.705750076051423,0.721275344094947,0.657979777401791,0.576552339223336,0.573586468307672,0.807517023807149,0.671087753346098,0.442538813535855,0.744466417297961,0.86422780387139,0.919369423145467,0.582918420343706,0.376820663356018,0.358189101556808,0.541196331714865,0.463813935252799,0.539033406958098,0.68707625690408,0.873149276444002,0.963420840160779,0.793950110675505,0.460406810802694,0.646643493797644,0.739074733926371,0.776943975815529,0.381423129280757,0.708904462074471,0.546221265499323,0.661903657439502,0.739367679713474,0.831398078621193,0.604358844875653,0.473281452958593,0.695105740236296,0.561245036866475,0.478433329665126,0.616915960486581,0.466111480733724,0.425014037223624,0.887283095706982,0.384871592177873,0.566841254943093,0.572265226476109,0.42157465616399,0.423971909367064,0.646275662431832,1.16762788869672,0.601507435355212,0.54693141303449,0.611522581521562,0.761418058152968,0.705750076051423,0.573586468307672,0.721275344094947,0.657979777401791,0.807517023807149,0.671087753346098,0.744466417297961,0.582328463366786,0.77556741854213,0.675790387430763,0.594919142652471,0.507861089687599,0.561637579968764,0.440839147747833,0.673623225568288,0.874677975457722,1.26509167291948,0.77573377700789,1.03721933866695,0.537968126287581,0.628280141640779,0.531182290521351,0.620837680007257,0.584074778746019,0.806172870993745,0.575508596320801,0.521888449012004,0.803395312664252,0.810884621813071,0.801134344066539,0.611965755147333,0.681616644247172
"002_Pseudosankara_Sanatsujatiya_segmented_complete",0.749284713927712,0.514052607103676,0,0.383553975357998,0.441535721736649,0.705376962679572,0.668920782052596,0.518788675154308,0.705549537984904,0.769269621517903,0.757850467175762,0.544497292724553,0.499206214317021,0.68574559915344,0.748626997411204,0.459985155448515,0.776096761232624,0.931972945112099,0.927742593748728,0.620471547504939,0.423755352219207,0.410568049984666,0.636211387609408,0.506275108289428,0.499434510229179,0.769303792184841,0.920541495310261,1.06819059674022,0.885683681677963,0.510545312460272,0.776995500766078,0.892296401557192,0.821816816199677,0.454055396508047,0.789979994869204,0.613290116664909,0.708482621263172,0.767786232248146,1.00169630833202,0.716866988260833,0.564454396404186,0.730444546140313,0.561405051097252,0.517708504571649,0.705899490783582,0.494866738280259,0.459241560421954,0.891227923394968,0.429621419448628,0.695123728200591,0.659520845623757,0.482227751740964,0.488601758464174,0.731084300889606,1.18814567479709,0.767171987660672,0.560282556250256,0.639092674308049,0.802199659556373,0.705549537984904,0.499206214317021,0.769269621517903,0.757850467175762,0.68574559915344,0.748626997411204,0.776096761232624,0.550202367140184,0.80010875272807,0.77315208085418,0.638748235203235,0.450330830760423,0.615667778574521,0.417082793017956,0.716319817568686,0.992060856211735,1.4093717380907,0.838813071532109,1.14462599307016,0.659413372652448,0.661391448511739,0.607880576044668,0.654181224771739,0.702354401548737,0.925148640315221,0.683702165663219,0.593926323158876,0.885590990988931,0.885287631406415,0.886942607173049,0.613149511679399,0.781498029551032
"003_Pseudosankara_SvUBh_segmented_complete",0.677947507396912,0.476365322303859,0.383553975357998,0,0.417614513684503,0.65727461383844,0.610146803722683,0.549759120605641,0.748081763069022,0.756236176862487,0.70678989453678,0.538170810024318,0.516958794925989,0.702477429392866,0.756136916807704,0.458087925384662,0.770222798409517,0.873419190752628,0.912647245808303,0.578859441509161,0.438559126451037,0.415447343925829,0.554573948301297,0.562837806889452,0.484502491970657,0.698568037592614,0.894425654286089,1.05510652296908,0.81750973328874,0.512602578578331,0.702404824529716,0.846000690251619,0.817347855391238,0.439699245889993,0.745620613732699,0.558099102378736,0.690340382259735,0.781342214009359,0.912446152422458,0.654439579383469,0.58017237050076,0.710491959711383,0.626535616766339,0.548587751853477,0.69749492010857,0.494017165089958,0.489405135154732,0.898211227589176,0.460700816449681,0.628778569239299,0.612386200280059,0.419478884321241,0.425915725823092,0.646235879759391,1.17023868741437,0.752402562082633,0.536214345547452,0.567020804228219,0.697394557814392,0.748081763069022,0.516958794925989,0.756236176862487,0.70678989453678,0.702477429392866,0.756136916807704,0.770222798409517,0.541663953130979,0.746883986730229,0.663609586745912,0.649415136406202,0.449073331650352,0.600701204246953,0.436423142216139,0.700029794740137,0.91060085945806,1.31630542496319,0.763844998283467,1.03658257419155,0.62377796887084,0.67673014719998,0.610407154924578,0.695436854504558,0.655016359627663,0.866387966455012,0.660021194093988,0.458260013715319,0.855156226208913,0.848061558586842,0.835177587396256,0.67913805741419,0.703451730257355
"004_Pseudosankara_Visnusahasranama_unsegmented_complete",0.622254565459855,0.369650669755106,0.441535721736649,0.417614513684503,0,0.547763773711376,0.606661569748572,0.431383095808777,0.616081048029362,0.60387823293804,0.610083141489848,0.46318217564486,0.417834734594097,0.662259878618619,0.553615044922764,0.366849994196861,0.570587207769511,0.844528315941514,0.802463658346303,0.519892756605662,0.282447542826442,0.279510130154528,0.446885348111625,0.319423179722678,0.410958325784197,0.631031879995791,0.751632024311911,0.884858014757575,0.681285092134233,0.377425866884043,0.624593305378118,0.759560353913109,0.689976051966825,0.318831661094793,0.592859934809288,0.437650478163282,0.544661143325296,0.673028981206495,0.88541953930942,0.590546267179348,0.415023688011104,0.630258620162279,0.431203388309364,0.372534440668639,0.577671116878963,0.303615939337529,0.286294685241464,0.790733735165092,0.264121443582363,0.562692569286752,0.510723661230832,0.41223829565877,0.415645621826532,0.586976577854548,1.05989291843651,0.636880081461214,0.364606692190502,0.513410438907155,0.693187117004412,0.616081048029362,0.417834734594097,0.60387823293804,0.610083141489848,0.662259878618619,0.553615044922764,0.570587207769511,0.450937061333669,0.683656714005049,0.674830459950025,0.459338031718815,0.366744600258432,0.508977994591301,0.354988885099007,0.572543328278085,0.87801020953265,1.2940499745833,0.780003793478227,1.02432954137194,0.451848995051315,0.479677387568346,0.440223236996525,0.486484488953765,0.515561578831857,0.825441280565658,0.517730362977755,0.408201232991956,0.764095319999235,0.716099428212462,0.775194056769766,0.468121243946689,0.591478290234576
"005_Sankara_Adhyatmapatala_segmented_complete",0.790171000833609,0.656759581912491,0.705376962679572,0.65727461383844,0.547763773711376,0,0.65559780805891,0.60049706306865,0.658788933539686,0.624744949627113,0.776189763240021,0.603644839228016,0.64518439575255,0.778517334809721,0.634775518955325,0.573177812831433,0.768566636410519,0.880047930883642,0.946469391840661,0.780411147981765,0.514267549812592,0.521646328204072,0.66219692064731,0.620727799436127,0.635961047762521,0.913121691106166,1.01902076270655,1.00979766689356,1.05193875161514,0.520351140069151,0.786663811319113,0.927315393578454,0.811187491447763,0.578359443071389,0.879229540975263,0.621298065551121,0.750882302179231,0.841547567117117,0.975262639647823,0.785142682590979,0.685999698460011,0.827734312559124,0.581817533097163,0.618448247441364,0.803969663000647,0.569772119310147,0.5202341000017,0.923205648621258,0.510951971410331,0.69321751378979,0.715285041411884,0.626809050920769,0.629594310866533,0.832543064391102,1.22229514699741,0.788083754257258,0.63071485181693,0.67729222491708,0.832569263629648,0.658788933539686,0.64518439575255,0.624744949627113,0.776189763240021,0.778517334809721,0.634775518955325,0.768566636410519,0.70672185352272,0.735718245424161,0.750301814610061,0.715556874783265,0.615343959450093,0.774119902934332,0.520973606802929,0.5918296245126,1.03854393252515,1.41693412939967,0.937808623305081,1.12405839288879,0.720024303000327,0.636726067218469,0.689537465659616,0.603122332131515,0.790049770680386,0.899651208255418,0.679518458919647,0.59292843953415,0.93155404558945,0.906122853777102,0.880659179227321,0.728723132490578,0.886624807188733
"006_Sankara_ AiUBh_segmented_complete",0.749667859857363,0.641577668065938,0.668920782052596,0.610146803722683,0.606661569748572,0.65559780805891,0,0.607383867295249,0.657662097126978,0.634723809826272,0.784859521949183,0.563068466912385,0.622588213491086,0.725607197340315,0.584255655499799,0.58317035217851,0.712049206418492,0.816660380462829,0.824815156248881,0.737576230935882,0.531726243482149,0.535019399394594,0.688404986764833,0.627937717529172,0.68384950465878,0.840992160977015,1.01096214244481,1.02280944027259,0.952737291577038,0.579906255802957,0.832611629884516,0.92691430640191,0.813097246444221,0.597653752080759,0.877222031115987,0.714310432182815,0.723006192379614,0.711288821831619,0.921583495234144,0.789494560764528,0.614230520484683,0.815372035014314,0.676763921730883,0.630267197824164,0.848734808509286,0.613077959917154,0.558063473351091,0.838893200809089,0.535620806742557,0.651159421966778,0.817359116250745,0.636795365109074,0.643631578400818,0.786411783674609,1.15574338492289,0.891569615973745,0.693873337974446,0.492993379587228,0.749913057138814,0.657662097126978,0.622588213491086,0.634723809826272,0.784859521949183,0.725607197340315,0.584255655499799,0.712049206418492,0.654597839029525,0.71122166206292,0.805646753941983,0.741015979141503,0.46700652448971,0.670653455634585,0.53020171604505,0.811499970965577,1.03653519036356,1.39248131158917,0.949287449803398,1.13952911816428,0.628455158366802,0.728919773224178,0.75918204991346,0.600317971962808,0.743614582358927,0.914509674588377,0.753671118655314,0.645156787745102,0.946157510390415,0.952562289142735,0.955470572516372,0.731700289857464,0.853278120857135
"007_Sankara_BhGBh_segmented_complete",0.546300202089947,0.527086259674469,0.518788675154308,0.549759120605641,0.431383095808777,0.60049706306865,0.607383867295249,0,0.61089404656603,0.631877756518977,0.787627338881815,0.394253659724406,0.437246707800978,0.584885406643947,0.550659801139517,0.467773349295961,0.658606765445477,0.830020650259375,0.887901645842127,0.605428594455003,0.509153636420644,0.452002770366263,0.692942016941618,0.52905741412614,0.402710659656531,0.712791275626713,0.814381526594254,0.974266001603438,0.990483164318642,0.512808555026926,0.702102390461359,0.806228369026713,0.820119569319896,0.496799844433267,0.77023322185669,0.6993855372351,0.726281736391154,0.710610699094117,0.893587643678894,0.711498242089986,0.539933465024019,0.697556286247826,0.67412516149486,0.598225424447897,0.679199282696854,0.525599969326657,0.545740476876979,0.882228953479581,0.519145577489074,0.531744003563959,0.689266041517284,0.465623457193117,0.472255636722422,0.663019845652634,1.07222022106638,0.847802064444443,0.658181741488733,0.417474682218217,0.637699618054834,0.61089404656603,0.437246707800978,0.631877756518977,0.787627338881815,0.584885406643947,0.550659801139517,0.658606765445477,0.50728977183801,0.779182464698715,0.77399662564083,0.621486820892483,0.513429646636476,0.594405175861402,0.508495326909979,0.74294579384597,0.889522052212692,1.2051098901321,0.702709839003175,0.88105393910898,0.605891103679848,0.647393569405,0.581201474070523,0.715633763540836,0.526598016305288,0.885632868683965,0.589577219860339,0.623051775713112,0.836988603221181,0.893697961737447,0.862541851339262,0.693024199462182,0.647348410136124
"008_Sankara_IUBh_segmented_complete",0.812164091144864,0.705750076051423,0.705549537984904,0.748081763069022,0.616081048029362,0.658788933539686,0.657662097126978,0.61089404656603,0,0.68109868149135,0.849276796645472,0.591056390135569,0.670530834871647,0.758485982772744,0.605903574270001,0.588408569591369,0.778147550346974,0.922220009853721,0.913171740008089,0.906947413674123,0.522184561414426,0.566806459388803,0.744752115067656,0.62358406159067,0.661685173666923,0.970976771127736,1.09141809588512,1.14697374722148,0.935399032745828,0.686533403404568,0.880829181657707,1.06827742255381,0.95288393428531,0.597497390264377,0.976375768007627,0.792136777022918,0.787707472746942,0.705179632407808,1.18340804110173,0.902091190739391,0.71496888013389,0.972190618811716,0.69420525404573,0.629928204733724,0.898022051601076,0.595700822598715,0.533174062490087,0.899212037088802,0.526079124674834,0.784655972727696,0.826451665729963,0.699212778641173,0.705364278621129,0.889313604192508,1.2465785429702,0.825898895294018,0.711081670855162,0.685654129066451,0.912504335305399,0,0.670530834871647,0.68109868149135,0.849276796645472,0.758485982772744,0.605903574270001,0.778147550346974,0.745323982955983,0.925125278459001,0.943814327792894,0.763792170515388,0.669242485535397,0.822871180807715,0.641578444838161,0.833783923116012,1.14695336309842,1.41019106426104,1.02493255142456,1.16328560035631,0.821758319793816,0.771996478786525,0.665197264604352,0.668152117056768,0.906744703907251,1.11304243433652,0.880127218764671,0.7246999535891,1.05945401852034,1.03717735311976,1.0888141549803,0.749635474584245,0.98603136983162
"009_Sankara_KeUBh_segmented_complete",0.732194813955897,0.721275344094947,0.769269621517903,0.756236176862487,0.60387823293804,0.624744949627113,0.634723809826272,0.631877756518977,0.68109868149135,0,0.83965807517414,0.587878291644849,0.660397852045374,0.855509221490536,0.669582797693858,0.549793106382629,0.779869814993307,0.834062814771583,1.03154201679125,0.84434902109817,0.626565797376486,0.608226493835024,0.776463436131126,0.675394605948022,0.694022548459038,0.850194083487261,1.09642706161091,1.03767388379655,1.10024986063718,0.659281583309044,0.856533717000679,0.922228874093025,0.921267199367892,0.677172993681327,0.968486601556933,0.763085280902518,0.729704583775207,0.709660977503885,1.02565081277723,0.867178610280576,0.684733204796255,0.923533314373991,0.728823408152637,0.66083799288066,0.917624446383138,0.705888871093685,0.656441162223076,1.02950332013766,0.630460360636894,0.70210727508616,0.805604108170766,0.747873829713257,0.751294697417689,0.875937825723295,1.22280740625198,0.928801509520542,0.742974340407244,0.623453390454593,0.845581531307928,0.68109868149135,0.660397852045374,0,0.83965807517414,0.855509221490536,0.669582797693858,0.779869814993307,0.683264771778114,0.902584933668367,0.987811339808239,0.760861265233851,0.63235178205256,0.767445279619268,0.666707062300658,0.863428836707268,1.04089615229246,1.39691845661565,0.967116869241189,1.07924471670726,0.700724208225657,0.777183541635112,0.68333994321631,0.607575118149776,0.801133945113709,0.962983146058059,0.688399927875624,0.749841326002246,1.04116000176667,0.986492313506685,1.0115639423457,0.824071982517621,0.905434983622706
