lens	run	class	n_features	rho_alone	rho_removed
W1	base	particle	49	0.8886	0.9938
W1	base	pronoun	60	0.8242	0.9853
W1	base	content	337	0.9412	0.9790
W1	base	verb_narrative	22	0.6923	0.9945
W1	base	numeral_list	27	0.8087	0.9976
W1	base	verb_prescriptive	5	0.6044	0.9956
W1	base	closed_union	163	0.9469	0.9414
W1	perturbed	particle	58	0.8988	0.9943
W1	perturbed	pronoun	54	0.7935	0.9833
W1	perturbed	content	334	0.9422	0.9792
W1	perturbed	verb_narrative	22	0.6923	0.9945
W1	perturbed	numeral_list	27	0.8087	0.9976
W1	perturbed	verb_prescriptive	5	0.6044	0.9956
W1	perturbed	closed_union	166	0.9485	0.9371
C3	position	interior	345	0.9716	0.7425
C3	position	initial	42	0.8824	0.7359
C3	position	junction	65	0.1406	0.9661
C3	position	final	46	0.1115	0.9180
C3	position	whole	2	0.0199	0.8890
C3	source-class	content	486	0.8103	0.9682
C3	source-class	verb_narrative	5	0.3826	0.8308
C3	source-class	particle	7	0.0569	0.8770
C3	source-class	numeral_list	2	0.5246	0.8295
