k	feature	rho_selecthalf	rho_holdout	rho_full
1	ādi	0.8326	0.7397	0.7909
2	adya	0.8903	0.8837	0.8782
3	rājānam	0.9270	0.8827	0.9074
4	sma	0.9438	0.8604	0.9119
5	jñānam	0.9654	0.8800	0.9324
6	mama	0.9716	0.8979	0.9421
7	dattvā	0.9745	0.9165	0.9513
8	tayoḥ	0.9782	0.9145	0.9510
9	īśvaram	0.9796	0.8941	0.9487
10	yena	0.9815	0.8497	0.9370
11	rūpeṇa	0.9823	0.8717	0.9415
12	bhuvi	0.9824	0.8130	0.9372
13	mātā	0.9833	0.7935	0.9306
14	tapaḥ	0.9836	0.7762	0.9240
15	yānti	0.9841	0.8364	0.9388
16	nāradaḥ	0.9841	0.8339	0.9363
17	bhūtānām	0.9837	0.7924	0.9282
18	tale	0.9820	0.7817	0.9200
19	ati	0.9796	0.7643	0.9173
20	duḥkham	0.9798	0.7806	0.9247
21	surāḥ	0.9790	0.7782	0.9157
22	saḥ	0.9770	0.7652	0.9089
23	rāma	0.9721	0.7848	0.9169
24	iha	0.9753	0.8043	0.9205
25	loke	0.9719	0.8245	0.9263
26	vyāsaḥ	0.9716	0.8093	0.9262
27	śiraḥ	0.9727	0.8136	0.9177
28	kṛṣṇaḥ	0.9682	0.8114	0.9225
29	etat	0.9697	0.7986	0.9214
30	āhuḥ	0.9687	0.7062	0.8973
31	raṇe	0.9705	0.7497	0.9125
32	sukha	0.9729	0.7549	0.9086
33	imam	0.9756	0.7583	0.9138
34	ātmā	0.9757	0.6783	0.8921
35	strī	0.9789	0.6425	0.8934
36	puṇya	0.9773	0.7089	0.9132
37	abhavat	0.9774	0.7628	0.9210
38	sūtaḥ	0.9771	0.7533	0.9222
39	śāstra	0.9798	0.7555	0.9182
40	iyam	0.9816	0.7458	0.9215
41	antare	0.9821	0.7314	0.9205
42	āgataḥ	0.9825	0.7144	0.9173
43	brūhi	0.9805	0.7364	0.9242
44	vāc	0.9797	0.7331	0.9071
45	divyam	0.9659	0.7623	0.9095
46	dadarśa	0.9669	0.8016	0.9044
47	om	0.9759	0.8232	0.9146
48	tejaḥ	0.9780	0.8199	0.9071
49	mārkaṇḍeyaḥ	0.9792	0.8071	0.8980
50	agniḥ	0.9771	0.7540	0.8704
51	devi	0.9737	0.7478	0.8741
52	aṣṭau	0.9740	0.7393	0.8591
53	anyat	0.9738	0.7520	0.8666
54	muniḥ	0.9766	0.7361	0.8520
55	hi	0.9789	0.7047	0.8269
56	kṛṣṇa	0.9790	0.6987	0.8191
57	kāla	0.9710	0.6468	0.7446
58	taiḥ	0.9721	0.6314	0.7405
59	indra	0.9671	0.6517	0.7540
60	sūrya	0.9665	0.6799	0.7958
