text	feature	z	rho_x	contribution	rate_permille	corpus_permille
kirfel_ppl_textgruppe_I_col1	put	3.358	-0.478	-1.604	2.341	0.585
kirfel_ppl_textgruppe_I_col1	utr	3.323	-0.452	-1.504	2.456	0.644
kirfel_ppl_textgruppe_I_col1	asu	3.010	-0.462	-1.392	1.297	0.572
kirfel_ppl_textgruppe_I_col1	sya	4.631	-0.294	-1.362	4.650	2.015
kirfel_ppl_textgruppe_I_col1	apu	2.070	-0.508	-1.052	1.136	0.660
kirfel_ppl_textgruppe_I_col1	yām	2.203	-0.475	-1.047	1.742	1.089
kirfel_ppl_textgruppe_I_col1	yav	2.427	-0.396	-0.962	1.374	0.868
kirfel_ppl_textgruppe_I_col1	ava	1.577	-0.565	-0.892	4.681	3.656
kirfel_ppl_textgruppe_I_col1	vān	1.360	-0.632	-0.860	1.872	1.312
kirfel_ppl_textgruppe_I_col1	hat	1.201	-0.693	-0.833	1.558	1.098
kirfel_ppl_textgruppe_I_col1	rut	2.282	-0.362	-0.826	1.067	0.567
kirfel_ppl_textgruppe_I_col1	pūr	1.474	0.527	0.776	0.867	0.562
kirfel_ppl_textgruppe_I_col1	aha	1.470	-0.519	-0.762	2.663	1.937
kirfel_ppl_textgruppe_I_col1	rāj	0.924	-0.810	-0.748	2.103	1.235
kirfel_ppl_textgruppe_I_col1	stu	2.026	0.368	0.746	1.558	0.699
kirfel_ppl_textgruppe_I_col1	uta	3.842	-0.186	-0.715	1.803	0.812
kirfel_ppl_textgruppe_I_col1	ikā	-0.892	0.766	-0.683	0.330	0.602
kirfel_ppl_textgruppe_I_col1	akt	-1.343	0.504	-0.678	0.238	0.742
kirfel_ppl_textgruppe_I_col1	ṃva	2.191	-0.309	-0.676	1.097	0.672
kirfel_ppl_textgruppe_I_col1	arṣ	1.164	-0.577	-0.672	1.120	0.687
kirfel_ppl_textgruppe_I_col1	asy	4.480	-0.147	-0.657	5.318	2.353
kirfel_ppl_textgruppe_I_col1	sth	-1.078	0.573	-0.618	0.683	1.090
kirfel_ppl_textgruppe_I_col1	tām	-1.244	-0.490	0.609	0.445	0.706
kirfel_ppl_textgruppe_I_col1	sat	1.914	-0.315	-0.604	1.328	0.853
kirfel_ppl_textgruppe_I_col1	āha	-1.050	-0.555	0.583	0.445	0.731
kirfel_ppl_textgruppe_I_col1	hāb	1.025	-0.562	-0.576	0.714	0.515
kirfel_ppl_textgruppe_I_col1	tap	1.548	-0.364	-0.563	1.013	0.674
kirfel_ppl_textgruppe_I_col1	mah	1.120	-0.494	-0.553	3.545	2.558
kirfel_ppl_textgruppe_I_col1	ṛṣṭ	-1.038	-0.508	0.527	0.660	0.986
kirfel_ppl_textgruppe_I_col1	kta	-1.018	0.509	-0.518	0.330	0.572
kirfel_ppl_textgruppe_I_col1	bal	0.777	-0.656	-0.510	0.714	0.472
kirfel_ppl_textgruppe_I_col1	pat	1.144	-0.442	-0.506	1.458	1.114
kirfel_ppl_textgruppe_I_col1	ḥpu	2.656	-0.187	-0.495	1.166	0.602
kirfel_ppl_textgruppe_I_col1	mit	1.439	-0.339	-0.487	0.936	0.565
kirfel_ppl_textgruppe_I_col1	vād	-1.041	0.467	-0.486	0.430	0.629
kirfel_ppl_textgruppe_I_col1	atā	-0.732	-0.650	0.476	1.542	1.836
kirfel_ppl_textgruppe_I_col1	har	1.047	-0.444	-0.465	2.555	1.957
kirfel_ppl_textgruppe_I_col1	van	1.751	-0.264	-0.463	1.688	1.163
kirfel_ppl_textgruppe_I_col1	ṣaṇ	-1.519	0.300	-0.456	0.215	0.531
kirfel_ppl_textgruppe_I_col1	abh	0.897	-0.505	-0.453	3.576	3.060
kirfel_ppl_textgruppe_I_col1	aṃg	-1.307	-0.339	0.443	0.276	0.587
kirfel_ppl_textgruppe_I_col1	aṃs	-1.309	0.338	-0.442	1.466	2.042
kirfel_ppl_textgruppe_I_col1	hāy	1.306	-0.337	-0.440	0.668	0.508
kirfel_ppl_textgruppe_I_col1	kār	-0.883	0.472	-0.417	0.529	0.939
kirfel_ppl_textgruppe_I_col1	aiv	1.738	0.239	0.415	2.494	1.413
kirfel_ppl_textgruppe_I_col1	nān	-1.832	0.223	-0.409	0.230	0.683
kirfel_ppl_textgruppe_I_col1	atu	0.975	0.417	0.407	0.844	0.620
kirfel_ppl_textgruppe_I_col1	rak	-1.074	0.374	-0.401	0.760	1.082
kirfel_ppl_textgruppe_I_col1	aye	-0.636	0.625	-0.398	0.399	0.698
kirfel_ppl_textgruppe_I_col1	yas	2.561	-0.155	-0.396	2.410	1.568
kirfel_ppl_textgruppe_I_col1	ādi	-0.569	0.691	-0.393	0.529	0.780
kirfel_ppl_textgruppe_I_col1	lak	-1.162	0.336	-0.390	0.153	0.467
kirfel_ppl_textgruppe_I_col1	adh	1.285	-0.303	-0.390	2.110	1.695
kirfel_ppl_textgruppe_I_col1	aṇa	-1.252	0.311	-0.389	0.721	1.358
kirfel_ppl_textgruppe_I_col1	vij	0.884	0.440	0.389	0.813	0.550
kirfel_ppl_textgruppe_I_col1	rya	0.756	-0.510	-0.385	0.936	0.784
kirfel_ppl_textgruppe_I_col1	uvā	-0.868	-0.438	0.380	0.476	0.947
kirfel_ppl_textgruppe_I_col1	tāṃ	0.479	-0.783	-0.375	0.967	0.813
kirfel_ppl_textgruppe_I_col1	iva	1.472	0.254	0.374	3.330	2.189
kirfel_ppl_textgruppe_I_col1	hak	-0.959	0.387	-0.372	0.391	0.681
kirfel_ppl_textgruppe_I_col1	par	-1.655	0.224	-0.371	1.343	2.268
kirfel_ppl_textgruppe_I_col1	aṃy	-1.371	0.269	-0.369	0.437	0.754
kirfel_ppl_textgruppe_I_col1	tta	0.827	0.441	0.365	1.466	1.236
kirfel_ppl_textgruppe_I_col1	dhy	-0.660	0.548	-0.362	0.537	0.727
kirfel_ppl_textgruppe_I_col1	yān	-1.515	0.237	-0.359	0.691	1.046
kirfel_ppl_textgruppe_I_col1	dṛṣ	-0.684	-0.525	0.359	0.345	0.520
kirfel_ppl_textgruppe_I_col1	āṃv	1.089	-0.330	-0.359	0.622	0.484
kirfel_ppl_textgruppe_I_col1	aṇḍ	-1.014	0.352	-0.357	0.146	0.511
kirfel_ppl_textgruppe_I_col1	ṃvi	-1.497	0.238	-0.356	0.414	0.711
kirfel_ppl_textgruppe_I_col1	rat	0.687	-0.517	-0.355	2.479	2.014
kirfel_ppl_textgruppe_I_col1	yāt	0.538	0.655	0.352	1.220	1.061
kirfel_ppl_textgruppe_I_col1	āma	0.924	-0.376	-0.347	3.070	2.534
kirfel_ppl_textgruppe_I_col1	eva	1.251	0.274	0.343	2.678	2.014
kirfel_ppl_textgruppe_I_col1	aty	1.439	-0.232	-0.335	1.028	0.735
kirfel_ppl_textgruppe_I_col1	nti	-0.947	0.350	-0.332	0.384	0.717
kirfel_ppl_textgruppe_I_col1	ahā	0.637	-0.514	-0.328	2.456	1.974
kirfel_ppl_textgruppe_I_col1	śar	-0.748	-0.435	0.326	0.269	0.523
