text	feature	z	rho_x	contribution	rate_permille	corpus_permille
kirfel_ppl_textgruppe_I_col1	putraḥ	4.736	-0.440	-2.083	4.995	0.697
kirfel_ppl_textgruppe_I_col1	putram	3.008	-0.631	-1.898	1.544	0.337
kirfel_ppl_textgruppe_I_col1	abhavat	2.776	-0.523	-1.451	2.906	0.647
kirfel_ppl_textgruppe_I_col1	āsīt	2.214	-0.593	-1.313	1.862	0.660
kirfel_ppl_textgruppe_I_col1	ha	2.330	-0.557	-1.297	2.225	0.686
kirfel_ppl_textgruppe_I_col1	sutaḥ	3.663	-0.314	-1.149	3.042	0.509
kirfel_ppl_textgruppe_I_col1	rājā	1.531	-0.625	-0.957	3.587	1.251
kirfel_ppl_textgruppe_I_col1	balaḥ	1.593	-0.586	-0.933	0.863	0.318
kirfel_ppl_textgruppe_I_col1	mahātmanaḥ	1.909	-0.478	-0.913	0.999	0.366
kirfel_ppl_textgruppe_I_col1	babhūva	1.690	-0.507	-0.856	0.772	0.288
kirfel_ppl_textgruppe_I_col1	putrāḥ	2.787	-0.291	-0.810	2.498	0.495
kirfel_ppl_textgruppe_I_col1	ādāya	1.792	-0.449	-0.804	0.772	0.295
kirfel_ppl_textgruppe_I_col1	dadau	2.496	-0.311	-0.775	1.090	0.284
kirfel_ppl_textgruppe_I_col1	hatvā	1.564	-0.492	-0.770	0.772	0.251
kirfel_ppl_textgruppe_I_col1	dvijāḥ	2.339	0.325	0.759	1.317	0.327
kirfel_ppl_textgruppe_I_col1	viprāḥ	2.783	0.265	0.738	0.954	0.216
kirfel_ppl_textgruppe_I_col1	svam	2.428	-0.304	-0.738	0.681	0.244
kirfel_ppl_textgruppe_I_col1	varaḥ	1.422	-0.519	-0.738	0.590	0.273
kirfel_ppl_textgruppe_I_col1	tejasā	1.420	-0.504	-0.715	0.681	0.305
kirfel_ppl_textgruppe_I_col1	rājyam	1.527	-0.467	-0.713	0.908	0.338
kirfel_ppl_textgruppe_I_col1	rājānam	1.133	-0.603	-0.683	0.772	0.298
kirfel_ppl_textgruppe_I_col1	pituḥ	1.797	-0.376	-0.676	0.727	0.214
kirfel_ppl_textgruppe_I_col1	eka	-1.149	0.559	-0.642	0.091	0.584
kirfel_ppl_textgruppe_I_col1	tām	1.058	-0.572	-0.605	2.543	1.631
kirfel_ppl_textgruppe_I_col1	putra	1.587	-0.375	-0.595	1.635	0.658
kirfel_ppl_textgruppe_I_col1	jñāna	-0.844	0.692	-0.584	0.000	0.557
kirfel_ppl_textgruppe_I_col1	tam	0.744	-0.783	-0.583	3.996	2.946
kirfel_ppl_textgruppe_I_col1	param	-1.026	0.558	-0.572	0.227	1.043
kirfel_ppl_textgruppe_I_col1	sa	0.817	-0.698	-0.571	9.672	7.531
kirfel_ppl_textgruppe_I_col1	tu	2.475	0.229	0.567	23.749	9.619
kirfel_ppl_textgruppe_I_col1	tad	-0.904	0.602	-0.544	0.500	2.296
kirfel_ppl_textgruppe_I_col1	catur	-1.012	0.535	-0.542	0.000	0.275
kirfel_ppl_textgruppe_I_col1	dharma	1.953	-0.274	-0.534	2.952	1.283
kirfel_ppl_textgruppe_I_col1	paraḥ	-0.910	0.573	-0.522	0.045	0.349
kirfel_ppl_textgruppe_I_col1	mahā	0.756	-0.686	-0.519	9.445	6.417
kirfel_ppl_textgruppe_I_col1	mahat	1.060	-0.483	-0.512	0.863	0.498
kirfel_ppl_textgruppe_I_col1	ucyate	0.982	0.521	0.512	0.999	0.425
kirfel_ppl_textgruppe_I_col1	kim	-1.132	-0.445	0.503	0.182	1.420
kirfel_ppl_textgruppe_I_col1	tejāḥ	1.058	-0.475	-0.503	0.817	0.310
kirfel_ppl_textgruppe_I_col1	nṛpaḥ	2.351	-0.213	-0.501	1.044	0.248
kirfel_ppl_textgruppe_I_col1	imām	0.989	-0.506	-0.501	0.636	0.314
kirfel_ppl_textgruppe_I_col1	pāda	-0.939	0.533	-0.500	0.000	0.408
kirfel_ppl_textgruppe_I_col1	saha	0.823	-0.599	-0.493	1.907	1.290
kirfel_ppl_textgruppe_I_col1	artha	-1.001	0.485	-0.486	0.136	0.518
kirfel_ppl_textgruppe_I_col1	sutāḥ	2.951	-0.164	-0.484	1.589	0.298
kirfel_ppl_textgruppe_I_col1	sarva	-1.126	0.414	-0.467	1.544	3.660
kirfel_ppl_textgruppe_I_col1	atha	1.653	-0.280	-0.462	4.677	2.753
kirfel_ppl_textgruppe_I_col1	sapta	1.171	0.382	0.447	1.408	0.659
kirfel_ppl_textgruppe_I_col1	varam	1.085	-0.408	-0.442	0.817	0.404
kirfel_ppl_textgruppe_I_col1	aṣṭa	-0.822	0.522	-0.429	0.000	0.242
kirfel_ppl_textgruppe_I_col1	jāyate	-0.705	0.607	-0.428	0.045	0.338
kirfel_ppl_textgruppe_I_col1	ādi	-0.520	0.793	-0.412	0.318	1.268
kirfel_ppl_textgruppe_I_col1	parama	1.302	-0.311	-0.405	1.090	0.570
kirfel_ppl_textgruppe_I_col1	ādibhiḥ	-0.717	0.564	-0.404	0.091	0.339
kirfel_ppl_textgruppe_I_col1	smṛtāḥ	0.994	0.396	0.393	1.499	0.554
kirfel_ppl_textgruppe_I_col1	kaḥ	-0.719	-0.531	0.382	0.272	0.548
kirfel_ppl_textgruppe_I_col1	tasya	2.664	-0.142	-0.377	7.220	2.843
kirfel_ppl_textgruppe_I_col1	sārdham	-0.933	-0.400	0.374	0.000	0.222
kirfel_ppl_textgruppe_I_col1	iva	-0.599	-0.618	0.370	0.908	2.341
kirfel_ppl_textgruppe_I_col1	tri	-0.646	0.560	-0.362	0.091	0.398
kirfel_ppl_textgruppe_I_col1	tau	0.600	-0.591	-0.354	0.681	0.437
kirfel_ppl_textgruppe_I_col1	tā	-0.896	0.393	-0.352	0.000	0.267
kirfel_ppl_textgruppe_I_col1	sadā	-0.769	0.457	-0.351	0.363	1.143
kirfel_ppl_textgruppe_I_col1	vayam	-0.606	-0.579	0.351	0.136	0.349
kirfel_ppl_textgruppe_I_col1	namaḥ	-0.663	0.523	-0.346	0.045	1.344
kirfel_ppl_textgruppe_I_col1	asi	-0.577	-0.599	0.346	0.227	0.549
kirfel_ppl_textgruppe_I_col1	cakre	0.836	-0.413	-0.346	0.545	0.304
kirfel_ppl_textgruppe_I_col1	kramāt	-0.591	0.584	-0.345	0.000	0.187
kirfel_ppl_textgruppe_I_col1	jñānam	-0.503	0.683	-0.344	0.091	0.495
kirfel_ppl_textgruppe_I_col1	ṣaṣ	-0.608	0.565	-0.344	0.091	0.245
kirfel_ppl_textgruppe_I_col1	viṣṇu	-0.626	0.545	-0.341	0.000	0.563
kirfel_ppl_textgruppe_I_col1	lakṣaṇam	-0.654	0.521	-0.341	0.045	0.234
kirfel_ppl_textgruppe_I_col1	tava	0.570	-0.591	-0.337	1.544	1.080
kirfel_ppl_textgruppe_I_col1	vīra	-0.480	-0.702	0.337	0.091	0.275
kirfel_ppl_textgruppe_I_col1	yāti	-0.661	0.509	-0.336	0.091	0.296
kirfel_ppl_textgruppe_I_col1	tadā	0.600	-0.559	-0.336	3.724	2.713
kirfel_ppl_textgruppe_I_col1	kuryāt	-0.624	0.537	-0.335	0.000	0.435
kirfel_ppl_textgruppe_I_col1	mahān	0.760	-0.434	-0.330	0.681	0.442
kirfel_ppl_textgruppe_I_col1	sūrya	-0.863	0.380	-0.328	0.091	0.362
kirfel_ppl_textgruppe_I_col1	asya	-0.829	-0.395	0.328	0.454	0.890
kirfel_ppl_textgruppe_I_col1	snānam	-0.603	0.534	-0.322	0.000	0.173
kirfel_ppl_textgruppe_I_col1	eva	1.393	0.230	0.320	15.757	9.926
kirfel_ppl_textgruppe_I_col1	smṛtam	-0.554	0.576	-0.319	0.091	0.313
kirfel_ppl_textgruppe_I_col1	pāpa	-0.769	0.409	-0.315	0.136	0.687
kirfel_ppl_textgruppe_I_col1	vā	-0.850	0.369	-0.314	1.181	3.198
kirfel_ppl_textgruppe_I_col1	mām	-0.550	-0.565	0.311	0.636	1.129
kirfel_ppl_textgruppe_I_col1	āsa	-0.609	-0.496	0.302	0.000	0.526
kirfel_ppl_textgruppe_I_col1	ete	2.318	0.130	0.302	2.997	0.878
kirfel_ppl_textgruppe_I_col1	ādikam	-0.577	0.518	-0.299	0.000	0.171
kirfel_ppl_textgruppe_I_col1	rudra	-0.541	0.551	-0.298	0.045	0.274
kirfel_ppl_textgruppe_I_col1	ādyāḥ	-0.529	0.559	-0.295	0.136	0.417
kirfel_ppl_textgruppe_I_col1	vai	2.370	0.124	0.295	8.582	3.108
kirfel_ppl_textgruppe_I_col1	uktaḥ	0.601	-0.489	-0.294	0.545	0.354
kirfel_ppl_textgruppe_I_col1	jala	-0.952	0.307	-0.292	0.000	0.241
kirfel_ppl_textgruppe_I_col1	satya	0.951	-0.307	-0.292	0.727	0.366
kirfel_ppl_textgruppe_I_col1	dṛṣṭvā	-0.455	-0.642	0.292	1.362	1.951
kirfel_ppl_textgruppe_I_col1	īśvara	-0.906	0.316	-0.286	0.000	0.234
kirfel_ppl_textgruppe_I_col1	tvām	-0.413	-0.693	0.286	0.409	0.636
kirfel_ppl_textgruppe_I_col1	paramam	-0.963	0.296	-0.285	0.000	0.375
kirfel_ppl_textgruppe_I_col1	sva	-0.775	0.358	-0.278	0.636	1.646
kirfel_ppl_textgruppe_I_col1	śoka	-0.564	-0.492	0.277	0.000	0.331
kirfel_ppl_textgruppe_I_col1	imam	1.157	-0.239	-0.277	0.545	0.271
kirfel_ppl_textgruppe_I_col1	pūjayet	-0.530	0.522	-0.277	0.000	0.186
kirfel_ppl_textgruppe_I_col1	phala	-0.595	0.460	-0.274	0.136	0.392
kirfel_ppl_textgruppe_I_col1	pūrvam	1.732	-0.157	-0.272	1.544	0.751
kirfel_ppl_textgruppe_I_col1	aham	-0.658	-0.413	0.271	1.635	2.578
kirfel_ppl_textgruppe_I_col1	bhaviṣyati	1.019	-0.265	-0.270	0.817	0.411
kirfel_ppl_textgruppe_I_col1	yāvat	-0.689	0.391	-0.269	0.182	0.424
kirfel_ppl_textgruppe_I_col1	śrutvā	-0.411	-0.647	0.266	0.727	1.088
kirfel_ppl_textgruppe_I_col1	enam	-0.404	-0.655	0.265	0.182	0.336
