dropped_unit	rho_x	axis1_share
agnipurana_u	0.9994	0.1057
bhagavatapurana_skandha-01_u	0.9994	0.1062
bhagavatapurana_skandha-02_u	0.9998	0.1075
bhagavatapurana_skandha-03_u	0.9997	0.1066
bhagavatapurana_skandha-04_u	0.9997	0.1065
bhagavatapurana_skandha-05_u	1.0000	0.1075
bhagavatapurana_skandha-06_u	0.9997	0.1065
bhagavatapurana_skandha-07_u	0.9997	0.1067
bhagavatapurana_skandha-08_u	0.9997	0.1066
bhagavatapurana_skandha-09_u	0.9995	0.1063
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.9992	0.1072
bhagavatapurana_skandha-10_u	0.9997	0.1063
bhagavatapurana_skandha-11_u	0.9995	0.1066
bhagavatapurana_skandha-12_u	0.9997	0.1066
bhavisyapurana	0.9994	0.1065
brahmandapurana	0.9987	0.1054
brahmandapurana_khanda-1_u	0.9991	0.1067
brahmandapurana_khanda-2_u	0.9994	0.1061
brahmandapurana_khanda-3_u	0.9998	0.1061
brahmapurana_pu	0.9997	0.1061
devibhagavatapurana	0.9984	0.1064
devibhagavatapurana_devigita_adhyaya-31-40	0.9988	0.1059
devipurana	0.9970	0.1058
garudapurana_khanda-1_u	0.9976	0.1063
garudapurana_khanda-2_u	0.9957	0.1061
garudapurana_khanda-3_u	0.9991	0.1062
harivamsa	0.9991	0.1045
harivamsa_appendix-29-30_mathura	0.9995	0.1059
harivamsa_appendix-31	0.9990	0.1065
harivamsa_appendix-41	0.9988	0.1071
harivamsa_appendix-42_pradurbhava	0.9964	0.1057
kalikapurana	0.9991	0.1059
karatoyamahatmya_pu	0.9862	0.1073
kirfel_ppl_textgruppe_IIA_col1	0.9956	0.1074
kirfel_ppl_textgruppe_IIB_col1	0.9977	0.1068
kirfel_ppl_textgruppe_III_col1	0.9997	0.1081
kirfel_ppl_textgruppe_II_col1	0.9987	0.1068
kirfel_ppl_textgruppe_I_col1	0.9937	0.1061
