dropped_unit	rho_x	axis1_share
agnipurana_u	0.9969	0.0860
bhagavatapurana_skandha-01_u	0.9997	0.0874
bhagavatapurana_skandha-02_u	0.9997	0.0880
bhagavatapurana_skandha-03_u	0.9999	0.0876
bhagavatapurana_skandha-04_u	1.0000	0.0876
bhagavatapurana_skandha-05_u	1.0000	0.0881
bhagavatapurana_skandha-06_u	1.0000	0.0876
bhagavatapurana_skandha-07_u	0.9999	0.0876
bhagavatapurana_skandha-08_u	1.0000	0.0876
bhagavatapurana_skandha-09_u	0.9996	0.0874
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.9997	0.0878
bhagavatapurana_skandha-10_u	0.9975	0.0879
bhagavatapurana_skandha-11_u	0.9998	0.0876
bhagavatapurana_skandha-12_u	1.0000	0.0877
bhavisyapurana	0.9992	0.0861
brahmandapurana	0.9967	0.0874
brahmandapurana_khanda-1_u	0.9991	0.0878
brahmandapurana_khanda-2_u	0.9999	0.0873
brahmandapurana_khanda-3_u	0.9994	0.0870
brahmapurana_pu	0.9994	0.0866
devibhagavatapurana	0.9996	0.0871
devibhagavatapurana_devigita_adhyaya-31-40	0.9998	0.0868
devipurana	0.9979	0.0861
garudapurana_khanda-1_u	0.9989	0.0862
garudapurana_khanda-2_u	0.9988	0.0864
garudapurana_khanda-3_u	0.9985	0.0864
harivamsa	0.9986	0.0856
harivamsa_appendix-29-30_mathura	0.9986	0.0866
harivamsa_appendix-31	0.9986	0.0872
harivamsa_appendix-41	0.9996	0.0882
harivamsa_appendix-42_pradurbhava	0.9991	0.0868
kalikapurana	0.9991	0.0869
karatoyamahatmya_pu	0.9948	0.0866
kirfel_ppl_textgruppe_IIA_col1	0.9990	0.0881
kirfel_ppl_textgruppe_IIB_col1	0.9994	0.0880
kirfel_ppl_textgruppe_III_col1	0.9991	0.0885
kirfel_ppl_textgruppe_II_col1	0.9989	0.0873
kirfel_ppl_textgruppe_I_col1	0.9941	0.0861
kirfel_ppl_textgruppe_Ia_col1	0.9972	0.0881
kirfel_ppl_ungrouped_col1	0.9972	0.0869
kurmapurana_khanda-1_u	0.9998	0.0874
kurmapurana_khanda-2_u	0.9982	0.0865
lingapurana_khanda-1_u	0.9970	0.0863
lingapurana_khanda-2_u	0.9984	0.0860
mahabharata_01-adiparvan	0.9942	0.0857
mahabharata_02-appendix-21_sisupala	0.9997	0.0871
mahabharata_02-sabhaparvan	0.9985	0.0858
mahabharata_03-aranyakaparvan	0.9946	0.0856
mahabharata_04-virataparvan	0.9969	0.0853
mahabharata_05-udyogaparvan	0.9945	0.0856
mahabharata_06-bhismaparvan	0.9942	0.0852
mahabharata_07-appendix-08_sodasarajika	0.9994	0.0873
mahabharata_07-dronaparvan	0.9923	0.0851
mahabharata_08-karnaparvan	0.9932	0.0853
mahabharata_09-salyaparvan	0.9972	0.0844
mahabharata_10-sauptikaparvan	0.9992	0.0862
mahabharata_11-striparvan	0.9986	0.0865
mahabharata_12-appendix-29_moksadharma	0.9999	0.0882
mahabharata_12-santiparvan	0.9973	0.0879
mahabharata_13-anusasanaparvan	0.9999	0.0873
mahabharata_13-appendix-15_umamahesvara	0.9997	0.0874
mahabharata_14-appendix-04_vaisnavadharma	0.9999	0.0876
mahabharata_14-asvamedhikaparvan	0.9996	0.0871
mahabharata_15-asramavasikaparvan	0.9994	0.0859
mahabharata_16-mausalaparvan	0.9982	0.0867
mahabharata_17-mahaprasthanikaparvan	0.9973	0.0867
mahabharata_18-svargarohanaparvan	0.9990	0.0872
markandeyapurana	0.9974	0.0872
markandeyapurana_adhyaya-1-80_u	1.0000	0.0874
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.9998	0.0880
markandeyapurana_adhyaya-94-141_u	0.9997	0.0873
matsyapurana_pu	0.9994	0.0869
naradapurana_khanda-1_u	0.9994	0.0861
naradapurana_khanda-2_u	0.9992	0.0874
nilamatapurana_au	0.9991	0.0869
nrsimhapurana_pu	0.9999	0.0875
padmapurana_a	0.9983	0.0861
pranavakalpa	0.9986	0.0865
ramayana_01-balakanda	0.9986	0.0865
ramayana_02-ayodhyakanda_a	0.9939	0.0874
ramayana_03-aranyakanda_a	0.9978	0.0863
ramayana_04-kiskindhakanda	0.9977	0.0865
ramayana_05-sundarakanda	0.9983	0.0861
ramayana_06-yuddhakanda	0.9932	0.0863
ramayana_07-uttarakanda	0.9976	0.0856
saurapurana	0.9994	0.0869
sivadharmasastra	0.9983	0.0864
sivadharmottara	0.9989	0.0868
sivapurana_dharmasamhita	0.9997	0.0869
sivapurana_karvanamahatmya_au	0.9989	0.0877
sivapurana_rudrasamhita	0.9988	0.0868
sivapurana_sanatkumarasamhita	0.9991	0.0864
sivapurana_satarudrasamhita_au	0.9997	0.0874
sivapurana_umasamhita	0.9999	0.0872
sivapurana_vayaviyasamhita_au	0.9994	0.0861
sivapurana_vidyesvarasamhita_au	0.9909	0.0851
skandamahapurana_himavatkhanda	0.9991	0.0868
skandamahapurana_kasikhanda	0.9990	0.0868
skandamahapurana_revakhanda	0.9995	0.0870
skandamahapurana_sutasamhita_khanda-4	0.9987	0.0860
skandapurana	0.9960	0.0865
skandapurana_adhyaya-1-31_pu	0.9999	0.0876
skandapurana_pasupata_adhyaya174-183_u	0.9981	0.0867
vamanapurana_saromahatmya_u	0.9997	0.0878
vamanapurana_u	0.9994	0.0869
vayupurana	0.9984	0.0866
vayupurana_01_frame-and-cosmogony_iast	0.9983	0.0888
vayupurana_02_pashupata-yoga_iast	0.9941	0.0869
vayupurana_03_kalpas-and-shiva-lineages_iast	0.9998	0.0883
vayupurana_04_bhuvana-vinyasa_iast	0.9993	0.0880
vayupurana_05_jyotis-and-purvardha-close_iast	0.9990	0.0889
vayupurana_06_prthu-and-prajapati-lineages_iast	0.9999	0.0890
vayupurana_07_shraddha-kalpa_iast	0.9992	0.0883
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.9974	0.0887
vayupurana_09_upasamhara_iast	0.9992	0.0878
vayupurana_10_gaya-mahatmya_iast	0.9975	0.0871
vayupurana_revakhanda	0.9990	0.0866
visnudharma_pu	0.9999	0.0874
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.9992	0.0880
visnupurana_amsa-1_u	1.0000	0.0877
visnupurana_amsa-2_u	0.9997	0.0882
visnupurana_amsa-3_u	0.9999	0.0877
visnupurana_amsa-4_u	0.9993	0.0877
visnupurana_amsa-5_u	0.9999	0.0880
visnupurana_amsa-6_u	0.9999	0.0892
visnupurana_u	0.9999	0.0875
