dropped_unit	rho_x	axis1_share
agnipurana_u	0.9981	0.1319
bhagavatapurana_skandha-01_u	0.9999	0.1361
bhagavatapurana_skandha-02_u	0.9996	0.1361
bhagavatapurana_skandha-03_u	0.9999	0.1359
bhagavatapurana_skandha-04_u	0.9997	0.1359
bhagavatapurana_skandha-05_u	0.9996	0.1353
bhagavatapurana_skandha-06_u	0.9998	0.1360
bhagavatapurana_skandha-07_u	0.9999	0.1363
bhagavatapurana_skandha-08_u	0.9999	0.1360
bhagavatapurana_skandha-09_u	0.9997	0.1362
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.9997	0.1365
bhagavatapurana_skandha-10_u	0.9995	0.1357
bhagavatapurana_skandha-11_u	0.9991	0.1358
bhagavatapurana_skandha-12_u	0.9997	0.1359
bhavisyapurana	0.9991	0.1356
brahmandapurana	0.9991	0.1354
brahmandapurana_khanda-1_u	0.9987	0.1359
brahmandapurana_khanda-2_u	0.9995	0.1348
brahmandapurana_khanda-3_u	0.9994	0.1348
brahmapurana_pu	0.9997	0.1357
devibhagavatapurana	0.9991	0.1373
devibhagavatapurana_devigita_adhyaya-31-40	0.9992	0.1351
devipurana	0.9992	0.1339
garudapurana_khanda-1_u	0.9990	0.1331
garudapurana_khanda-2_u	0.9997	0.1346
garudapurana_khanda-3_u	0.9995	0.1351
harivamsa	0.9998	0.1345
harivamsa_appendix-29-30_mathura	0.9998	0.1353
harivamsa_appendix-31	0.9999	0.1355
harivamsa_appendix-41	1.0000	0.1363
harivamsa_appendix-42_pradurbhava	0.9997	0.1359
kalikapurana	0.9995	0.1352
karatoyamahatmya_pu	0.9982	0.1372
kirfel_ppl_textgruppe_IIA_col1	0.9994	0.1361
kirfel_ppl_textgruppe_IIB_col1	0.9991	0.1357
kirfel_ppl_textgruppe_III_col1	0.9994	0.1364
kirfel_ppl_textgruppe_II_col1	0.9999	0.1361
kirfel_ppl_textgruppe_I_col1	0.9997	0.1350
kirfel_ppl_textgruppe_Ia_col1	0.9999	0.1365
kirfel_ppl_ungrouped_col1	0.9996	0.1356
kurmapurana_khanda-1_u	0.9993	0.1356
kurmapurana_khanda-2_u	0.9991	0.1343
lingapurana_khanda-1_u	0.9985	0.1348
lingapurana_khanda-2_u	0.9991	0.1335
mahabharata_01-adiparvan	0.9987	0.1329
mahabharata_02-appendix-21_sisupala	0.9994	0.1348
mahabharata_02-sabhaparvan	0.9995	0.1330
mahabharata_03-aranyakaparvan	0.9987	0.1332
mahabharata_04-virataparvan	0.9994	0.1330
mahabharata_05-udyogaparvan	0.9991	0.1331
mahabharata_06-bhismaparvan	0.9992	0.1326
mahabharata_07-appendix-08_sodasarajika	0.9996	0.1354
mahabharata_07-dronaparvan	0.9992	0.1333
mahabharata_08-karnaparvan	0.9994	0.1320
mahabharata_09-salyaparvan	0.9996	0.1324
mahabharata_10-sauptikaparvan	0.9997	0.1337
mahabharata_11-striparvan	0.9997	0.1343
mahabharata_12-appendix-29_moksadharma	0.9998	0.1369
mahabharata_12-santiparvan	0.9988	0.1348
mahabharata_13-anusasanaparvan	0.9995	0.1357
mahabharata_13-appendix-15_umamahesvara	0.9999	0.1356
mahabharata_14-appendix-04_vaisnavadharma	0.9998	0.1355
mahabharata_14-asvamedhikaparvan	0.9993	0.1336
mahabharata_15-asramavasikaparvan	0.9994	0.1322
mahabharata_16-mausalaparvan	0.9994	0.1340
mahabharata_17-mahaprasthanikaparvan	0.9970	0.1347
mahabharata_18-svargarohanaparvan	0.9993	0.1351
markandeyapurana	0.9999	0.1357
markandeyapurana_adhyaya-1-80_u	0.9999	0.1356
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.9999	0.1362
markandeyapurana_adhyaya-94-141_u	0.9999	0.1357
matsyapurana_pu	0.9986	0.1342
naradapurana_khanda-1_u	0.9990	0.1323
naradapurana_khanda-2_u	0.9997	0.1350
nilamatapurana_au	0.9997	0.1359
nrsimhapurana_pu	0.9998	0.1360
padmapurana_a	0.9977	0.1359
pranavakalpa	0.9993	0.1343
ramayana_01-balakanda	0.9994	0.1324
ramayana_02-ayodhyakanda_a	0.9989	0.1329
ramayana_03-aranyakanda_a	0.9998	0.1342
ramayana_04-kiskindhakanda	0.9996	0.1339
ramayana_05-sundarakanda	0.9999	0.1345
