text	stratum	x	retention	gain	frac_orig_present
agnipurana_u	5	0.277784	0.022652	0.009343	1.0000
bhagavatapurana_skandha-01_u	7	-0.158068	0.026692	0.004302	1.0000
bhagavatapurana_skandha-02_u	7	0.044508	0.020445	0.005262	0.9118
bhagavatapurana_skandha-03_u	7	0.009649	0.022367	0.004882	1.0000
bhagavatapurana_skandha-04_u	7	-0.053495	0.024980	0.005048	1.0000
bhagavatapurana_skandha-05_u	7	0.002530	0.026376	0.003951	1.0000
bhagavatapurana_skandha-06_u	7	-0.036371	0.024584	0.005807	1.0000
bhagavatapurana_skandha-07_u	7	0.008212	0.023940	0.006181	1.0000
bhagavatapurana_skandha-08_u	7	-0.080445	0.024114	0.005103	1.0000
bhagavatapurana_skandha-09_u	7	-0.154498	0.029684	0.004451	1.0000
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	8	0.075341	0.022436	0.004070	1.0000
bhagavatapurana_skandha-10_u	7	-0.167106	0.025269	0.004150	1.0000
bhagavatapurana_skandha-11_u	7	0.078461	0.021454	0.004557	1.0000
bhagavatapurana_skandha-12_u	7	0.048868	0.022552	0.005258	1.0000
bhavisyapurana	5	0.118255	0.025717	0.008048	1.0000
brahmandapurana	3	0.094005	0.026262	0.005792	1.0000
brahmandapurana_khanda-1_u	3	0.232719	0.024468	0.005114	1.0000
brahmandapurana_khanda-2_u	3	-0.037880	0.029006	0.005089	1.0000
brahmandapurana_khanda-3_u	3	0.152320	0.024084	0.007549	1.0000
brahmapurana_pu	5	0.007482	0.026013	0.006011	1.0000
devibhagavatapurana	5	0.017610	0.025310	0.006655	1.0000
devibhagavatapurana_devigita_adhyaya-31-40	5	0.314579	0.022308	0.007865	0.9706
devipurana	5	0.214438	0.024120	0.010246	1.0000
garudapurana_khanda-1_u	5	0.206747	0.021263	0.008418	1.0000
garudapurana_khanda-2_u	5	0.202495	0.022388	0.006879	1.0000
garudapurana_khanda-3_u	5	0.256910	0.018955	0.008865	1.0000
harivamsa	12	-0.232192	0.031129	0.004446	1.0000
harivamsa_appendix-29-30_mathura	11	-0.227581	0.030039	0.006366	1.0000
harivamsa_appendix-31	11	-0.198790	0.028750	0.007086	1.0000
harivamsa_appendix-41	11	0.052197	0.028775	0.004890	1.0000
harivamsa_appendix-42_pradurbhava	11	-0.204919	0.031625	0.004627	1.0000
kalikapurana	5	0.104473	0.024039	0.008853	1.0000
karatoyamahatmya_pu	5	0.374074	0.018788	0.010280	0.5882
kirfel_ppl_textgruppe_IIA_col1	14	0.369359	0.017256	0.006480	0.9706
kirfel_ppl_textgruppe_IIB_col1	14	0.338211	0.019570	0.005094	1.0000
kirfel_ppl_textgruppe_III_col1	14	0.174934	0.022993	0.006836	0.9412
kirfel_ppl_textgruppe_II_col1	14	-0.105188	0.031658	0.005876	1.0000
kirfel_ppl_textgruppe_I_col1	14	-0.126904	0.032760	0.004522	1.0000
kirfel_ppl_textgruppe_Ia_col1	14	0.126367	0.027716	0.005492	1.0000
kirfel_ppl_ungrouped_col1	14	-0.158574	0.030465	0.005233	1.0000
kurmapurana_khanda-1_u	5	0.119267	0.023958	0.008091	1.0000
kurmapurana_khanda-2_u	5	0.298075	0.020375	0.009316	1.0000
lingapurana_khanda-1_u	5	0.164727	0.022567	0.007623	1.0000
lingapurana_khanda-2_u	5	0.264223	0.021260	0.010286	1.0000
mahabharata_01-adiparvan	1	-0.309810	0.035930	0.003789	1.0000
mahabharata_02-appendix-21_sisupala	11	-0.257195	0.035561	0.006278	1.0000
mahabharata_02-sabhaparvan	1	-0.425468	0.047119	0.003799	1.0000
mahabharata_03-aranyakaparvan	1	-0.321352	0.038203	0.003976	1.0000
mahabharata_04-virataparvan	1	-0.448047	0.045578	0.002651	1.0000
mahabharata_05-udyogaparvan	1	-0.339436	0.039920	0.004400	1.0000
mahabharata_06-bhismaparvan	1	-0.420118	0.044932	0.003053	1.0000
mahabharata_07-appendix-08_sodasarajika	11	-0.225761	0.034922	0.004978	0.9412
mahabharata_07-dronaparvan	1	-0.474392	0.046887	0.002848	1.0000
mahabharata_08-karnaparvan	1	-0.477851	0.046945	0.002882	1.0000
mahabharata_09-salyaparvan	1	-0.452813	0.046550	0.003606	1.0000
mahabharata_10-sauptikaparvan	1	-0.371537	0.038760	0.003006	1.0000
mahabharata_11-striparvan	1	-0.403302	0.040777	0.003855	1.0000
mahabharata_12-appendix-29_moksadharma	11	0.093602	0.029074	0.004251	1.0000
mahabharata_12-santiparvan	1	-0.038123	0.032203	0.005023	1.0000
mahabharata_13-anusasanaparvan	1	-0.074989	0.032003	0.005176	1.0000
mahabharata_13-appendix-15_umamahesvara	11	0.203437	0.027770	0.007459	1.0000
mahabharata_14-appendix-04_vaisnavadharma	11	0.165058	0.028299	0.006979	1.0000
