text	stratum	x	retention	gain	frac_orig_present
agnipurana_u	5	0.252731	0.021353	0.010311	1.0000
bhagavatapurana_skandha-01_u	7	-0.090001	0.024676	0.004607	1.0000
bhagavatapurana_skandha-02_u	7	0.081693	0.020036	0.005893	0.9143
bhagavatapurana_skandha-03_u	7	0.046555	0.021190	0.005092	1.0000
bhagavatapurana_skandha-04_u	7	-0.011727	0.024088	0.006356	1.0000
bhagavatapurana_skandha-05_u	7	0.023063	0.026310	0.004566	1.0000
bhagavatapurana_skandha-06_u	7	0.010144	0.022578	0.006596	1.0000
bhagavatapurana_skandha-07_u	7	0.051250	0.021081	0.007192	1.0000
bhagavatapurana_skandha-08_u	7	-0.026576	0.021990	0.005807	1.0000
bhagavatapurana_skandha-09_u	7	-0.114756	0.027269	0.004681	1.0000
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	8	0.072263	0.021149	0.004332	1.0000
bhagavatapurana_skandha-10_u	7	-0.103049	0.025395	0.004809	1.0000
bhagavatapurana_skandha-11_u	7	0.084598	0.021149	0.006583	1.0000
bhagavatapurana_skandha-12_u	7	0.068217	0.022222	0.006349	1.0000
bhavisyapurana	5	0.075569	0.025427	0.008764	1.0000
brahmandapurana	3	0.018858	0.025654	0.006486	1.0000
brahmandapurana_khanda-1_u	3	0.238097	0.020434	0.004788	1.0000
brahmandapurana_khanda-2_u	3	-0.110767	0.029300	0.004510	1.0000
brahmandapurana_khanda-3_u	3	0.086130	0.023013	0.008481	1.0000
brahmapurana_pu	5	0.027159	0.024458	0.007751	1.0000
devibhagavatapurana	5	0.010789	0.024574	0.007630	1.0000
devibhagavatapurana_devigita_adhyaya-31-40	5	0.289140	0.019712	0.009735	0.9429
devipurana	5	0.175548	0.023186	0.011284	1.0000
garudapurana_khanda-1_u	5	0.181283	0.020395	0.008432	1.0000
garudapurana_khanda-2_u	5	0.162172	0.021916	0.008020	1.0000
garudapurana_khanda-3_u	5	0.226500	0.020245	0.010430	1.0000
harivamsa	12	-0.220456	0.028546	0.005426	1.0000
harivamsa_appendix-29-30_mathura	11	-0.205452	0.028342	0.006371	1.0000
harivamsa_appendix-31	11	-0.159168	0.028738	0.007451	1.0000
harivamsa_appendix-41	11	0.048531	0.026137	0.005616	1.0000
harivamsa_appendix-42_pradurbhava	11	-0.201219	0.028314	0.004235	1.0000
kalikapurana	5	0.096288	0.023549	0.010186	1.0000
karatoyamahatmya_pu	5	0.426419	0.024227	0.009190	0.6857
kirfel_ppl_textgruppe_IIA_col1	14	0.299261	0.017766	0.006917	0.9714
kirfel_ppl_textgruppe_IIB_col1	14	0.250756	0.019778	0.005562	1.0000
