text	stratum	x	retention	gain	frac_orig_present
agnipurana_u	5	0.340375	0.018013	0.051615	0.9630
bhagavatapurana_skandha-01_u	7	-0.012540	0.049623	0.013622	0.6543
bhagavatapurana_skandha-02_u	7	0.196458	0.029528	0.015256	0.3580
bhagavatapurana_skandha-03_u	7	0.093327	0.033024	0.014602	0.6667
bhagavatapurana_skandha-04_u	7	0.010468	0.043508	0.017107	0.6790
bhagavatapurana_skandha-05_u	7	0.139619	0.037141	0.014377	0.5309
bhagavatapurana_skandha-06_u	7	0.004463	0.042343	0.018210	0.6049
bhagavatapurana_skandha-07_u	7	0.058632	0.046968	0.013935	0.6914
bhagavatapurana_skandha-08_u	7	-0.016955	0.042425	0.020281	0.6667
bhagavatapurana_skandha-09_u	7	-0.107836	0.046298	0.011053	0.7407
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	8	0.081813	0.028779	0.008430	0.3704
bhagavatapurana_skandha-10_u	7	-0.078776	0.046646	0.012005	0.9012
bhagavatapurana_skandha-11_u	7	0.180122	0.036010	0.017005	0.5679
bhagavatapurana_skandha-12_u	7	0.168678	0.031250	0.018617	0.4938
bhavisyapurana	5	0.165020	0.038059	0.037448	0.9877
brahmandapurana	3	0.050616	0.036466	0.015939	0.9753
brahmandapurana_khanda-1_u	3	0.127746	0.026490	0.011175	0.8025
brahmandapurana_khanda-2_u	3	-0.072402	0.049022	0.016044	0.9383
brahmandapurana_khanda-3_u	3	0.120359	0.030711	0.019869	0.8272
brahmapurana_pu	5	0.008208	0.045839	0.032016	0.9753
devibhagavatapurana	5	-0.018369	0.052191	0.030233	0.9877
devibhagavatapurana_devigita_adhyaya-31-40	5	0.332084	0.034810	0.044699	0.4321
devipurana	5	0.262334	0.025350	0.041323	0.8395
garudapurana_khanda-1_u	5	0.325002	0.016081	0.054777	0.9136
garudapurana_khanda-2_u	5	0.267020	0.028226	0.038963	0.8148
garudapurana_khanda-3_u	5	0.335011	0.023623	0.047849	0.6914
harivamsa	12	-0.285483	0.069460	0.009765	0.9753
harivamsa_appendix-29-30_mathura	11	-0.209594	0.068434	0.017037	0.9383
harivamsa_appendix-31	11	-0.256244	0.082391	0.024579	0.8765
harivamsa_appendix-41	11	0.001479	0.042120	0.013361	0.5802
harivamsa_appendix-42_pradurbhava	11	-0.176546	0.067700	0.007592	0.7901
kalikapurana	5	0.112399	0.037698	0.035330	0.9383
karatoyamahatmya_pu	5	0.407504	0.020161	0.090726	0.0864
kirfel_ppl_textgruppe_IIA_col1	14	0.194721	0.026316	0.013980	0.3210
kirfel_ppl_textgruppe_IIB_col1	14	0.173574	0.020492	0.009807	0.4321
kirfel_ppl_textgruppe_III_col1	14	0.186160	0.029119	0.011364	0.2716
kirfel_ppl_textgruppe_II_col1	14	-0.039461	0.035977	0.012161	0.6667
kirfel_ppl_textgruppe_I_col1	14	-0.198412	0.053870	0.009811	0.8519
kirfel_ppl_textgruppe_Ia_col1	14	0.027689	0.030475	0.010985	0.4198
kirfel_ppl_ungrouped_col1	14	-0.192397	0.053851	0.011260	0.7778
kurmapurana_khanda-1_u	5	0.160936	0.039173	0.035840	0.8519
kurmapurana_khanda-2_u	5	0.348795	0.023952	0.045259	0.6667
lingapurana_khanda-1_u	5	0.200221	0.029826	0.031279	0.8765
lingapurana_khanda-2_u	5	0.329739	0.024482	0.045287	0.7531
mahabharata_01-adiparvan	1	-0.385763	0.091900	0.008895	1.0000
mahabharata_02-appendix-21_sisupala	11	-0.318385	0.086101	0.010731	0.8025
mahabharata_02-sabhaparvan	1	-0.349461	0.096619	0.006620	0.9753
mahabharata_03-aranyakaparvan	1	-0.357829	0.095447	0.013593	1.0000
mahabharata_04-virataparvan	1	-0.402477	0.103838	0.005599	0.9753
mahabharata_05-udyogaparvan	1	-0.322397	0.095480	0.010723	1.0000
mahabharata_06-bhismaparvan	1	-0.348884	0.117452	0.005871	0.9877
mahabharata_07-appendix-08_sodasarajika	11	-0.274436	0.068619	0.006119	0.6914
mahabharata_07-dronaparvan	1	-0.401694	0.112124	0.004745	1.0000
mahabharata_08-karnaparvan	1	-0.415195	0.117187	0.005594	1.0000
mahabharata_09-salyaparvan	1	-0.451549	0.117188	0.007049	0.9753
mahabharata_10-sauptikaparvan	1	-0.401382	0.096732	0.008299	0.9012
mahabharata_11-striparvan	1	-0.383330	0.100501	0.008969	0.8642
mahabharata_12-appendix-29_moksadharma	11	-0.029867	0.053527	0.013304	0.5556
mahabharata_12-santiparvan	1	-0.104528	0.068410	0.014866	1.0000
mahabharata_13-anusasanaparvan	1	-0.060053	0.061669	0.020675	1.0000
mahabharata_13-appendix-15_umamahesvara	11	0.209814	0.030494	0.025516	0.7778
mahabharata_14-appendix-04_vaisnavadharma	11	0.274427	0.033131	0.037136	0.6790
mahabharata_14-asvamedhikaparvan	1	-0.307441	0.085735	0.009779	1.0000
mahabharata_15-asramavasikaparvan	1	-0.475048	0.112324	0.010387	0.8272
mahabharata_16-mausalaparvan	1	-0.465701	0.094980	0.007463	0.6667
mahabharata_17-mahaprasthanikaparvan	1	-0.612808	0.124521	0.015326	0.4074
mahabharata_18-svargarohanaparvan	1	-0.434726	0.119464	0.012358	0.6049
markandeyapurana	3	-0.061557	0.047316	0.019779	0.9506
markandeyapurana_adhyaya-1-80_u	3	-0.009746	0.042827	0.018761	0.9136
markandeyapurana_adhyaya-81-93_devimahatmya_u	3	-0.124266	0.044459	0.024485	0.4691
markandeyapurana_adhyaya-94-141_u	3	-0.192114	0.054712	0.022588	0.7901
matsyapurana_pu	3	0.099863	0.037859	0.027653	0.9630
naradapurana_khanda-1_u	5	0.360167	0.021513	0.045394	0.9506
naradapurana_khanda-2_u	5	0.069014	0.047671	0.039053	0.7407
nilamatapurana_au	5	0.107311	0.035051	0.048705	0.6420
nrsimhapurana_pu	5	-0.072444	0.062660	0.032982	0.9630
padmapurana_a	5	0.063273	0.048908	0.038467	0.9753
pranavakalpa	9	0.371023	0.020107	0.033471	0.5309
ramayana_01-balakanda	2	-0.482664	0.111961	0.011207	0.8889
ramayana_02-ayodhyakanda_a	2	-0.428857	0.106262	0.008964	0.9136
ramayana_03-aranyakanda_a	2	-0.374362	0.102436	0.008686	0.9383
ramayana_04-kiskindhakanda	2	-0.380888	0.090891	0.008170	0.9136
ramayana_05-sundarakanda	2	-0.328546	0.095493	0.008906	0.9259
ramayana_06-yuddhakanda	2	-0.405271	0.100767	0.005551	0.9383
ramayana_07-uttarakanda	2	-0.440513	0.096591	0.009982	0.9506
saurapurana	5	0.171538	0.037576	0.037977	0.9012
sivadharmasastra	13	0.452447	0.026657	0.061898	0.4691
sivadharmottara	13	0.429293	0.018368	0.040434	0.4815
sivapurana_dharmasamhita	6	0.097734	0.039498	0.022292	0.9506
sivapurana_karvanamahatmya_au	6	0.223172	0.025260	0.037890	0.2099
sivapurana_rudrasamhita	6	-0.076898	0.052273	0.024198	0.9383
sivapurana_sanatkumarasamhita	6	0.192511	0.034930	0.028443	0.8519
sivapurana_satarudrasamhita_au	6	-0.035335	0.045718	0.022377	0.6296
sivapurana_umasamhita	6	0.145277	0.032391	0.025471	0.8519
sivapurana_vayaviyasamhita_au	6	0.276073	0.026240	0.031119	0.8395
sivapurana_vidyesvarasamhita_au	6	0.535551	0.017372	0.058233	0.5556
skandamahapurana_himavatkhanda	10	0.040690	0.041369	0.033434	0.7654
skandamahapurana_kasikhanda	10	0.176838	0.033056	0.032303	0.9259
skandamahapurana_revakhanda	10	0.064695	0.053186	0.043598	0.9136
skandamahapurana_sutasamhita_khanda-4	10	0.442681	0.027326	0.052058	0.5432
skandapurana	4	-0.181311	0.061643	0.018091	0.9259
skandapurana_adhyaya-1-31_pu	4	-0.092276	0.052541	0.028480	0.7531
skandapurana_pasupata_adhyaya174-183_u	4	0.369297	0.016081	0.023699	0.2716
vamanapurana_saromahatmya_u	5	0.036793	0.048494	0.044118	0.7531
vamanapurana_u	5	-0.096359	0.054900	0.025011	0.9012
vayu_ba	3	0.057751	0.035075	0.012200	0.9012
vayupurana	3	0.090758	0.034691	0.016352	0.9136
vayupurana_01_frame-and-cosmogony_iast	3	0.189829	0.024167	0.011042	0.4074
vayupurana_02_pashupata-yoga_iast	3	0.340857	0.016270	0.020025	0.1481
vayupurana_03_kalpas-and-shiva-lineages_iast	3	0.041851	0.037765	0.022260	0.5679
vayupurana_04_bhuvana-vinyasa_iast	3	0.164032	0.033606	0.015225	0.3086
vayupurana_05_jyotis-and-purvardha-close_iast	3	0.170124	0.023165	0.014388	0.5309
vayupurana_06_prthu-and-prajapati-lineages_iast	3	0.017461	0.035147	0.007500	0.6173
vayupurana_07_shraddha-kalpa_iast	3	0.207400	0.026489	0.025873	0.4815
vayupurana_08_manu-candra-vishnu-vamsha_iast	3	-0.198766	0.054219	0.009626	0.8025
vayupurana_09_upasamhara_iast	3	0.195567	0.026786	0.011607	0.4198
vayupurana_10_gaya-mahatmya_iast	3	0.207230	0.034793	0.050947	0.4815
vayupurana_revakhanda	5	0.110895	0.047320	0.048060	0.9506
visnudharma_pu	5	0.180349	0.036097	0.040201	0.9259
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	5	-0.056236	0.054152	0.036101	0.4568
visnupurana_amsa-1_u	3	0.025359	0.039593	0.023161	0.7284
visnupurana_amsa-2_u	3	0.158809	0.022523	0.018018	0.3827
visnupurana_amsa-3_u	3	0.227150	0.022029	0.031506	0.4198
visnupurana_amsa-4_u	3	-0.031779	0.035032	0.010616	0.6296
visnupurana_amsa-5_u	3	-0.173010	0.055153	0.013646	0.7901
visnupurana_amsa-6_u	3	0.177937	0.026754	0.026316	0.3580
visnupurana_u	3	0.027752	0.035164	0.020611	0.9506
