text	mds_x	fiedler	isomap1d	tsp_path	pca1
agnipurana_u	0.277784	-0.005548	-0.769468	121.000000	-9.071617
bhagavatapurana_skandha-01_u	-0.158068	-0.007109	0.780040	7.000000	1.362480
bhagavatapurana_skandha-02_u	0.044508	-0.008296	1.146549	101.000000	-2.564266
bhagavatapurana_skandha-03_u	0.009649	-0.007128	1.135992	2.000000	-2.126550
bhagavatapurana_skandha-04_u	-0.053495	-0.007103	1.106477	3.000000	-0.727309
bhagavatapurana_skandha-05_u	0.002530	-0.008199	1.229930	102.000000	0.743481
bhagavatapurana_skandha-06_u	-0.036371	-0.007208	0.788435	4.000000	-0.217722
bhagavatapurana_skandha-07_u	0.008212	-0.007258	0.432473	0.000000	-2.280287
bhagavatapurana_skandha-08_u	-0.080445	-0.006864	0.771895	5.000000	0.657143
bhagavatapurana_skandha-09_u	-0.154498	-0.007118	0.900147	8.000000	3.686007
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.075341	-0.008861	0.283729	103.000000	-5.062668
bhagavatapurana_skandha-10_u	-0.167106	-0.006654	1.069711	6.000000	0.102667
bhagavatapurana_skandha-11_u	0.078461	-0.007486	0.858929	1.000000	-4.009604
bhagavatapurana_skandha-12_u	0.048868	-0.007291	0.153723	100.000000	0.735735
bhavisyapurana	0.118255	-0.006221	-0.547994	119.000000	-7.015205
brahmandapurana	0.094005	-0.006780	-0.118844	15.000000	3.456813
brahmandapurana_khanda-1_u	0.232719	-0.007891	-0.328863	18.000000	7.158205
brahmandapurana_khanda-2_u	-0.037880	-0.007046	0.090371	14.000000	4.507144
brahmandapurana_khanda-3_u	0.152320	-0.006350	-0.348570	96.000000	-1.268183
brahmapurana_pu	0.007482	-0.006383	-0.134618	40.000000	-2.082535
devibhagavatapurana	0.017610	-0.006419	-0.503245	38.000000	-6.682060
devibhagavatapurana_devigita_adhyaya-31-40	0.314579	-0.007506	-0.623008	106.000000	-9.471776
devipurana	0.214438	-0.005877	-0.564021	123.000000	-7.110702
garudapurana_khanda-1_u	0.206747	-0.005097	-0.690885	122.000000	-7.555398
garudapurana_khanda-2_u	0.202495	-0.005895	-0.451085	85.000000	-8.119315
garudapurana_khanda-3_u	0.256910	-0.007141	-0.629126	35.000000	-8.266961
harivamsa	-0.232192	-0.006903	0.435204	78.000000	5.975861
harivamsa_appendix-29-30_mathura	-0.227581	-0.007333	0.091112	77.000000	2.557649
harivamsa_appendix-31	-0.198790	-0.007305	0.075081	60.000000	-1.167015
harivamsa_appendix-41	0.052197	-0.008941	0.028595	74.000000	3.989354
harivamsa_appendix-42_pradurbhava	-0.204919	-0.008637	0.078168	75.000000	8.796696
kalikapurana	0.104473	-0.006246	-0.496318	116.000000	-4.439784
karatoyamahatmya_pu	0.374074	0.995121	-1.166305	126.000000	-16.856179
kirfel_ppl_textgruppe_IIA_col1	0.369359	-0.010305	-0.125265	23.000000	2.437361
kirfel_ppl_textgruppe_IIB_col1	0.338211	-0.009143	-0.249231	22.000000	6.366607
kirfel_ppl_textgruppe_III_col1	0.174934	-0.013028	0.124979	24.000000	10.557286
kirfel_ppl_textgruppe_II_col1	-0.105188	-0.008211	0.153705	10.000000	8.674663
kirfel_ppl_textgruppe_I_col1	-0.126904	-0.008324	0.314748	11.000000	12.717730
kirfel_ppl_textgruppe_Ia_col1	0.126367	-0.011138	-0.150760	25.000000	14.122674
kirfel_ppl_ungrouped_col1	-0.158574	-0.008479	0.156529	12.000000	10.785935
kurmapurana_khanda-1_u	0.119267	-0.006553	-0.372794	30.000000	-2.794641
kurmapurana_khanda-2_u	0.298075	-0.006297	-0.649789	31.000000	-12.332502
lingapurana_khanda-1_u	0.164727	-0.006652	-0.507852	28.000000	-1.876905
lingapurana_khanda-2_u	0.264223	-0.006528	-0.769405	32.000000	-9.628303
mahabharata_01-adiparvan	-0.309810	-0.007451	0.463859	45.000000	5.772346
mahabharata_02-appendix-21_sisupala	-0.257195	-0.007813	0.139874	76.000000	7.276960
mahabharata_02-sabhaparvan	-0.425468	-0.007723	0.749967	55.000000	8.029607
mahabharata_03-aranyakaparvan	-0.321352	-0.007145	0.406140	46.000000	4.953712
mahabharata_04-virataparvan	-0.448047	-0.007950	0.798232	48.000000	7.844131
mahabharata_05-udyogaparvan	-0.339436	-0.007557	0.493444	47.000000	5.500869
mahabharata_06-bhismaparvan	-0.420118	-0.008419	0.843087	53.000000	9.151770
mahabharata_07-appendix-08_sodasarajika	-0.225761	-0.010289	0.159422	73.000000	8.190203
mahabharata_07-dronaparvan	-0.474392	-0.008540	0.865331	51.000000	8.570989
mahabharata_08-karnaparvan	-0.477851	-0.008513	0.901719	52.000000	8.706181
mahabharata_09-salyaparvan	-0.452813	-0.008086	0.832324	54.000000	9.628419
mahabharata_10-sauptikaparvan	-0.371537	-0.008406	0.859816	50.000000	6.949953
mahabharata_11-striparvan	-0.403302	-0.008713	0.773909	49.000000	7.096137
mahabharata_12-appendix-29_moksadharma	0.093602	-0.011330	-0.016441	110.000000	-3.206954
mahabharata_12-santiparvan	-0.038123	-0.007079	0.256705	43.000000	-0.319499
mahabharata_13-anusasanaparvan	-0.074989	-0.007026	0.079977	42.000000	1.473893
mahabharata_13-appendix-15_umamahesvara	0.203437	-0.007807	-0.191636	109.000000	-6.188273
mahabharata_14-appendix-04_vaisnavadharma	0.165058	-0.007275	-0.294741	86.000000	-6.190809
mahabharata_14-asvamedhikaparvan	-0.186429	-0.007645	0.249190	44.000000	2.534246
mahabharata_15-asramavasikaparvan	-0.437299	-0.008454	0.789464	56.000000	9.047336
mahabharata_16-mausalaparvan	-0.454221	-0.009059	0.768382	59.000000	6.309501
mahabharata_17-mahaprasthanikaparvan	-0.681893	-0.048570	1.049678	58.000000	10.485737
mahabharata_18-svargarohanaparvan	-0.370126	-0.010940	0.926320	57.000000	7.056159
markandeyapurana	-0.046509	-0.007000	0.090529	90.000000	1.430519
markandeyapurana_adhyaya-1-80_u	-0.000386	-0.006932	0.067447	89.000000	0.584988
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.098832	-0.008667	-0.263924	95.000000	2.303378
markandeyapurana_adhyaya-94-141_u	-0.159482	-0.008008	0.182922	91.000000	3.236392
matsyapurana_pu	0.055130	-0.006316	-0.152187	79.000000	0.170137
naradapurana_khanda-1_u	0.259384	-0.005563	-0.710414	120.000000	-8.928234
naradapurana_khanda-2_u	0.071178	-0.006640	-0.413193	118.000000	-8.185193
nilamatapurana_au	0.068113	-0.007316	-0.532460	112.000000	-4.792163
nrsimhapurana_pu	-0.069470	-0.006409	-0.095887	65.000000	-3.213573
padmapurana_a	0.031113	-0.005942	-0.395505	39.000000	-5.857841
pranavakalpa	0.413479	-0.008432	-0.893887	104.000000	-11.880711
ramayana_01-balakanda	-0.390068	-0.008221	0.311980	72.000000	7.420414
ramayana_02-ayodhyakanda_a	-0.352174	-0.007380	0.621943	71.000000	3.648887
ramayana_03-aranyakanda_a	-0.359019	-0.008054	0.672161	70.000000	2.488179
ramayana_04-kiskindhakanda	-0.315301	-0.007672	0.593475	67.000000	4.605157
ramayana_05-sundarakanda	-0.364974	-0.008167	0.687820	68.000000	4.262346
