text	mds_x	fiedler	isomap1d	tsp_path	pca1
agnipurana_u	0.252731	-0.004494	1.030928	112.000000	-9.462759
bhagavatapurana_skandha-01_u	-0.090001	-0.006436	-1.280775	56.000000	3.201360
bhagavatapurana_skandha-02_u	0.081693	-0.007389	-1.374024	50.000000	0.176664
bhagavatapurana_skandha-03_u	0.046555	-0.006546	-1.175715	51.000000	-0.176856
bhagavatapurana_skandha-04_u	-0.011727	-0.006286	-1.130667	52.000000	1.323354
bhagavatapurana_skandha-05_u	0.023063	-0.007361	-1.369012	49.000000	2.657554
bhagavatapurana_skandha-06_u	0.010144	-0.006520	-0.889845	53.000000	1.294965
bhagavatapurana_skandha-07_u	0.051250	-0.006524	-0.801133	54.000000	-0.316814
bhagavatapurana_skandha-08_u	-0.026576	-0.006197	-0.728981	58.000000	2.132683
bhagavatapurana_skandha-09_u	-0.114756	-0.006740	-0.944285	60.000000	4.646475
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.072263	-0.007362	0.046702	48.000000	-2.032703
bhagavatapurana_skandha-10_u	-0.103049	-0.005822	-0.835776	57.000000	2.546930
bhagavatapurana_skandha-11_u	0.084598	-0.006601	-0.824657	55.000000	-1.583919
bhagavatapurana_skandha-12_u	0.068217	-0.006558	-0.875117	59.000000	1.006415
bhavisyapurana	0.075569	-0.005520	0.644543	110.000000	-5.047360
brahmandapurana	0.018858	-0.005627	0.295383	1.000000	-0.702921
brahmandapurana_khanda-1_u	0.238097	-0.008069	0.245250	40.000000	0.779452
brahmandapurana_khanda-2_u	-0.110767	-0.006378	-0.197853	2.000000	1.945422
brahmandapurana_khanda-3_u	0.086130	-0.005526	0.470324	0.000000	-2.491962
brahmapurana_pu	0.027159	-0.005549	0.249186	106.000000	-3.148213
devibhagavatapurana	0.010789	-0.005478	0.501945	104.000000	-4.279302
devibhagavatapurana_devigita_adhyaya-31-40	0.289140	-0.006674	0.788279	45.000000	-9.495732
devipurana	0.175548	-0.004870	0.783197	23.000000	-6.272650
garudapurana_khanda-1_u	0.181283	-0.004350	0.976947	113.000000	-7.128484
garudapurana_khanda-2_u	0.162172	-0.005052	0.557520	114.000000	-7.472452
garudapurana_khanda-3_u	0.226500	-0.006561	0.801666	98.000000	-7.850043
harivamsa	-0.220456	-0.006309	-0.416237	12.000000	4.849704
harivamsa_appendix-29-30_mathura	-0.205452	-0.006758	-0.106314	11.000000	3.971451
harivamsa_appendix-31	-0.159168	-0.006793	-0.120419	13.000000	0.859014
harivamsa_appendix-41	0.048531	-0.009366	-0.089799	18.000000	1.434681
harivamsa_appendix-42_pradurbhava	-0.201219	-0.008214	-0.115982	69.000000	7.410830
kalikapurana	0.096288	-0.005612	0.592098	109.000000	-3.858981
karatoyamahatmya_pu	0.426419	0.994960	1.129598	125.000000	-15.110077
kirfel_ppl_textgruppe_IIA_col1	0.299261	-0.009950	0.187113	38.000000	-1.753494
kirfel_ppl_textgruppe_IIB_col1	0.250756	-0.008947	0.237319	39.000000	0.965861
kirfel_ppl_textgruppe_III_col1	0.154560	-0.013087	0.323609	37.000000	5.652178
kirfel_ppl_textgruppe_II_col1	-0.093284	-0.007789	-0.181961	63.000000	6.792014
kirfel_ppl_textgruppe_I_col1	-0.131381	-0.008461	-0.603267	62.000000	9.757090
kirfel_ppl_textgruppe_Ia_col1	0.090969	-0.011242	0.518289	36.000000	7.805000
kirfel_ppl_ungrouped_col1	-0.152917	-0.008226	-0.494309	61.000000	8.686827
kurmapurana_khanda-1_u	0.119313	-0.006417	0.316307	101.000000	-4.388001
kurmapurana_khanda-2_u	0.250469	-0.006165	0.373014	100.000000	-10.252109
lingapurana_khanda-1_u	0.157274	-0.006339	0.667859	120.000000	-4.450848
lingapurana_khanda-2_u	0.220054	-0.005687	0.909624	121.000000	-8.498494
mahabharata_01-adiparvan	-0.289384	-0.007107	-0.638978	86.000000	6.975359
mahabharata_02-appendix-21_sisupala	-0.244410	-0.007336	-0.256508	70.000000	6.855667
mahabharata_02-sabhaparvan	-0.402147	-0.007214	-0.722258	83.000000	9.723787
mahabharata_03-aranyakaparvan	-0.309111	-0.006728	-0.602511	85.000000	7.085663
mahabharata_04-virataparvan	-0.421749	-0.007399	-0.816833	77.000000	9.745529
mahabharata_05-udyogaparvan	-0.328049	-0.007131	-0.645987	84.000000	7.451268
mahabharata_06-bhismaparvan	-0.432686	-0.007740	-0.829425	75.000000	10.827244
