text	mds_x	fiedler	isomap1d	tsp_path	pca1
agnipurana_u	0.340375	0.004720	-0.616150	59.000000	-9.636949
bhagavatapurana_skandha-01_u	-0.012540	0.006869	0.223513	113.000000	-0.023903
bhagavatapurana_skandha-02_u	0.196458	0.007278	0.083329	110.000000	-6.028411
bhagavatapurana_skandha-03_u	0.093327	0.007038	0.157519	111.000000	-2.770705
bhagavatapurana_skandha-04_u	0.010468	0.007143	-0.037788	112.000000	-0.812509
bhagavatapurana_skandha-05_u	0.139619	0.006162	-0.485244	108.000000	-3.680640
bhagavatapurana_skandha-06_u	0.004463	0.007407	-0.048733	105.000000	-0.249079
bhagavatapurana_skandha-07_u	0.058632	0.008324	-0.067661	106.000000	-2.453844
bhagavatapurana_skandha-08_u	-0.016955	0.007038	-0.342596	104.000000	0.112729
bhagavatapurana_skandha-09_u	-0.107836	0.008076	0.298465	115.000000	3.011541
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.081813	0.004670	-0.502544	94.000000	-1.977651
bhagavatapurana_skandha-10_u	-0.078776	0.006887	0.392703	114.000000	2.097887
bhagavatapurana_skandha-11_u	0.180122	0.006890	0.057599	107.000000	-4.809500
bhagavatapurana_skandha-12_u	0.168678	0.006486	-0.289121	109.000000	-5.040092
bhavisyapurana	0.165020	0.006688	-0.385324	13.000000	-4.209986
brahmandapurana	0.050616	0.006449	-0.112230	18.000000	-1.118471
brahmandapurana_khanda-1_u	0.127746	0.006848	-0.265514	21.000000	-3.608570
brahmandapurana_khanda-2_u	-0.072402	0.007067	0.058050	32.000000	2.082464
brahmandapurana_khanda-3_u	0.120359	0.005397	-0.381840	17.000000	-3.056705
brahmapurana_pu	0.008208	0.007147	-0.096768	11.000000	-0.611094
devibhagavatapurana	-0.018369	0.007478	-0.295658	8.000000	0.904403
devibhagavatapurana_devigita_adhyaya-31-40	0.332084	0.005050	-0.710337	90.000000	-9.195816
devipurana	0.262334	0.005297	-0.551388	61.000000	-6.706816
garudapurana_khanda-1_u	0.325002	0.005024	-0.624988	60.000000	-8.643806
garudapurana_khanda-2_u	0.267020	0.004927	-0.560739	86.000000	-7.796157
garudapurana_khanda-3_u	0.335011	0.005273	-0.573579	87.000000	-9.151161
harivamsa	-0.285483	0.007672	0.440166	33.000000	7.634346
harivamsa_appendix-29-30_mathura	-0.209594	0.007276	0.305257	3.000000	5.834089
harivamsa_appendix-31	-0.256244	0.008874	0.700977	2.000000	6.644027
harivamsa_appendix-41	0.001479	0.008552	0.044291	53.000000	-0.978491
harivamsa_appendix-42_pradurbhava	-0.176546	0.008140	0.306936	52.000000	5.739411
kalikapurana	0.112399	0.006288	-0.370324	12.000000	-3.104451
karatoyamahatmya_pu	0.407504	-0.991659	-1.322082	126.000000	-13.106608
kirfel_ppl_textgruppe_IIA_col1	0.194721	0.008181	-0.441681	99.000000	-5.348408
kirfel_ppl_textgruppe_IIB_col1	0.173574	0.007869	-0.367653	25.000000	-5.042040
kirfel_ppl_textgruppe_III_col1	0.186160	0.007985	-0.397549	98.000000	-5.396660
kirfel_ppl_textgruppe_II_col1	-0.039461	0.007890	0.005649	28.000000	1.461903
kirfel_ppl_textgruppe_I_col1	-0.198412	0.008178	0.267441	29.000000	5.285723
kirfel_ppl_textgruppe_Ia_col1	0.027689	0.008099	-0.222639	26.000000	-1.526874
kirfel_ppl_ungrouped_col1	-0.192397	0.008484	0.198468	31.000000	5.491619
kurmapurana_khanda-1_u	0.160936	0.006675	-0.346848	79.000000	-4.450201
kurmapurana_khanda-2_u	0.348795	0.005773	-0.573562	78.000000	-9.360957
lingapurana_khanda-1_u	0.200221	0.006251	-0.370515	55.000000	-5.216721
lingapurana_khanda-2_u	0.329739	0.005703	-0.588174	57.000000	-9.346854
mahabharata_01-adiparvan	-0.385763	0.008210	0.675826	34.000000	10.345701
mahabharata_02-appendix-21_sisupala	-0.318385	0.009277	0.387484	51.000000	9.103378
mahabharata_02-sabhaparvan	-0.349461	0.007276	1.003837	37.000000	9.940593
mahabharata_03-aranyakaparvan	-0.357829	0.008009	0.864049	35.000000	9.539433
mahabharata_04-virataparvan	-0.402477	0.007522	1.059537	38.000000	11.781801
mahabharata_05-udyogaparvan	-0.322397	0.007539	0.962953	36.000000	8.978294
mahabharata_06-bhismaparvan	-0.348884	0.007814	1.031813	39.000000	11.784982
mahabharata_07-appendix-08_sodasarajika	-0.274436	0.008997	0.393384	50.000000	7.892209
mahabharata_07-dronaparvan	-0.401694	0.007725	1.035696	40.000000	12.869828
mahabharata_08-karnaparvan	-0.415195	0.007938	1.053435	41.000000	13.491435
mahabharata_09-salyaparvan	-0.451549	0.008027	1.036395	42.000000	13.356823
mahabharata_10-sauptikaparvan	-0.401382	0.008479	1.312279	67.000000	11.198455
mahabharata_11-striparvan	-0.383330	0.008312	1.373107	68.000000	11.145234
mahabharata_12-appendix-29_moksadharma	-0.029867	0.008739	0.269585	93.000000	-0.503870
mahabharata_12-santiparvan	-0.104528	0.007843	0.465259	71.000000	2.476921
mahabharata_13-anusasanaparvan	-0.060053	0.007607	0.270940	72.000000	0.977593
mahabharata_13-appendix-15_umamahesvara	0.209814	0.007389	-0.191021	73.000000	-5.977742
mahabharata_14-appendix-04_vaisnavadharma	0.274427	0.006867	-0.368010	74.000000	-8.508759
mahabharata_14-asvamedhikaparvan	-0.307441	0.008693	0.940730	70.000000	8.086634
mahabharata_15-asramavasikaparvan	-0.475048	0.008800	1.049238	69.000000	13.461557
mahabharata_16-mausalaparvan	-0.465701	0.008214	1.165263	66.000000	13.638901
mahabharata_17-mahaprasthanikaparvan	-0.612808	0.100225	2.262668	65.000000	18.746395
mahabharata_18-svargarohanaparvan	-0.434726	0.012630	1.610228	64.000000	11.803760
markandeyapurana	-0.061557	0.007292	-0.001764	118.000000	1.657894
markandeyapurana_adhyaya-1-80_u	-0.009746	0.006785	-0.125771	119.000000	0.269708
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.124266	0.008487	0.198344	103.000000	2.483847
markandeyapurana_adhyaya-94-141_u	-0.192114	0.008934	0.249142	117.000000	4.879882
matsyapurana_pu	0.099863	0.006232	-0.199876	14.000000	-2.468232
naradapurana_khanda-1_u	0.360167	0.005205	-0.642728	58.000000	-9.995170
naradapurana_khanda-2_u	0.069014	0.006077	-0.368338	120.000000	-1.579398
nilamatapurana_au	0.107311	0.003981	-0.547743	62.000000	-3.077071
nrsimhapurana_pu	-0.072444	0.007652	0.163470	9.000000	1.895191
padmapurana_a	0.063273	0.006665	-0.354557	10.000000	-1.704218
pranavakalpa	0.371023	0.004878	-0.728742	89.000000	-11.148818
ramayana_01-balakanda	-0.482664	0.010101	0.704131	49.000000	13.445669
ramayana_02-ayodhyakanda_a	-0.428857	0.008210	0.984119	47.000000	12.289263
ramayana_03-aranyakanda_a	-0.374362	0.008062	0.939769	46.000000	10.939082
ramayana_04-kiskindhakanda	-0.380888	0.007649	0.962582	44.000000	10.702165
ramayana_05-sundarakanda	-0.328546	0.007124	0.967195	45.000000	9.764628
ramayana_06-yuddhakanda	-0.405271	0.007685	0.972937	43.000000	12.136403
ramayana_07-uttarakanda	-0.440513	0.009381	0.817151	48.000000	12.057141
saurapurana	0.171538	0.006557	-0.517700	80.000000	-4.408403
sivadharmasastra	0.452447	0.005226	-0.687886	75.000000	-13.944948
sivadharmottara	0.429293	0.005317	-0.927827	76.000000	-12.366989
sivapurana_dharmasamhita	0.097734	0.006515	-0.295245	82.000000	-2.226405
sivapurana_karvanamahatmya_au	0.223172	0.005793	-0.600553	125.000000	-5.788918
sivapurana_rudrasamhita	-0.076898	0.008274	-0.194753	7.000000	1.776310
sivapurana_sanatkumarasamhita	0.192511	0.006329	-0.357749	81.000000	-4.824807
sivapurana_satarudrasamhita_au	-0.035335	0.009197	-0.255774	6.000000	0.415201
sivapurana_umasamhita	0.145277	0.006030	-0.349673	83.000000	-3.939571
sivapurana_vayaviyasamhita_au	0.276073	0.005962	-0.595585	56.000000	-7.962186
sivapurana_vidyesvarasamhita_au	0.535551	0.004435	-0.719771	77.000000	-14.556695
skandamahapurana_himavatkhanda	0.040690	0.008088	-0.365782	5.000000	-0.808427
skandamahapurana_kasikhanda	0.176838	0.005068	-0.528830	84.000000	-4.701514
skandamahapurana_revakhanda	0.064695	0.006831	-0.496763	122.000000	-2.124023
skandamahapurana_sutasamhita_khanda-4	0.442681	0.005746	-1.100505	88.000000	-12.327565
skandapurana	-0.181311	0.007946	0.202732	0.000000	4.833666
skandapurana_adhyaya-1-31_pu	-0.092276	0.007806	0.154481	1.000000	2.202426
skandapurana_pasupata_adhyaya174-183_u	0.369297	0.007603	-0.671811	91.000000	-10.591044
vamanapurana_saromahatmya_u	0.036793	0.006798	-0.335555	123.000000	-1.461767
vamanapurana_u	-0.096359	0.007178	0.060973	4.000000	3.096640
vayu_ba	0.057751	0.007074	-0.219112	20.000000	-1.770751
vayupurana	0.090758	0.006781	-0.228899	19.000000	-2.422650
vayupurana_01_frame-and-cosmogony_iast	0.189829	0.007314	-0.316308	24.000000	-4.976356
vayupurana_02_pashupata-yoga_iast	0.340857	0.006000	-0.594160	92.000000	-10.177242
vayupurana_03_kalpas-and-shiva-lineages_iast	0.041851	0.008099	-0.035027	54.000000	-2.315537
vayupurana_04_bhuvana-vinyasa_iast	0.164032	0.004662	-0.488090	16.000000	-3.989724
vayupurana_05_jyotis-and-purvardha-close_iast	0.170124	0.006894	-0.368268	22.000000	-4.732730
vayupurana_06_prthu-and-prajapati-lineages_iast	0.017461	0.006975	-0.256662	27.000000	-0.530823
vayupurana_07_shraddha-kalpa_iast	0.207400	0.005655	-0.341536	15.000000	-6.189634
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.198766	0.008156	0.105746	30.000000	5.452773
vayupurana_09_upasamhara_iast	0.195567	0.007253	-0.401133	23.000000	-5.546042
vayupurana_10_gaya-mahatmya_iast	0.207230	0.006149	-0.466908	124.000000	-6.519099
vayupurana_revakhanda	0.110895	0.006444	-0.428382	121.000000	-3.694043
visnudharma_pu	0.180349	0.006889	-0.384297	85.000000	-5.013061
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.056236	0.008635	-0.384819	63.000000	3.357510
visnupurana_amsa-1_u	0.025359	0.007493	-0.286528	100.000000	-0.976858
visnupurana_amsa-2_u	0.158809	0.006076	-0.394069	96.000000	-4.468991
visnupurana_amsa-3_u	0.227150	0.006198	-0.439829	97.000000	-6.485586
visnupurana_amsa-4_u	-0.031779	0.007323	-0.303177	116.000000	1.214849
visnupurana_amsa-5_u	-0.173010	0.007546	0.278062	102.000000	4.986577
visnupurana_amsa-6_u	0.177937	0.006433	-0.453019	95.000000	-4.874471
visnupurana_u	0.027752	0.006853	-0.255133	101.000000	-0.636629
