text	y_detrended_W1	y_detrended_C3
agnipurana_u	-0.029222	-0.162871
bhagavatapurana_skandha-01_u	-0.260040	-0.093376
bhagavatapurana_skandha-02_u	-0.131847	-0.197093
bhagavatapurana_skandha-03_u	-0.135528	-0.139073
bhagavatapurana_skandha-04_u	-0.206728	-0.124917
bhagavatapurana_skandha-05_u	-0.074059	-0.027661
bhagavatapurana_skandha-06_u	-0.192135	-0.083326
bhagavatapurana_skandha-07_u	-0.233135	-0.155085
bhagavatapurana_skandha-08_u	-0.157729	-0.100953
bhagavatapurana_skandha-09_u	-0.126913	0.002728
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.227141	-0.233113
bhagavatapurana_skandha-10_u	-0.254772	-0.178879
bhagavatapurana_skandha-11_u	-0.252510	-0.162208
bhagavatapurana_skandha-12_u	-0.053627	0.010179
bhavisyapurana	-0.129269	-0.231600
brahmandapurana	0.197441	0.226628
brahmandapurana_khanda-1_u	0.450305	0.521012
brahmandapurana_khanda-2_u	0.120238	0.161379
brahmandapurana_khanda-3_u	0.067668	0.053228
brahmapurana_pu	-0.122688	-0.095717
devibhagavatapurana	-0.280181	-0.306600
devibhagavatapurana_devigita_adhyaya-31-40	-0.089649	-0.115890
devipurana	-0.063893	-0.155487
garudapurana_khanda-1_u	-0.028511	-0.150968
garudapurana_khanda-2_u	-0.160761	-0.190455
garudapurana_khanda-3_u	-0.047239	-0.133415
harivamsa	0.079380	0.066049
harivamsa_appendix-29-30_mathura	-0.077055	-0.086204
harivamsa_appendix-31	-0.130458	-0.223898
harivamsa_appendix-41	0.209648	0.233760
harivamsa_appendix-42_pradurbhava	0.183956	0.212750
kalikapurana	-0.097947	-0.136122
karatoyamahatmya_pu	-0.055439	-0.431783
kirfel_ppl_textgruppe_IIA_col1	0.366954	0.536300
kirfel_ppl_textgruppe_IIB_col1	0.562798	0.620967
kirfel_ppl_textgruppe_III_col1	0.404334	0.649523
kirfel_ppl_textgruppe_II_col1	0.209944	0.270640
kirfel_ppl_textgruppe_I_col1	0.337309	0.426274
kirfel_ppl_textgruppe_Ia_col1	0.542519	0.723572
kirfel_ppl_ungrouped_col1	0.296514	0.329906
kurmapurana_khanda-1_u	0.062947	-0.019214
kurmapurana_khanda-2_u	-0.060363	-0.276662
lingapurana_khanda-1_u	0.081988	0.063078
lingapurana_khanda-2_u	-0.036347	-0.169391
mahabharata_01-adiparvan	-0.004922	0.015527
mahabharata_02-appendix-21_sisupala	0.198827	0.109054
mahabharata_02-sabhaparvan	-0.068021	0.041996
mahabharata_03-aranyakaparvan	-0.064994	-0.033973
mahabharata_04-virataparvan	-0.041420	0.020235
mahabharata_05-udyogaparvan	-0.100503	-0.010571
mahabharata_06-bhismaparvan	0.002195	0.096619
mahabharata_07-appendix-08_sodasarajika	0.111911	0.202118
mahabharata_07-dronaparvan	0.007189	0.014341
mahabharata_08-karnaparvan	-0.018783	0.024378
mahabharata_09-salyaparvan	0.052561	0.076558
mahabharata_10-sauptikaparvan	-0.021746	0.048234
mahabharata_11-striparvan	-0.063363	-0.006410
mahabharata_12-appendix-29_moksadharma	-0.037000	-0.043174
mahabharata_12-santiparvan	-0.108017	-0.049320
mahabharata_13-anusasanaparvan	-0.079423	0.016187
mahabharata_13-appendix-15_umamahesvara	-0.082505	-0.131458
mahabharata_14-appendix-04_vaisnavadharma	-0.041462	-0.128165
mahabharata_14-asvamedhikaparvan	-0.059164	-0.028242
mahabharata_15-asramavasikaparvan	-0.020052	0.084093
mahabharata_16-mausalaparvan	0.070921	-0.038265
mahabharata_17-mahaprasthanikaparvan	0.132563	0.036419
mahabharata_18-svargarohanaparvan	0.110300	0.036532
markandeyapurana	-0.120295	0.021803
markandeyapurana_adhyaya-1-80_u	-0.115641	0.027750
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.080727	-0.024207
markandeyapurana_adhyaya-94-141_u	-0.097779	0.003942
matsyapurana_pu	0.050167	0.034027
naradapurana_khanda-1_u	-0.104205	-0.191609
naradapurana_khanda-2_u	-0.340038	-0.345628
nilamatapurana_au	-0.091473	-0.182275
nrsimhapurana_pu	-0.236557	-0.251093
padmapurana_a	-0.265242	-0.261505
pranavakalpa	-0.057976	-0.127244
ramayana_01-balakanda	0.084765	0.016134
ramayana_02-ayodhyakanda_a	-0.152375	-0.122540
ramayana_03-aranyakanda_a	-0.081625	-0.185772
ramayana_04-kiskindhakanda	-0.076092	-0.063955
ramayana_05-sundarakanda	-0.099839	-0.127908
ramayana_06-yuddhakanda	0.002676	-0.113858
ramayana_07-uttarakanda	0.034365	-0.072523
saurapurana	-0.149429	-0.176835
sivadharmasastra	-0.127289	-0.204301
sivadharmottara	-0.139397	-0.076568
sivapurana_dharmasamhita	-0.099622	-0.131762
sivapurana_karvanamahatmya_au	-0.103395	-0.331955
sivapurana_rudrasamhita	-0.229260	-0.303337
sivapurana_sanatkumarasamhita	-0.010091	-0.126542
sivapurana_satarudrasamhita_au	-0.186396	-0.244660
sivapurana_umasamhita	-0.016041	-0.004626
sivapurana_vayaviyasamhita_au	-0.041644	-0.115998
sivapurana_vidyesvarasamhita_au	-0.006377	-0.325060
skandamahapurana_himavatkhanda	-0.105380	-0.117575
skandamahapurana_kasikhanda	-0.230722	-0.256929
skandamahapurana_revakhanda	-0.141674	-0.155764
skandamahapurana_sutasamhita_khanda-4	-0.143641	-0.164567
skandapurana	-0.024999	-0.030379
skandapurana_adhyaya-1-31_pu	-0.018068	-0.014469
skandapurana_pasupata_adhyaya174-183_u	0.113845	0.052707
vamanapurana_saromahatmya_u	-0.089019	-0.167818
vamanapurana_u	-0.151626	-0.227901
vayu_ba	0.408277	0.492310
vayupurana	0.332899	0.388694
vayupurana_01_frame-and-cosmogony_iast	0.492694	0.577937
vayupurana_02_pashupata-yoga_iast	0.240818	0.090117
vayupurana_03_kalpas-and-shiva-lineages_iast	0.359238	0.394204
vayupurana_04_bhuvana-vinyasa_iast	0.369928	0.462972
vayupurana_05_jyotis-and-purvardha-close_iast	0.420347	0.483135
vayupurana_06_prthu-and-prajapati-lineages_iast	0.455918	0.678826
vayupurana_07_shraddha-kalpa_iast	0.215080	0.191854
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.338900	0.359418
vayupurana_09_upasamhara_iast	0.447804	0.456876
vayupurana_10_gaya-mahatmya_iast	-0.075398	-0.254380
vayupurana_revakhanda	-0.192586	-0.295392
visnudharma_pu	-0.246108	-0.182274
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.105327	-0.231196
visnupurana_amsa-1_u	0.036536	0.172842
visnupurana_amsa-2_u	0.083427	0.176520
visnupurana_amsa-3_u	0.019683	0.104026
visnupurana_amsa-4_u	0.062326	0.171614
visnupurana_amsa-5_u	-0.170540	-0.217344
visnupurana_amsa-6_u	-0.127690	-0.055702
visnupurana_u	-0.051957	0.047018
