trigram	abs_rho_x	junction_share	final_share	particle_share	pronoun_share	verb_narrative_share	verb_prescriptive_share	numeral_list_share	content_share
rāj	0.8068	0.016	0.001	0.001	0.000	0.001	0.002	0.004	0.992
āja	0.7949	0.159	0.088	0.000	0.000	0.014	0.003	0.005	0.978
ikā	0.7842	0.102	0.203	0.000	0.003	0.001	0.007	0.034	0.955
tāṃ	0.7710	0.000	0.695	0.000	0.188	0.000	0.001	0.011	0.800
ātr	0.7652	0.063	0.000	0.000	0.000	0.001	0.004	0.101	0.895
hat	0.7254	0.090	0.054	0.024	0.000	0.045	0.001	0.006	0.924
hyā	0.7207	0.008	0.079	0.003	0.000	0.015	0.006	0.071	0.906
yet	0.7010	0.180	0.406	0.000	0.068	0.001	0.407	0.007	0.517
ādi	0.6963	0.103	0.042	0.000	0.000	0.001	0.008	0.123	0.867
mṛt	0.6787	0.010	0.000	0.000	0.000	0.017	0.003	0.005	0.975
hāp	0.6761	0.208	0.000	0.163	0.000	0.008	0.007	0.014	0.809
vān	0.6686	0.098	0.393	0.048	0.026	0.028	0.003	0.005	0.889
atā	0.6579	0.100	0.190	0.000	0.056	0.001	0.002	0.016	0.924
dhy	0.6548	0.000	0.001	0.000	0.000	0.019	0.006	0.072	0.902
ṃma	0.6509	0.960	0.001	0.000	0.115	0.009	0.003	0.001	0.872
ahm	0.6414	0.000	0.000	0.000	0.000	0.002	0.003	0.020	0.976
yāt	0.6412	0.125	0.182	0.000	0.030	0.018	0.184	0.008	0.760
bal	0.6405	0.001	0.000	0.000	0.000	0.002	0.002	0.008	0.988
añc	0.6302	0.003	0.000	0.000	0.000	0.003	0.003	0.505	0.489
kal	0.6154	0.001	0.000	0.000	0.000	0.004	0.017	0.029	0.951
aye	0.6117	0.081	0.265	0.000	0.072	0.001	0.277	0.008	0.643
khy	0.6086	0.000	0.000	0.000	0.000	0.001	0.002	0.025	0.972
avā	0.6064	0.139	0.045	0.047	0.017	0.001	0.016	0.015	0.904
arṣ	0.5960	0.001	0.000	0.000	0.000	0.001	0.001	0.078	0.920
ika	0.5858	0.173	0.011	0.003	0.005	0.001	0.006	0.076	0.910
ava	0.5815	0.142	0.066	0.037	0.037	0.003	0.003	0.038	0.881
arā	0.5812	0.120	0.082	0.010	0.000	0.001	0.001	0.018	0.970
sth	0.5762	0.000	0.000	0.000	0.000	0.012	0.003	0.013	0.972
hār	0.5736	0.037	0.000	0.021	0.000	0.001	0.007	0.010	0.961
ira	0.5679	0.176	0.061	0.006	0.000	0.002	0.002	0.023	0.968
yāy	0.5658	0.127	0.000	0.000	0.015	0.001	0.005	0.113	0.867
hāb	0.5639	0.167	0.000	0.078	0.000	0.020	0.005	0.016	0.881
yad	0.5629	0.289	0.027	0.159	0.084	0.001	0.002	0.011	0.743
hir	0.5565	0.025	0.238	0.016	0.000	0.001	0.004	0.060	0.920
tit	0.5552	0.320	0.000	0.048	0.000	0.001	0.001	0.026	0.924
ata	0.5539	0.187	0.073	0.065	0.046	0.001	0.002	0.056	0.831
mar	0.5514	0.113	0.000	0.002	0.004	0.003	0.020	0.007	0.963
pūr	0.5488	0.001	0.000	0.000	0.000	0.003	0.006	0.007	0.984
aha	0.5470	0.111	0.102	0.145	0.016	0.003	0.001	0.079	0.755
rya	0.5420	0.046	0.087	0.012	0.006	0.001	0.006	0.011	0.964
ama	0.5409	0.274	0.059	0.026	0.053	0.006	0.006	0.027	0.881
sah	0.5390	0.036	0.000	0.237	0.027	0.003	0.002	0.180	0.552
ṣya	0.5338	0.002	0.169	0.000	0.000	0.001	0.001	0.004	0.994
rav	0.5311	0.074	0.000	0.043	0.000	0.083	0.005	0.015	0.855
ayā	0.5262	0.049	0.396	0.001	0.161	0.001	0.021	0.006	0.810
yaḥ	0.5256	0.000	0.870	0.010	0.114	0.000	0.000	0.085	0.790
dvi	0.5249	0.072	0.001	0.000	0.000	0.002	0.003	0.601	0.394
ñca	0.5241	0.002	0.369	0.003	0.000	0.002	0.002	0.448	0.545
abh	0.5208	0.224	0.000	0.000	0.002	0.022	0.014	0.028	0.934
yam	0.5187	0.185	0.266	0.003	0.053	0.004	0.007	0.009	0.924
akt	0.5182	0.005	0.000	0.000	0.000	0.044	0.002	0.016	0.938
kta	0.5174	0.007	0.015	0.002	0.002	0.001	0.002	0.012	0.981
ura	0.5172	0.093	0.010	0.000	0.000	0.003	0.002	0.038	0.958
rah	0.5163	0.030	0.000	0.007	0.001	0.009	0.002	0.017	0.965
āde	0.5159	0.446	0.096	0.000	0.000	0.002	0.002	0.008	0.988
kār	0.5147	0.008	0.000	0.000	0.000	0.047	0.017	0.008	0.928
rat	0.5144	0.051	0.009	0.056	0.000	0.003	0.003	0.020	0.918
tav	0.5097	0.051	0.000	0.001	0.145	0.000	0.001	0.033	0.820
var	0.4990	0.019	0.000	0.007	0.001	0.002	0.008	0.027	0.954
tta	0.4987	0.094	0.009	0.031	0.028	0.001	0.002	0.067	0.872
vād	0.4986	0.246	0.023	0.120	0.000	0.077	0.004	0.172	0.627
udh	0.4986	0.068	0.000	0.000	0.000	0.001	0.003	0.004	0.992
tām	0.4950	0.171	0.361	0.000	0.051	0.001	0.003	0.008	0.937
dṛṣ	0.4949	0.007	0.000	0.522	0.000	0.001	0.001	0.002	0.475
mād	0.4948	0.130	0.103	0.003	0.000	0.002	0.009	0.047	0.938
āha	0.4903	0.123	0.191	0.002	0.000	0.118	0.007	0.023	0.849
ṛṣṭ	0.4870	0.000	0.000	0.285	0.000	0.001	0.001	0.003	0.710
hma	0.4858	0.000	0.039	0.000	0.000	0.002	0.004	0.011	0.983
rva	0.4785	0.021	0.022	0.027	0.000	0.001	0.003	0.007	0.962
ḥśa	0.4784	0.938	0.000	0.013	0.000	0.001	0.001	0.104	0.881
put	0.4777	0.001	0.000	0.000	0.000	0.000	0.001	0.009	0.990
ami	0.4730	0.395	0.002	0.004	0.021	0.005	0.001	0.016	0.953
han	0.4705	0.043	0.023	0.008	0.000	0.005	0.004	0.013	0.970
bhi	0.4697	0.000	0.004	0.000	0.005	0.007	0.005	0.094	0.889
ana	0.4690	0.103	0.058	0.039	0.005	0.003	0.002	0.021	0.930
pat	0.4602	0.008	0.005	0.000	0.000	0.002	0.005	0.012	0.981
har	0.4561	0.018	0.001	0.005	0.000	0.003	0.006	0.008	0.978
ato	0.4544	0.019	0.728	0.000	0.000	0.002	0.003	0.011	0.985
utr	0.4533	0.031	0.000	0.008	0.000	0.000	0.001	0.026	0.964
asu	0.4531	0.436	0.063	0.001	0.000	0.002	0.001	0.020	0.977
rām	0.4517	0.093	0.071	0.011	0.000	0.003	0.003	0.008	0.975
atu	0.4441	0.301	0.056	0.236	0.001	0.000	0.001	0.291	0.471
anu	0.4424	0.006	0.017	0.019	0.000	0.003	0.005	0.008	0.964
āmi	0.4415	0.107	0.517	0.000	0.009	0.001	0.003	0.006	0.980
iṣṇ	0.4390	0.001	0.000	0.000	0.000	0.002	0.002	0.007	0.989
daś	0.4368	0.015	0.023	0.000	0.000	0.001	0.004	0.528	0.467
aṃm	0.4365	0.931	0.000	0.016	0.025	0.000	0.000	0.018	0.941
āṃs	0.4331	0.632	0.091	0.000	0.037	0.002	0.001	0.020	0.941
vij	0.4290	0.003	0.000	0.000	0.000	0.001	0.004	0.487	0.509
apu	0.4263	0.397	0.001	0.047	0.000	0.001	0.002	0.017	0.933
rāṇ	0.4261	0.001	0.000	0.000	0.000	0.001	0.002	0.034	0.964
asm	0.4261	0.045	0.000	0.011	0.204	0.004	0.002	0.007	0.772
rūp	0.4249	0.001	0.000	0.000	0.000	0.000	0.001	0.021	0.978
mah	0.4219	0.017	0.000	0.000	0.002	0.003	0.001	0.004	0.989
uvā	0.4210	0.043	0.018	0.013	0.000	0.726	0.000	0.002	0.258
yām	0.4197	0.114	0.162	0.000	0.019	0.001	0.002	0.017	0.961
tap	0.4190	0.072	0.000	0.001	0.000	0.011	0.002	0.030	0.957
aya	0.4188	0.114	0.054	0.019	0.040	0.019	0.001	0.024	0.897
śar	0.4172	0.009	0.000	0.000	0.000	0.001	0.001	0.030	0.968
iti	0.4169	0.022	0.153	0.612	0.000	0.001	0.002	0.005	0.381
ahā	0.4151	0.006	0.021	0.000	0.000	0.002	0.002	0.005	0.992
kaṃ	0.4147	0.000	0.867	0.000	0.025	0.000	0.000	0.060	0.914
