trigram	abs_rho_x	junction_share	final_share	particle_share	pronoun_share	verb_narrative_share	verb_prescriptive_share	numeral_list_share	content_share
rāj	0.8093	0.014	0.001	0.001	0.000	0.001	0.002	0.004	0.992
āja	0.7486	0.146	0.094	0.000	0.000	0.012	0.004	0.004	0.980
mṛt	0.7048	0.015	0.000	0.000	0.000	0.025	0.003	0.006	0.967
hat	0.7006	0.091	0.060	0.024	0.000	0.048	0.001	0.005	0.921
ikā	0.7001	0.102	0.217	0.000	0.003	0.001	0.007	0.035	0.954
tāṃ	0.6841	0.000	0.689	0.000	0.200	0.000	0.001	0.011	0.788
ahm	0.6840	0.000	0.000	0.000	0.000	0.001	0.003	0.019	0.977
atā	0.6339	0.103	0.193	0.001	0.060	0.001	0.002	0.016	0.920
ātr	0.6272	0.070	0.000	0.000	0.000	0.001	0.004	0.099	0.896
arṣ	0.6224	0.001	0.000	0.000	0.000	0.001	0.001	0.056	0.941
ādi	0.6197	0.097	0.049	0.000	0.000	0.001	0.010	0.135	0.855
sah	0.6196	0.042	0.000	0.272	0.031	0.003	0.002	0.137	0.553
aye	0.6169	0.070	0.258	0.000	0.060	0.001	0.281	0.008	0.650
āmi	0.6162	0.128	0.497	0.000	0.012	0.002	0.003	0.006	0.977
bal	0.6037	0.001	0.000	0.000	0.000	0.002	0.002	0.009	0.987
aha	0.6027	0.124	0.110	0.157	0.021	0.004	0.002	0.058	0.759
rat	0.5961	0.052	0.009	0.058	0.000	0.003	0.004	0.019	0.916
hāp	0.5900	0.253	0.000	0.208	0.000	0.011	0.009	0.014	0.757
kal	0.5888	0.001	0.000	0.000	0.000	0.003	0.019	0.018	0.959
yām	0.5817	0.121	0.180	0.000	0.022	0.001	0.002	0.015	0.961
rah	0.5765	0.035	0.000	0.009	0.001	0.008	0.002	0.015	0.965
yet	0.5645	0.192	0.432	0.000	0.070	0.001	0.433	0.007	0.490
ṣya	0.5508	0.003	0.196	0.000	0.000	0.000	0.001	0.003	0.995
vān	0.5460	0.097	0.414	0.050	0.032	0.029	0.002	0.005	0.883
sth	0.5430	0.000	0.000	0.000	0.000	0.014	0.003	0.014	0.970
tav	0.5425	0.045	0.000	0.001	0.162	0.001	0.001	0.023	0.813
put	0.5401	0.001	0.000	0.000	0.000	0.000	0.001	0.008	0.990
hyā	0.5379	0.012	0.098	0.004	0.000	0.022	0.010	0.034	0.930
hāb	0.5362	0.182	0.000	0.085	0.000	0.019	0.006	0.016	0.874
ata	0.5229	0.194	0.073	0.069	0.051	0.001	0.001	0.041	0.836
yāt	0.5219	0.129	0.186	0.000	0.031	0.022	0.188	0.007	0.752
hir	0.5214	0.029	0.254	0.018	0.000	0.002	0.003	0.060	0.917
utr	0.5205	0.030	0.000	0.011	0.000	0.000	0.001	0.028	0.960
ika	0.5193	0.183	0.012	0.003	0.006	0.001	0.007	0.064	0.919
hār	0.5184	0.039	0.000	0.021	0.000	0.001	0.008	0.009	0.962
udh	0.5149	0.060	0.000	0.000	0.000	0.002	0.003	0.004	0.991
arā	0.5094	0.131	0.084	0.010	0.000	0.001	0.001	0.017	0.970
han	0.5073	0.043	0.026	0.008	0.000	0.006	0.004	0.011	0.970
hma	0.5065	0.000	0.040	0.000	0.000	0.001	0.003	0.010	0.986
ava	0.5040	0.135	0.076	0.034	0.044	0.003	0.003	0.034	0.881
akt	0.5008	0.005	0.000	0.000	0.000	0.048	0.002	0.015	0.935
mar	0.4997	0.121	0.000	0.002	0.005	0.003	0.023	0.007	0.960
ḥśa	0.4992	0.940	0.000	0.015	0.000	0.001	0.001	0.083	0.900
var	0.4936	0.020	0.000	0.008	0.002	0.003	0.008	0.025	0.955
dṛṣ	0.4928	0.008	0.000	0.521	0.000	0.001	0.001	0.002	0.475
avā	0.4907	0.146	0.047	0.051	0.021	0.001	0.012	0.014	0.901
ade	0.4843	0.372	0.072	0.000	0.023	0.000	0.014	0.014	0.949
