feature	rho_x	rho_y	mean_permille	early_q_permille	late_q_permille
rāj	-0.8068	0.1740	1.226	2.335	0.477
āja	-0.7949	0.0844	0.824	1.439	0.435
tāṃ	-0.7710	0.0146	0.804	1.125	0.488
hat	-0.7254	0.2173	1.090	1.506	0.829
vān	-0.6686	0.3157	1.300	1.673	0.931
atā	-0.6579	0.2675	1.821	2.133	1.457
ṃma	-0.6509	-0.1146	0.802	1.019	0.643
bal	-0.6405	0.2722	0.468	0.741	0.226
avā	-0.6064	0.0504	1.854	2.171	1.537
arṣ	-0.5960	0.5560	0.682	1.001	0.430
ava	-0.5815	0.2829	3.673	4.030	3.161
arā	-0.5812	0.1742	2.099	2.725	1.710
hār	-0.5736	0.1286	1.105	1.624	0.927
ira	-0.5679	0.1424	0.972	1.250	0.730
hāb	-0.5639	0.4653	0.510	0.688	0.356
yad	-0.5629	-0.0682	1.017	1.127	0.779
hir	-0.5565	0.1639	0.663	0.937	0.447
ata	-0.5539	0.4243	4.587	5.146	4.045
mar	-0.5514	-0.0177	0.712	0.909	0.585
aha	-0.5470	0.4296	1.918	2.372	1.614
rya	-0.5420	0.1223	0.778	0.936	0.681
ama	-0.5409	-0.0138	4.985	5.532	4.452
sah	-0.5390	0.5348	0.786	1.132	0.607
ṣya	-0.5338	0.0489	0.676	0.796	0.414
rav	-0.5311	0.2052	1.304	1.698	1.156
ayā	-0.5262	-0.2333	1.969	2.147	1.598
abh	-0.5208	0.2575	3.045	3.342	2.626
yam	-0.5187	0.0003	1.710	1.929	1.514
ura	-0.5172	0.1823	0.764	0.902	0.571
rat	-0.5144	0.1987	2.015	2.804	1.784
tav	-0.5097	-0.1753	0.758	0.867	0.576
udh	-0.4986	0.2688	0.565	0.912	0.361
tām	-0.4950	0.1672	0.698	0.840	0.537
dṛṣ	-0.4949	-0.2161	0.514	0.691	0.365
āha	-0.4903	-0.2641	0.734	0.846	0.518
ṛṣṭ	-0.4870	-0.0319	0.976	1.244	0.809
ḥśa	-0.4784	0.2430	0.478	0.679	0.352
put	-0.4777	0.4967	0.581	0.734	0.267
ami	-0.4730	-0.0644	0.557	0.706	0.481
han	-0.4705	-0.0284	1.127	1.496	1.007
bhi	-0.4697	0.1852	1.448	1.731	1.193
ana	-0.4690	-0.2456	3.257	3.716	2.945
pat	-0.4602	0.2957	1.108	1.178	0.888
har	-0.4561	-0.0157	1.952	2.297	1.574
ato	-0.4544	0.0555	0.785	0.853	0.731
utr	-0.4533	0.5219	0.639	0.780	0.324
asu	-0.4531	0.3324	0.565	0.587	0.378
rām	-0.4517	-0.0727	0.544	0.937	0.375
anu	-0.4424	0.4313	0.566	0.666	0.452
āmi	-0.4415	-0.0683	0.641	0.814	0.489
aṃm	-0.4365	-0.4084	0.929	1.082	0.813
āṃs	-0.4331	0.2360	0.935	1.052	0.810
apu	-0.4263	0.0912	0.696	0.783	0.542
mah	-0.4219	0.2254	2.618	3.306	2.184
uvā	-0.4210	-0.0873	0.935	1.105	0.556
yām	-0.4197	0.1408	1.086	1.202	0.892
tap	-0.4190	0.2738	0.671	0.736	0.541
aya	-0.4188	0.1089	3.271	3.466	3.048
śar	-0.4172	0.0758	0.518	0.739	0.358
ahā	-0.4151	0.2344	2.038	2.645	1.691
mam	-0.4111	-0.1975	0.712	0.822	0.572
iṣy	-0.3961	0.1716	0.506	0.580	0.281
acc	-0.3866	-0.1436	0.468	0.554	0.407
yav	-0.3861	0.1390	0.874	0.988	0.793
dha	-0.3822	0.2396	2.873	3.347	2.781
śaṃ	-0.3821	-0.2621	0.516	0.773	0.391
tva	-0.3803	-0.0947	1.102	1.194	0.876
auv	-0.3796	-0.0542	0.706	0.862	0.412
vāc	-0.3795	-0.1086	1.134	1.267	0.758
yan	-0.3755	0.2598	1.439	1.725	1.274
rut	-0.3732	0.1327	0.561	0.677	0.434
akr	-0.3719	0.0935	0.479	0.558	0.392
ṃga	-0.3713	-0.3373	0.454	0.566	0.427
śya	-0.3706	-0.0212	0.537	0.670	0.447
hāy	-0.3689	0.0836	0.503	0.521	0.422
ari	-0.3661	-0.1600	0.969	1.105	0.871
ābh	-0.3635	0.2887	1.584	1.672	1.367
sat	-0.3583	0.3497	0.846	0.936	0.700
āṃv	-0.3517	0.2456	0.482	0.580	0.435
ḥsa	-0.3484	0.6457	2.419	2.792	2.269
asā	-0.3421	0.1196	1.136	1.248	0.979
aṃg	-0.3400	-0.3496	0.580	0.742	0.535
naḥ	-0.3303	0.4247	1.192	1.404	1.039
apā	-0.3267	-0.0525	0.881	1.039	0.805
ṃva	-0.3262	0.2028	0.665	0.770	0.569
mat	-0.3249	0.1831	0.976	1.022	0.817
any	-0.3223	0.2907	0.548	0.593	0.463
jan	-0.3221	0.0450	0.906	1.023	0.793
aḥt	-0.3198	0.3444	0.672	0.716	0.589
sya	-0.3193	0.4100	1.994	2.146	1.783
dra	-0.3173	-0.0166	0.749	0.912	0.674
āṃś	-0.3171	0.3915	0.620	0.739	0.551
amu	-0.3131	-0.0346	0.977	1.082	0.932
adh	-0.3122	0.2803	1.713	1.780	1.588
air	-0.3112	-0.0570	0.919	1.085	0.783
aḥk	-0.3102	-0.0933	1.187	1.245	1.054
may	-0.3074	-0.1084	0.689	0.738	0.586
van	-0.3072	0.2300	1.164	1.254	1.032
āmā	-0.3070	0.1418	0.926	0.965	0.764
aja	-0.3061	-0.0753	0.860	0.894	0.764
vās	-0.3055	-0.2464	0.850	1.017	0.810
tān	-0.3046	0.6321	1.203	1.355	1.128
ḥta	-0.3033	0.4428	0.752	0.803	0.628
dan	-0.2977	-0.1121	0.526	0.635	0.444
ārā	-0.2942	-0.0696	0.852	1.004	0.775
nar	-0.2920	-0.1921	0.754	0.936	0.623
bhy	-0.2916	0.2096	0.608	0.695	0.583
jay	-0.2894	-0.0951	0.428	0.639	0.359
vay	-0.2867	-0.0815	0.732	0.805	0.659
ati	-0.2838	0.0426	1.847	1.913	1.682
āga	-0.2835	-0.1658	0.844	0.899	0.761
gat	-0.2801	-0.3028	0.937	0.980	0.819
ārt	-0.2787	-0.1030	0.689	0.917	0.652
ina	-0.2778	0.0872	0.716	0.769	0.643
cch	-0.2758	-0.2584	0.804	0.872	0.732
yay	-0.2756	-0.0436	0.569	0.647	0.461
rma	-0.2741	0.1338	0.910	1.027	0.789
āma	-0.2661	0.2256	2.591	2.709	2.217
aty	-0.2638	0.1071	0.731	0.737	0.648
dad	-0.2634	-0.2881	0.469	0.507	0.415
hay	-0.2634	-0.2396	0.613	0.657	0.543
taṃ	-0.2616	-0.4764	2.154	2.364	2.011
mās	-0.2616	0.1627	0.721	0.817	0.651
can	-0.2589	-0.0073	0.767	0.894	0.692
aśa	-0.2572	0.4337	1.402	1.544	1.289
rāt	-0.2547	0.0046	0.549	0.658	0.553
mān	-0.2545	0.4601	1.547	1.636	1.445
str	-0.2517	-0.0955	0.604	0.710	0.567
daṃ	-0.2514	-0.4498	0.484	0.540	0.427
mit	-0.2463	-0.0942	0.588	0.612	0.516
apa	-0.2445	-0.0208	1.781	1.842	1.676
ani	-0.2361	-0.0970	0.760	0.835	0.740
ada	-0.2359	-0.3844	1.602	1.653	1.439
āca	-0.2319	-0.0869	1.619	1.670	1.349
haḥ	-0.2300	0.2393	0.537	0.597	0.540
mad	-0.2292	-0.1604	0.805	0.833	0.699
ḥpu	-0.2281	0.5877	0.596	0.597	0.499
iṣṭ	-0.2277	0.2794	0.952	1.195	0.868
yaś	-0.2271	0.5139	0.701	0.746	0.599
eśa	-0.2242	-0.4388	0.497	0.566	0.419
nan	-0.2241	-0.2920	0.600	0.607	0.573
arm	-0.2206	0.2618	1.101	1.253	0.964
nya	-0.2196	0.0113	0.695	0.745	0.623
vac	-0.2195	0.0809	0.595	0.672	0.525
ṣṭh	-0.2136	0.0330	1.000	1.255	0.871
uta	-0.2133	0.3303	0.804	0.782	0.671
āsa	-0.2091	-0.1689	1.771	1.910	1.716
āṃp	-0.2089	0.1502	0.633	0.688	0.619
