feature	rho_x	rho_y	mean_permille	early_q_permille	late_q_permille
rāj	-0.8116	0.1678	1.244	2.340	0.474
āja	-0.7506	0.2013	0.840	1.433	0.441
hat	-0.6962	0.1577	1.078	1.536	0.802
tāṃ	-0.6864	0.1284	0.855	1.152	0.567
atā	-0.6329	0.3042	1.832	2.113	1.384
arṣ	-0.6218	0.4214	0.617	0.944	0.384
āmi	-0.6203	-0.1563	0.593	0.845	0.368
sah	-0.6157	0.2953	0.696	1.059	0.533
bal	-0.6021	0.2802	0.480	0.792	0.281
rat	-0.5955	0.1580	2.007	2.831	1.716
aha	-0.5952	0.2591	1.771	2.217	1.455
yām	-0.5890	0.0451	1.033	1.229	0.761
ṣya	-0.5488	0.1367	0.673	0.819	0.413
tav	-0.5481	-0.1219	0.778	0.902	0.565
hāb	-0.5375	0.3599	0.492	0.679	0.390
vān	-0.5363	0.4340	1.295	1.638	1.013
put	-0.5348	0.3521	0.542	0.801	0.256
ata	-0.5225	0.3602	4.541	5.191	4.074
hār	-0.5221	0.1022	1.133	1.645	1.018
udh	-0.5159	0.2562	0.586	0.951	0.373
utr	-0.5157	0.3794	0.598	0.856	0.323
hir	-0.5137	0.2566	0.668	0.898	0.433
arā	-0.5119	0.2239	2.234	2.699	1.814
han	-0.5082	-0.0321	1.150	1.526	0.948
ḥśa	-0.5046	0.1453	0.456	0.633	0.319
mar	-0.4996	-0.0132	0.722	0.914	0.563
dṛṣ	-0.4991	-0.2904	0.530	0.711	0.342
ava	-0.4947	0.3976	3.633	4.035	3.215
ama	-0.4931	0.1488	5.000	5.466	4.551
avā	-0.4856	0.1620	1.852	2.142	1.562
āha	-0.4750	-0.1051	0.752	0.876	0.544
rya	-0.4708	0.1077	0.793	0.946	0.688
ira	-0.4680	0.2558	0.979	1.215	0.720
ṛṣṭ	-0.4676	-0.0852	1.006	1.270	0.824
rav	-0.4614	0.1630	1.271	1.659	1.174
apu	-0.4612	0.2191	0.655	0.801	0.531
iṣy	-0.4609	0.1524	0.486	0.619	0.312
ṃma	-0.4588	0.0705	0.852	1.032	0.775
ayā	-0.4566	-0.0709	2.006	2.150	1.564
āṃs	-0.4551	0.2965	0.913	1.042	0.793
pat	-0.4551	0.2799	1.101	1.178	0.877
ura	-0.4518	0.2797	0.782	0.902	0.583
abh	-0.4476	0.3017	3.000	3.299	2.589
rām	-0.4469	-0.1052	0.551	0.902	0.343
ana	-0.4469	-0.0175	3.181	3.611	2.884
ami	-0.4327	0.0605	0.533	0.684	0.425
ḥsa	-0.4316	0.3937	2.283	2.753	2.122
ahā	-0.4297	0.2181	1.922	2.558	1.670
mah	-0.4294	0.2193	2.478	3.234	2.176
yad	-0.4263	0.1771	1.035	1.140	0.805
cha	-0.4236	-0.0469	0.462	0.502	0.355
acc	-0.4189	-0.1379	0.483	0.569	0.401
śya	-0.4152	-0.1026	0.541	0.676	0.420
rān	-0.4136	0.3159	0.526	0.644	0.460
ṃga	-0.4136	-0.3681	0.457	0.573	0.390
apā	-0.4083	0.0253	0.865	1.038	0.776
yam	-0.4024	0.1433	1.717	1.923	1.563
mās	-0.4004	-0.0590	0.667	0.801	0.560
bhi	-0.3982	0.1641	1.485	1.651	1.215
jag	-0.3883	0.0359	0.512	0.581	0.343
asu	-0.3872	0.3232	0.587	0.622	0.453
hām	-0.3812	0.0419	0.476	0.508	0.350
mam	-0.3773	-0.1225	0.740	0.856	0.598
akr	-0.3773	0.0718	0.482	0.560	0.376
tām	-0.3762	0.2442	0.721	0.835	0.567
ato	-0.3759	0.1665	0.791	0.848	0.727
anu	-0.3721	0.4472	0.568	0.665	0.485
śaṃ	-0.3702	-0.2769	0.557	0.840	0.426
aṃg	-0.3685	-0.4078	0.594	0.757	0.492
āmā	-0.3664	0.0505	0.897	0.947	0.706
āga	-0.3650	-0.1883	0.847	0.904	0.711
naḥ	-0.3623	0.2855	1.118	1.367	0.952
aḥt	-0.3607	0.1900	0.627	0.682	0.523
ābh	-0.3546	0.2747	1.587	1.688	1.386
nar	-0.3542	-0.2292	0.736	0.954	0.539
str	-0.3540	-0.1723	0.589	0.709	0.493
tva	-0.3522	-0.0765	1.141	1.272	0.883
yan	-0.3459	0.3849	1.443	1.738	1.230
āṃś	-0.3419	0.2545	0.613	0.762	0.623
jan	-0.3414	0.0646	0.889	1.018	0.685
sat	-0.3345	0.2911	0.818	0.921	0.668
aṃm	-0.3338	-0.2588	0.982	1.108	0.897
tān	-0.3279	0.4653	1.162	1.329	1.083
har	-0.3278	0.1838	1.937	2.210	1.671
āry	-0.3245	-0.3498	0.425	0.532	0.356
ārt	-0.3232	-0.2051	0.700	0.960	0.658
yav	-0.3215	0.2897	0.852	0.976	0.817
vās	-0.3203	-0.3263	0.854	1.007	0.797
āma	-0.3195	0.3266	2.495	2.661	2.162
ārā	-0.3141	-0.1932	0.806	0.957	0.702
mat	-0.3133	0.3059	0.985	1.064	0.832
aty	-0.3127	0.2198	0.696	0.729	0.542
any	-0.3064	0.3238	0.561	0.616	0.463
ina	-0.3048	0.0296	0.692	0.773	0.609
rut	-0.3033	0.0250	0.523	0.625	0.472
dha	-0.3014	0.1704	2.867	3.302	2.783
ati	-0.2983	0.0649	1.821	1.948	1.608
asa	-0.2960	0.1311	3.455	3.758	3.337
aḥk	-0.2925	-0.0179	1.177	1.231	1.012
jay	-0.2916	-0.1299	0.453	0.685	0.392
gat	-0.2863	-0.2251	0.985	1.008	0.778
cch	-0.2860	-0.2340	0.827	0.883	0.728
iṣṭ	-0.2857	0.0140	0.934	1.180	0.810
rāt	-0.2842	0.0226	0.538	0.657	0.505
śar	-0.2828	0.2172	0.633	0.697	0.469
ṣṭh	-0.2796	-0.1161	0.980	1.260	0.814
mān	-0.2796	0.3096	1.472	1.618	1.371
dan	-0.2779	-0.0560	0.516	0.613	0.429
aśa	-0.2762	0.2101	1.306	1.446	1.219
taṃ	-0.2758	-0.4452	2.215	2.428	1.977
sya	-0.2746	0.3397	1.959	2.238	1.829
yaś	-0.2726	0.4359	0.689	0.753	0.644
tap	-0.2703	0.2029	0.644	0.695	0.544
hay	-0.2701	-0.2245	0.628	0.663	0.517
dra	-0.2604	0.0310	0.760	0.935	0.738
ḥta	-0.2604	0.3788	0.727	0.756	0.624
adh	-0.2528	0.3681	1.694	1.774	1.587
van	-0.2502	0.2972	1.170	1.273	1.066
mit	-0.2483	0.0074	0.557	0.598	0.475
śat	-0.2468	0.2357	0.549	0.642	0.506
dad	-0.2460	-0.2563	0.484	0.508	0.404
amu	-0.2422	-0.0324	0.993	1.071	0.965
aja	-0.2400	0.1225	0.875	0.904	0.779
itā	-0.2387	0.1199	1.702	1.844	1.511
aiś	-0.2382	-0.0293	0.517	0.747	0.454
ari	-0.2377	-0.0409	0.979	1.087	0.895
āśc	-0.2353	0.3837	0.721	0.876	0.681
hāy	-0.2353	0.0892	0.506	0.539	0.442
uta	-0.2351	0.2919	0.800	0.787	0.669
paś	-0.2348	-0.2887	0.521	0.602	0.478
mad	-0.2313	-0.0499	0.815	0.833	0.668
aya	-0.2311	0.4643	3.403	3.524	3.230
aṃc	-0.2270	-0.2412	1.127	1.311	1.074
āṃp	-0.2250	0.1794	0.641	0.698	0.661
vin	-0.2246	-0.2775	0.490	0.573	0.452
bhy	-0.2211	0.3011	0.638	0.723	0.617
air	-0.2207	0.0834	0.983	1.070	0.838
akṛ	-0.2186	-0.0766	0.493	0.522	0.458
cit	-0.2172	-0.1524	0.471	0.505	0.389
ima	-0.2153	0.1369	0.631	0.664	0.557
vay	-0.2152	-0.0668	0.765	0.821	0.707
rma	-0.2148	0.2121	0.890	1.008	0.744
ṃva	-0.2105	0.0105	0.643	0.732	0.607
amā	-0.2100	-0.2770	3.319	3.561	3.217
yay	-0.2075	0.0688	0.593	0.655	0.464
rai	-0.2067	-0.1410	0.480	0.573	0.394
has	-0.2036	0.0892	1.170	1.300	1.131
daṃ	-0.2029	-0.3456	0.480	0.515	0.403
apa	-0.2028	0.0448	1.723	1.786	1.608
may	-0.2001	0.0149	0.722	0.758	0.626
ṃca	-0.1994	-0.1520	1.326	1.524	1.262
kṣi	-0.1993	-0.2110	0.581	0.693	0.511
śca	-0.1987	0.4644	2.378	2.665	2.549
āsa	-0.1969	-0.2714	1.777	1.863	1.762
aiḥ	-0.1929	-0.2388	1.115	1.231	0.966
āṇi	-0.1894	-0.0024	0.496	0.598	0.459
yas	-0.1892	0.2202	1.575	1.648	1.481
āta	-0.1867	-0.0935	1.477	1.469	1.323
ham	-0.1830	-0.2861	0.887	0.928	0.838
una	-0.1829	0.0700	0.656	0.760	0.633
nya	-0.1827	0.0812	0.721	0.757	0.625
ada	-0.1792	-0.2310	1.611	1.589	1.371
ḥpu	-0.1783	0.4411	0.558	0.592	0.480
cam	-0.1765	0.1913	0.541	0.594	0.522
asā	-0.1762	0.1364	1.134	1.208	1.035
sam	-0.1738	-0.0044	1.861	1.995	1.797
aca	-0.1727	0.1031	1.269	1.336	1.291
tad	-0.1697	0.2199	1.310	1.343	1.170
kṛt	-0.1691	-0.2161	1.393	1.489	1.319
āḥs	-0.1657	0.4399	0.968	1.055	0.971
ann	-0.1627	0.0855	0.541	0.541	0.490
trā	-0.1616	0.1805	0.811	0.853	0.786
cak	-0.1615	0.2088	0.915	0.902	0.837
haṃ	-0.1611	-0.5634	1.632	1.725	1.534
aḥś	-0.1585	-0.1341	0.912	0.940	0.952
vam	-0.1578	-0.0158	0.922	0.989	0.899
asy	-0.1570	0.3115	2.301	2.464	2.181
āṃt	-0.1552	-0.1339	0.490	0.481	0.439
aṃd	-0.1535	-0.5208	1.156	1.257	1.096
arm	-0.1532	0.2941	1.060	1.234	0.948
ani	-0.1519	0.0649	0.790	0.834	0.799
āḥp	-0.1453	0.5138	0.734	0.814	0.776
