feature	rho_x	rho_y	mean_permille	early_q_permille	late_q_permille
tam	-0.7827	-0.1492	2.946	4.201	1.471
adya	-0.7657	-0.2100	0.587	1.322	0.157
vīra	-0.7019	-0.2047	0.275	0.700	0.034
sa	-0.6982	0.1301	7.531	10.228	5.489
tvām	-0.6926	-0.3421	0.636	1.162	0.149
tān	-0.6900	0.3084	1.068	1.679	0.618
mahā	-0.6858	0.2243	6.417	10.673	3.590
abravīt	-0.6747	0.1980	0.893	2.184	0.293
rāja	-0.6559	-0.1680	1.018	2.313	0.325
enam	-0.6551	0.1386	0.336	0.721	0.113
śrutvā	-0.6473	-0.1873	1.088	1.882	0.468
dṛṣṭvā	-0.6417	-0.0719	1.951	3.111	1.134
putram	-0.6312	0.1813	0.337	0.676	0.064
raṇe	-0.6311	-0.0410	0.358	1.143	0.017
jagāma	-0.6288	-0.0424	0.370	0.603	0.085
tvayā	-0.6255	-0.2733	0.818	1.236	0.390
uktvā	-0.6254	-0.1337	0.466	0.818	0.199
rājā	-0.6250	-0.0413	1.251	2.715	0.357
iva	-0.6178	-0.0722	2.341	4.831	0.890
vacaḥ	-0.6173	-0.2647	0.558	0.949	0.213
sarvān	-0.6123	0.2959	0.526	0.961	0.280
balam	-0.6080	0.0104	0.385	0.699	0.134
rājan	-0.6048	-0.1722	0.939	2.197	0.241
rājānam	-0.6027	0.1814	0.298	0.744	0.075
asi	-0.5993	-0.1820	0.549	0.893	0.332
saha	-0.5989	0.2882	1.290	1.962	0.894
āsīt	-0.5930	0.1960	0.660	1.130	0.264
tava	-0.5915	-0.3752	1.080	1.705	0.496
tau	-0.5907	0.2403	0.437	0.786	0.149
balaḥ	-0.5859	0.0970	0.318	0.602	0.116
dadarśa	-0.5834	-0.2977	0.320	0.677	0.049
prati	-0.5816	0.1192	0.324	0.614	0.138
sma	-0.5810	-0.1224	0.301	0.679	0.097
vayam	-0.5795	-0.3001	0.349	0.511	0.096
śreṣṭhaḥ	-0.5773	0.0928	0.213	0.422	0.086
dhanuḥ	-0.5723	0.0787	0.233	0.555	0.075
tām	-0.5719	-0.1726	1.631	2.097	1.029
te	-0.5708	0.2681	4.829	6.082	3.615
vacanam	-0.5660	-0.0495	0.498	0.939	0.181
mām	-0.5649	-0.3966	1.129	1.851	0.659
rājñaḥ	-0.5619	-0.1111	0.234	0.554	0.080
śara	-0.5600	-0.1323	0.288	0.776	0.046
tadā	-0.5593	0.3039	2.713	3.956	1.472
ha	-0.5568	0.2358	0.686	1.115	0.290
kuru	-0.5550	-0.3255	0.404	0.854	0.143
vākyam	-0.5543	-0.0797	0.578	1.245	0.265
mā	-0.5534	-0.3390	0.529	0.861	0.213
śaraiḥ	-0.5509	-0.1951	0.257	0.820	0.022
ratham	-0.5419	-0.1398	0.222	0.583	0.039
ayam	-0.5328	-0.2360	1.094	1.558	0.644
kaḥ	-0.5314	-0.2870	0.548	0.764	0.253
tatas	-0.5309	0.2722	5.687	7.422	4.400
ratha	-0.5253	-0.1103	0.269	0.709	0.069
abhavat	-0.5226	0.3611	0.647	0.921	0.392
varaḥ	-0.5188	0.1962	0.273	0.432	0.173
nara	-0.5132	-0.0579	0.443	0.898	0.238
tāta	-0.5098	-0.2588	0.334	0.563	0.099
babhūva	-0.5068	0.1021	0.288	0.415	0.169
imām	-0.5063	0.2136	0.314	0.559	0.156
vanam	-0.5049	-0.0932	0.281	0.519	0.118
tejasā	-0.5036	0.3956	0.305	0.466	0.173
āsa	-0.4963	-0.1380	0.526	1.534	0.055
naḥ	-0.4950	-0.1530	0.714	0.851	0.314
hatvā	-0.4923	-0.1229	0.251	0.548	0.066
śoka	-0.4923	-0.2469	0.331	0.859	0.121
sahasraśas	-0.4910	0.3809	0.314	0.493	0.114
uktaḥ	-0.4893	0.2446	0.354	0.566	0.201
mahat	-0.4830	0.1138	0.498	0.773	0.348
asmi	-0.4829	-0.2256	0.327	0.528	0.135
