feature	rho_x
adya	-0.7461
rāja	-0.7426
rājan	-0.7015
tvām	-0.6975
vīra	-0.6950
tam	-0.6720
iva	-0.6645
rājā	-0.6576
enam	-0.6539
raṇe	-0.6531
tava	-0.6390
sma	-0.6322
rājānam	-0.6228
tān	-0.6206
ratha	-0.6185
ratham	-0.6171
sa	-0.6117
bhṛśam	-0.6012
sahasā	-0.5989
dhanuḥ	-0.5988
śara	-0.5976
dadarśa	-0.5963
āsīt	-0.5932
āsa	-0.5885
mā	-0.5877
śaraiḥ	-0.5875
rājñaḥ	-0.5823
tvayā	-0.5793
kuru	-0.5742
śrutvā	-0.5733
mām	-0.5724
dṛṣṭvā	-0.5709
saha	-0.5682
prati	-0.5680
abravīt	-0.5618
tāta	-0.5602
putram	-0.5582
kva	-0.5570
diśaḥ	-0.5526
asmi	-0.5494
asi	-0.5469
vane	-0.5438
jagāma	-0.5432
uktvā	-0.5419
mahā	-0.5410
hatvā	-0.5406
sarvān	-0.5377
balam	-0.5374
vaiśaṃpāyanaḥ	-0.5336
tau	-0.5254
vayam	-0.5227
babhūva	-0.5158
balaḥ	-0.5135
nara	-0.5113
kim	-0.5113
putraḥ	-0.5070
kaḥ	-0.5048
te	-0.4988
tām	-0.4983
prāptaḥ	-0.4948
naḥ	-0.4942
śoka	-0.4936
vākyam	-0.4888
bala	-0.4869
rājyam	-0.4864
bhārata	-0.4859
me	-0.4831
ādāya	-0.4790
aham	-0.4783
mahat	-0.4700
mama	-0.4659
ayam	-0.4647
bāṇa	-0.4645
vanam	-0.4633
śreṣṭhaḥ	-0.4620
sārdham	-0.4601
śīghram	-0.4599
ha	-0.4594
vacanam	-0.4567
puruṣa	-0.4474
vacaḥ	-0.4464
idam	-0.4437
imām	-0.4377
yudhiṣṭhiraḥ	-0.4335
abhavat	-0.4334
cakāra	-0.4308
pituḥ	-0.4230
sādhu	-0.4206
asya	-0.4188
tatas	-0.4170
tejasā	-0.4162
cakre	-0.4160
nṛpa	-0.4059
nāga	-0.4049
śreṣṭha	-0.4039
eṣa	-0.4032
yayau	-0.4028
tadā	-0.3980
mahātmanaḥ	-0.3937
