text	saiva	vaisnava	goddess	sect_total	saiva_polarity	speech	vocative	iti	optative	imperative	log_len
agnipurana_u	5.3326	7.1375	1.8596	14.3297	-0.1260	3.0902	0.7657	4.3208	33.1170	2.4521	11.6055
bhagavatapurana_skandha-01_u	1.0945	10.5801	0.4864	12.1610	-0.7800	10.8233	5.7157	3.2835	3.4051	1.4593	9.0147
bhagavatapurana_skandha-02_u	0.9840	9.5941	2.9520	13.5301	-0.6364	8.3641	5.6581	3.9360	6.1501	0.9840	8.3102
bhagavatapurana_skandha-03_u	1.1590	6.1358	0.8863	8.1811	-0.6083	6.2040	2.9316	3.9542	4.0224	0.6818	9.5934
bhagavatapurana_skandha-04_u	2.2891	4.9822	1.0772	8.3485	-0.3226	7.0020	5.6554	3.1643	4.9822	0.8079	9.6060
bhagavatapurana_skandha-05_u	0.7977	3.6893	0.2991	4.7861	-0.6042	6.4812	2.1936	8.9740	2.6922	1.5954	9.2132
bhagavatapurana_skandha-06_u	2.1935	8.4448	1.2064	11.8447	-0.5278	12.9414	6.6901	3.9482	7.3481	2.5225	9.1180
bhagavatapurana_skandha-07_u	1.1593	8.7595	0.3864	10.3053	-0.7375	13.2681	6.6984	4.1221	10.4341	1.4170	8.9571
bhagavatapurana_skandha-08_u	1.2404	9.3033	1.2404	11.7842	-0.6842	13.2313	7.5460	4.3415	4.5483	1.1371	9.1772
bhagavatapurana_skandha-09_u	1.1464	4.5857	0.9380	6.6701	-0.5156	10.8390	6.5659	5.7322	2.9182	0.8338	9.1690
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.7255	13.2037	0.1451	14.0743	-0.8866	9.2861	1.1608	39.0308	4.6431	2.3215	8.8381
bhagavatapurana_skandha-10_u	0.7101	14.3175	1.0079	16.0356	-0.8486	11.3165	6.0706	5.1772	2.3366	1.0996	10.6840
bhagavatapurana_skandha-11_u	0.5712	6.2116	0.3570	7.1398	-0.7900	9.6387	3.6413	2.9273	14.1368	0.4284	9.5472
bhagavatapurana_skandha-12_u	1.9920	8.9641	0.3320	11.2882	-0.6176	9.4622	7.3041	4.6481	4.3161	0.4980	8.7035
bhavisyapurana	3.3327	7.3629	1.3698	12.0654	-0.3340	7.1256	5.1375	6.0579	21.9737	1.7185	12.5359
brahmandapurana	2.1861	2.5082	2.5236	7.2179	-0.0446	4.6483	2.3548	5.1085	5.5458	1.2810	11.7781
brahmandapurana_khanda-1_u	1.9655	1.7069	0.5690	4.2413	0.0610	3.5172	1.7327	5.2241	3.8276	0.8793	10.5627
brahmandapurana_khanda-2_u	1.7104	3.0958	0.8723	5.6785	-0.2440	6.7390	3.9168	5.0286	5.9180	1.8814	10.9762
brahmandapurana_khanda-3_u	3.0469	2.1863	6.3961	11.6293	0.0740	2.5352	1.0466	5.1866	6.5589	0.8606	10.6688
brahmapurana_pu	3.5259	7.8245	0.8990	12.2495	-0.3509	12.3408	7.7402	5.8649	7.5155	1.5733	11.8662
devibhagavatapurana	2.8365	6.4261	5.0910	14.3536	-0.2501	10.1722	4.9247	5.6192	9.0572	1.8486	12.2282
devibhagavatapurana_devigita_adhyaya-31-40	3.5559	1.3829	7.5069	12.4457	0.1746	6.3216	3.1608	7.7045	22.5207	0.7902	8.5295
devipurana	6.9985	4.1946	9.2192	20.4123	0.1374	3.0506	3.2749	2.4450	19.8291	2.2880	10.7051
garudapurana_khanda-1_u	4.6606	6.1401	0.8507	11.6514	-0.1270	2.2933	0.9124	3.6126	26.4592	2.4782	11.3035
garudapurana_khanda-2_u	1.2489	6.5485	0.2700	8.0675	-0.6569	6.4473	1.9241	3.2068	25.2827	1.4515	10.2964
garudapurana_khanda-3_u	4.3750	24.7039	3.3567	32.4357	-0.6267	8.7878	4.1488	6.9397	8.4107	0.9052	10.1854
harivamsa	0.7692	12.2897	0.7524	13.8113	-0.8341	6.8555	4.5815	4.3474	2.7756	0.9531	10.9989
harivamsa_appendix-29-30_mathura	2.5352	13.2976	1.1480	16.9808	-0.6338	6.7923	7.4620	4.7355	6.2661	1.6263	9.9478
harivamsa_appendix-31	4.1527	25.3201	0.4614	29.9342	-0.7071	8.6515	12.8042	9.1706	2.3647	1.4996	9.7607
harivamsa_appendix-41	1.3587	7.3596	1.5851	10.3034	-0.5824	4.8687	7.1332	2.7174	3.5100	0.9058	9.0861
harivamsa_appendix-42_pradurbhava	1.1439	3.8478	1.5079	6.4996	-0.4160	5.6156	1.2999	1.4559	1.1439	0.8319	9.8643
kalikapurana	9.2404	5.6201	5.4822	20.3427	0.1780	6.7234	2.4365	4.8271	16.6305	3.1376	11.3738
karatoyamahatmya_pu	7.0211	17.0512	7.0211	31.0933	-0.3226	4.0120	7.0211	5.0150	15.0451	1.0030	6.9048
kirfel_ppl_textgruppe_IIA_col1	2.0542	7.6007	0.6163	10.2712	-0.5400	4.7247	4.7247	5.5464	0.2054	1.6434	8.4904
kirfel_ppl_textgruppe_IIB_col1	2.7802	1.0975	1.3901	5.2678	0.3194	2.7071	1.2438	8.2675	3.8045	0.7316	9.5228
kirfel_ppl_textgruppe_III_col1	1.4189	5.6758	0.3547	7.4495	-0.5714	6.0305	3.5474	6.0305	2.4832	0.0000	7.9441
kirfel_ppl_textgruppe_II_col1	1.2660	4.8107	0.2532	6.3299	-0.5600	5.8235	2.1522	6.7097	6.8363	1.3926	8.9745
kirfel_ppl_textgruppe_I_col1	1.0444	3.0878	0.7265	4.8588	-0.4206	5.7670	5.3129	6.7206	3.5419	0.6357	9.9998
kirfel_ppl_textgruppe_Ia_col1	1.9455	4.2448	0.8843	7.0746	-0.3250	3.3605	2.2993	5.8366	3.0067	1.9455	8.6401
kirfel_ppl_ungrouped_col1	1.0602	5.2194	1.6311	7.9106	-0.5258	7.0951	3.4252	4.2407	4.0776	1.3048	9.4143
kurmapurana_khanda-1_u	10.7476	12.9789	3.2683	26.9948	-0.0827	7.0080	3.8025	3.3940	4.7139	0.6599	10.3679
kurmapurana_khanda-2_u	8.6093	5.6640	1.7370	16.0103	0.1840	5.4752	2.1523	4.6445	31.4541	0.7930	10.1843
lingapurana_khanda-1_u	12.1357	5.6391	2.0202	19.7951	0.3282	6.6565	3.7061	4.1276	9.6069	1.4534	11.1390
lingapurana_khanda-2_u	18.0064	9.3583	3.0916	30.4562	0.2840	6.6009	2.6738	5.8907	18.5495	0.8356	10.0831
mahabharata_01-adiparvan	0.3553	2.1843	0.6842	3.2238	-0.5673	14.2898	7.2765	6.4475	4.4475	1.4474	11.2385
mahabharata_02-appendix-21_sisupala	0.8935	21.1897	0.3829	22.4662	-0.9034	2.5530	7.0207	2.9359	1.2765	0.3829	8.9662
mahabharata_02-sabhaparvan	0.3938	6.0253	0.1575	6.5766	-0.8563	13.0351	10.0815	3.8200	4.3713	1.8509	10.1422
mahabharata_03-aranyakaparvan	1.1093	2.2279	0.7271	4.0643	-0.2752	12.8735	9.1354	4.4558	5.2016	1.3237	11.5832
mahabharata_04-virataparvan	0.2545	0.8144	0.6108	1.6796	-0.3333	11.7575	5.4970	3.2575	6.1078	2.9521	9.8857
mahabharata_05-udyogaparvan	0.4987	7.6983	0.5298	8.7268	-0.8250	10.3163	7.8541	3.7401	7.4490	2.2285	11.0693
mahabharata_06-bhismaparvan	0.3646	3.0441	0.9661	4.3748	-0.6125	6.6168	11.3562	2.5155	2.6978	0.6744	10.9125
mahabharata_07-appendix-08_sodasarajika	0.6552	0.4368	0.2184	1.3103	0.1667	11.7930	2.4023	7.8620	1.3103	1.3103	8.4292
mahabharata_07-dronaparvan	0.7289	4.0894	1.3096	6.1280	-0.5484	6.3998	8.2283	2.1992	3.8918	0.8278	11.3015
mahabharata_08-karnaparvan	0.5303	4.0979	0.7955	5.4236	-0.6578	6.7735	8.8948	2.9890	3.9050	1.3499	10.6331
mahabharata_09-salyaparvan	0.5285	3.2001	0.6459	4.3745	-0.6107	7.3104	11.3033	2.4662	2.9066	0.9395	10.4359
mahabharata_10-sauptikaparvan	1.6850	2.0739	1.0369	4.7959	-0.0811	8.1659	8.5548	4.0181	4.2774	1.2962	8.9509
mahabharata_11-striparvan	0.2637	8.3081	0.2637	8.8356	-0.9104	10.2862	7.2531	2.2419	3.0331	0.9231	8.9337
mahabharata_12-appendix-29_moksadharma	0.7735	0.6188	0.7735	2.1658	0.0714	9.4369	5.5693	14.6968	9.5916	1.3923	8.7740
mahabharata_12-santiparvan	0.8621	3.0755	0.4271	4.3647	-0.5071	10.7486	6.7256	5.1180	12.7212	1.0562	11.7657
mahabharata_13-anusasanaparvan	1.8805	2.3543	0.3702	4.6049	-0.1029	12.4228	7.8179	4.4420	11.2383	2.0137	11.1204
mahabharata_13-appendix-15_umamahesvara	13.7272	0.9329	0.7996	15.4598	0.8276	0.7552	7.2412	4.5313	18.7472	0.8885	10.0217
mahabharata_14-appendix-04_vaisnavadharma	1.0914	3.0922	0.3638	4.5474	-0.4400	7.3364	6.9727	2.6678	22.2519	0.9095	9.7107
mahabharata_14-asvamedhikaparvan	0.7720	4.8160	0.4412	6.0292	-0.6707	12.0951	6.8747	6.8380	4.7425	1.5808	10.2110
mahabharata_15-asramavasikaparvan	0.6160	0.6160	0.9681	2.2001	0.0000	11.3526	10.0326	7.3924	3.8722	1.5841	9.3381
mahabharata_16-mausalaparvan	0.3376	13.5044	0.3376	14.1796	-0.9286	8.4402	10.1283	5.0641	1.6880	1.6880	7.9936
mahabharata_17-mahaprasthanikaparvan	0.0000	0.0000	0.0000	0.0000	0.0000	24.7619	7.6190	2.8571	0.9524	1.9048	6.9565
mahabharata_18-svargarohanaparvan	1.5408	1.0272	0.0000	2.5681	0.2000	6.6769	12.3267	2.5681	4.6225	1.5408	7.5740
markandeyapurana	0.5246	1.1446	3.2271	4.8963	-0.1266	12.6542	3.8153	6.0410	5.3892	2.3846	11.0494
markandeyapurana_adhyaya-1-80_u	0.4174	1.2031	0.3683	1.9888	-0.3951	11.0977	3.6338	5.9663	6.7765	1.7678	10.6147
markandeyapurana_adhyaya-81-93_devimahatmya_u	2.0894	2.2501	28.2867	32.6262	-0.0049	11.4111	4.3394	5.3038	1.4465	4.8216	8.7358
markandeyapurana_adhyaya-94-141_u	0.1881	0.5642	0.7522	1.5044	-0.2500	17.1128	4.0745	6.5192	3.3849	3.0088	9.6774
matsyapurana_pu	2.8820	4.1900	1.2319	8.3039	-0.1575	7.7336	2.8516	4.2584	14.8208	1.8631	11.7868
naradapurana_khanda-1_u	3.2750	8.5597	1.8980	13.7328	-0.3848	2.7763	1.9873	4.2948	25.2698	1.9725	11.8082
naradapurana_khanda-2_u	2.2514	6.2495	1.1257	9.6266	-0.4153	6.4436	7.8798	1.9797	12.4602	1.8244	10.1567
nilamatapurana_au	6.1880	6.0474	2.8831	15.1185	0.0093	11.5322	4.6410	6.0474	10.4071	0.5625	9.5625
nrsimhapurana_pu	1.5449	13.5844	0.4528	15.5821	-0.7726	11.3736	6.2595	7.9908	8.2039	1.1720	10.5332
padmapurana_a	3.3390	9.2981	1.0242	13.6614	-0.4362	10.1816	3.9951	4.3437	11.4917	1.6955	13.0429
pranavakalpa	5.4921	2.5588	1.3730	9.4240	0.3113	6.5531	2.4964	33.3271	4.4311	4.4935	9.6818
ramayana_01-balakanda	0.7002	1.3466	0.2693	2.3162	-0.2791	8.0259	4.3092	4.8478	2.2623	2.1546	9.8290
ramayana_02-ayodhyakanda_a	0.4357	0.4668	0.7469	1.6493	-0.0189	7.2509	3.1120	4.3256	3.5476	2.3651	10.3777
ramayana_03-aranyakanda_a	0.5369	0.5369	0.4027	1.4765	0.0000	5.5034	1.3870	4.5638	3.1767	0.8501	10.0146
ramayana_04-kiskindhakanda	0.0510	4.5939	0.1531	4.7981	-0.9468	5.1554	1.4292	2.3480	3.2158	1.0209	9.8828
ramayana_05-sundarakanda	0.1935	3.5221	1.7030	5.4186	-0.6143	3.5608	1.2385	2.7480	4.2188	0.6967	10.1596
ramayana_06-yuddhakanda	0.3384	2.8655	0.9928	4.1967	-0.6022	5.3925	1.3086	3.0234	2.2337	1.4214	10.6992
ramayana_07-uttarakanda	1.2278	2.4172	0.7674	4.4124	-0.2696	9.2468	4.1054	4.6426	2.9927	1.3813	10.1683
saurapurana	17.9502	4.7237	2.4621	25.1360	0.5262	9.8483	4.2657	5.7544	13.3696	0.8589	10.4611
sivadharmasastra	43.9362	2.7836	1.4294	48.1493	0.8547	0.4514	0.9780	1.7304	33.8550	8.4261	9.4949
sivadharmottara	20.5067	1.1923	0.7154	22.4143	0.8617	0.4173	0.6557	3.0402	24.8584	0.7154	9.7276
sivapurana_dharmasamhita	7.2676	2.8604	0.9747	11.1026	0.3969	6.2293	2.6909	3.6656	11.1874	2.9240	10.7621
sivapurana_karvanamahatmya_au	12.1951	1.1086	1.1086	14.4124	0.7692	12.1951	6.6519	2.5868	7.3910	1.4782	7.9032
sivapurana_rudrasamhita	18.8824	7.2698	2.2237	28.3759	0.4092	9.5600	4.2668	7.0037	4.5804	1.7010	11.5639
sivapurana_sanatkumarasamhita	11.5699	2.9003	1.0915	15.5617	0.5571	5.3951	2.8691	5.4575	10.6031	2.4325	10.3756
sivapurana_satarudrasamhita_au	19.9441	7.0334	2.6978	29.6753	0.4351	14.9340	3.3722	6.1663	4.2393	0.5781	9.2475
sivapurana_umasamhita	7.0709	3.5354	2.6991	13.3055	0.2657	6.5767	2.5470	4.4098	8.3634	1.9008	10.1775
sivapurana_vayaviyasamhita_au	19.4873	3.9821	3.5092	26.9786	0.5747	5.3011	1.8666	4.7785	17.7451	1.8915	10.6011
sivapurana_vidyesvarasamhita_au	23.9755	2.9358	1.8349	28.7462	0.7319	4.7095	3.4862	7.3394	30.4587	1.1009	9.7020
skandamahapurana_himavatkhanda	9.2704	3.7438	1.2925	14.3067	0.3863	6.1951	2.8970	3.9667	6.1506	2.2730	10.0185
skandamahapurana_kasikhanda	9.1069	3.3671	1.4086	13.8826	0.4135	5.0393	1.3709	15.5473	12.4665	1.9660	11.7963
skandamahapurana_revakhanda	11.0732	4.7630	1.4865	17.3227	0.3643	11.8620	10.4361	2.8517	8.0243	2.3663	11.0963
skandamahapurana_sutasamhita_khanda-4	20.9666	4.6689	2.3777	28.0131	0.5818	1.2104	4.4095	6.3116	14.3092	1.0375	10.0490
skandapurana	4.7413	2.2910	2.1714	9.2036	0.2662	8.1777	2.4204	3.7751	5.1397	1.3048	11.5169
skandapurana_adhyaya-1-31_pu	5.7647	1.6558	3.3117	10.7322	0.3829	10.3030	4.4156	3.5570	6.1327	1.0426	9.6993
skandapurana_pasupata_adhyaya174-183_u	9.5117	1.6910	0.0000	11.2027	0.6981	0.8455	1.2682	4.4388	14.5847	0.2114	8.4619
vamanapurana_saromahatmya_u	7.4372	5.2498	2.0999	14.7869	0.1479	10.4996	3.1499	3.5874	7.7872	1.3125	9.3439
vamanapurana_u	5.0637	7.5642	2.6881	15.3160	-0.1633	9.4605	2.9798	4.6261	3.3758	2.4381	10.7787
vayu_ba	1.4221	2.2724	0.7624	4.4568	-0.1908	2.6682	1.6860	5.3071	5.7323	1.3488	11.1303
vayupurana	2.4244	3.2993	0.9296	6.6534	-0.1315	5.0675	1.7864	5.0219	6.6625	1.8137	11.6057
vayupurana_01_frame-and-cosmogony_iast	1.8725	2.4966	1.5604	5.9295	-0.1053	2.2886	1.1443	4.0570	3.4329	1.1443	9.1709
vayupurana_02_pashupata-yoga_iast	2.5016	1.2508	0.3127	4.0650	0.3077	5.3158	0.3127	8.4428	32.8330	1.2508	8.0703
vayupurana_03_kalpas-and-shiva-lineages_iast	6.8241	5.7507	1.4568	14.0316	0.0765	7.0541	2.3003	6.3641	2.4536	1.7635	9.4759
vayupurana_04_bhuvana-vinyasa_iast	2.2268	1.7629	0.3711	4.3607	0.1064	2.5979	1.2989	3.1546	1.5773	1.7629	9.2853
vayupurana_05_jyotis-and-purvardha-close_iast	1.6535	2.3724	0.5751	4.6010	-0.1562	4.3853	1.7973	4.5291	5.0324	1.5097	9.5404
vayupurana_06_prthu-and-prajapati-lineages_iast	1.0292	2.1319	0.5146	3.6757	-0.3000	4.0432	1.9113	7.0573	2.2789	1.5438	9.5180
vayupurana_07_shraddha-kalpa_iast	1.0256	0.7179	0.9231	2.6667	0.1154	4.0000	1.6410	5.1282	22.1538	1.1282	9.1850
vayupurana_08_manu-candra-vishnu-vamsha_iast	1.2271	4.3685	1.1780	6.7737	-0.4638	5.9883	2.6997	4.2704	2.9451	1.6198	9.9220
vayupurana_09_upasamhara_iast	1.8939	1.1141	0.7799	3.7879	0.2059	4.5677	1.0027	5.3476	4.4563	1.2255	9.1023
vayupurana_10_gaya-mahatmya_iast	5.7355	11.4711	1.0851	18.2917	-0.3136	6.8206	1.2401	3.8754	19.3768	6.8206	8.7720
vayupurana_revakhanda	7.8627	4.8628	1.6575	14.3830	0.2086	13.4515	9.8900	3.3012	12.0680	1.2602	11.1983
visnudharma_pu	1.0956	20.8868	0.3963	22.3787	-0.8844	1.4919	4.0561	2.6575	9.5809	3.8230	10.6666
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	2.1606	19.0853	0.3601	21.6060	-0.7833	10.4429	6.4818	2.1606	16.5646	1.0803	7.9291
visnupurana_amsa-1_u	1.3292	11.5715	1.3292	14.2299	-0.7198	16.8100	3.4402	3.8311	1.4855	1.5637	9.4564
visnupurana_amsa-2_u	0.1405	7.5853	0.9833	8.7091	-0.8548	7.8663	2.6689	4.7760	1.6856	1.1238	8.8705
visnupurana_amsa-3_u	0.1278	4.8581	0.3835	5.3695	-0.8810	6.0087	4.6024	2.5569	23.3956	1.9177	8.9647
visnupurana_amsa-4_u	0.3181	3.7116	0.4242	4.4539	-0.7619	9.0138	1.4846	12.6193	1.6967	0.8484	9.1517
