text	words	saiva	vaisnava	goddess	sect_total	saiva_polarity	speech	vocative	iti	optative	imperative	log_len
agnipurana_u	91768	5.6992	6.4293	1.9615	14.0899	-0.0518	3.3781	0.6647	4.4569	35.6551	2.0377	11.4270
bhagavatapurana_skandha-01_u	7558	1.1908	9.7909	0.5292	11.5110	-0.7471	11.5110	5.6893	3.0431	3.4401	1.5877	8.9304
bhagavatapurana_skandha-02_u	3875	1.0323	8.0000	1.8065	10.8387	-0.6429	8.5161	5.6774	3.8710	5.6774	1.0323	8.2623
bhagavatapurana_skandha-03_u	13740	1.1645	6.3319	0.9461	8.4425	-0.6121	6.4047	3.1295	3.9301	3.9301	0.7278	9.5281
bhagavatapurana_skandha-04_u	14031	1.9243	4.9890	1.1403	8.0536	-0.3805	7.2696	5.6304	2.8508	5.1315	0.7840	9.5490
bhagavatapurana_skandha-05_u	9252	0.7566	3.1345	0.3243	4.2153	-0.5641	7.0255	2.0536	8.8629	2.3779	1.4051	9.1326
bhagavatapurana_skandha-06_u	8389	2.2649	8.1059	1.3112	11.6820	-0.5000	13.7084	7.0330	3.6953	7.2714	2.5033	9.0347
bhagavatapurana_skandha-07_u	7247	1.1039	8.4173	0.2760	9.7972	-0.7465	13.6608	6.6234	3.7257	11.0391	1.3799	8.8883
bhagavatapurana_skandha-08_u	9037	1.2172	9.0738	1.2172	11.5082	-0.6827	13.9427	7.4140	3.9836	4.5369	1.2172	9.1091
bhagavatapurana_skandha-09_u	8496	1.1770	4.4727	0.8239	6.4736	-0.5091	11.8879	6.5913	6.1205	3.0603	0.8239	9.0474
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	6870	0.7278	13.2460	0.1456	14.1194	-0.8866	9.3159	1.1645	39.0102	4.6579	2.3290	8.8349
bhagavatapurana_skandha-10_u	40850	0.7344	13.9535	1.0037	15.6916	-0.8424	11.7993	6.0465	5.1408	2.3990	1.1016	10.6177
bhagavatapurana_skandha-11_u	12864	0.6219	6.2189	0.3887	7.2295	-0.7742	10.4944	3.8091	2.6430	13.0597	0.4664	9.4622
bhagavatapurana_skandha-12_u	5347	1.6832	7.4808	0.3740	9.5381	-0.6078	10.4732	7.1068	4.3015	4.1145	0.5611	8.5843
bhavisyapurana	211387	3.3872	7.5880	1.4996	12.4748	-0.3367	8.7139	5.4781	6.4053	21.7658	1.4003	12.2614
