covariate	W1_y_raw	W1_y_det	W1_x	C3_y_raw	C3_y_det	C3_x
saiva	-0.1788	-0.1637	0.6152	-0.4439	-0.4283	0.6448
vaisnava	-0.3374	-0.3603	0.1080	-0.3374	-0.3463	0.0028
goddess	-0.1692	-0.1553	0.3087	-0.2947	-0.2925	0.3319
sect_total	-0.4404	-0.4301	0.4375	-0.6039	-0.5999	0.3713
saiva_polarity	0.0444	0.0756	0.3877	-0.1702	-0.1530	0.4829
speech	-0.3573	-0.4241	-0.4648	-0.1337	-0.1514	-0.5094
vocative	-0.2238	-0.2438	-0.4392	-0.0865	-0.1014	-0.4996
iti	0.0539	0.0505	0.1052	0.0486	0.0576	0.2047
optative	-0.3607	-0.3328	0.6272	-0.5427	-0.5233	0.5559
imperative	-0.1638	-0.1765	-0.0331	-0.1318	-0.1351	-0.0115
log_len	-0.2426	-0.2530	-0.0650	-0.1771	-0.1841	-0.0714
