covariate	W1_y_raw	W1_y_det	W1_x	C3_y_raw	C3_y_det	C3_x	W1_y_raw3k	C3_y_raw3k
saiva	-0.5761	-0.5040	0.4560	-0.5038	-0.4816	0.6265	-0.6189	-0.5174
vaisnava	-0.2559	-0.1479	0.0736	-0.1838	-0.1819	0.0906	-0.2520	-0.1383
goddess	-0.4071	-0.3615	0.2201	-0.3335	-0.3172	0.3307	-0.4447	-0.3476
sect_total	-0.5419	-0.4401	0.3486	-0.5237	-0.5107	0.4565	-0.5940	-0.5151
saiva_polarity	-0.3364	-0.3565	0.2984	-0.3251	-0.3088	0.4512	-0.3648	-0.3629
speech	0.1066	0.2127	-0.1317	0.2635	0.2545	-0.1390	-0.0503	0.1986
vocative	0.0566	0.0710	-0.5094	0.0608	0.0277	-0.5168	0.1433	0.1838
iti	-0.1109	-0.1182	0.1165	-0.0053	0.0009	0.1730	-0.1092	-0.0429
optative	-0.5762	-0.5741	0.4010	-0.5931	-0.5594	0.5045	-0.6807	-0.6195
imperative	-0.1928	-0.2060	-0.0656	-0.0841	-0.0922	-0.0215	-0.2088	-0.1248
log_len	-0.5933	-0.6159	-0.4442	-0.4123	-0.4311	-0.2744	-0.4058	-0.3955
