feature	class	rho_x
tam	pronoun	-0.7838
adya	particle	-0.7747
sa	pronoun	-0.7002
vīra	content	-0.6972
tān	pronoun	-0.6967
tvām	pronoun	-0.6907
mahā	content	-0.6760
abravīt	verb_narrative	-0.6647
rāja	content	-0.6640
enam	pronoun	-0.6549
iva	particle	-0.6362
dṛṣṭvā	particle	-0.6321
śrutvā	particle	-0.6319
rājā	content	-0.6275
raṇe	content	-0.6251
putram	content	-0.6215
tvayā	pronoun	-0.6189
rājan	content	-0.6148
vacaḥ	content	-0.6137
balam	content	-0.6134
uktvā	particle	-0.6130
jagāma	verb_narrative	-0.6120
sarvān	content	-0.6060
saha	particle	-0.5959
āsīt	verb_narrative	-0.5954
tava	pronoun	-0.5926
asi	content	-0.5925
tau	pronoun	-0.5907
sma	particle	-0.5890
vayam	pronoun	-0.5870
rājānam	content	-0.5870
te	pronoun	-0.5866
dhanuḥ	content	-0.5811
dadarśa	content	-0.5800
balaḥ	content	-0.5746
mām	pronoun	-0.5732
prati	particle	-0.5710
śreṣṭhaḥ	content	-0.5657
tām	pronoun	-0.5656
rājñaḥ	content	-0.5597
ha	particle	-0.5592
śara	content	-0.5584
vākyam	content	-0.5558
vacanam	content	-0.5549
kuru	content	-0.5528
tadā	particle	-0.5520
kaḥ	pronoun	-0.5490
mā	particle	-0.5456
ayam	pronoun	-0.5434
śaraiḥ	content	-0.5431
ratham	content	-0.5406
ratha	content	-0.5238
tatas	particle	-0.5238
nara	content	-0.5235
tāta	content	-0.5224
naḥ	pronoun	-0.5163
abhavat	verb_narrative	-0.5159
imām	pronoun	-0.5142
āsa	verb_narrative	-0.5098
tejasā	content	-0.5061
vanam	content	-0.5021
śoka	content	-0.5012
babhūva	verb_narrative	-0.4983
varaḥ	content	-0.4975
mahat	content	-0.4937
asmi	content	-0.4930
hatvā	verb_narrative	-0.4921
idam	pronoun	-0.4916
sahasraśas	numeral_list	-0.4889
mahātmanaḥ	content	-0.4842
uktaḥ	content	-0.4835
bhṛśam	particle	-0.4727
bala	content	-0.4601
kim	particle	-0.4548
mahān	content	-0.4547
tejāḥ	content	-0.4529
me	content	-0.4512
tvam	pronoun	-0.4511
ādāya	content	-0.4450
rājyam	content	-0.4436
diśaḥ	content	-0.4354
putraḥ	content	-0.4328
eṣa	pronoun	-0.4292
mama	pronoun	-0.4285
aham	pronoun	-0.4255
cakāra	verb_narrative	-0.4205
puruṣa	content	-0.4168
asya	pronoun	-0.4139
śīghram	content	-0.4133
cakre	content	-0.4050
yayau	verb_narrative	-0.4049
varam	content	-0.4032
su	particle	-0.4021
yudhiṣṭhiraḥ	content	-0.3965
sārdham	content	-0.3954
mayā	pronoun	-0.3925
bhārata	content	-0.3757
lokān	content	-0.3736
pituḥ	content	-0.3721
āsādya	content	-0.3698
putra	content	-0.3684
sarve	content	-0.3654
uvāca	verb_narrative	-0.3628
vaḥ	pronoun	-0.3554
sādhu	content	-0.3535
kṛtaḥ	content	-0.3523
bhavān	pronoun	-0.3473
nṛpa	content	-0.3433
indra	content	-0.3382
katham	particle	-0.3372
cit	particle	-0.3348
bahu	content	-0.3319
śreṣṭha	content	-0.3287
sarvaśas	content	-0.3253
rāmaḥ	content	-0.3243
parama	content	-0.3204
gataḥ	content	-0.3176
svam	pronoun	-0.3144
satya	content	-0.3138
kṛta	content	-0.3134
vara	content	-0.3097
sutaḥ	content	-0.3083
nāga	content	-0.2946
bhīṣmaḥ	content	-0.2934
dadau	verb_narrative	-0.2900
putrāḥ	content	-0.2900
iyam	pronoun	-0.2851
rāma	content	-0.2806
hā	content	-0.2754
gatāḥ	content	-0.2727
dharma	content	-0.2720
sarvāḥ	content	-0.2682
gṛhītvā	verb_narrative	-0.2676
gatvā	particle	-0.2662
yadi	particle	-0.2652
imam	pronoun	-0.2605
pitā	content	-0.2587
bhaviṣyati	content	-0.2527
sahasrāṇi	content	-0.2522
atha	particle	-0.2521
ṛṣiḥ	content	-0.2500
aśva	content	-0.2432
bhuvi	content	-0.2427
āśu	content	-0.2396
kāmam	content	-0.2344
abhūt	content	-0.2293
anye	content	-0.2257
indraḥ	content	-0.2240
ātmā	content	-0.2201
gatim	content	-0.2142
kila	particle	-0.2128
ṛṣi	content	-0.2106
bhaya	content	-0.2105
nṛpaḥ	content	-0.2072
tvad	content	-0.1978
kula	content	-0.1965
duḥkha	content	-0.1945
śaraṇam	content	-0.1936
dānava	content	-0.1911
kṛtam	content	-0.1899
karmaṇā	content	-0.1892
mahī	content	-0.1799
mudā	content	-0.1741
tena	pronoun	-0.1705
tasmin	pronoun	-0.1665
sarvāṇi	content	-0.1648
yam	pronoun	-0.1623
śrīmān	content	-0.1620
purā	particle	-0.1620
sutāḥ	content	-0.1598
yathā	particle	-0.1596
pūrvam	content	-0.1573
kṛṣṇaḥ	content	-0.1569
dharmam	content	-0.1528
bhāryā	content	-0.1524
brūhi	content	-0.1517
prāpya	content	-0.1476
kālam	content	-0.1409
bhūyas	content	-0.1404
a	particle	-0.1388
tapasā	content	-0.1388
taiḥ	pronoun	-0.1376
tasya	pronoun	-0.1369
na	particle	-0.1359
saḥ	pronoun	-0.1349
iha	particle	-0.1297
astu	content	-0.1295
tāḥ	pronoun	-0.1273
mātā	content	-0.1230
nāradaḥ	content	-0.1167
pṛthivī	content	-0.1156
yena	pronoun	-0.1131
tasyām	pronoun	-0.1129
sama	content	-0.1092
ātmanaḥ	content	-0.1032
tāni	content	-0.0948
etat	pronoun	-0.0930
padma	content	-0.0920
ūcuḥ	verb_narrative	-0.0902
eṣā	pronoun	-0.0899
śata	numeral_list	-0.0844
tyaktvā	verb_narrative	-0.0839
an	content	-0.0814
ca	particle	-0.0778
jātaḥ	content	-0.0778
gaṇāḥ	content	-0.0746
āha	verb_narrative	-0.0704
sarvatas	content	-0.0692
daitya	content	-0.0690
prabhuḥ	content	-0.0648
tayoḥ	pronoun	-0.0616
punar	content	-0.0598
