feature	class	rho_x
adya	particle	-0.7481
rāja	content	-0.7462
rājan	content	-0.6997
tvām	pronoun	-0.6983
vīra	content	-0.6951
tam	pronoun	-0.6710
rājā	content	-0.6605
raṇe	content	-0.6572
iva	particle	-0.6571
enam	pronoun	-0.6495
tava	pronoun	-0.6379
sma	particle	-0.6276
rājānam	content	-0.6273
ratha	content	-0.6198
tān	pronoun	-0.6184
ratham	content	-0.6165
sa	pronoun	-0.6088
bhṛśam	particle	-0.6043
sahasā	particle	-0.6013
dadarśa	content	-0.5996
śara	content	-0.5985
dhanuḥ	content	-0.5970
śaraiḥ	content	-0.5949
āsīt	verb_narrative	-0.5935
rājñaḥ	content	-0.5843
mā	particle	-0.5841
tvayā	pronoun	-0.5828
āsa	verb_narrative	-0.5799
dṛṣṭvā	particle	-0.5795
kuru	content	-0.5779
śrutvā	particle	-0.5763
prati	particle	-0.5718
mām	pronoun	-0.5707
saha	particle	-0.5637
abravīt	verb_narrative	-0.5626
tāta	content	-0.5587
kva	content	-0.5564
jagāma	verb_narrative	-0.5529
putram	content	-0.5514
diśaḥ	content	-0.5505
asi	content	-0.5497
hatvā	verb_narrative	-0.5474
uktvā	particle	-0.5464
asmi	content	-0.5452
mahā	content	-0.5450
vane	content	-0.5417
sarvān	content	-0.5398
balam	content	-0.5343
vaiśaṃpāyanaḥ	content	-0.5322
tau	pronoun	-0.5199
vayam	pronoun	-0.5189
babhūva	verb_narrative	-0.5167
balaḥ	content	-0.5114
kim	particle	-0.5112
nara	content	-0.5081
putraḥ	content	-0.5047
tām	pronoun	-0.5023
kaḥ	pronoun	-0.5018
prāptaḥ	content	-0.4969
te	pronoun	-0.4941
vākyam	content	-0.4935
śoka	content	-0.4922
rājyam	content	-0.4914
bhārata	content	-0.4885
naḥ	pronoun	-0.4869
bala	content	-0.4839
me	content	-0.4821
ādāya	content	-0.4816
aham	pronoun	-0.4765
śīghram	content	-0.4737
mama	pronoun	-0.4698
mahat	content	-0.4697
bāṇa	content	-0.4693
śreṣṭhaḥ	content	-0.4655
sārdham	content	-0.4636
vanam	content	-0.4621
vacanam	content	-0.4615
ayam	pronoun	-0.4588
ha	particle	-0.4511
vacaḥ	content	-0.4459
yudhiṣṭhiraḥ	content	-0.4385
idam	pronoun	-0.4365
cakāra	verb_narrative	-0.4347
puruṣa	content	-0.4342
abhavat	verb_narrative	-0.4305
imām	pronoun	-0.4291
pituḥ	content	-0.4249
tatas	particle	-0.4207
cakre	content	-0.4191
asya	pronoun	-0.4183
sādhu	content	-0.4157
śreṣṭha	content	-0.4141
nāga	content	-0.4116
yayau	verb_narrative	-0.4113
nṛpa	content	-0.4082
tejasā	content	-0.4078
tadā	particle	-0.4020
cit	particle	-0.3914
mahātmanaḥ	content	-0.3907
eṣa	pronoun	-0.3897
kṛta	content	-0.3790
priya	content	-0.3772
varam	content	-0.3765
lokān	content	-0.3760
rāmaḥ	content	-0.3744
śakra	content	-0.3725
katham	particle	-0.3695
mayā	pronoun	-0.3675
vana	content	-0.3671
bhīṣmaḥ	content	-0.3665
sutaḥ	content	-0.3653
gatim	content	-0.3640
mahān	content	-0.3636
kṛtaḥ	content	-0.3631
gaja	content	-0.3609
āsādya	content	-0.3571
imam	pronoun	-0.3561
svam	pronoun	-0.3549
putrāḥ	content	-0.3533
su	particle	-0.3513
tvam	pronoun	-0.3498
rāma	content	-0.3481
putra	content	-0.3457
bhavān	pronoun	-0.3430
satya	content	-0.3426
muhur	content	-0.3401
hā	content	-0.3393
sarve	content	-0.3389
aśva	content	-0.3382
sarvaśas	content	-0.3326
karmaṇā	content	-0.3317
gṛhītvā	verb_narrative	-0.3316
bhayam	content	-0.3232
pitā	content	-0.3187
varaḥ	content	-0.3184
bhuvi	content	-0.3141
yadi	particle	-0.3132
gataḥ	content	-0.3126
kula	content	-0.3110
bhūmau	content	-0.3106
iyam	pronoun	-0.3093
duḥkha	content	-0.3083
indra	content	-0.3075
kṛtam	content	-0.3058
kila	particle	-0.2979
gatvā	particle	-0.2970
dharmam	content	-0.2960
vaḥ	pronoun	-0.2944
tvad	content	-0.2935
na	particle	-0.2921
uktaḥ	content	-0.2789
mahī	content	-0.2749
parama	content	-0.2734
dadau	verb_narrative	-0.2711
indraḥ	content	-0.2689
sarvāḥ	content	-0.2678
śaraṇam	content	-0.2546
bhaviṣyati	content	-0.2546
kālam	content	-0.2538
āśu	content	-0.2523
vara	content	-0.2509
bhaya	content	-0.2504
gatāḥ	content	-0.2489
nṛpaḥ	content	-0.2461
bahu	content	-0.2454
dānava	content	-0.2435
eṣā	pronoun	-0.2425
mudā	content	-0.2422
āgataḥ	content	-0.2407
dharma	content	-0.2294
yathā	particle	-0.2280
kāmam	content	-0.2272
bhāryā	content	-0.2241
prabho	content	-0.2223
ṛṣi	content	-0.2219
yam	pronoun	-0.2202
sama	content	-0.2143
kṛṣṇaḥ	content	-0.2090
anye	content	-0.2077
duḥkham	content	-0.2074
ṛṣiḥ	content	-0.2042
tena	pronoun	-0.2017
a	particle	-0.1985
patiḥ	content	-0.1947
cāru	content	-0.1923
tāni	content	-0.1861
