text	x	y	colophon_frac
agnipurana_u	0.285672	-0.185012	0.0002
bhagavatapurana_skandha-01_u	-0.155039	-0.073910	0.0000
bhagavatapurana_skandha-02_u	0.051212	-0.156764	0.0000
bhagavatapurana_skandha-03_u	0.014963	-0.121289	0.0005
bhagavatapurana_skandha-04_u	-0.049268	-0.099324	0.0000
bhagavatapurana_skandha-05_u	0.002429	0.003272	0.0000
bhagavatapurana_skandha-06_u	-0.033850	-0.058382	0.0000
bhagavatapurana_skandha-07_u	0.014132	-0.126886	0.0012
bhagavatapurana_skandha-08_u	-0.077440	-0.069912	0.0000
bhagavatapurana_skandha-09_u	-0.155423	0.027949	0.0003
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.084526	-0.218131	0.0083
bhagavatapurana_skandha-10_u	-0.160996	-0.150599	0.0001
bhagavatapurana_skandha-11_u	0.084526	-0.142341	0.0000
bhagavatapurana_skandha-12_u	0.047362	0.039515	0.0000
bhavisyapurana	0.129374	-0.236291	0.0259
brahmandapurana	0.084111	0.237621	0.0185
brahmandapurana_khanda-1_u	0.211008	0.521668	0.0162
brahmandapurana_khanda-2_u	-0.045430	0.178135	0.0193
brahmandapurana_khanda-3_u	0.150136	0.054494	0.0152
brahmapurana_pu	0.010968	-0.084312	0.0000
devibhagavatapurana	0.030427	-0.305709	0.0165
devibhagavatapurana_devigita_adhyaya-31-40	0.321434	-0.158075	0.0456
devipurana	0.222062	-0.179272	0.0229
garudapurana_khanda-1_u	0.213690	-0.162831	0.0427
garudapurana_khanda-2_u	0.211079	-0.202664	0.0284
garudapurana_khanda-3_u	0.263621	-0.156768	0.0170
harivamsa	-0.235934	0.083230	0.0000
harivamsa_appendix-29-30_mathura	-0.225043	-0.066420	0.0004
harivamsa_appendix-31	-0.190205	-0.211345	0.0004
harivamsa_appendix-41	0.041309	0.257964	0.0000
harivamsa_appendix-42_pradurbhava	-0.215093	0.236959	0.0000
kalikapurana	0.110271	-0.137081	0.0072
karatoyamahatmya_pu	0.393644	-0.460615	0.0080
kirfel_ppl_textgruppe_IIA_col1	0.349081	0.488854	0.0000
kirfel_ppl_textgruppe_IIB_col1	0.313417	0.596650	0.0000
kirfel_ppl_textgruppe_III_col1	0.147799	0.653310	0.0000
kirfel_ppl_textgruppe_II_col1	-0.117639	0.297227	0.0000
kirfel_ppl_textgruppe_I_col1	-0.145889	0.451812	0.0000
kirfel_ppl_textgruppe_Ia_col1	0.095211	0.745657	0.0000
kirfel_ppl_ungrouped_col1	-0.173817	0.361706	0.0000
kurmapurana_khanda-1_u	0.119782	-0.010214	0.0158
kurmapurana_khanda-2_u	0.310716	-0.296151	0.0149
lingapurana_khanda-1_u	0.162054	0.063100	0.0151
lingapurana_khanda-2_u	0.272683	-0.198808	0.0185
mahabharata_01-adiparvan	-0.310823	0.016387	0.0001
mahabharata_02-appendix-21_sisupala	-0.262730	0.124980	0.0000
mahabharata_02-sabhaparvan	-0.427099	0.027341	0.0000
mahabharata_03-aranyakaparvan	-0.320324	-0.032223	0.0000
mahabharata_04-virataparvan	-0.448619	0.001188	0.0000
mahabharata_05-udyogaparvan	-0.339239	-0.013711	0.0000
mahabharata_06-bhismaparvan	-0.424198	0.084289	0.0000
mahabharata_07-appendix-08_sodasarajika	-0.235137	0.218297	0.0000
mahabharata_07-dronaparvan	-0.474799	-0.003981	0.0000
mahabharata_08-karnaparvan	-0.478563	0.003765	0.0000
mahabharata_09-salyaparvan	-0.455780	0.058612	0.0000
mahabharata_10-sauptikaparvan	-0.373573	0.037816	0.0000
mahabharata_11-striparvan	-0.403153	-0.013328	0.0000
mahabharata_12-appendix-29_moksadharma	0.095134	-0.035311	0.0000
mahabharata_12-santiparvan	-0.036473	-0.041330	0.0001
mahabharata_13-anusasanaparvan	-0.076313	0.028647	0.0000
mahabharata_13-appendix-15_umamahesvara	0.209404	-0.140966	0.0000
mahabharata_14-appendix-04_vaisnavadharma	0.170657	-0.132168	0.0000
mahabharata_14-asvamedhikaparvan	-0.185836	-0.019240	0.0000
mahabharata_15-asramavasikaparvan	-0.440386	0.063228	0.0000
mahabharata_16-mausalaparvan	-0.452020	-0.062933	0.0000
mahabharata_17-mahaprasthanikaparvan	-0.679997	-0.060211	0.0000
mahabharata_18-svargarohanaparvan	-0.371212	0.016786	0.0000
markandeyapurana	-0.047913	0.030815	0.0215
markandeyapurana_adhyaya-1-80_u	-0.001822	0.032477	0.0205
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.098717	-0.007043	0.0298
markandeyapurana_adhyaya-94-141_u	-0.160860	0.028260	0.0211
matsyapurana_pu	0.053144	0.048196	0.0001
naradapurana_khanda-1_u	0.268398	-0.211287	0.0127
naradapurana_khanda-2_u	0.085506	-0.341971	0.0157
nilamatapurana_au	0.075525	-0.176658	0.0008
nrsimhapurana_pu	-0.060030	-0.226586	0.0127
padmapurana_a	0.044979	-0.251476	0.0189
pranavakalpa	0.422009	-0.178328	0.0071
ramayana_01-balakanda	-0.391353	0.023471	0.0000
ramayana_02-ayodhyakanda_a	-0.347639	-0.117575	0.0000
ramayana_03-aranyakanda_a	-0.352054	-0.175115	0.0000
ramayana_04-kiskindhakanda	-0.313572	-0.050676	0.0000
ramayana_05-sundarakanda	-0.360381	-0.120358	0.0000
ramayana_06-yuddhakanda	-0.388683	-0.110946	0.0000
ramayana_07-uttarakanda	-0.307366	-0.056416	0.0000
saurapurana	0.146375	-0.170711	0.0218
sivadharmasastra	0.373074	-0.246245	0.0094
sivadharmottara	0.308025	-0.103171	0.0040
sivapurana_dharmasamhita	0.057826	-0.125737	0.0103
sivapurana_karvanamahatmya_au	0.222555	-0.328423	0.0091
sivapurana_rudrasamhita	0.044103	-0.300131	0.0259
sivapurana_sanatkumarasamhita	0.184487	-0.129031	0.0182
sivapurana_satarudrasamhita_au	0.028802	-0.249533	0.0222
sivapurana_umasamhita	0.100522	0.008047	0.0161
sivapurana_vayaviyasamhita_au	0.280869	-0.134582	0.0250
sivapurana_vidyesvarasamhita_au	0.404986	-0.379810	0.0141
skandamahapurana_himavatkhanda	0.047035	-0.108348	0.0123
skandamahapurana_kasikhanda	0.179630	-0.258929	0.0126
