text	x	y
agnipurana_u	0.281007	-0.183214
bhagavatapurana_skandha-01_u	-0.180932	-0.074631
bhagavatapurana_skandha-02_u	0.009822	-0.180345
bhagavatapurana_skandha-03_u	-0.015128	-0.120933
bhagavatapurana_skandha-04_u	-0.078880	-0.104766
bhagavatapurana_skandha-05_u	-0.019820	-0.009297
bhagavatapurana_skandha-06_u	-0.050610	-0.063792
bhagavatapurana_skandha-07_u	-0.018519	-0.136782
bhagavatapurana_skandha-08_u	-0.095165	-0.080644
bhagavatapurana_skandha-09_u	-0.165980	0.022035
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.056613	-0.219894
bhagavatapurana_skandha-10_u	-0.178429	-0.160032
bhagavatapurana_skandha-11_u	0.042541	-0.147802
bhagavatapurana_skandha-12_u	0.055235	0.023519
bhavisyapurana	0.155016	-0.229709
brahmandapurana	0.107807	0.234614
brahmandapurana_khanda-1_u	0.218869	0.512720
brahmandapurana_khanda-2_u	-0.023565	0.179913
brahmandapurana_khanda-3_u	0.181191	0.051214
brahmapurana_pu	0.002971	-0.078553
devibhagavatapurana	0.062020	-0.293866
devibhagavatapurana_devigita_adhyaya-31-40	0.364788	-0.155823
devipurana	0.262785	-0.172077
garudapurana_khanda-1_u	0.272811	-0.169600
garudapurana_khanda-2_u	0.234424	-0.201566
garudapurana_khanda-3_u	0.294853	-0.156730
harivamsa	-0.246327	0.080898
harivamsa_appendix-29-30_mathura	-0.231628	-0.070275
harivamsa_appendix-31	-0.197760	-0.205932
harivamsa_appendix-41	-0.016258	0.251955
harivamsa_appendix-42_pradurbhava	-0.230989	0.228723
kalikapurana	0.138693	-0.131986
karatoyamahatmya_pu	0.389522	-0.478233
kirfel_ppl_textgruppe_IIA_col1	0.323368	0.506532
kirfel_ppl_textgruppe_IIB_col1	0.277242	0.601415
kirfel_ppl_textgruppe_III_col1	0.162899	0.650277
kirfel_ppl_textgruppe_II_col1	-0.107929	0.290971
kirfel_ppl_textgruppe_I_col1	-0.149969	0.446047
kirfel_ppl_textgruppe_Ia_col1	0.096880	0.732795
kirfel_ppl_ungrouped_col1	-0.155111	0.349545
kurmapurana_khanda-1_u	0.136230	-0.014751
kurmapurana_khanda-2_u	0.284647	-0.297776
lingapurana_khanda-1_u	0.174233	0.062139
lingapurana_khanda-2_u	0.289851	-0.191620
mahabharata_01-adiparvan	-0.316876	0.023552
mahabharata_02-appendix-21_sisupala	-0.256667	0.123073
mahabharata_02-sabhaparvan	-0.451723	0.029403
mahabharata_03-aranyakaparvan	-0.342270	-0.029071
mahabharata_04-virataparvan	-0.475408	0.002994
mahabharata_05-udyogaparvan	-0.370634	-0.009574
mahabharata_06-bhismaparvan	-0.451892	0.083994
mahabharata_07-appendix-08_sodasarajika	-0.246732	0.216936
mahabharata_07-dronaparvan	-0.497945	-0.007607
mahabharata_08-karnaparvan	-0.501545	0.001652
mahabharata_09-salyaparvan	-0.474207	0.059560
mahabharata_10-sauptikaparvan	-0.402864	0.044260
mahabharata_11-striparvan	-0.436613	-0.016198
mahabharata_12-appendix-29_moksadharma	0.065216	-0.030734
mahabharata_12-santiparvan	-0.081415	-0.029135
mahabharata_13-anusasanaparvan	-0.107148	0.036519
mahabharata_13-appendix-15_umamahesvara	0.153257	-0.129318
mahabharata_14-appendix-04_vaisnavadharma	0.133601	-0.123358
mahabharata_14-asvamedhikaparvan	-0.226243	-0.011948
mahabharata_15-asramavasikaparvan	-0.464171	0.069096
mahabharata_16-mausalaparvan	-0.458267	-0.052111
mahabharata_17-mahaprasthanikaparvan	-0.696610	-0.039041
mahabharata_18-svargarohanaparvan	-0.387473	0.035003
markandeyapurana	-0.004183	0.039374
markandeyapurana_adhyaya-1-80_u	0.036807	0.042609
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.023249	-0.005687
markandeyapurana_adhyaya-94-141_u	-0.130432	0.024095
matsyapurana_pu	0.054471	0.047433
naradapurana_khanda-1_u	0.273073	-0.210295
naradapurana_khanda-2_u	0.082977	-0.334925
nilamatapurana_au	0.077516	-0.171020
nrsimhapurana_pu	-0.034468	-0.232108
padmapurana_a	0.060849	-0.248665
pranavakalpa	0.407971	-0.178773
ramayana_01-balakanda	-0.389425	0.014302
ramayana_02-ayodhyakanda_a	-0.370640	-0.121544
ramayana_03-aranyakanda_a	-0.371383	-0.184884
ramayana_04-kiskindhakanda	-0.333930	-0.057989
ramayana_05-sundarakanda	-0.381671	-0.128549
ramayana_06-yuddhakanda	-0.399217	-0.117241
ramayana_07-uttarakanda	-0.317793	-0.064605
saurapurana	0.160951	-0.175797
sivadharmasastra	0.347279	-0.239822
sivadharmottara	0.275181	-0.095691
sivapurana_dharmasamhita	0.052360	-0.118173
sivapurana_karvanamahatmya_au	0.226924	-0.341690
sivapurana_rudrasamhita	0.078317	-0.292162
sivapurana_sanatkumarasamhita	0.195526	-0.130853
sivapurana_satarudrasamhita_au	0.057535	-0.231523
sivapurana_umasamhita	0.112665	0.002789
sivapurana_vayaviyasamhita_au	0.278151	-0.135740
sivapurana_vidyesvarasamhita_au	0.387107	-0.370859
skandamahapurana_himavatkhanda	0.051728	-0.103932
skandamahapurana_kasikhanda	0.194890	-0.261136
skandamahapurana_revakhanda	0.119216	-0.149139
skandamahapurana_sutasamhita_khanda-4	0.429936	-0.222386
skandapurana	-0.096744	-0.010063
skandapurana_adhyaya-1-31_pu	-0.052428	0.005117
skandapurana_pasupata_adhyaya174-183_u	0.413543	-0.000393
vamanapurana_saromahatmya_u	0.072773	-0.156096
vamanapurana_u	-0.079105	-0.207747
vayu_ba	0.138412	0.496484
vayupurana	0.156577	0.390363
vayupurana_01_frame-and-cosmogony_iast	0.326222	0.547499
vayupurana_02_pashupata-yoga_iast	0.463577	0.022154
vayupurana_03_kalpas-and-shiva-lineages_iast	0.143529	0.397690
vayupurana_04_bhuvana-vinyasa_iast	0.145117	0.466242
vayupurana_05_jyotis-and-purvardha-close_iast	0.230426	0.472761
vayupurana_06_prthu-and-prajapati-lineages_iast	0.146729	0.681875
vayupurana_07_shraddha-kalpa_iast	0.244804	0.178789
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.084639	0.379642
vayupurana_09_upasamhara_iast	0.290229	0.434565
vayupurana_10_gaya-mahatmya_iast	0.256489	-0.269716
vayupurana_revakhanda	0.137522	-0.291100
visnudharma_pu	0.042811	-0.167890
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.075038	-0.219695
visnupurana_amsa-1_u	0.070406	0.184792
visnupurana_amsa-2_u	0.194342	0.172403
visnupurana_amsa-3_u	0.173186	0.103246
visnupurana_amsa-4_u	-0.068390	0.191587
visnupurana_amsa-5_u	-0.154897	-0.197699
visnupurana_amsa-6_u	0.168836	-0.055826
visnupurana_u	0.021904	0.062969
