rank	trigram	count	per_mille	in_std_top500
1	ama	148014	4.936	1
2	ata	134554	4.487	1
3	ara	129889	4.331	1
4	tat	109685	3.658	1
5	pra	109366	3.647	1
6	ava	108108	3.605	1
7	asa	107048	3.570	1
8	amā	102028	3.402	1
9	yat	99829	3.329	1
10	ana	97065	3.237	1
11	aya	95220	3.175	1
12	ath	95218	3.175	1
13	bha	92575	3.087	1
14	abh	87673	2.924	1
15	dha	85242	2.843	1
16	taḥ	81978	2.734	1
17	var	79749	2.659	1
18	āna	79482	2.650	1
19	thā	78633	2.622	1
20	mah	77586	2.587	1
21	āma	77441	2.582	1
22	ita	76826	2.562	1
23	āya	76475	2.550	1
24	ast	74411	2.481	1
25	saṃ	74018	2.468	1
26	śca	71912	2.398	1
27	yaṃ	69990	2.334	1
28	ḥsa	68804	2.294	0
29	taṃ	67983	2.267	1
30	sar	67763	2.260	1
31	aḥs	67094	2.237	0
32	asy	66433	2.215	1
33	tra	66029	2.202	1
34	par	64416	2.148	1
35	arā	63053	2.103	1
36	iva	62973	2.100	1
37	aṃs	62234	2.075	0
38	arv	61799	2.061	1
39	tam	61679	2.057	1
40	tha	61409	2.048	1
41	aṃp	61050	2.036	0
42	āra	60733	2.025	1
43	rat	60626	2.022	1
44	ahā	60371	2.013	1
45	ayā	59653	1.989	1
46	eva	59104	1.971	1
47	aka	58894	1.964	1
48	aṃt	58798	1.961	0
49	ant	58600	1.954	1
50	ram	57732	1.925	1
51	sam	57612	1.921	1
52	sya	57116	1.905	1
53	aḥp	57075	1.903	0
54	ānā	57032	1.902	1
55	avi	56853	1.896	1
56	man	56635	1.889	1
57	har	56546	1.886	1
58	avā	55858	1.863	1
59	aha	55515	1.851	1
60	āsa	55297	1.844	1
61	ati	55156	1.839	1
62	vat	54030	1.802	1
63	tas	53927	1.798	1
64	tvā	53893	1.797	1
65	atā	53449	1.782	1
66	adā	53365	1.780	1
67	akṣ	52814	1.761	1
68	apa	52139	1.739	1
69	rva	52022	1.735	1
70	itā	51637	1.722	1
71	ena	51133	1.705	1
72	adh	50910	1.698	1
73	haṃ	50712	1.691	1
74	dev	50550	1.686	1
75	āca	50311	1.678	1
76	raṃ	50017	1.668	1
77	hav	49940	1.665	1
78	bhā	49825	1.661	1
79	kṣa	48926	1.632	1
80	anā	48869	1.630	1
81	vaṃ	48707	1.624	1
82	yam	48632	1.622	1
83	ada	48433	1.615	1
84	āta	47766	1.593	1
85	kar	47743	1.592	1
86	ras	47233	1.575	1
87	sta	46791	1.560	1
88	ābh	46657	1.556	1
89	āva	46387	1.547	1
90	ṃsa	45996	1.534	0
91	ate	45828	1.528	1
92	yas	45615	1.521	1
93	aṃv	45328	1.512	0
94	naṃ	45184	1.507	1
95	ala	44778	1.493	1
96	tya	44106	1.471	1
97	mān	43412	1.448	1
98	dhā	43225	1.441	1
99	aṇa	42907	1.431	1
100	aṃk	42738	1.425	0
101	ṃca	42487	1.417	0
102	aśa	42347	1.412	1
103	kṛt	41872	1.396	1
104	aca	41565	1.386	1
105	bhi	40890	1.364	1
106	aśc	40402	1.347	1
107	bhū	40010	1.334	1
108	yaḥ	39959	1.332	1
109	aiv	39453	1.316	1
110	aṃd	39333	1.312	0
111	atr	39278	1.310	1
112	ṃta	39200	1.307	0
113	ddh	39055	1.302	1
114	tta	38847	1.295	1
115	rav	38838	1.295	1
116	has	38838	1.295	1
117	hit	38426	1.281	1
118	akā	38399	1.280	1
119	yan	38397	1.280	1
120	āpa	37970	1.266	1
121	rāj	37885	1.263	1
122	nam	37508	1.251	1
123	tad	37223	1.241	1
124	āni	37212	1.241	1
125	hyā	37168	1.239	1
126	prā	36773	1.226	1
127	vas	36473	1.216	1
128	āda	36405	1.214	1
129	vān	36278	1.210	1
130	āst	36110	1.204	1
131	ḥpr	35915	1.198	0
132	aṃc	35702	1.191	0
133	aga	35540	1.185	1
134	aḥk	35197	1.174	0
135	hān	35131	1.171	1
136	vāc	35035	1.168	1
137	aiḥ	34904	1.164	1
138	vai	34799	1.160	1
139	nāṃ	34787	1.160	1
140	apr	34199	1.140	1
141	yām	34076	1.136	1
142	tān	34053	1.136	1
143	han	33957	1.132	1
144	naḥ	33801	1.127	1
145	ādh	33472	1.116	1
146	rak	33413	1.114	1
147	ṃpr	33229	1.108	0
148	pat	33200	1.107	1
149	asā	33167	1.106	1
150	hār	33141	1.105	1
151	raṇ	33020	1.101	1
152	yāt	32730	1.091	1
153	tva	32685	1.090	1
154	yāṃ	32611	1.087	1
155	hya	32455	1.082	1
156	aṃś	32384	1.080	0
157	dhi	32300	1.077	1
158	van	32205	1.074	1
159	tar	32002	1.067	1
160	hat	31705	1.057	1
161	ātm	31679	1.056	1
162	sth	31540	1.052	1
163	tāḥ	31257	1.042	1
164	ṛta	31072	1.036	1
165	aṃb	30993	1.034	0
166	arm	30949	1.032	1
167	pur	30859	1.029	1
168	nta	30841	1.028	1
169	cat	30770	1.026	0
170	yān	30684	1.023	1
171	rah	30457	1.016	1
172	ibh	30359	1.012	1
173	ṣṭh	30321	1.011	1
174	sva	30280	1.010	1
175	rāṇ	30113	1.004	1
176	śva	29907	0.997	1
177	nām	29572	0.986	1
178	rth	29539	0.985	1
179	amu	29371	0.979	1
180	āḥs	29365	0.979	0
181	ṛṣṭ	29334	0.978	1
182	aṃm	29331	0.978	0
183	kār	29092	0.970	1
184	gat	28817	0.961	1
185	yad	28722	0.958	1
186	uvā	28607	0.954	1
187	mat	28589	0.953	1
188	vid	28564	0.953	1
189	āmā	28503	0.950	1
190	ari	28338	0.945	1
191	āṃs	28301	0.944	0
192	aḥś	28297	0.944	0
193	eta	28196	0.940	0
194	dhy	28082	0.936	1
195	viṣ	28014	0.934	1
196	air	27895	0.930	1
197	urā	27747	0.925	1
198	iṣṭ	27647	0.922	1
199	āga	27620	0.921	1
200	raḥ	27537	0.918	1
