text	x	y
agnipurana_u	0.196293	-0.297393
bhagavatapurana_skandha-01_u	-0.144574	-0.029108
bhagavatapurana_skandha-02_u	0.004634	0.031923
bhagavatapurana_skandha-03_u	-0.066647	-0.102583
bhagavatapurana_skandha-04_u	-0.104516	-0.095366
bhagavatapurana_skandha-05_u	0.003794	-0.033383
bhagavatapurana_skandha-06_u	-0.082280	-0.070530
bhagavatapurana_skandha-07_u	-0.034678	-0.076548
bhagavatapurana_skandha-08_u	-0.115248	-0.096345
bhagavatapurana_skandha-09_u	-0.171859	-0.042724
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.008395	-0.108372
bhagavatapurana_skandha-10_u	-0.193553	-0.151328
bhagavatapurana_skandha-11_u	0.000367	-0.099392
bhagavatapurana_skandha-12_u	0.025543	0.000208
bhavisyapurana	0.070299	-0.242186
brahmandapurana	-0.036145	-0.191694
brahmandapurana_khanda-1_u	0.124045	0.221869
brahmandapurana_khanda-2_u	-0.122213	-0.123334
brahmandapurana_khanda-3_u	0.023848	-0.243587
brahmapurana_pu	0.005991	-0.151105
devibhagavatapurana	0.007519	-0.235549
devibhagavatapurana_devigita_adhyaya-31-40	0.260815	-0.129803
devipurana	0.138788	-0.248333
garudapurana_khanda-1_u	0.149020	-0.269774
garudapurana_khanda-2_u	0.165986	-0.192955
garudapurana_khanda-3_u	0.195062	-0.152236
harivamsa	-0.242280	-0.075351
harivamsa_appendix-29-30_mathura	-0.181715	-0.083799
harivamsa_appendix-31	-0.171893	-0.068219
harivamsa_appendix-41	-0.024269	0.080674
harivamsa_appendix-42_pradurbhava	-0.227803	0.017858
kalikapurana	0.083448	-0.211485
karatoyamahatmya_pu	0.707356	0.340024
kirfel_ppl_textgruppe_IIA_col1	0.166019	0.213774
kirfel_ppl_textgruppe_IIB_col1	0.113188	0.155831
kirfel_ppl_textgruppe_III_col1	0.132643	0.328916
kirfel_ppl_textgruppe_II_col1	-0.063037	0.049854
kirfel_ppl_textgruppe_I_col1	-0.128751	0.133006
kirfel_ppl_textgruppe_Ia_col1	0.045707	0.281699
kirfel_ppl_ungrouped_col1	-0.146901	0.117378
kurmapurana_khanda-1_u	0.071554	-0.109683
kurmapurana_khanda-2_u	0.198265	-0.140016
lingapurana_khanda-1_u	0.133303	-0.136522
lingapurana_khanda-2_u	0.218029	-0.209833
mahabharata_01-adiparvan	-0.272990	0.017666
mahabharata_02-appendix-21_sisupala	-0.247827	0.071260
mahabharata_02-sabhaparvan	-0.326898	0.039719
mahabharata_03-aranyakaparvan	-0.283160	-0.009504
mahabharata_04-virataparvan	-0.366631	0.045524
mahabharata_05-udyogaparvan	-0.306224	0.028485
mahabharata_06-bhismaparvan	-0.390426	0.058667
mahabharata_07-appendix-08_sodasarajika	-0.173847	0.147755
mahabharata_07-dronaparvan	-0.420962	0.035151
mahabharata_08-karnaparvan	-0.401222	0.037571
mahabharata_09-salyaparvan	-0.385135	0.050337
mahabharata_10-sauptikaparvan	-0.332673	0.087966
mahabharata_11-striparvan	-0.332357	0.095301
mahabharata_12-appendix-29_moksadharma	0.108774	0.129523
mahabharata_12-santiparvan	-0.111512	-0.022526
mahabharata_13-anusasanaparvan	-0.098776	-0.022656
mahabharata_13-appendix-15_umamahesvara	0.077107	-0.102602
mahabharata_14-appendix-04_vaisnavadharma	0.123187	-0.062518
mahabharata_14-asvamedhikaparvan	-0.205532	0.042306
mahabharata_15-asramavasikaparvan	-0.319192	0.120393
mahabharata_16-mausalaparvan	-0.307775	0.206949
mahabharata_17-mahaprasthanikaparvan	-0.158341	0.684877
mahabharata_18-svargarohanaparvan	-0.213583	0.436831
markandeyapurana	-0.067065	-0.106579
markandeyapurana_adhyaya-1-80_u	-0.029948	-0.101234
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.066919	-0.057569
markandeyapurana_adhyaya-94-141_u	-0.112625	-0.029501
matsyapurana_pu	0.014020	-0.153240
naradapurana_khanda-1_u	0.169130	-0.292151
naradapurana_khanda-2_u	0.030847	-0.237312
nilamatapurana_au	0.090701	-0.165987
nrsimhapurana_pu	-0.069056	-0.166970
padmapurana_a	0.002597	-0.228505
pranavakalpa	0.238436	-0.119744
ramayana_01-balakanda	-0.274770	-0.000265
ramayana_02-ayodhyakanda_a	-0.302281	-0.062008
ramayana_03-aranyakanda_a	-0.322191	-0.086624
ramayana_04-kiskindhakanda	-0.304167	-0.054813
ramayana_05-sundarakanda	-0.331224	-0.103616
ramayana_06-yuddhakanda	-0.389076	-0.070990
ramayana_07-uttarakanda	-0.285403	-0.054997
saurapurana	0.084545	-0.177891
sivadharmasastra	0.315186	-0.191009
sivadharmottara	0.257108	-0.163311
sivapurana_dharmasamhita	0.024111	-0.202304
sivapurana_karvanamahatmya_au	0.261775	0.086625
sivapurana_rudrasamhita	-0.020032	-0.179275
sivapurana_sanatkumarasamhita	0.161370	-0.099013
sivapurana_satarudrasamhita_au	0.041296	-0.010105
sivapurana_umasamhita	0.084637	-0.109308
sivapurana_vayaviyasamhita_au	0.166146	-0.187910
sivapurana_vidyesvarasamhita_au	0.302325	-0.211559
skandamahapurana_himavatkhanda	0.020298	-0.157894
skandamahapurana_kasikhanda	0.118043	-0.266137
skandamahapurana_revakhanda	0.077449	-0.118683
skandamahapurana_sutasamhita_khanda-4	0.266815	-0.107007
skandapurana	-0.123777	-0.100037
skandapurana_adhyaya-1-31_pu	-0.006620	-0.027606
skandapurana_pasupata_adhyaya174-183_u	0.352883	0.120798
vamanapurana_saromahatmya_u	0.149521	-0.022889
vamanapurana_u	-0.083584	-0.164974
vayupurana	0.135897	0.008477
vayupurana_01_frame-and-cosmogony_iast	0.321239	0.611179
vayupurana_02_pashupata-yoga_iast	0.385647	0.410845
vayupurana_03_kalpas-and-shiva-lineages_iast	0.167434	0.195101
vayupurana_04_bhuvana-vinyasa_iast	0.123451	0.052758
vayupurana_05_jyotis-and-purvardha-close_iast	0.429515	0.851138
vayupurana_06_prthu-and-prajapati-lineages_iast	0.132411	0.516228
