text	x	y
agnipurana_u	7.397888	-6.128534
bhagavatapurana_skandha-01_u	-3.618075	0.118830
bhagavatapurana_skandha-02_u	-0.470915	-0.468813
bhagavatapurana_skandha-03_u	-0.202061	-0.710957
bhagavatapurana_skandha-04_u	-1.908597	-0.674628
bhagavatapurana_skandha-05_u	-1.813336	2.184364
bhagavatapurana_skandha-06_u	-1.115866	0.657340
bhagavatapurana_skandha-07_u	-0.272974	-1.117627
bhagavatapurana_skandha-08_u	-2.171456	0.497717
bhagavatapurana_skandha-09_u	-4.484814	1.515726
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.295954	-3.582777
bhagavatapurana_skandha-10_u	-4.028727	-1.921290
bhagavatapurana_skandha-11_u	0.795641	-1.801561
bhagavatapurana_skandha-12_u	0.170360	2.329223
bhavisyapurana	2.572353	-5.676167
brahmandapurana	0.382591	-0.747815
brahmandapurana_khanda-1_u	6.019501	12.121819
brahmandapurana_khanda-2_u	-3.218193	-1.714517
brahmandapurana_khanda-3_u	2.130166	-1.295004
brahmapurana_pu	1.305841	-4.063758
devibhagavatapurana	0.982954	-6.911839
devibhagavatapurana_devigita_adhyaya-31-40	9.145076	-3.133142
devipurana	4.794141	-4.254809
garudapurana_khanda-1_u	5.472046	-4.793625
garudapurana_khanda-2_u	5.536220	-5.375195
garudapurana_khanda-3_u	6.541374	-4.375547
harivamsa	-5.776472	-0.337829
harivamsa_appendix-29-30_mathura	-5.309070	-1.290784
harivamsa_appendix-31	-3.254781	-3.970711
harivamsa_appendix-41	2.054176	6.494709
harivamsa_appendix-42_pradurbhava	-5.626531	5.092588
kalikapurana	3.010722	-2.510109
karatoyamahatmya_pu	10.540042	-12.016682
kirfel_ppl_textgruppe_IIA_col1	8.810446	11.902129
kirfel_ppl_textgruppe_IIB_col1	7.234334	14.626922
kirfel_ppl_textgruppe_III_col1	4.035870	18.477351
kirfel_ppl_textgruppe_II_col1	-2.920764	8.585812
kirfel_ppl_textgruppe_I_col1	-3.931091	12.797933
kirfel_ppl_textgruppe_Ia_col1	2.440133	20.024643
kirfel_ppl_ungrouped_col1	-3.743882	10.966518
kurmapurana_khanda-1_u	3.397374	-2.899921
kurmapurana_khanda-2_u	7.737675	-7.125754
lingapurana_khanda-1_u	5.129375	0.008581
lingapurana_khanda-2_u	6.709649	-5.389043
mahabharata_01-adiparvan	-7.367149	1.163517
mahabharata_02-appendix-21_sisupala	-6.710481	2.072813
mahabharata_02-sabhaparvan	-10.916186	0.489443
mahabharata_03-aranyakaparvan	-8.210470	-0.091829
mahabharata_04-virataparvan	-11.223852	-0.005868
mahabharata_05-udyogaparvan	-8.534068	0.078759
mahabharata_06-bhismaparvan	-11.841413	1.094468
mahabharata_07-appendix-08_sodasarajika	-5.181008	4.499783
mahabharata_07-dronaparvan	-11.946550	-0.276141
mahabharata_08-karnaparvan	-11.836289	-0.098707
mahabharata_09-salyaparvan	-12.112040	1.323136
mahabharata_10-sauptikaparvan	-9.494758	0.916265
mahabharata_11-striparvan	-10.592944	-0.789674
mahabharata_12-appendix-29_moksadharma	1.629259	-1.686259
mahabharata_12-santiparvan	-1.687909	-0.286461
mahabharata_13-anusasanaparvan	-2.076052	1.063028
mahabharata_13-appendix-15_umamahesvara	3.360744	-3.404478
mahabharata_14-appendix-04_vaisnavadharma	3.832030	-1.405715
mahabharata_14-asvamedhikaparvan	-4.770914	-0.112861
mahabharata_15-asramavasikaparvan	-10.550799	2.001764
mahabharata_16-mausalaparvan	-10.029767	-1.323536
mahabharata_17-mahaprasthanikaparvan	-15.408143	-0.856200
mahabharata_18-svargarohanaparvan	-10.193881	0.035540
markandeyapurana	-2.276591	1.063275
markandeyapurana_adhyaya-1-80_u	-1.374919	0.581346
markandeyapurana_adhyaya-81-93_devimahatmya_u	-2.760515	2.386419
markandeyapurana_adhyaya-94-141_u	-4.026430	1.588430
matsyapurana_pu	1.367630	1.072237
naradapurana_khanda-1_u	6.427181	-5.190363
naradapurana_khanda-2_u	1.212879	-7.424653
nilamatapurana_au	2.214012	-4.356792
nrsimhapurana_pu	-1.825158	-5.199080
padmapurana_a	0.912602	-5.895053
pranavakalpa	10.181307	-4.501870
ramayana_01-balakanda	-8.708058	0.446476
ramayana_02-ayodhyakanda_a	-8.395331	-2.856047
ramayana_03-aranyakanda_a	-8.500257	-5.096763
ramayana_04-kiskindhakanda	-8.229132	-1.821043
ramayana_05-sundarakanda	-9.260920	-3.742745
ramayana_06-yuddhakanda	-8.893952	-3.728521
ramayana_07-uttarakanda	-7.081457	-1.380636
saurapurana	3.479028	-3.725255
sivadharmasastra	8.898685	-7.486586
sivadharmottara	6.855813	-6.136516
sivapurana_dharmasamhita	1.060126	-5.558295
sivapurana_karvanamahatmya_au	5.123102	-6.593306
sivapurana_rudrasamhita	2.065086	-6.570971
sivapurana_sanatkumarasamhita	5.192215	-4.192085
sivapurana_satarudrasamhita_au	3.574781	-3.814722
sivapurana_umasamhita	3.835583	-1.615823
sivapurana_vayaviyasamhita_au	6.503829	-4.175403
sivapurana_vidyesvarasamhita_au	8.793559	-10.124756
skandamahapurana_himavatkhanda	1.683344	-2.441504
skandamahapurana_kasikhanda	3.589855	-5.654322
skandamahapurana_revakhanda	1.920598	-2.361025
skandamahapurana_sutasamhita_khanda-4	10.001673	-5.568838
skandapurana	-2.162807	0.711606
skandapurana_adhyaya-1-31_pu	-0.029085	1.535670
skandapurana_pasupata_adhyaya174-183_u	11.700808	-1.844353
vamanapurana_saromahatmya_u	3.696976	-5.207285
vamanapurana_u	-2.069384	-3.141470
vayupurana	5.371141	5.085645
vayupurana_01_frame-and-cosmogony_iast	6.858880	14.003211
vayupurana_02_pashupata-yoga_iast	12.794446	1.634050
vayupurana_03_kalpas-and-shiva-lineages_iast	7.490788	9.049367
vayupurana_04_bhuvana-vinyasa_iast	0.320749	6.991029
vayupurana_05_jyotis-and-purvardha-close_iast	6.903082	12.812440
vayupurana_06_prthu-and-prajapati-lineages_iast	4.448211	19.432233
vayupurana_07_shraddha-kalpa_iast	6.279718	1.832812
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.361622	14.414584
vayupurana_09_upasamhara_iast	4.010815	1.229976
vayupurana_10_gaya-mahatmya_iast	8.834657	-6.287586
vayupurana_revakhanda	1.986708	-5.254609
visnudharma_pu	1.269971	-2.914826
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	1.365703	-5.858434
visnupurana_amsa-1_u	2.476809	3.317111
visnupurana_amsa-2_u	4.534761	2.092881
visnupurana_amsa-3_u	4.364506	0.296999
visnupurana_amsa-4_u	-4.099105	7.574095
visnupurana_amsa-5_u	-0.793331	1.344650
visnupurana_amsa-6_u	2.128614	4.646717
visnupurana_u	0.206168	4.063723
