text	x	y
agnipurana_u	22.918614	-24.285602
bhagavatapurana_skandha-01_u	-5.769639	2.764906
bhagavatapurana_skandha-02_u	17.293953	-1.122723
bhagavatapurana_skandha-03_u	10.299229	-4.782441
bhagavatapurana_skandha-04_u	4.157924	-2.371917
bhagavatapurana_skandha-05_u	10.970437	5.247733
bhagavatapurana_skandha-06_u	4.716543	1.792687
bhagavatapurana_skandha-07_u	9.955268	-2.515809
bhagavatapurana_skandha-08_u	1.946402	0.808192
bhagavatapurana_skandha-09_u	-9.157060	6.930892
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	11.256875	-13.655307
bhagavatapurana_skandha-10_u	-8.404930	-5.605974
bhagavatapurana_skandha-11_u	13.507955	-6.623780
bhagavatapurana_skandha-12_u	9.879152	5.437308
bhavisyapurana	5.085930	-21.457641
brahmandapurana	0.708728	-7.412852
brahmandapurana_khanda-1_u	20.112867	34.265713
brahmandapurana_khanda-2_u	-11.735024	-8.992557
brahmandapurana_khanda-3_u	8.551116	-9.708499
brahmapurana_pu	0.440089	-15.371122
devibhagavatapurana	-0.777125	-24.544207
devibhagavatapurana_devigita_adhyaya-31-40	27.031932	-11.254624
devipurana	16.070797	-19.303373
garudapurana_khanda-1_u	16.703327	-17.135059
garudapurana_khanda-2_u	11.396588	-18.911817
garudapurana_khanda-3_u	20.562918	-11.065540
harivamsa	-24.446002	-1.546399
harivamsa_appendix-29-30_mathura	-21.667167	-3.595334
harivamsa_appendix-31	-16.819036	-13.694882
harivamsa_appendix-41	5.299427	20.900303
harivamsa_appendix-42_pradurbhava	-18.240242	15.478805
kalikapurana	8.315810	-13.264060
karatoyamahatmya_pu	42.577174	-29.707793
kirfel_ppl_textgruppe_IIA_col1	27.623805	38.239502
kirfel_ppl_textgruppe_IIB_col1	21.918112	39.434602
kirfel_ppl_textgruppe_III_col1	17.907151	53.996011
kirfel_ppl_textgruppe_II_col1	-6.062555	22.371385
kirfel_ppl_textgruppe_I_col1	-10.605692	36.126373
kirfel_ppl_textgruppe_Ia_col1	9.074413	54.259258
kirfel_ppl_ungrouped_col1	-13.563630	31.899875
kurmapurana_khanda-1_u	10.296613	-9.367086
kurmapurana_khanda-2_u	22.446099	-23.265554
lingapurana_khanda-1_u	13.786555	-2.811318
lingapurana_khanda-2_u	20.802718	-20.006184
mahabharata_01-adiparvan	-30.005267	5.141093
mahabharata_02-appendix-21_sisupala	-22.760636	7.952361
mahabharata_02-sabhaparvan	-40.595797	6.569801
mahabharata_03-aranyakaparvan	-31.799510	1.274733
mahabharata_04-virataparvan	-43.296583	4.106698
mahabharata_05-udyogaparvan	-33.674234	3.336885
mahabharata_06-bhismaparvan	-43.129185	7.584602
mahabharata_07-appendix-08_sodasarajika	-21.039073	19.531415
mahabharata_07-dronaparvan	-45.372913	1.854507
mahabharata_08-karnaparvan	-43.335815	3.484451
mahabharata_09-salyaparvan	-44.346964	6.620902
mahabharata_10-sauptikaparvan	-36.084973	7.028640
mahabharata_11-striparvan	-37.694204	4.466348
mahabharata_12-appendix-29_moksadharma	4.522898	-0.697658
mahabharata_12-santiparvan	-9.370101	-1.316476
mahabharata_13-anusasanaparvan	-12.038227	4.103809
mahabharata_13-appendix-15_umamahesvara	10.539784	-15.595602
mahabharata_14-appendix-04_vaisnavadharma	9.371431	-4.285313
mahabharata_14-asvamedhikaparvan	-21.549298	2.463772
mahabharata_15-asramavasikaparvan	-39.779657	12.115678
mahabharata_16-mausalaparvan	-37.475655	2.940396
mahabharata_17-mahaprasthanikaparvan	-50.236669	17.708602
mahabharata_18-svargarohanaparvan	-35.471148	9.460968
markandeyapurana	-8.880706	3.252531
markandeyapurana_adhyaya-1-80_u	-5.683252	1.485484
markandeyapurana_adhyaya-81-93_devimahatmya_u	-7.532986	9.166384
markandeyapurana_adhyaya-94-141_u	-16.621828	5.641770
matsyapurana_pu	3.427761	-0.234599
naradapurana_khanda-1_u	21.061958	-23.409151
naradapurana_khanda-2_u	4.180466	-27.713129
nilamatapurana_au	3.616680	-16.060494
nrsimhapurana_pu	-6.365499	-18.902608
padmapurana_a	0.885043	-22.228017
pranavakalpa	34.267740	-17.329347
ramayana_01-balakanda	-30.423299	1.601603
ramayana_02-ayodhyakanda_a	-32.154347	-8.254965
ramayana_03-aranyakanda_a	-31.416843	-15.456790
ramayana_04-kiskindhakanda	-31.119181	-6.422057
ramayana_05-sundarakanda	-32.025407	-10.719724
ramayana_06-yuddhakanda	-36.909318	-10.910602
ramayana_07-uttarakanda	-26.654258	-6.074296
saurapurana	8.164581	-15.186747
sivadharmasastra	31.364602	-23.897116
sivadharmottara	25.822132	-19.905383
sivapurana_dharmasamhita	1.702157	-22.717789
sivapurana_karvanamahatmya_au	11.379539	-17.556559
sivapurana_rudrasamhita	2.152441	-21.924037
sivapurana_sanatkumarasamhita	15.437194	-15.196936
sivapurana_satarudrasamhita_au	1.684582	-9.841862
sivapurana_umasamhita	10.316691	-6.559653
sivapurana_vayaviyasamhita_au	19.943690	-19.135078
sivapurana_vidyesvarasamhita_au	29.379156	-32.454606
skandamahapurana_himavatkhanda	3.154469	-10.095380
skandamahapurana_kasikhanda	15.842314	-25.491552
skandamahapurana_revakhanda	3.821203	-8.658908
skandamahapurana_sutasamhita_khanda-4	32.500854	-21.088596
skandapurana	-11.601824	-1.258304
skandapurana_adhyaya-1-31_pu	-2.857322	4.238552
skandapurana_pasupata_adhyaya174-183_u	37.114265	-0.622023
vamanapurana_saromahatmya_u	8.047572	-13.186241
vamanapurana_u	-5.554508	-14.966314
vayupurana	19.155074	15.459773
vayupurana_01_frame-and-cosmogony_iast	38.481796	43.116305
vayupurana_02_pashupata-yoga_iast	43.894971	9.160955
vayupurana_03_kalpas-and-shiva-lineages_iast	20.053140	29.849913
vayupurana_04_bhuvana-vinyasa_iast	12.595044	30.964697
vayupurana_05_jyotis-and-purvardha-close_iast	27.590387	45.443604
vayupurana_06_prthu-and-prajapati-lineages_iast	28.400502	66.980838
vayupurana_07_shraddha-kalpa_iast	21.962268	7.803802
vayupurana_08_manu-candra-vishnu-vamsha_iast	2.601856	62.418013
vayupurana_09_upasamhara_iast	20.224676	7.856884
vayupurana_10_gaya-mahatmya_iast	26.541584	-16.574838
vayupurana_revakhanda	3.039237	-20.338047
visnudharma_pu	6.814974	-11.959069
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	7.926997	-16.396750
visnupurana_amsa-1_u	5.097176	8.503042
visnupurana_amsa-2_u	17.927686	10.023858
visnupurana_amsa-3_u	9.843767	1.890346
visnupurana_amsa-4_u	-7.711191	17.423652
visnupurana_amsa-5_u	2.008354	4.627390
visnupurana_amsa-6_u	11.661654	19.133979
visnupurana_u	0.678911	10.259489
