text	x	y
agnipurana_u	0.034366	-0.014176
bhagavatapurana_skandha-01_u	-0.001594	-0.003327
bhagavatapurana_skandha-02_u	0.019624	-0.027294
bhagavatapurana_skandha-03_u	0.026631	-0.014175
bhagavatapurana_skandha-04_u	0.024783	-0.010523
bhagavatapurana_skandha-05_u	0.024413	-0.014882
bhagavatapurana_skandha-06_u	-0.008680	-0.003987
bhagavatapurana_skandha-07_u	-0.006086	-0.023442
bhagavatapurana_skandha-08_u	-0.010883	-0.012682
bhagavatapurana_skandha-09_u	-0.001468	0.002111
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.042944	-0.014814
bhagavatapurana_skandha-10_u	-0.005691	-0.015535
bhagavatapurana_skandha-11_u	0.013225	-0.016074
bhagavatapurana_skandha-12_u	0.001837	-0.001190
bhavisyapurana	0.009274	-0.006518
brahmandapurana	0.002940	0.000926
brahmandapurana_khanda-1_u	-0.031973	0.047232
brahmandapurana_khanda-2_u	-0.006314	-0.003296
brahmandapurana_khanda-3_u	0.026921	0.000570
brahmapurana_pu	-0.011105	-0.012891
devibhagavatapurana	-0.001201	-0.023761
devibhagavatapurana_devigita_adhyaya-31-40	0.027774	-0.024689
devipurana	0.020158	-0.010931
garudapurana_khanda-1_u	0.023975	-0.007825
garudapurana_khanda-2_u	0.015187	-0.006580
garudapurana_khanda-3_u	0.032357	-0.004985
harivamsa	-0.002534	0.009925
harivamsa_appendix-29-30_mathura	0.010204	0.010500
harivamsa_appendix-31	0.006057	-0.009135
harivamsa_appendix-41	0.027625	0.031342
harivamsa_appendix-42_pradurbhava	0.000377	0.021335
kalikapurana	0.004869	-0.004479
karatoyamahatmya_pu	0.071245	-0.118237
kirfel_ppl_textgruppe_IIA_col1	0.008513	0.036277
kirfel_ppl_textgruppe_IIB_col1	0.030951	0.067966
kirfel_ppl_textgruppe_III_col1	0.008362	0.072247
kirfel_ppl_textgruppe_II_col1	0.007088	0.039121
kirfel_ppl_textgruppe_I_col1	0.009192	0.066868
kirfel_ppl_textgruppe_Ia_col1	0.015017	0.108521
kirfel_ppl_ungrouped_col1	0.007089	0.051424
kurmapurana_khanda-1_u	0.014894	-0.033366
kurmapurana_khanda-2_u	0.024195	-0.040007
lingapurana_khanda-1_u	0.000434	0.001933
lingapurana_khanda-2_u	0.018105	-0.013049
mahabharata_01-adiparvan	-0.025596	0.007455
mahabharata_02-appendix-21_sisupala	0.028162	0.028753
mahabharata_02-sabhaparvan	-0.018058	0.021205
mahabharata_03-aranyakaparvan	-0.018132	0.007668
mahabharata_04-virataparvan	-0.014192	0.013797
mahabharata_05-udyogaparvan	-0.005861	0.018481
mahabharata_06-bhismaparvan	0.002295	0.024311
mahabharata_07-appendix-08_sodasarajika	-0.006634	0.017624
mahabharata_07-dronaparvan	0.006650	0.014719
mahabharata_08-karnaparvan	0.007818	0.017707
mahabharata_09-salyaparvan	-0.002690	0.030587
mahabharata_10-sauptikaparvan	-0.000317	0.023310
mahabharata_11-striparvan	0.005138	0.010219
mahabharata_12-appendix-29_moksadharma	0.036606	0.013809
mahabharata_12-santiparvan	-0.006342	0.008399
mahabharata_13-anusasanaparvan	-0.016752	0.013542
mahabharata_13-appendix-15_umamahesvara	0.046872	0.006753
mahabharata_14-appendix-04_vaisnavadharma	0.006488	0.011154
mahabharata_14-asvamedhikaparvan	-0.006384	0.011319
mahabharata_15-asramavasikaparvan	-0.013541	0.034310
mahabharata_16-mausalaparvan	0.010535	0.031415
mahabharata_17-mahaprasthanikaparvan	-0.047051	0.025534
mahabharata_18-svargarohanaparvan	0.007959	0.034938
markandeyapurana	-0.027009	0.005630
markandeyapurana_adhyaya-1-80_u	-0.021178	0.006880
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.026457	0.009579
markandeyapurana_adhyaya-94-141_u	-0.035274	0.004921
matsyapurana_pu	-0.024185	0.003788
naradapurana_khanda-1_u	0.028369	-0.016253
naradapurana_khanda-2_u	0.030278	-0.024742
nilamatapurana_au	-0.012015	-0.003291
nrsimhapurana_pu	-0.003276	-0.017296
padmapurana_a	-0.002352	-0.018683
pranavakalpa	0.061588	-0.036407
ramayana_01-balakanda	0.015428	0.009808
ramayana_02-ayodhyakanda_a	0.015234	0.001970
ramayana_03-aranyakanda_a	0.021529	-0.015558
ramayana_04-kiskindhakanda	0.017554	0.003212
ramayana_05-sundarakanda	0.029031	-0.003627
ramayana_06-yuddhakanda	0.023952	-0.012960
ramayana_07-uttarakanda	0.012474	0.001722
saurapurana	0.001569	-0.020454
sivadharmasastra	0.062775	-0.020153
sivadharmottara	0.054594	-0.009395
sivapurana_dharmasamhita	0.017407	-0.015873
sivapurana_karvanamahatmya_au	-0.005092	-0.018019
sivapurana_rudrasamhita	0.000687	-0.028657
sivapurana_sanatkumarasamhita	0.026037	-0.016842
sivapurana_satarudrasamhita_au	-0.043698	-0.063801
sivapurana_umasamhita	-0.003875	-0.009175
sivapurana_vayaviyasamhita_au	0.020422	-0.013115
sivapurana_vidyesvarasamhita_au	0.050023	-0.017879
skandamahapurana_himavatkhanda	0.011017	-0.008141
skandamahapurana_kasikhanda	0.025005	-0.025501
skandamahapurana_revakhanda	-0.019947	-0.007545
skandamahapurana_sutasamhita_khanda-4	0.053339	-0.021287
skandapurana	0.003608	0.009097
skandapurana_adhyaya-1-31_pu	-0.007839	0.011867
skandapurana_pasupata_adhyaya174-183_u	0.065041	-0.030136
vamanapurana_saromahatmya_u	0.002849	-0.022493
vamanapurana_u	0.004920	-0.012146
vayupurana	-0.019046	0.013271
vayupurana_01_frame-and-cosmogony_iast	-0.006693	0.042427
vayupurana_02_pashupata-yoga_iast	0.044641	0.021987
vayupurana_03_kalpas-and-shiva-lineages_iast	-0.010529	0.024692
vayupurana_04_bhuvana-vinyasa_iast	0.014410	0.037617
vayupurana_05_jyotis-and-purvardha-close_iast	-0.125966	0.038530
vayupurana_06_prthu-and-prajapati-lineages_iast	-0.026924	0.114500
vayupurana_07_shraddha-kalpa_iast	-0.021435	0.007746
