text	x	y
agnipurana_u	0.039874	-0.012402
bhagavatapurana_skandha-01_u	-0.007816	0.000393
bhagavatapurana_skandha-02_u	0.021131	-0.023491
bhagavatapurana_skandha-03_u	0.025808	-0.011460
bhagavatapurana_skandha-04_u	0.022796	-0.005752
bhagavatapurana_skandha-05_u	0.022478	-0.013655
bhagavatapurana_skandha-06_u	-0.011469	-0.011039
bhagavatapurana_skandha-07_u	-0.008173	-0.029977
bhagavatapurana_skandha-08_u	-0.012541	-0.019678
bhagavatapurana_skandha-09_u	-0.005428	0.002034
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.045200	-0.019874
bhagavatapurana_skandha-10_u	-0.007856	-0.020787
bhagavatapurana_skandha-11_u	0.012840	-0.020393
bhagavatapurana_skandha-12_u	-0.003323	-0.003299
bhavisyapurana	0.010039	-0.007440
brahmandapurana	-0.000009	-0.002056
brahmandapurana_khanda-1_u	-0.046532	0.056546
brahmandapurana_khanda-2_u	-0.009406	-0.001215
brahmandapurana_khanda-3_u	0.027545	-0.006649
brahmapurana_pu	-0.008720	-0.015239
devibhagavatapurana	0.002113	-0.024444
devibhagavatapurana_devigita_adhyaya-31-40	0.037495	-0.028560
devipurana	0.027676	-0.011797
garudapurana_khanda-1_u	0.027731	-0.011513
garudapurana_khanda-2_u	0.018701	-0.010543
garudapurana_khanda-3_u	0.034395	-0.016036
harivamsa	-0.005142	0.010318
harivamsa_appendix-29-30_mathura	0.009399	0.010754
harivamsa_appendix-31	0.006658	-0.005273
harivamsa_appendix-41	0.024452	0.035224
harivamsa_appendix-42_pradurbhava	-0.001319	0.023987
kalikapurana	0.009847	-0.007462
karatoyamahatmya_pu	0.105597	-0.149738
kirfel_ppl_textgruppe_IIA_col1	0.003989	0.033340
kirfel_ppl_textgruppe_IIB_col1	0.022706	0.068656
kirfel_ppl_textgruppe_III_col1	-0.000426	0.066194
kirfel_ppl_textgruppe_II_col1	0.000175	0.040196
kirfel_ppl_textgruppe_I_col1	-0.004191	0.066630
kirfel_ppl_textgruppe_Ia_col1	0.001358	0.099755
kirfel_ppl_ungrouped_col1	-0.003578	0.053565
kurmapurana_khanda-1_u	0.018112	-0.032356
kurmapurana_khanda-2_u	0.032324	-0.036541
lingapurana_khanda-1_u	-0.000012	-0.000136
lingapurana_khanda-2_u	0.025448	-0.014094
mahabharata_01-adiparvan	-0.030004	0.012371
mahabharata_02-appendix-21_sisupala	0.023597	0.036764
mahabharata_02-sabhaparvan	-0.021842	0.027328
mahabharata_03-aranyakaparvan	-0.020106	0.011686
mahabharata_04-virataparvan	-0.016197	0.023540
mahabharata_05-udyogaparvan	-0.008649	0.025152
mahabharata_06-bhismaparvan	0.001337	0.035063
mahabharata_07-appendix-08_sodasarajika	-0.004964	0.028563
mahabharata_07-dronaparvan	0.003421	0.026944
mahabharata_08-karnaparvan	0.002320	0.028693
mahabharata_09-salyaparvan	-0.007043	0.037664
