text	x	y
agnipurana_u	0.252731	-0.228681
bhagavatapurana_skandha-01_u	-0.090001	0.065068
bhagavatapurana_skandha-02_u	0.081693	0.030269
bhagavatapurana_skandha-03_u	0.046555	0.019675
bhagavatapurana_skandha-04_u	-0.011727	0.033072
bhagavatapurana_skandha-05_u	0.023063	0.131933
bhagavatapurana_skandha-06_u	0.010144	0.072918
bhagavatapurana_skandha-07_u	0.051250	0.006054
bhagavatapurana_skandha-08_u	-0.026576	0.057013
bhagavatapurana_skandha-09_u	-0.114756	0.109518
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.072263	-0.092814
bhagavatapurana_skandha-10_u	-0.103049	-0.012866
bhagavatapurana_skandha-11_u	0.084598	-0.013502
bhagavatapurana_skandha-12_u	0.068217	0.108205
bhavisyapurana	0.075569	-0.225809
brahmandapurana	0.018858	-0.037017
brahmandapurana_khanda-1_u	0.238097	0.390357
brahmandapurana_khanda-2_u	-0.110767	-0.073723
brahmandapurana_khanda-3_u	0.086130	-0.056348
brahmapurana_pu	0.027159	-0.172520
devibhagavatapurana	0.010789	-0.271753
devibhagavatapurana_devigita_adhyaya-31-40	0.289140	-0.125409
devipurana	0.175548	-0.172973
garudapurana_khanda-1_u	0.181283	-0.156245
garudapurana_khanda-2_u	0.162172	-0.221329
garudapurana_khanda-3_u	0.226500	-0.153445
harivamsa	-0.220456	-0.003857
harivamsa_appendix-29-30_mathura	-0.205452	-0.037356
harivamsa_appendix-31	-0.159168	-0.148757
harivamsa_appendix-41	0.048531	0.216324
harivamsa_appendix-42_pradurbhava	-0.201219	0.178753
kalikapurana	0.096288	-0.112048
karatoyamahatmya_pu	0.426419	-0.390905
kirfel_ppl_textgruppe_IIA_col1	0.299261	0.437047
kirfel_ppl_textgruppe_IIB_col1	0.250756	0.480641
kirfel_ppl_textgruppe_III_col1	0.154560	0.644486
kirfel_ppl_textgruppe_II_col1	-0.093284	0.297597
kirfel_ppl_textgruppe_I_col1	-0.131381	0.430561
kirfel_ppl_textgruppe_Ia_col1	0.090969	0.659180
kirfel_ppl_ungrouped_col1	-0.152917	0.368849
kurmapurana_khanda-1_u	0.119313	-0.092708
kurmapurana_khanda-2_u	0.250469	-0.266653
lingapurana_khanda-1_u	0.157274	-0.022604
lingapurana_khanda-2_u	0.220054	-0.209656
mahabharata_01-adiparvan	-0.289384	0.044558
mahabharata_02-appendix-21_sisupala	-0.244410	0.080360
mahabharata_02-sabhaparvan	-0.402147	0.038108
mahabharata_03-aranyakaparvan	-0.309111	0.005732
mahabharata_04-virataparvan	-0.421749	0.014627
mahabharata_05-udyogaparvan	-0.328049	0.018816
mahabharata_06-bhismaparvan	-0.432686	0.054175
mahabharata_07-appendix-08_sodasarajika	-0.212220	0.160901
mahabharata_07-dronaparvan	-0.442492	-0.003146
mahabharata_08-karnaparvan	-0.444324	0.000203
mahabharata_09-salyaparvan	-0.435737	0.049365
mahabharata_10-sauptikaparvan	-0.355778	0.049835
mahabharata_11-striparvan	-0.373640	-0.002410
mahabharata_12-appendix-29_moksadharma	0.051964	-0.052723
mahabharata_12-santiparvan	-0.074334	-0.016105
mahabharata_13-anusasanaparvan	-0.101873	0.032211
mahabharata_13-appendix-15_umamahesvara	0.128587	-0.169370
mahabharata_14-appendix-04_vaisnavadharma	0.114218	-0.066367
mahabharata_14-asvamedhikaparvan	-0.201445	-0.007470
mahabharata_15-asramavasikaparvan	-0.398046	0.089114
mahabharata_16-mausalaparvan	-0.388598	-0.010818
mahabharata_17-mahaprasthanikaparvan	-0.549958	0.021246
mahabharata_18-svargarohanaparvan	-0.375278	0.015681
markandeyapurana	-0.092276	0.042069
markandeyapurana_adhyaya-1-80_u	-0.057428	0.026932
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.107393	0.084027
markandeyapurana_adhyaya-94-141_u	-0.171318	0.049241
matsyapurana_pu	0.052260	0.032261
naradapurana_khanda-1_u	0.234991	-0.196359
naradapurana_khanda-2_u	0.036878	-0.282574
nilamatapurana_au	0.054624	-0.185402
nrsimhapurana_pu	-0.076931	-0.198063
padmapurana_a	0.019533	-0.231046
pranavakalpa	0.357676	-0.159247
ramayana_01-balakanda	-0.330153	0.020179
ramayana_02-ayodhyakanda_a	-0.317589	-0.093525
ramayana_03-aranyakanda_a	-0.323761	-0.164162
ramayana_04-kiskindhakanda	-0.299283	-0.059552
ramayana_05-sundarakanda	-0.329413	-0.105068
ramayana_06-yuddhakanda	-0.345777	-0.127525
ramayana_07-uttarakanda	-0.271846	-0.058071
saurapurana	0.100959	-0.145704
sivadharmasastra	0.315355	-0.269737
sivadharmottara	0.260083	-0.224883
sivapurana_dharmasamhita	0.018306	-0.208566
sivapurana_karvanamahatmya_au	0.157124	-0.240299
sivapurana_rudrasamhita	0.039346	-0.255348
sivapurana_sanatkumarasamhita	0.158065	-0.159008
sivapurana_satarudrasamhita_au	0.055777	-0.154932
sivapurana_umasamhita	0.130052	-0.058348
sivapurana_vayaviyasamhita_au	0.217952	-0.175273
sivapurana_vidyesvarasamhita_au	0.320123	-0.387905
skandamahapurana_himavatkhanda	0.052847	-0.094573
skandamahapurana_kasikhanda	0.152839	-0.204148
skandamahapurana_revakhanda	0.059066	-0.102142
skandamahapurana_sutasamhita_khanda-4	0.353044	-0.222055
skandapurana	-0.108850	0.004187
skandapurana_adhyaya-1-31_pu	-0.027966	0.042873
skandapurana_pasupata_adhyaya174-183_u	0.411445	-0.069412
vamanapurana_saromahatmya_u	0.091759	-0.187914
vamanapurana_u	-0.076191	-0.133142
vayupurana	0.196001	0.170735
vayupurana_01_frame-and-cosmogony_iast	0.338143	0.469159
vayupurana_02_pashupata-yoga_iast	0.480576	0.029462
vayupurana_03_kalpas-and-shiva-lineages_iast	0.215241	0.315321
vayupurana_04_bhuvana-vinyasa_iast	0.106549	0.289820
vayupurana_05_jyotis-and-purvardha-close_iast	0.299722	0.446685
vayupurana_06_prthu-and-prajapati-lineages_iast	0.250782	0.692390
vayupurana_07_shraddha-kalpa_iast	0.220000	0.057486
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.027849	0.530988
vayupurana_09_upasamhara_iast	0.197037	0.061078
vayupurana_10_gaya-mahatmya_iast	0.281487	-0.253869
vayupurana_revakhanda	0.054893	-0.220091
visnudharma_pu	0.049721	-0.097738
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.058807	-0.232416
visnupurana_amsa-1_u	0.067727	0.108322
visnupurana_amsa-2_u	0.165275	0.080797
visnupurana_amsa-3_u	0.122672	0.020501
visnupurana_amsa-4_u	-0.129491	0.247303
visnupurana_amsa-5_u	-0.004392	0.039365
visnupurana_amsa-6_u	0.098107	0.167413
visnupurana_u	0.000953	0.144438
