text	x	y
agnipurana_u	67.745984	-55.522523
bhagavatapurana_skandha-01_u	-33.847791	33.430981
bhagavatapurana_skandha-02_u	6.475384	31.751960
bhagavatapurana_skandha-03_u	3.514038	20.765991
bhagavatapurana_skandha-04_u	-14.144678	23.554536
bhagavatapurana_skandha-05_u	-16.480071	65.487181
bhagavatapurana_skandha-06_u	-5.894779	39.511752
bhagavatapurana_skandha-07_u	6.869642	14.687904
bhagavatapurana_skandha-08_u	-12.617367	32.312271
bhagavatapurana_skandha-09_u	-32.782070	45.454641
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	12.180166	7.080732
bhagavatapurana_skandha-10_u	-28.944821	15.292227
bhagavatapurana_skandha-11_u	16.643586	18.839085
bhagavatapurana_skandha-12_u	10.889709	43.118934
bhavisyapurana	17.899770	-66.153107
brahmandapurana	4.580578	-2.749022
brahmandapurana_khanda-1_u	61.725280	93.071542
brahmandapurana_khanda-2_u	-31.110895	-18.664229
brahmandapurana_khanda-3_u	24.233039	-0.363233
brahmapurana_pu	11.022152	-53.521390
devibhagavatapurana	6.565264	-84.879858
devibhagavatapurana_devigita_adhyaya-31-40	77.023720	-39.267881
devipurana	47.902235	-39.544241
garudapurana_khanda-1_u	43.120307	-33.337320
garudapurana_khanda-2_u	41.994658	-60.312401
garudapurana_khanda-3_u	54.250720	-40.681948
harivamsa	-53.398025	2.386480
harivamsa_appendix-29-30_mathura	-44.359683	-7.648627
harivamsa_appendix-31	-36.773303	-41.659458
harivamsa_appendix-41	11.689685	45.397259
harivamsa_appendix-42_pradurbhava	-48.409338	43.608601
kalikapurana	25.763678	-24.963767
karatoyamahatmya_pu	97.799813	-103.157900
kirfel_ppl_textgruppe_IIA_col1	71.646256	107.385468
kirfel_ppl_textgruppe_IIB_col1	62.754973	123.352771
kirfel_ppl_textgruppe_III_col1	35.057786	164.239237
kirfel_ppl_textgruppe_II_col1	-23.984417	75.911992
kirfel_ppl_textgruppe_I_col1	-36.936651	111.780602
kirfel_ppl_textgruppe_Ia_col1	37.054092	160.280187
kirfel_ppl_ungrouped_col1	-39.070711	84.082760
kurmapurana_khanda-1_u	30.800996	-29.442581
kurmapurana_khanda-2_u	65.520229	-77.503550
lingapurana_khanda-1_u	39.868881	-17.008529
lingapurana_khanda-2_u	52.618693	-64.104214
mahabharata_01-adiparvan	-71.698950	5.555942
mahabharata_02-appendix-21_sisupala	-55.277699	18.828345
mahabharata_02-sabhaparvan	-100.576159	11.150320
mahabharata_03-aranyakaparvan	-79.798276	0.362787
mahabharata_04-virataparvan	-107.196182	4.311910
mahabharata_05-udyogaparvan	-83.000583	4.543205
mahabharata_06-bhismaparvan	-114.259687	12.437270
mahabharata_07-appendix-08_sodasarajika	-52.127659	17.316723
mahabharata_07-dronaparvan	-110.512348	-1.517253
mahabharata_08-karnaparvan	-112.625725	-1.717970
mahabharata_09-salyaparvan	-111.601874	11.814963
mahabharata_10-sauptikaparvan	-85.347500	13.279757
mahabharata_11-striparvan	-87.506062	-3.703905
mahabharata_12-appendix-29_moksadharma	16.018228	-17.628471
mahabharata_12-santiparvan	-19.776996	-5.918923
mahabharata_13-anusasanaparvan	-25.577820	8.888906
mahabharata_13-appendix-15_umamahesvara	37.573804	-51.279009
mahabharata_14-appendix-04_vaisnavadharma	26.675586	-15.096224
mahabharata_14-asvamedhikaparvan	-54.218613	-8.698970
mahabharata_15-asramavasikaparvan	-95.876887	20.677434
mahabharata_16-mausalaparvan	-87.373223	8.554507
mahabharata_17-mahaprasthanikaparvan	-142.885737	-3.225354
mahabharata_18-svargarohanaparvan	-83.615152	-0.465891
markandeyapurana	-22.364982	15.327950
markandeyapurana_adhyaya-1-80_u	-16.273938	14.025420
markandeyapurana_adhyaya-81-93_devimahatmya_u	-20.148577	27.664760
markandeyapurana_adhyaya-94-141_u	-39.233029	11.251535
matsyapurana_pu	16.598326	15.944058
naradapurana_khanda-1_u	61.503532	-46.848814
naradapurana_khanda-2_u	1.854279	-76.902074
nilamatapurana_au	19.043107	-50.727251
nrsimhapurana_pu	-23.309183	-53.135862
padmapurana_a	0.448154	-66.282588
pranavakalpa	98.054154	-18.323884
ramayana_01-balakanda	-80.697963	-8.350499
ramayana_02-ayodhyakanda_a	-86.577300	-21.370810
ramayana_03-aranyakanda_a	-81.409076	-40.451961
ramayana_04-kiskindhakanda	-75.856793	-16.650224
ramayana_05-sundarakanda	-86.566320	-22.215058
ramayana_06-yuddhakanda	-85.338644	-35.584381
ramayana_07-uttarakanda	-72.710983	-23.361089
saurapurana	27.935106	-38.901177
sivadharmasastra	83.693666	-61.583116
sivadharmottara	66.370299	-53.287593
sivapurana_dharmasamhita	9.436827	-58.866597
sivapurana_karvanamahatmya_au	40.106962	-75.086902
sivapurana_rudrasamhita	17.042613	-79.785588
sivapurana_sanatkumarasamhita	46.339733	-57.948894
sivapurana_satarudrasamhita_au	26.754103	-55.852986
sivapurana_umasamhita	37.786244	-24.053691
sivapurana_vayaviyasamhita_au	60.845230	-43.155785
