text	x	y
agnipurana_u	0.001740	-0.003717
bhagavatapurana_skandha-01_u	-0.000243	-0.000457
bhagavatapurana_skandha-02_u	0.001343	-0.001794
bhagavatapurana_skandha-03_u	0.000615	-0.002560
bhagavatapurana_skandha-04_u	0.000132	-0.002352
bhagavatapurana_skandha-05_u	-0.000428	-0.001384
bhagavatapurana_skandha-06_u	0.000523	-0.000242
bhagavatapurana_skandha-07_u	0.001897	-0.000807
bhagavatapurana_skandha-08_u	0.000940	-0.000146
bhagavatapurana_skandha-09_u	-0.000759	-0.000147
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.000443	-0.003065
bhagavatapurana_skandha-10_u	0.000671	-0.000776
bhagavatapurana_skandha-11_u	0.001303	-0.001916
bhagavatapurana_skandha-12_u	0.000165	-0.000748
bhavisyapurana	0.000743	-0.001879
brahmandapurana	-0.000397	-0.001033
brahmandapurana_khanda-1_u	-0.001503	0.003417
brahmandapurana_khanda-2_u	-0.000640	0.000016
brahmandapurana_khanda-3_u	-0.000311	-0.002343
brahmapurana_pu	0.001489	-0.000403
devibhagavatapurana	0.001894	-0.001295
devibhagavatapurana_devigita_adhyaya-31-40	0.002620	-0.003155
devipurana	0.001163	-0.002645
garudapurana_khanda-1_u	0.001000	-0.003035
garudapurana_khanda-2_u	0.001335	-0.002252
garudapurana_khanda-3_u	0.001046	-0.002884
harivamsa	-0.001863	0.000035
harivamsa_appendix-29-30_mathura	-0.001715	-0.000883
harivamsa_appendix-31	-0.000389	-0.000665
harivamsa_appendix-41	-0.002057	-0.000654
harivamsa_appendix-42_pradurbhava	-0.002855	0.001058
kalikapurana	0.000773	-0.001334
karatoyamahatmya_pu	0.005565	-0.004643
kirfel_ppl_textgruppe_IIA_col1	-0.001276	0.000316
kirfel_ppl_textgruppe_IIB_col1	-0.003426	-0.000381
kirfel_ppl_textgruppe_III_col1	-0.004507	0.002150
kirfel_ppl_textgruppe_II_col1	-0.003773	0.000757
kirfel_ppl_textgruppe_I_col1	-0.005797	0.001619
kirfel_ppl_textgruppe_Ia_col1	-0.005783	0.001859
kirfel_ppl_ungrouped_col1	-0.004447	0.001188
kurmapurana_khanda-1_u	0.002534	-0.002177
kurmapurana_khanda-2_u	0.003564	-0.003473
lingapurana_khanda-1_u	0.000660	-0.000947
lingapurana_khanda-2_u	0.001573	-0.002685
mahabharata_01-adiparvan	-0.001777	0.002376
mahabharata_02-appendix-21_sisupala	-0.003644	-0.000718
mahabharata_02-sabhaparvan	-0.003569	0.002458
mahabharata_03-aranyakaparvan	-0.002148	0.001683
mahabharata_04-virataparvan	-0.003272	0.002082
mahabharata_05-udyogaparvan	-0.003296	0.001205
mahabharata_06-bhismaparvan	-0.004901	0.001745
mahabharata_07-appendix-08_sodasarajika	-0.001988	0.001221
mahabharata_07-dronaparvan	-0.004191	0.000970
mahabharata_08-karnaparvan	-0.004299	0.001150
mahabharata_09-salyaparvan	-0.005158	0.002119
mahabharata_10-sauptikaparvan	-0.003483	0.000935
mahabharata_11-striparvan	-0.002930	0.000529
mahabharata_12-appendix-29_moksadharma	-0.001328	-0.001904
