text	x	y
agnipurana_u	0.043954	-0.045004
bhagavatapurana_skandha-01_u	-0.015033	0.003009
bhagavatapurana_skandha-02_u	0.020735	-0.011354
bhagavatapurana_skandha-03_u	0.013186	-0.010549
bhagavatapurana_skandha-04_u	0.001362	-0.008868
bhagavatapurana_skandha-05_u	-0.000675	0.002183
bhagavatapurana_skandha-06_u	0.004408	0.007298
bhagavatapurana_skandha-07_u	0.014677	-0.009815
bhagavatapurana_skandha-08_u	-0.000477	0.001245
bhagavatapurana_skandha-09_u	-0.017464	0.013977
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.015639	-0.027104
bhagavatapurana_skandha-10_u	-0.015159	-0.012335
bhagavatapurana_skandha-11_u	0.019145	-0.014050
bhagavatapurana_skandha-12_u	0.013707	0.009929
bhavisyapurana	0.013373	-0.036747
brahmandapurana	-0.000020	-0.009166
brahmandapurana_khanda-1_u	0.042995	0.089637
brahmandapurana_khanda-2_u	-0.023261	-0.013948
brahmandapurana_khanda-3_u	0.012728	-0.015999
brahmapurana_pu	0.009413	-0.025185
devibhagavatapurana	0.007375	-0.046679
devibhagavatapurana_devigita_adhyaya-31-40	0.055884	-0.029198
devipurana	0.030778	-0.032787
garudapurana_khanda-1_u	0.028935	-0.030005
garudapurana_khanda-2_u	0.028592	-0.034452
garudapurana_khanda-3_u	0.043139	-0.022162
harivamsa	-0.039065	0.001192
harivamsa_appendix-29-30_mathura	-0.030780	-0.004579
harivamsa_appendix-31	-0.027321	-0.027532
harivamsa_appendix-41	0.005894	0.030281
harivamsa_appendix-42_pradurbhava	-0.041564	0.022850
kalikapurana	0.021763	-0.015400
karatoyamahatmya_pu	0.071634	-0.083157
kirfel_ppl_textgruppe_IIA_col1	0.057240	0.085393
kirfel_ppl_textgruppe_IIB_col1	0.048456	0.095195
kirfel_ppl_textgruppe_III_col1	0.029197	0.123766
kirfel_ppl_textgruppe_II_col1	-0.016145	0.056864
kirfel_ppl_textgruppe_I_col1	-0.026124	0.086963
