text	x	y
agnipurana_u	0.070165	-0.089485
bhagavatapurana_skandha-01_u	-0.036390	-0.014709
bhagavatapurana_skandha-02_u	0.020812	-0.024882
bhagavatapurana_skandha-03_u	0.007589	-0.033490
bhagavatapurana_skandha-04_u	-0.010749	-0.033530
bhagavatapurana_skandha-05_u	-0.008649	-0.002531
bhagavatapurana_skandha-06_u	-0.005157	-0.009334
bhagavatapurana_skandha-07_u	0.013237	-0.032390
bhagavatapurana_skandha-08_u	-0.011238	-0.016967
bhagavatapurana_skandha-09_u	-0.039176	0.001531
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.016854	-0.045110
bhagavatapurana_skandha-10_u	-0.039692	-0.045654
bhagavatapurana_skandha-11_u	0.018475	-0.034755
bhagavatapurana_skandha-12_u	0.009987	-0.003665
bhavisyapurana	0.024152	-0.069820
brahmandapurana	-0.005798	-0.032723
brahmandapurana_khanda-1_u	0.062490	0.132482
brahmandapurana_khanda-2_u	-0.040441	-0.031581
brahmandapurana_khanda-3_u	0.016204	-0.038457
brahmapurana_pu	0.016652	-0.047262
devibhagavatapurana	0.016304	-0.076173
devibhagavatapurana_devigita_adhyaya-31-40	0.086935	-0.039076
devipurana	0.048610	-0.063312
garudapurana_khanda-1_u	0.044560	-0.068157
garudapurana_khanda-2_u	0.046810	-0.059984
garudapurana_khanda-3_u	0.068076	-0.028341
harivamsa	-0.070447	-0.010683
harivamsa_appendix-29-30_mathura	-0.050347	-0.012967
harivamsa_appendix-31	-0.038654	-0.034087
harivamsa_appendix-41	0.010971	0.056148
harivamsa_appendix-42_pradurbhava	-0.060384	0.037185
kalikapurana	0.033788	-0.038777
karatoyamahatmya_pu	0.107549	-0.072888
kirfel_ppl_textgruppe_IIA_col1	0.080203	0.128173
kirfel_ppl_textgruppe_IIB_col1	0.067141	0.141460
kirfel_ppl_textgruppe_III_col1	0.041176	0.169025
kirfel_ppl_textgruppe_II_col1	-0.026802	0.074810
kirfel_ppl_textgruppe_I_col1	-0.040605	0.122068
kirfel_ppl_textgruppe_Ia_col1	0.034975	0.179809
kirfel_ppl_ungrouped_col1	-0.038578	0.100346
kurmapurana_khanda-1_u	0.042075	-0.033779
kurmapurana_khanda-2_u	0.084532	-0.065006
lingapurana_khanda-1_u	0.049694	-0.000179
lingapurana_khanda-2_u	0.067270	-0.056218
mahabharata_01-adiparvan	-0.086051	0.016879
mahabharata_02-appendix-21_sisupala	-0.066295	0.018571
mahabharata_02-sabhaparvan	-0.119110	0.023265
mahabharata_03-aranyakaparvan	-0.097072	0.002324
mahabharata_04-virataparvan	-0.127698	0.012998
mahabharata_05-udyogaparvan	-0.104160	0.011759
mahabharata_06-bhismaparvan	-0.135466	0.020778
mahabharata_07-appendix-08_sodasarajika	-0.057157	0.040712
mahabharata_07-dronaparvan	-0.137895	-0.000855
mahabharata_08-karnaparvan	-0.135484	0.003242
mahabharata_09-salyaparvan	-0.136018	0.023639
mahabharata_10-sauptikaparvan	-0.099810	0.021043
mahabharata_11-striparvan	-0.108143	-0.001795
mahabharata_12-appendix-29_moksadharma	0.020661	0.013407
mahabharata_12-santiparvan	-0.026411	0.002868
mahabharata_13-anusasanaparvan	-0.031723	0.020396
mahabharata_13-appendix-15_umamahesvara	0.042307	-0.029813
mahabharata_14-appendix-04_vaisnavadharma	0.029925	-0.009730
mahabharata_14-asvamedhikaparvan	-0.059650	0.013297
mahabharata_15-asramavasikaparvan	-0.113694	0.043688
mahabharata_16-mausalaparvan	-0.097345	0.017214
mahabharata_17-mahaprasthanikaparvan	-0.107989	0.066217
mahabharata_18-svargarohanaparvan	-0.091552	0.036090
markandeyapurana	-0.027225	0.008759
markandeyapurana_adhyaya-1-80_u	-0.018391	0.006260
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.022909	0.016936
markandeyapurana_adhyaya-94-141_u	-0.042568	0.020669
matsyapurana_pu	0.010658	-0.000421
naradapurana_khanda-1_u	0.064394	-0.085576
naradapurana_khanda-2_u	0.014374	-0.091686
nilamatapurana_au	0.030447	-0.029089
nrsimhapurana_pu	-0.019416	-0.062951
padmapurana_a	0.008252	-0.071068
pranavakalpa	0.100294	-0.038833
ramayana_01-balakanda	-0.090970	-0.004682
ramayana_02-ayodhyakanda_a	-0.097072	-0.030702
ramayana_03-aranyakanda_a	-0.091414	-0.059312
ramayana_04-kiskindhakanda	-0.090937	-0.022667
ramayana_05-sundarakanda	-0.097188	-0.045219
ramayana_06-yuddhakanda	-0.105527	-0.047641
ramayana_07-uttarakanda	-0.076409	-0.022876
saurapurana	0.037157	-0.048059
sivadharmasastra	0.084582	-0.071224
sivadharmottara	0.061653	-0.058052
sivapurana_dharmasamhita	0.016719	-0.059251
sivapurana_karvanamahatmya_au	0.047297	-0.028431
sivapurana_rudrasamhita	0.031950	-0.055471
sivapurana_sanatkumarasamhita	0.059874	-0.026639
sivapurana_satarudrasamhita_au	0.041086	-0.010920
sivapurana_umasamhita	0.037780	-0.033169
sivapurana_vayaviyasamhita_au	0.065750	-0.044467
