text	x	y
agnipurana_u	0.487788	0.059723
bhagavatapurana_skandha-01_u	-0.127356	-0.541708
bhagavatapurana_skandha-02_u	0.064110	-0.526941
bhagavatapurana_skandha-03_u	0.080876	-0.552183
bhagavatapurana_skandha-04_u	0.008889	-0.580782
bhagavatapurana_skandha-05_u	0.008047	-0.576865
bhagavatapurana_skandha-06_u	0.028959	-0.559748
bhagavatapurana_skandha-07_u	0.114545	-0.501914
bhagavatapurana_skandha-08_u	0.018433	-0.497776
bhagavatapurana_skandha-09_u	-0.156816	-0.404538
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.114666	-0.278058
bhagavatapurana_skandha-10_u	-0.100494	-0.476538
bhagavatapurana_skandha-11_u	0.128622	-0.537747
bhagavatapurana_skandha-12_u	0.077418	-0.525095
bhavisyapurana	0.267102	0.498048
brahmandapurana	0.133461	0.011507
brahmandapurana_khanda-1_u	0.093123	-0.119535
brahmandapurana_khanda-2_u	-0.201177	0.081752
brahmandapurana_khanda-3_u	0.230316	-0.040468
brahmapurana_pu	0.132810	0.471832
devibhagavatapurana	0.115696	0.535987
devibhagavatapurana_devigita_adhyaya-31-40	0.438378	-0.000313
devipurana	0.367483	0.214425
garudapurana_khanda-1_u	0.431312	0.096168
garudapurana_khanda-2_u	0.316042	0.200451
garudapurana_khanda-3_u	0.302768	0.200305
harivamsa	-0.424589	0.047548
harivamsa_appendix-29-30_mathura	-0.314226	0.165873
harivamsa_appendix-31	-0.126985	0.165736
harivamsa_appendix-41	0.023874	-0.198233
harivamsa_appendix-42_pradurbhava	-0.218953	-0.079412
kalikapurana	0.285499	0.224068
karatoyamahatmya_pu	0.291226	0.055093
kirfel_ppl_textgruppe_IIA_col1	0.218271	-0.220151
kirfel_ppl_textgruppe_IIB_col1	0.118760	-0.269692
kirfel_ppl_textgruppe_III_col1	0.013448	-0.304132
kirfel_ppl_textgruppe_II_col1	-0.190960	-0.100806
kirfel_ppl_textgruppe_I_col1	-0.331251	-0.198121
kirfel_ppl_textgruppe_Ia_col1	-0.069271	-0.184348
kirfel_ppl_ungrouped_col1	-0.273070	-0.113122
kurmapurana_khanda-1_u	0.217926	0.011062
kurmapurana_khanda-2_u	0.415137	0.127015
lingapurana_khanda-1_u	0.361959	0.259510
lingapurana_khanda-2_u	0.432730	0.273002
mahabharata_01-adiparvan	-0.636383	0.085338
mahabharata_02-appendix-21_sisupala	-0.283891	0.070120
mahabharata_02-sabhaparvan	-0.597941	0.005767
mahabharata_03-aranyakaparvan	-0.734673	0.081332
mahabharata_04-virataparvan	-0.578557	0.042075
mahabharata_05-udyogaparvan	-0.588674	0.011723
mahabharata_06-bhismaparvan	-0.492843	-0.007842
mahabharata_07-appendix-08_sodasarajika	-0.216027	-0.072335
mahabharata_07-dronaparvan	-0.477419	-0.020908
mahabharata_08-karnaparvan	-0.422804	0.009484
mahabharata_09-salyaparvan	-0.591615	0.074163
mahabharata_10-sauptikaparvan	-0.482203	-0.004825
mahabharata_11-striparvan	-0.407980	-0.071907
mahabharata_12-appendix-29_moksadharma	0.022468	-0.027959
mahabharata_12-santiparvan	-0.221879	-0.057760
mahabharata_13-anusasanaparvan	-0.243566	0.085843
mahabharata_13-appendix-15_umamahesvara	0.138235	0.124691
mahabharata_14-appendix-04_vaisnavadharma	0.181860	0.058159
mahabharata_14-asvamedhikaparvan	-0.406549	0.090018
mahabharata_15-asramavasikaparvan	-0.503742	-0.005196
mahabharata_16-mausalaparvan	-0.337247	0.037993
