text	x	y
agnipurana_u	0.349739	-0.197629
bhagavatapurana_skandha-01_u	-0.220060	-0.022472
bhagavatapurana_skandha-02_u	-0.054946	-0.183847
bhagavatapurana_skandha-03_u	-0.022457	-0.123391
bhagavatapurana_skandha-04_u	-0.091336	-0.093405
bhagavatapurana_skandha-05_u	-0.104467	0.056777
bhagavatapurana_skandha-06_u	-0.069169	-0.007878
bhagavatapurana_skandha-07_u	-0.009062	-0.147398
bhagavatapurana_skandha-08_u	-0.122280	-0.060896
bhagavatapurana_skandha-09_u	-0.197613	0.054802
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.000763	-0.030807
bhagavatapurana_skandha-10_u	-0.186142	-0.104385
bhagavatapurana_skandha-11_u	0.043609	-0.101600
bhagavatapurana_skandha-12_u	0.017440	0.019986
bhavisyapurana	0.146443	-0.267651
brahmandapurana	0.106707	0.269194
brahmandapurana_khanda-1_u	0.220446	0.554659
brahmandapurana_khanda-2_u	-0.032220	0.185476
brahmandapurana_khanda-3_u	0.172133	0.146677
brahmapurana_pu	0.024927	-0.099329
devibhagavatapurana	0.026089	-0.359902
devibhagavatapurana_devigita_adhyaya-31-40	0.342808	-0.221332
devipurana	0.271491	-0.187823
garudapurana_khanda-1_u	0.295451	-0.176316
garudapurana_khanda-2_u	0.271407	-0.206500
garudapurana_khanda-3_u	0.282147	-0.144112
harivamsa	-0.253242	0.080952
harivamsa_appendix-29-30_mathura	-0.223576	-0.055820
harivamsa_appendix-31	-0.240742	-0.240437
harivamsa_appendix-41	0.106555	0.251249
harivamsa_appendix-42_pradurbhava	-0.141782	0.231401
kalikapurana	0.073649	-0.157409
karatoyamahatmya_pu	0.412060	-0.569903
kirfel_ppl_textgruppe_IIA_col1	0.258526	0.556285
kirfel_ppl_textgruppe_IIB_col1	0.217108	0.679667
kirfel_ppl_textgruppe_III_col1	0.113328	0.696228
kirfel_ppl_textgruppe_II_col1	-0.132852	0.304217
kirfel_ppl_textgruppe_I_col1	-0.187463	0.474215
kirfel_ppl_textgruppe_Ia_col1	0.112877	0.798650
kirfel_ppl_ungrouped_col1	-0.182993	0.354985
kurmapurana_khanda-1_u	0.108977	-0.061658
kurmapurana_khanda-2_u	0.322231	-0.362509
lingapurana_khanda-1_u	0.177813	0.024748
lingapurana_khanda-2_u	0.269955	-0.304164
mahabharata_01-adiparvan	-0.351355	0.012109
mahabharata_02-appendix-21_sisupala	-0.256779	0.118711
mahabharata_02-sabhaparvan	-0.438095	0.071143
mahabharata_03-aranyakaparvan	-0.368849	-0.022572
mahabharata_04-virataparvan	-0.450818	0.037900
mahabharata_05-udyogaparvan	-0.345917	0.017464
mahabharata_06-bhismaparvan	-0.405299	0.137665
mahabharata_07-appendix-08_sodasarajika	-0.235037	0.097819
mahabharata_07-dronaparvan	-0.425006	0.021040
mahabharata_08-karnaparvan	-0.422511	0.045396
mahabharata_09-salyaparvan	-0.464327	0.106786
mahabharata_10-sauptikaparvan	-0.360625	0.055977
mahabharata_11-striparvan	-0.337193	-0.034537
mahabharata_12-appendix-29_moksadharma	0.102836	-0.135527
mahabharata_12-santiparvan	-0.045862	-0.042760
mahabharata_13-anusasanaparvan	-0.072528	0.055229
mahabharata_13-appendix-15_umamahesvara	0.272617	-0.107959
mahabharata_14-appendix-04_vaisnavadharma	0.184973	-0.092795
mahabharata_14-asvamedhikaparvan	-0.231704	-0.029913
mahabharata_15-asramavasikaparvan	-0.446431	0.041299
mahabharata_16-mausalaparvan	-0.392231	-0.015228
mahabharata_17-mahaprasthanikaparvan	-0.590998	-0.117277
mahabharata_18-svargarohanaparvan	-0.288898	-0.018645
markandeyapurana	-0.081871	0.056875
