unit	kind	est	lo	hi	tokens
vayupurana_01_frame-and-cosmogony_iast	resid	86.5	73.0	92.1	6133
vayupurana_01_frame-and-cosmogony_iast	ppl	96.0	94.4	97.6	36832
vayupurana_01_frame-and-cosmogony_iast	vayubd	86.5	78.6	89.3	13539
vayupurana_01_frame-and-cosmogony_iast	other	93.7	78.6	97.6	3088
vayupurana_02_pashupata-yoga_iast	resid	93.7	86.1	96.0	7609
vayupurana_02_pashupata-yoga_iast	ppl	25.4	0.0	57.1	336
vayupurana_02_pashupata-yoga_iast	vayubd	100.0	98.4	100.0	1097
vayupurana_02_pashupata-yoga_iast	other	96.8	93.7	97.6	11115
vayupurana_03_kalpas-and-shiva-lineages_iast	resid	61.9	57.9	75.8	20429
vayupurana_03_kalpas-and-shiva-lineages_iast	ppl	81.0	69.8	88.1	11060
vayupurana_03_kalpas-and-shiva-lineages_iast	vayubd	85.7	77.8	91.3	15908
vayupurana_03_kalpas-and-shiva-lineages_iast	other	61.9	57.1	73.0	32957
vayupurana_04_bhuvana-vinyasa_iast	resid	79.4	74.6	86.1	31244
vayupurana_04_bhuvana-vinyasa_iast	ppl	84.1	45.2	86.5	1145
vayupurana_04_bhuvana-vinyasa_iast	vayubd	84.9	80.2	89.7	28288
vayupurana_04_bhuvana-vinyasa_iast	other	73.0	59.5	83.0	7102
vayupurana_05_jyotis-and-purvardha-close_iast	resid	79.4	56.3	85.7	3967
vayupurana_05_jyotis-and-purvardha-close_iast	ppl	91.3	77.8	92.9	3339
vayupurana_05_jyotis-and-purvardha-close_iast	vayubd	88.9	85.7	89.7	77119
vayupurana_05_jyotis-and-purvardha-close_iast	other	93.7	78.6	96.8	2039
vayupurana_06_prthu-and-prajapati-lineages_iast	resid	65.1	52.0	78.6	8576
vayupurana_06_prthu-and-prajapati-lineages_iast	ppl	68.3	57.9	76.2	33515
vayupurana_06_prthu-and-prajapati-lineages_iast	vayubd	76.2	71.4	81.4	39910
vayupurana_06_prthu-and-prajapati-lineages_iast	other	38.1	9.5	64.7	970
vayupurana_07_shraddha-kalpa_iast	resid	81.7	67.0	89.7	5578
vayupurana_07_shraddha-kalpa_iast	ppl	53.2	28.6	80.2	3182
vayupurana_07_shraddha-kalpa_iast	vayubd	93.7	92.9	95.2	51041
vayupurana_07_shraddha-kalpa_iast	other	82.5	46.8	92.9	1330
vayupurana_08_manu-candra-vishnu-vamsha_iast	resid	38.1	22.6	49.2	6578
vayupurana_08_manu-candra-vishnu-vamsha_iast	ppl	38.9	33.3	42.1	90147
vayupurana_08_manu-candra-vishnu-vamsha_iast	vayubd	65.1	59.5	77.0	27290
vayupurana_08_manu-candra-vishnu-vamsha_iast	other	59.5	37.6	76.2	3519
vayupurana_09_upasamhara_iast	resid	70.6	54.8	78.6	9644
vayupurana_09_upasamhara_iast	ppl	86.5	77.0	91.3	9043
vayupurana_09_upasamhara_iast	vayubd	96.8	95.2	97.6	34844
vayupurana_09_upasamhara_iast	other	61.9	22.5	86.5	1554
vayupurana_10_gaya-mahatmya_iast	resid	73.0	65.9	79.4	29146
vayupurana_10_gaya-mahatmya_iast	ppl	24.6	23.0	26.2	83
vayupurana_10_gaya-mahatmya_iast	vayubd	100.0	92.9	100.0	1169
vayupurana_10_gaya-mahatmya_iast	other	77.0	66.7	87.3	9388
vayupurana_revakhanda	resid	60.3	60.3	65.1	300937
vayupurana_revakhanda	ppl	91.3	76.2	94.4	3725
vayupurana_revakhanda	vayubd	81.7	68.3	89.7	6997
vayupurana_revakhanda	other	73.0	69.0	74.6	167331
brahmandapurana_khanda-1_u	resid	91.3	86.5	92.9	28505
brahmandapurana_khanda-1_u	ppl	85.7	81.7	88.9	62605
brahmandapurana_khanda-1_u	vayubd	81.7	78.6	84.1	129566
brahmandapurana_khanda-1_u	other	80.2	71.4	86.5	17764
brahmandapurana_khanda-2_u	resid	53.2	50.0	55.6	146464
brahmandapurana_khanda-2_u	ppl	41.3	40.5	46.8	97458
brahmandapurana_khanda-2_u	vayubd	79.4	76.2	81.7	101441
brahmandapurana_khanda-2_u	other	53.2	46.8	61.9	17786
brahmandapurana_khanda-3_u	resid	81.7	77.8	82.5	210743
brahmandapurana_khanda-3_u	ppl	81.7	72.2	91.3	8831
brahmandapurana_khanda-3_u	vayubd	96.0	94.4	97.6	33476
brahmandapurana_khanda-3_u	other	81.7	73.0	87.3	14135
visnupurana_amsa-1_u	resid	56.3	50.0	63.5	36898
visnupurana_amsa-1_u	ppl	77.8	71.4	85.7	24099
visnupurana_amsa-1_u	vayubd	50.0	21.4	77.4	1916
visnupurana_amsa-1_u	other	68.3	56.3	77.8	14350
visnupurana_amsa-2_u	resid	66.7	49.2	76.6	9569
visnupurana_amsa-2_u	ppl	41.3	24.6	60.7	382
visnupurana_amsa-2_u	vayubd	83.3	65.1	92.9	7047
visnupurana_amsa-2_u	other	81.0	75.4	87.3	25736
visnupurana_amsa-3_u	resid	66.7	61.5	77.8	27977
visnupurana_amsa-3_u	ppl	61.9	51.6	81.0	5234
visnupurana_amsa-3_u	vayubd	96.8	88.1	98.4	2717
visnupurana_amsa-3_u	other	87.3	78.6	92.9	10859
visnupurana_amsa-4_u	resid	52.4	48.4	58.7	55056
visnupurana_amsa-4_u	ppl	63.5	28.6	86.1	1390
visnupurana_amsa-4_u	vayubd	68.3	27.0	88.9	812
visnupurana_amsa-4_u	other	57.1	39.7	88.9	2197
visnupurana_amsa-5_u	resid	39.7	28.6	49.2	16025
visnupurana_amsa-5_u	ppl	81.0	32.1	95.2	362
visnupurana_amsa-5_u	vayubd	59.5	19.4	88.9	711
visnupurana_amsa-5_u	other	34.9	31.7	40.5	68141
visnupurana_amsa-6_u	resid	55.6	38.9	71.1	5687
visnupurana_amsa-6_u	ppl	59.5	7.1	87.7	285
visnupurana_amsa-6_u	vayubd	90.5	60.7	93.7	1770
visnupurana_amsa-6_u	other	86.5	80.2	91.7	19800
kirfel_ppl_textgruppe_I_col1	constituted	23.8	22.2	25.8	139895
kirfel_ppl_textgruppe_Ia_col1	constituted	36.5	31.0	44.1	34489
kirfel_ppl_textgruppe_II_col1	constituted	27.8	24.6	31.0	49597
kirfel_ppl_textgruppe_IIA_col1	constituted	59.5	51.6	65.1	29955
kirfel_ppl_textgruppe_IIB_col1	constituted	64.3	60.3	69.8	84207
kirfel_ppl_textgruppe_III_col1	constituted	45.2	34.9	51.6	17489
kirfel_ppl_ungrouped_col1	constituted	23.0	22.2	25.4	77247
