unit	kind	est	lo	hi	tokens
vayupurana_01_frame-and-cosmogony_iast	resid	81.7	61.1	85.7	996
vayupurana_01_frame-and-cosmogony_iast	ppl	73.8	62.7	83.0	6112
vayupurana_01_frame-and-cosmogony_iast	vayubd	65.9	57.9	78.6	2104
vayupurana_01_frame-and-cosmogony_iast	other	79.4	54.8	84.9	484
vayupurana_02_pashupata-yoga_iast	resid	86.5	73.0	89.3	1220
vayupurana_02_pashupata-yoga_iast	ppl	57.9	57.1	58.7	51
vayupurana_02_pashupata-yoga_iast	vayubd	65.9	61.1	70.6	151
vayupurana_02_pashupata-yoga_iast	other	89.7	85.7	96.0	1860
vayupurana_03_kalpas-and-shiva-lineages_iast	resid	48.4	39.3	57.9	3357
vayupurana_03_kalpas-and-shiva-lineages_iast	ppl	54.8	46.0	61.9	1834
vayupurana_03_kalpas-and-shiva-lineages_iast	vayubd	62.7	53.6	74.3	2566
vayupurana_03_kalpas-and-shiva-lineages_iast	other	42.9	34.1	50.8	5390
vayupurana_04_bhuvana-vinyasa_iast	resid	62.7	59.5	72.2	5080
vayupurana_04_bhuvana-vinyasa_iast	ppl	54.8	46.8	61.9	189
vayupurana_04_bhuvana-vinyasa_iast	vayubd	78.6	65.9	84.9	4517
vayupurana_04_bhuvana-vinyasa_iast	other	69.0	58.7	81.0	1123
vayupurana_05_jyotis-and-purvardha-close_iast	resid	63.5	50.4	80.2	648
vayupurana_05_jyotis-and-purvardha-close_iast	ppl	61.9	46.8	63.5	532
vayupurana_05_jyotis-and-purvardha-close_iast	vayubd	72.2	65.5	81.7	12488
vayupurana_05_jyotis-and-purvardha-close_iast	other	54.8	36.9	64.3	338
vayupurana_06_prthu-and-prajapati-lineages_iast	resid	42.1	34.1	54.0	1421
vayupurana_06_prthu-and-prajapati-lineages_iast	ppl	34.1	29.4	42.1	5524
vayupurana_06_prthu-and-prajapati-lineages_iast	vayubd	57.1	49.2	61.9	6570
vayupurana_06_prthu-and-prajapati-lineages_iast	other	46.0	35.7	57.9	161
vayupurana_07_shraddha-kalpa_iast	resid	81.0	58.7	86.5	907
vayupurana_07_shraddha-kalpa_iast	ppl	30.2	26.2	42.1	528
vayupurana_07_shraddha-kalpa_iast	vayubd	85.7	81.0	87.3	8229
vayupurana_07_shraddha-kalpa_iast	other	48.4	38.9	61.5	208
vayupurana_08_manu-candra-vishnu-vamsha_iast	resid	27.8	22.2	35.7	1064
vayupurana_08_manu-candra-vishnu-vamsha_iast	ppl	21.4	20.6	22.2	14593
vayupurana_08_manu-candra-vishnu-vamsha_iast	vayubd	35.7	30.2	46.0	4315
vayupurana_08_manu-candra-vishnu-vamsha_iast	other	27.8	26.2	38.9	544
vayupurana_09_upasamhara_iast	resid	72.2	59.5	84.9	1575
vayupurana_09_upasamhara_iast	ppl	65.9	54.8	81.7	1470
vayupurana_09_upasamhara_iast	vayubd	81.0	65.9	85.7	5718
vayupurana_09_upasamhara_iast	other	54.8	46.0	62.7	249
vayupurana_10_gaya-mahatmya_iast	resid	78.6	65.9	85.7	4794
