unit	kind	x	y	pct	words
agnipurana_u	base	0.283299	-0.229884	83.3	
bhagavatapurana_skandha-01_u	base	-0.179691	-0.194499	27.0	
bhagavatapurana_skandha-02_u	base	0.012010	-0.253036	46.8	
bhagavatapurana_skandha-03_u	base	-0.148618	-0.171488	28.6	
bhagavatapurana_skandha-04_u	base	-0.144508	-0.172694	29.4	
bhagavatapurana_skandha-05_u	base	-0.039848	-0.160953	40.5	
bhagavatapurana_skandha-06_u	base	-0.025305	-0.121248	43.7	
bhagavatapurana_skandha-07_u	base	0.013916	-0.216155	47.6	
bhagavatapurana_skandha-08_u	base	-0.030796	-0.197352	41.3	
bhagavatapurana_skandha-09_u	base	-0.100689	-0.058517	32.5	
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	base	-0.110978	-0.263676	31.7	
bhagavatapurana_skandha-10_u	base	-0.256633	-0.221603	23.0	
bhagavatapurana_skandha-11_u	base	-0.072273	-0.176507	36.5	
bhagavatapurana_skandha-12_u	base	-0.046402	-0.014423	39.7	
bhavisyapurana	base	0.198190	-0.202788	68.3	
brahmandapurana	base	0.198393	0.211804	69.0	
brahmandapurana_khanda-1_u	base	0.290211	0.503414	84.9	
brahmandapurana_khanda-2_u	base	0.074379	0.158325	55.6	
brahmandapurana_khanda-3_u	base	0.284911	0.027521	84.1	
brahmapurana_pu	base	-0.093463	-0.032296	34.1	
devibhagavatapurana	base	0.091185	-0.224817	56.3	
devibhagavatapurana_devigita_adhyaya-31-40	base	0.373874	-0.139649	93.7	
devipurana	base	0.271340	-0.158338	82.5	
garudapurana_khanda-1_u	base	0.312515	-0.209617	86.5	
garudapurana_khanda-2_u	base	0.250919	-0.172041	80.2	
garudapurana_khanda-3_u	base	0.232651	-0.079181	77.0	
harivamsa	base	-0.286266	0.080400	19.0	
harivamsa_appendix-29-30_mathura	base	-0.278436	-0.039261	21.4	
harivamsa_appendix-31	base	-0.282629	-0.151765	20.6	
harivamsa_appendix-41	base	-0.091707	0.241894	34.9	
harivamsa_appendix-42_pradurbhava	base	-0.203123	0.140303	25.4	
kalikapurana	base	0.172682	-0.151345	66.7	
