unit	kind	x	y	pct	words
agnipurana_u	base	0.340375	-0.058861	92.1	
bhagavatapurana_skandha-01_u	base	-0.012540	-0.219311	42.1	
bhagavatapurana_skandha-02_u	base	0.196458	-0.098081	80.2	
bhagavatapurana_skandha-03_u	base	0.093327	-0.105562	58.7	
bhagavatapurana_skandha-04_u	base	0.010468	-0.179518	46.0	
bhagavatapurana_skandha-05_u	base	0.139619	-0.039950	65.1	
bhagavatapurana_skandha-06_u	base	0.004463	-0.156415	44.4	
bhagavatapurana_skandha-07_u	base	0.058632	-0.197797	54.0	
bhagavatapurana_skandha-08_u	base	-0.016955	-0.127565	41.3	
bhagavatapurana_skandha-09_u	base	-0.107836	-0.101013	28.6	
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	base	0.081813	-0.175038	57.1	
bhagavatapurana_skandha-10_u	base	-0.078776	-0.226324	31.7	
bhagavatapurana_skandha-11_u	base	0.180122	-0.228936	74.6	
bhagavatapurana_skandha-12_u	base	0.168678	-0.030783	69.8	
bhavisyapurana	base	0.165020	-0.138195	69.0	
brahmandapurana	base	0.050616	0.208351	52.4	
brahmandapurana_khanda-1_u	base	0.127746	0.460473	64.3	
brahmandapurana_khanda-2_u	base	-0.072402	0.133413	34.1	
brahmandapurana_khanda-3_u	base	0.120359	0.078277	63.5	
brahmapurana_pu	base	0.008208	-0.113588	45.2	
devibhagavatapurana	base	-0.018369	-0.279751	40.5	
devibhagavatapurana_devigita_adhyaya-31-40	base	0.332084	-0.104720	90.5	
devipurana	base	0.262334	-0.085899	85.7	
garudapurana_khanda-1_u	base	0.325002	-0.053982	88.9	
garudapurana_khanda-2_u	base	0.267020	-0.174185	86.5	
garudapurana_khanda-3_u	base	0.335011	-0.074154	91.3	
harivamsa	base	-0.285483	0.076326	19.0	
harivamsa_appendix-29-30_mathura	base	-0.209594	-0.069448	21.4	
harivamsa_appendix-31	base	-0.256244	-0.132681	20.6	
harivamsa_appendix-41	base	0.001479	0.234381	43.7	
