unit	kind	est	lo	hi	tokens
skandapurana	self	31.0	29.4	32.5	553199
skandapurana_adhyaya-1-31_pu	self	35.7	33.3	41.3	88383
skandapurana_pasupata_adhyaya174-183_u	self	99.2	95.2	99.2	26336
markandeyapurana	self	42.9	41.3	44.4	345406
markandeyapurana_adhyaya-1-80_u	self	46.0	43.7	52.8	222623
markandeyapurana_adhyaya-81-93_devimahatmya_u	self	38.9	33.3	46.8	34042
markandeyapurana_adhyaya-94-141_u	self	27.8	24.6	30.2	88741
kirfel_ppl_textgruppe_I_col1	self	27.8	25.4	31.0	124004
kirfel_ppl_ungrouped_col1	self	25.4	23.0	29.4	68412
kirfel_ppl_textgruppe_II_col1	self	28.6	25.4	34.9	44187
