unit	kind	est	lo	hi	tokens
skandapurana	self	26.2	23.8	27.8	100395
skandapurana_adhyaya-1-31_pu	self	31.7	28.6	34.9	16306
skandapurana_pasupata_adhyaya174-183_u	self	95.2	88.9	97.6	4731
markandeyapurana	self	34.9	31.7	37.3	62904
markandeyapurana_adhyaya-1-80_u	self	42.9	40.5	46.8	40729
markandeyapurana_adhyaya-81-93_devimahatmya_u	self	27.8	27.8	31.7	6222
markandeyapurana_adhyaya-94-141_u	self	24.6	21.4	27.8	15953
kirfel_ppl_textgruppe_I_col1	self	23.8	21.4	27.8	22022
kirfel_ppl_ungrouped_col1	self	24.6	21.4	27.8	12262
kirfel_ppl_textgruppe_II_col1	self	38.1	31.7	43.7	7899
