unit	kind	x	y	pct	words
agnipurana_u	base	0.277784	-0.196801	88.9	
bhagavatapurana_skandha-01_u	base	-0.158068	-0.067126	26.2	
bhagavatapurana_skandha-02_u	base	0.044508	-0.158239	50.0	
bhagavatapurana_skandha-03_u	base	0.009649	-0.121241	45.2	
bhagavatapurana_skandha-04_u	base	-0.053495	-0.096813	36.5	
bhagavatapurana_skandha-05_u	base	0.002530	0.003414	42.9	
bhagavatapurana_skandha-06_u	base	-0.036371	-0.056657	39.7	
bhagavatapurana_skandha-07_u	base	0.008212	-0.127156	44.4	
bhagavatapurana_skandha-08_u	base	-0.080445	-0.066312	33.3	
bhagavatapurana_skandha-09_u	base	-0.154498	0.035728	27.0	
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	base	0.075341	-0.221309	57.9	
bhagavatapurana_skandha-10_u	base	-0.167106	-0.143561	23.8	
bhagavatapurana_skandha-11_u	base	0.078461	-0.145483	58.7	
bhagavatapurana_skandha-12_u	base	0.048868	0.037826	50.8	
bhavisyapurana	base	0.118255	-0.242426	64.3	
brahmandapurana	base	0.094005	0.233873	61.9	
brahmandapurana_khanda-1_u	base	0.232719	0.512346	82.5	
brahmandapurana_khanda-2_u	base	-0.037880	0.179842	38.9	
brahmandapurana_khanda-3_u	base	0.152320	0.048169	68.3	
brahmapurana_pu	base	0.007482	-0.084737	43.7	
devibhagavatapurana	base	0.017610	-0.306778	46.0	
devibhagavatapurana_devigita_adhyaya-31-40	base	0.314579	-0.171402	91.3	
devipurana	base	0.214437	-0.188441	81.7	
garudapurana_khanda-1_u	base	0.206747	-0.171589	80.2	
garudapurana_khanda-2_u	base	0.202495	-0.211395	78.6	
garudapurana_khanda-3_u	base	0.256910	-0.167672	85.7	
harivamsa	base	-0.232192	0.093026	18.3	
harivamsa_appendix-29-30_mathura	base	-0.227581	-0.056950	19.0	
harivamsa_appendix-31	base	-0.198790	-0.203198	22.2	
harivamsa_appendix-41	base	0.052197	0.256023	51.6	
harivamsa_appendix-42_pradurbhava	base	-0.204919	0.245713	21.4	
kalikapurana	base	0.104473	-0.141619	63.5	
karatoyamahatmya_pu	base	0.374074	-0.476611	96.0	
kirfel_ppl_textgruppe_IIA_col1	base	0.369359	0.473903	95.2	
kirfel_ppl_textgruppe_IIB_col1	base	0.338211	0.582907	92.9	
kirfel_ppl_textgruppe_III_col1	base	0.174934	0.646664	76.2	
kirfel_ppl_textgruppe_II_col1	base	-0.105188	0.301964	31.7	
kirfel_ppl_textgruppe_I_col1	base	-0.126904	0.457608	28.6	
kirfel_ppl_textgruppe_Ia_col1	base	0.126367	0.741098	65.9	
kirfel_ppl_ungrouped_col1	base	-0.158574	0.368695	25.4	
kurmapurana_khanda-1_u	base	0.119267	-0.015150	65.1	
kurmapurana_khanda-2_u	base	0.298075	-0.308856	89.7	
lingapurana_khanda-1_u	base	0.164727	0.056348	73.8	
lingapurana_khanda-2_u	base	0.264223	-0.210136	87.3	
mahabharata_01-adiparvan	base	-0.309810	0.029422	15.9	
mahabharata_02-appendix-21_sisupala	base	-0.257195	0.135797	17.5	
mahabharata_02-sabhaparvan	base	-0.425468	0.045185	5.6	
mahabharata_03-aranyakaparvan	base	-0.321352	-0.018776	14.3	
mahabharata_04-virataparvan	base	-0.448047	0.019928	4.0	
mahabharata_05-udyogaparvan	base	-0.339436	0.000528	13.5	
mahabharata_06-bhismaparvan	base	-0.420119	0.101864	6.3	
mahabharata_07-appendix-08_sodasarajika	base	-0.225761	0.228017	19.8	
mahabharata_07-dronaparvan	base	-0.474392	0.015887	1.6	
mahabharata_08-karnaparvan	base	-0.477851	0.023736	0.8	
mahabharata_09-salyaparvan	base	-0.452813	0.077533	3.2	
mahabharata_10-sauptikaparvan	base	-0.371537	0.053324	9.5	
mahabharata_11-striparvan	base	-0.403302	0.003580	7.1	
mahabharata_12-appendix-29_moksadharma	base	0.093602	-0.038988	61.1	
mahabharata_12-santiparvan	base	-0.038123	-0.039664	38.1	
mahabharata_13-anusasanaparvan	base	-0.074989	0.031824	34.1	
mahabharata_13-appendix-15_umamahesvara	base	0.203437	-0.149766	79.4	
mahabharata_14-appendix-04_vaisnavadharma	base	0.165058	-0.139221	74.6	
mahabharata_14-asvamedhikaparvan	base	-0.186429	-0.011355	23.0	
mahabharata_15-asramavasikaparvan	base	-0.437299	0.081645	4.8	
mahabharata_16-mausalaparvan	base	-0.454221	-0.044111	2.4	
mahabharata_17-mahaprasthanikaparvan	base	-0.681893	-0.031643	0.0	
mahabharata_18-svargarohanaparvan	base	-0.370126	0.032338	10.3	
markandeyapurana	base	-0.046509	0.032697	37.3	
