unit	kind	x	y	pct	words
agnipurana_u	base	0.339244	-0.059850	90.5	
bhagavatapurana_skandha-01_u	base	-0.030468	-0.235260	38.9	
bhagavatapurana_skandha-02_u	base	0.176972	-0.125615	73.8	
bhagavatapurana_skandha-03_u	base	0.075951	-0.116258	55.6	
bhagavatapurana_skandha-04_u	base	-0.002514	-0.182578	44.4	
bhagavatapurana_skandha-05_u	base	0.134288	-0.061391	64.3	
bhagavatapurana_skandha-06_u	base	-0.003677	-0.167947	43.7	
bhagavatapurana_skandha-07_u	base	0.035773	-0.210793	49.2	
bhagavatapurana_skandha-08_u	base	-0.026075	-0.133009	39.7	
bhagavatapurana_skandha-09_u	base	-0.115858	-0.103813	28.6	
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	base	0.084219	-0.208653	57.9	
bhagavatapurana_skandha-10_u	base	-0.086614	-0.230485	31.7	
bhagavatapurana_skandha-11_u	base	0.163029	-0.244026	67.5	
bhagavatapurana_skandha-12_u	base	0.159976	-0.044670	66.7	
bhavisyapurana	base	0.183210	-0.124091	76.2	
brahmandapurana	base	0.062245	0.217894	54.0	
brahmandapurana_khanda-1_u	base	0.135692	0.462783	65.1	
brahmandapurana_khanda-2_u	base	-0.059549	0.145056	34.9	
brahmandapurana_khanda-3_u	base	0.133715	0.080414	63.5	
brahmapurana_pu	base	0.008243	-0.098936	46.0	
devibhagavatapurana	base	-0.007487	-0.255876	42.9	
devibhagavatapurana_devigita_adhyaya-31-40	base	0.314817	-0.113474	88.9	
devipurana	base	0.274391	-0.077436	86.5	
garudapurana_khanda-1_u	base	0.338669	-0.058973	89.7	
garudapurana_khanda-2_u	base	0.280172	-0.175700	87.3	
garudapurana_khanda-3_u	base	0.342608	-0.078838	92.1	
harivamsa	base	-0.286265	0.082889	19.0	
harivamsa_appendix-29-30_mathura	base	-0.210699	-0.062188	21.4	
harivamsa_appendix-31	base	-0.256244	-0.121927	20.6	
harivamsa_appendix-41	base	-0.016788	0.234193	41.3	
harivamsa_appendix-42_pradurbhava	base	-0.184423	0.201775	24.6	
kalikapurana	base	0.121493	-0.083614	61.9	
karatoyamahatmya_pu	base	0.403556	-0.106103	97.6	
kirfel_ppl_textgruppe_IIA_col1	base	0.185990	0.371652	77.8	
kirfel_ppl_textgruppe_IIB_col1	base	0.168400	0.570431	69.8	
kirfel_ppl_textgruppe_III_col1	base	0.183538	0.409455	77.0	
kirfel_ppl_textgruppe_II_col1	base	-0.038026	0.234795	37.3	
kirfel_ppl_textgruppe_I_col1	base	-0.196691	0.353814	22.2	
kirfel_ppl_textgruppe_Ia_col1	base	0.022713	0.565600	47.6	
kirfel_ppl_ungrouped_col1	base	-0.193824	0.313336	23.0	
kurmapurana_khanda-1_u	base	0.163386	0.071375	68.3	
kurmapurana_khanda-2_u	base	0.342377	-0.091896	91.3	
lingapurana_khanda-1_u	base	0.216753	0.080999	83.3	
lingapurana_khanda-2_u	base	0.349644	-0.070006	94.4	
mahabharata_01-adiparvan	base	-0.383150	-0.022198	11.1	
mahabharata_02-appendix-21_sisupala	base	-0.320243	0.195843	17.5	
mahabharata_02-sabhaparvan	base	-0.350029	-0.077405	15.1	
mahabharata_03-aranyakaparvan	base	-0.358082	-0.076222	14.3	
mahabharata_04-virataparvan	base	-0.401365	-0.063385	9.5	
mahabharata_05-udyogaparvan	base	-0.329441	-0.105393	16.7	
mahabharata_06-bhismaparvan	base	-0.360063	-0.009494	13.5	
mahabharata_07-appendix-08_sodasarajika	base	-0.282702	0.116051	19.8	
mahabharata_07-dronaparvan	base	-0.410794	-0.017301	7.9	
mahabharata_08-karnaparvan	base	-0.423486	-0.046775	6.3	
mahabharata_09-salyaparvan	base	-0.458226	0.014368	3.2	
mahabharata_10-sauptikaparvan	base	-0.413746	-0.047040	7.1	
mahabharata_11-striparvan	base	-0.393592	-0.083297	10.3	
mahabharata_12-appendix-29_moksadharma	base	-0.039725	-0.012139	36.5	
mahabharata_12-santiparvan	base	-0.116114	-0.084930	27.8	
mahabharata_13-anusasanaparvan	base	-0.068927	-0.054727	32.5	
