unit	kind	est	lo	hi	tokens
mahabharata_15-asramavasikaparvan	augmented	5.6	4.0	8.7	66379
mahabharata_15-asramavasikaparvan	apparatus	7.1	2.4	19.0	4781
mahabharata_16-mausalaparvan	augmented	9.5	4.8	16.7	19947
mahabharata_16-mausalaparvan	apparatus	28.6	18.3	46.1	3372
mahabharata_17-mahaprasthanikaparvan	augmented	0.8	0.0	0.8	6788
mahabharata_17-mahaprasthanikaparvan	apparatus	2.4	0.8	40.5	1074
mahabharata_18-svargarohanaparvan	augmented	23.0	17.5	29.4	17861
mahabharata_18-svargarohanaparvan	apparatus	65.9	40.5	84.1	7209
mahabharata_13-anusasanaparvan	augmented	42.1	40.5	46.0	682249
mahabharata_13-anusasanaparvan	apparatus	61.1	57.1	62.7	314941
