unit	kind	est	lo	hi	tokens
mahabharata_15-asramavasikaparvan	augmented	5.6	3.2	8.0	66379
mahabharata_15-asramavasikaparvan	apparatus	9.6	2.4	20.1	4781
mahabharata_16-mausalaparvan	augmented	8.8	4.8	15.2	19947
mahabharata_16-mausalaparvan	apparatus	24.0	18.4	40.8	3372
mahabharata_17-mahaprasthanikaparvan	augmented	0.8	0.0	4.8	6788
mahabharata_17-mahaprasthanikaparvan	apparatus	9.6	3.1	68.8	1074
mahabharata_18-svargarohanaparvan	augmented	22.4	19.2	26.4	17861
mahabharata_18-svargarohanaparvan	apparatus	60.8	37.6	80.0	7209
mahabharata_13-anusasanaparvan	augmented	36.8	36.8	36.8	682249
mahabharata_13-anusasanaparvan	apparatus	47.2	44.0	52.8	314941
