unit	kind	est	lo	hi	tokens
mahabharata_15-asramavasikaparvan	augmented	3.2	0.8	6.3	12242
mahabharata_15-asramavasikaparvan	apparatus	15.9	10.3	21.4	879
mahabharata_16-mausalaparvan	augmented	6.3	0.8	13.5	3566
mahabharata_16-mausalaparvan	apparatus	23.8	21.4	33.3	604
mahabharata_17-mahaprasthanikaparvan	augmented	0.8	0.0	3.2	1233
mahabharata_17-mahaprasthanikaparvan	apparatus	27.8	27.8	43.7	183
mahabharata_18-svargarohanaparvan	augmented	25.4	20.6	27.8	3258
mahabharata_18-svargarohanaparvan	apparatus	65.1	47.6	81.0	1311
mahabharata_13-anusasanaparvan	augmented	45.2	43.7	47.6	125159
mahabharata_13-anusasanaparvan	apparatus	57.1	56.3	61.1	57623
