unit	kind	est	lo	hi	tokens
mahabharata_01-adiparvan	gen	13.5	8.7	15.9	73712
mahabharata_01-adiparvan	rest	17.5	16.7	19.8	345600
harivamsa	gen	21.4	18.3	24.6	49133
harivamsa	rest	18.3	17.5	18.3	291785
matsyapurana_pu	gen	37.3	34.1	41.3	65969
matsyapurana_pu	rest	57.1	55.5	60.3	664322
markandeyapurana	gen	30.2	27.8	35.7	41175
markandeyapurana	rest	40.5	37.3	41.3	294271
brahmapurana_pu	gen	35.7	31.7	38.9	77845
brahmapurana_pu	rest	47.6	46.0	49.2	696109
agnipurana_u	gen	76.2	64.2	82.5	28157
agnipurana_u	rest	89.7	89.7	91.3	591932
bhavisyapurana	gen	40.5	34.1	42.1	88604
bhavisyapurana	rest	67.5	65.9	68.3	1446045
garudapurana_khanda-1_u	gen	78.6	65.9	84.9	27759
garudapurana_khanda-1_u	rest	82.5	80.2	82.5	421233
bhagavatapurana_skandha-09_u	gen	24.6	19.0	34.9	10573
bhagavatapurana_skandha-09_u	rest	27.8	25.4	32.5	43275
kurmapurana_khanda-1_u	gen	53.2	37.3	64.3	19726
kurmapurana_khanda-1_u	rest	68.3	65.1	75.4	162986
padmapurana_a	gen	37.3	34.1	41.3	173920
padmapurana_a	rest	49.2	49.2	50.8	2534603
vayupurana_08_manu-candra-vishnu-vamsha_iast	gen	29.4	23.8	34.1	35915
vayupurana_08_manu-candra-vishnu-vamsha_iast	rest	33.3	27.8	35.7	79290
vayupurana_06_prthu-and-prajapati-lineages_iast	gen	82.5	76.2	89.7	22849
vayupurana_06_prthu-and-prajapati-lineages_iast	rest	68.3	63.5	79.4	52451
