unit	kind	est	lo	hi	tokens
mahabharata_01-adiparvan	gen	13.6	11.6	19.2	60164
mahabharata_01-adiparvan	rest	16.8	15.6	18.4	288719
harivamsa	gen	23.2	18.8	32.0	15909
harivamsa	rest	18.4	18.4	19.2	179899
matsyapurana_pu	gen	39.2	36.0	52.0	17972
matsyapurana_pu	rest	56.8	53.6	64.8	271100
markandeyapurana	gen	23.2	19.2	28.4	26959
markandeyapurana	rest	36.0	33.6	38.4	205687
brahmapurana_pu	gen	36.0	27.2	38.4	32039
brahmapurana_pu	rest	48.8	47.2	56.0	370924
agnipurana_u	gen	67.2	50.4	80.0	19349
agnipurana_u	rest	91.2	88.0	92.0	498847
bhavisyapurana	gen	33.6	27.2	37.6	71804
bhavisyapurana	rest	64.0	62.8	67.2	1090265
garudapurana_khanda-1_u	gen	80.0	69.6	85.6	18692
garudapurana_khanda-1_u	rest	80.0	78.4	80.0	331647
bhagavatapurana_skandha-09_u	gen	26.4	21.6	40.0	8467
bhagavatapurana_skandha-09_u	rest	31.2	28.0	38.4	39009
kurmapurana_khanda-1_u	gen	42.4	34.4	69.6	9486
kurmapurana_khanda-1_u	rest	72.8	68.8	78.4	90274
padmapurana_a	gen	36.0	32.0	37.6	132371
padmapurana_a	rest	47.2	44.0	48.8	1884710
vayupurana_08_manu-candra-vishnu-vamsha_iast	gen	39.2	23.6	88.0	1354
vayupurana_08_manu-candra-vishnu-vamsha_iast	rest	66.4	36.0	82.9	4630
vayupurana_06_prthu-and-prajapati-lineages_iast	gen	96.8	88.8	98.4	1876
vayupurana_06_prthu-and-prajapati-lineages_iast	rest	87.2	73.6	99.2	5956
