unit	kind	est	lo	hi	tokens
mahabharata_01-adiparvan	gen	7.1	4.0	13.5	14280
mahabharata_01-adiparvan	rest	13.5	11.1	14.3	61717
harivamsa	gen	19.8	17.4	21.4	9059
harivamsa	rest	19.8	19.0	20.7	52047
matsyapurana_pu	gen	37.3	32.5	42.1	12823
matsyapurana_pu	rest	63.5	61.1	64.3	118391
markandeyapurana	gen	27.8	25.4	31.7	8545
markandeyapurana	rest	37.3	35.7	40.5	54356
brahmapurana_pu	gen	28.6	27.8	34.9	15433
brahmapurana_pu	rest	50.0	46.8	51.6	126940
agnipurana_u	gen	69.0	61.1	81.7	5161
agnipurana_u	rest	94.4	93.6	95.2	104578
bhavisyapurana	gen	53.2	46.8	57.9	18205
bhavisyapurana	rest	73.0	70.6	76.2	259960
garudapurana_khanda-1_u	gen	69.8	63.5	83.3	5628
garudapurana_khanda-1_u	rest	92.1	88.9	94.4	75480
bhagavatapurana_skandha-09_u	gen	37.3	28.6	47.6	1941
bhagavatapurana_skandha-09_u	rest	27.8	27.8	31.8	7654
kurmapurana_khanda-1_u	gen	50.0	37.3	58.8	3535
kurmapurana_khanda-1_u	rest	76.2	66.7	84.1	28286
padmapurana_a	gen	40.5	37.3	45.2	33873
padmapurana_a	rest	57.1	56.3	57.1	427976
vayupurana_08_manu-candra-vishnu-vamsha_iast	gen	22.2	21.4	27.8	6325
vayupurana_08_manu-candra-vishnu-vamsha_iast	rest	26.2	22.2	27.8	14048
vayupurana_06_prthu-and-prajapati-lineages_iast	gen	43.7	36.5	52.4	4114
vayupurana_06_prthu-and-prajapati-lineages_iast	rest	50.0	43.7	54.8	9487
