stat	with-reuse_n127	no-reuse_n126
share_ax1_W1	0.1344	0.1275
share_ax2_W1	0.0801	0.0975
share_ax3_W1	0.0732	0.0558
share_ax1_C3	0.1020	0.0864
share_ax2_C3	0.0950	0.0723
share_ax3_C3	0.0669	0.0568
crosslens_ax1	0.9694	0.9508
crosslens_ax2	0.8551	0.7469
crosslens_ax3	0.4593	0.7354
bhp_pointbiserial_W1	0.5571	0.7646
bhp_offset_sd_W1	2.1551	3.7970
logT_ax3_W1	0.5377	0.0575
bhp_pointbiserial_C3	0.8469	0.8375
bhp_offset_sd_C3	5.1019	4.9218
logT_ax3_C3	0.2627	0.0186
crosslens_ax1_noBhP	0.9732	0.9486
crosslens_ax3_noBhP	0.2693	0.6431
pair_2d_W1	0.0433	0.0956
pair_3d_W1	0.1902	0.1515
pair_2d_C3	0.2329	0.1735
pair_3d_C3	0.3413	0.2752
pair_delta_W1	0.9172	0.9036
pair_delta_C3	1.0507	1.0454
