text	x	y
agnipurana_u	0.277784	-0.196801
bhagavatapurana_skandha-01_u	-0.158068	-0.067126
bhagavatapurana_skandha-02_u	0.044508	-0.158239
bhagavatapurana_skandha-03_u	0.009649	-0.121241
bhagavatapurana_skandha-04_u	-0.053495	-0.096813
bhagavatapurana_skandha-05_u	0.002530	0.003414
bhagavatapurana_skandha-06_u	-0.036371	-0.056657
bhagavatapurana_skandha-07_u	0.008212	-0.127156
bhagavatapurana_skandha-08_u	-0.080445	-0.066312
bhagavatapurana_skandha-09_u	-0.154498	0.035728
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.075341	-0.221309
bhagavatapurana_skandha-10_u	-0.167106	-0.143561
bhagavatapurana_skandha-11_u	0.078461	-0.145483
bhagavatapurana_skandha-12_u	0.048868	0.037826
bhavisyapurana	0.118255	-0.242426
brahmandapurana	0.094005	0.233873
brahmandapurana_khanda-1_u	0.232719	0.512346
brahmandapurana_khanda-2_u	-0.037880	0.179842
brahmandapurana_khanda-3_u	0.152320	0.048169
brahmapurana_pu	0.007482	-0.084737
devibhagavatapurana	0.017610	-0.306778
devibhagavatapurana_devigita_adhyaya-31-40	0.314579	-0.171402
devipurana	0.214438	-0.188441
garudapurana_khanda-1_u	0.206747	-0.171589
garudapurana_khanda-2_u	0.202495	-0.211395
garudapurana_khanda-3_u	0.256910	-0.167672
harivamsa	-0.232192	0.093026
harivamsa_appendix-29-30_mathura	-0.227581	-0.056950
harivamsa_appendix-31	-0.198790	-0.203198
harivamsa_appendix-41	0.052197	0.256023
harivamsa_appendix-42_pradurbhava	-0.204919	0.245713
kalikapurana	0.104473	-0.141619
karatoyamahatmya_pu	0.374074	-0.476611
kirfel_ppl_textgruppe_IIA_col1	0.369359	0.473903
kirfel_ppl_textgruppe_IIB_col1	0.338211	0.582907
kirfel_ppl_textgruppe_III_col1	0.174934	0.646664
kirfel_ppl_textgruppe_II_col1	-0.105188	0.301964
kirfel_ppl_textgruppe_I_col1	-0.126904	0.457608
kirfel_ppl_textgruppe_Ia_col1	0.126367	0.741098
kirfel_ppl_ungrouped_col1	-0.158574	0.368695
kurmapurana_khanda-1_u	0.119267	-0.015150
kurmapurana_khanda-2_u	0.298075	-0.308856
lingapurana_khanda-1_u	0.164727	0.056348
lingapurana_khanda-2_u	0.264223	-0.210136
mahabharata_01-adiparvan	-0.309810	0.029422
mahabharata_02-appendix-21_sisupala	-0.257195	0.135797
mahabharata_02-sabhaparvan	-0.425468	0.045185
mahabharata_03-aranyakaparvan	-0.321352	-0.018776
mahabharata_04-virataparvan	-0.448047	0.019928
mahabharata_05-udyogaparvan	-0.339436	0.000528
mahabharata_06-bhismaparvan	-0.420118	0.101864
mahabharata_07-appendix-08_sodasarajika	-0.225761	0.228017
mahabharata_07-dronaparvan	-0.474392	0.015887
mahabharata_08-karnaparvan	-0.477851	0.023736
